slot,canonical_ny,K1_reason,K2_gamma_reason,K2_accel_reason,K2_w1_reason,K3_OLS_reason,K3_w2_reason,K4_RV6_reason,K4_alpha_reason,K4_wt_reason
2023-01-04 09:00:00+00:00,2023-01-04 09:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=-0.0461 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,INVALID: non-finite or invalid A/B in window,INACTIVE: alpha_D invalid
2023-01-04 10:00:00+00:00,2023-01-04 10:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: |gamma_bar|=0.0978 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,INVALID: non-finite or invalid A/B in window,INACTIVE: alpha_D invalid
2023-01-04 11:00:00+00:00,2023-01-04 11:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: |gamma_bar|=0.0365 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,INVALID: non-finite or invalid A/B in window,INACTIVE: alpha_D invalid
2023-01-04 12:00:00+00:00,2023-01-04 12:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=0.0132 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-04 13:00:00+00:00,2023-01-04 13:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=0.0062 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-04 14:00:00+00:00,2023-01-04 14:00:00,INVALID: insufficient history (<720 slots),,,ACTIVE,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-04 15:00:00+00:00,2023-01-04 15:00:00,INVALID: insufficient history (<720 slots),,,ACTIVE,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-04 16:00:00+00:00,2023-01-04 16:00:00,INVALID: insufficient history (<720 slots),,,ACTIVE,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-04 17:00:00+00:00,2023-01-04 17:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=0.0231 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-04 18:00:00+00:00,2023-01-04 18:00:00,INVALID: insufficient history (<720 slots),,,ACTIVE,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-04 19:00:00+00:00,2023-01-04 19:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=0.0200 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-04 20:00:00+00:00,2023-01-04 20:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: |gamma_bar|=0.0337 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-04 21:00:00+00:00,2023-01-04 21:00:00,INVALID: insufficient history (<720 slots),,,ACTIVE,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-04 22:00:00+00:00,2023-01-04 22:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: |gamma_bar|=0.0335 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-04 23:00:00+00:00,2023-01-04 23:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=-0.0053 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-05 00:00:00+00:00,2023-01-05 00:00:00,INVALID: insufficient history (<720 slots),STALE_ZERO,,INACTIVE: |gamma_bar|=0.0817 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-05 01:00:00+00:00,2023-01-05 01:00:00,INVALID: insufficient history (<720 slots),STALE_ZERO,,INACTIVE: accel=-0.0126 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-05 02:00:00+00:00,2023-01-05 02:00:00,DISABLED: Brent/DAX stale > 2h,STALE_ZERO,,INACTIVE: |gamma_bar|=0.0000 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-05 03:00:00+00:00,2023-01-05 03:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=0.0094 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-05 04:00:00+00:00,2023-01-05 04:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: |gamma_bar|=0.0885 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-05 05:00:00+00:00,2023-01-05 05:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: |gamma_bar|=0.0488 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-05 06:00:00+00:00,2023-01-05 06:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=-0.1634 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
