strategy_id,family_id,asset,source_state_id,signal_timestamp,decision_timestamp,entry_timestamp,entry_price,direction,execution_object,exit_timestamp,exit_price,exit_reason,invalidation_reason,holding_hours,gross_bps,entry_cost_bps,exit_cost_bps,funding_bps,net_bps,gross_R,net_R,MAE,MFE,control_id
ALPHA1_S001,FAM_A,BTC,,2026-02-12T00:00:00+00:00,2026-02-12T00:00:00+00:00,2026-02-12T01:00:00+00:00,67421.0,LONG,perp,2026-02-12T03:00:00+00:00,67551.0,STATE_EXIT,,3,19.2818,2.5,2.5,0.3631,14.6449,0.1928,0.1464,-0.0005,0.0034,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-12T04:00:00+00:00,2026-02-12T04:00:00+00:00,2026-02-12T05:00:00+00:00,66979.0,LONG,perp,2026-02-12T07:00:00+00:00,67180.0,STATE_EXIT,,3,30.0094,2.5,2.5,0.2128,25.2222,0.3001,0.2522,0.0,0.0031,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-12T08:00:00+00:00,2026-02-12T08:00:00+00:00,2026-02-12T09:00:00+00:00,67097.0,LONG,perp,2026-02-12T10:00:00+00:00,67988.0,STATE_EXIT,,2,132.7928,2.5,2.5,0.0257,127.8185,1.3279,1.2782,0.0,0.0133,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-13T08:00:00+00:00,2026-02-13T08:00:00+00:00,2026-02-13T09:00:00+00:00,66649.0,LONG,perp,2026-02-13T10:00:00+00:00,66946.0,STATE_EXIT,,2,44.5618,2.5,2.5,-0.0305,39.5313,0.4456,0.3953,0.0,0.0044,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-13T11:00:00+00:00,2026-02-13T11:00:00+00:00,2026-02-13T12:00:00+00:00,67128.0,LONG,perp,2026-02-13T12:00:00+00:00,67057.0,STATE_EXIT,,1,-10.5768,2.5,2.5,0.0,-15.5768,-0.1058,-0.1558,-0.0011,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-13T14:00:00+00:00,2026-02-13T14:00:00+00:00,2026-02-13T15:00:00+00:00,67694.0,LONG,perp,2026-02-13T15:00:00+00:00,68663.0,STATE_EXIT,,1,143.1441,2.5,2.5,0.0,138.1441,1.4314,1.3814,0.0,0.0143,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-13T17:00:00+00:00,2026-02-13T17:00:00+00:00,2026-02-13T18:00:00+00:00,69000.0,LONG,perp,2026-02-13T18:00:00+00:00,69099.0,STATE_EXIT,,1,14.3478,2.5,2.5,0.0,9.3478,0.1435,0.0935,0.0,0.0014,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-14T00:00:00+00:00,2026-02-14T00:00:00+00:00,2026-02-14T01:00:00+00:00,69049.0,LONG,perp,2026-02-14T01:00:00+00:00,68936.0,STATE_EXIT,,1,-16.3652,2.5,2.5,0.0,-21.3652,-0.1637,-0.2137,-0.0016,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-14T09:00:00+00:00,2026-02-14T09:00:00+00:00,2026-02-14T10:00:00+00:00,69679.0,LONG,perp,2026-02-14T10:00:00+00:00,69654.0,STATE_EXIT,,1,-3.5879,2.5,2.5,0.0,-8.5879,-0.0359,-0.0859,-0.0004,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-14T18:00:00+00:00,2026-02-14T18:00:00+00:00,2026-02-14T19:00:00+00:00,69734.0,LONG,perp,2026-02-14T19:00:00+00:00,69851.0,STATE_EXIT,,1,16.778,2.5,2.5,0.0,11.778,0.1678,0.1178,0.0,0.0017,ALPHA1_C006
