date,direction,result,pnl_pips,p90_hour,tier,ar_pips,p90_body_pips,entry,sl,tp,entry_time,exit_time
2023-08-29,SHORT,SL,-1.3,5,T3,44.9,5.2,1.0839100000000002,1.0840140000000003,1.08287,2023-08-29,2023-08-29 17:05:00
2023-09-04,SHORT,SL,-1.2,5,T1,10.9,4.7,1.08033,1.080424,1.07939,2023-09-04,2023-09-04 10:25:00
2023-09-05,LONG,SL,-1.5,4,T2,22.3,5.9,1.0755799999999998,1.0754619999999997,1.07676,2023-09-05,2023-09-05 10:55:00
2023-09-07,LONG,SL,-1.6,4,T1,18.7,6.4,1.0703500000000001,1.0702220000000002,1.07163,2023-09-07,2023-09-07 15:20:00
2023-09-11,SHORT,SL,-1.3,4,T1,19.1,5.0,1.0742399999999999,1.0743399999999999,1.07324,2023-09-11,2023-09-11 17:05:00
2023-09-12,LONG,TP,11.1,5,T3,44.0,5.7,1.0712300000000001,1.0711160000000002,1.07237,2023-09-12,2023-09-12 12:40:00
2023-09-13,SHORT,TP,14.5,5,T3,31.6,7.4,1.0757900000000005,1.0759380000000005,1.07431,2023-09-13,2023-09-13 15:40:00
2023-09-14,LONG,SL,-5.6,10,T3,33.3,26.7,1.0650400000000002,1.0645060000000002,1.07038,2023-09-14,2023-09-14 20:15:00
2023-09-18,SHORT,SL,-1.3,4,T1,7.1,4.9,1.0683400000000003,1.0684380000000002,1.06736,2023-09-18,2023-09-18 18:30:00
2023-09-19,SHORT,SL,-1.5,5,T3,31.3,6.0,1.06984,1.0699599999999998,1.06864,2023-09-19,2023-09-19 13:35:00
2023-09-20,LONG,TP,8.9,4,T1,18.4,4.6,1.0674999999999997,1.0674079999999997,1.06842,2023-09-20,2023-09-20 09:05:00
2023-09-22,LONG,SL,-1.1,3,T3,36.7,4.1,1.06409,1.064008,1.06491,2023-09-22,2023-09-22 10:20:00
2023-09-25,LONG,SL,-1.2,3,T1,7.8,4.5,1.0635899999999998,1.0635,1.06449,2023-09-25,2023-09-25 10:45:00
2023-09-27,SHORT,SL,-1.1,3,T3,39.5,4.1,1.05675,1.056832,1.05593,2023-09-27,2023-09-27 09:55:00
2023-10-04,SHORT,SL,-2.2,5,T2,25.3,9.3,1.0483599999999997,1.0485459999999998,1.0465,2023-10-04,2023-10-04 11:00:00
2023-10-10,SHORT,SL,-1.6,4,T2,28.3,6.6,1.0581099999999997,1.0582419999999997,1.05679,2023-10-10,2023-10-10 11:15:00
2023-10-12,LONG,SL,-1.5,4,T3,36.7,5.9,1.0616499999999998,1.0615319999999997,1.06283,2023-10-12,2023-10-12 14:05:00
2023-10-16,SHORT,TP,7.9,3,T1,6.9,4.1,1.05376,1.053842,1.05294,2023-10-16,2023-10-16 10:05:00
2023-10-18,LONG,SL,-1.3,4,T2,29.5,5.0,1.05689,1.0567900000000001,1.05789,2023-10-18,2023-10-18 13:00:00
2023-10-27,LONG,SL,-1.2,4,T1,15.1,4.7,1.0555,1.055406,1.05644,2023-10-27,2023-10-27 10:00:00
2023-11-06,SHORT,SL,-1.3,4,T1,7.6,4.8,1.0749900000000001,1.0750860000000002,1.07403,2023-11-06,2023-11-06 10:35:00
2023-11-07,LONG,SL,-1.5,6,T2,28.3,5.9,1.0685699999999998,1.0684519999999997,1.06975,2023-11-07,2023-11-07 12:00:00
2023-11-09,LONG,SL,-1.4,5,T2,25.4,5.4,1.06926,1.069152,1.07034,2023-11-09,2023-11-09 12:25:00
2023-11-13,LONG,SL,-1.5,6,T1,7.4,6.1,1.06809,1.067968,1.06931,2023-11-13,2023-11-13 14:05:00
2023-11-14,SHORT,SL,-1.7,5,T2,25.0,6.9,1.0721399999999996,1.0722779999999996,1.07076,2023-11-14,2023-11-14 12:10:00
2023-11-17,LONG,SL,-1.5,4,T2,26.9,5.8,1.08337,1.083254,1.08453,2023-11-17,2023-11-17 10:05:00
2023-11-20,SHORT,SL,-1.6,5,T1,18.4,6.6,1.0935800000000002,1.0937120000000002,1.09226,2023-11-20,2023-11-20 11:30:00
2023-11-23,LONG,TP,9.7,3,T2,21.8,5.0,1.0898400000000001,1.0897400000000002,1.09084,2023-11-23,2023-11-23 10:20:00
2023-11-24,SHORT,TP,10.9,4,T3,31.9,5.6,1.0920499999999997,1.0921619999999996,1.09093,2023-11-24,2023-11-24 11:30:00
2023-12-04,LONG,SL,-1.4,4,T1,17.7,5.7,1.0842900000000002,1.0841760000000003,1.0854300000000001,2023-12-04,2023-12-04 16:10:00
2023-12-07,LONG,SL,-1.5,5,T3,41.8,6.2,1.0763599999999998,1.0762359999999997,1.0776,2023-12-07,2023-12-07 08:05:00
2023-12-12,SHORT,SL,-1.6,5,T1,18.2,6.7,1.0795100000000004,1.0796440000000005,1.07817,2023-12-12,2023-12-12 11:55:00
2023-12-13,LONG,SL,-1.1,3,T3,36.0,4.1,1.0775,1.077418,1.07832,2023-12-13,2023-12-13 12:50:00
2023-12-19,SHORT,TP,13.1,4,T3,37.1,6.7,1.0948000000000004,1.0949340000000005,1.09346,2023-12-19,2023-12-19 13:15:00
2023-12-21,LONG,TP,8.7,3,T3,37.2,4.5,1.0935899999999998,1.0935,1.09449,2023-12-21,2023-12-21 11:30:00
2023-12-25,SHORT,TP,10.7,3,T1,11.3,5.5,1.10189,1.102,1.10079,2023-12-25,2023-12-25 09:55:00
2024-01-02,LONG,TP,9.9,3,T1,17.1,5.1,1.10185,1.101748,1.10287,2024-01-02,2024-01-02 10:00:00
2024-01-05,LONG,SL,-1.3,4,T3,42.0,4.9,1.0914399999999997,1.0913419999999998,1.09242,2024-01-05,2024-01-05 10:35:00
2024-01-08,LONG,SL,-1.5,4,T1,8.8,6.0,1.0933100000000002,1.0931900000000003,1.09451,2024-01-08,2024-01-08 10:15:00
2024-01-10,SHORT,SL,-1.1,3,T3,36.8,4.2,1.0941099999999997,1.0941939999999997,1.09327,2024-01-10,2024-01-10 09:50:00
2024-01-12,LONG,SL,-1.6,4,T1,18.6,6.4,1.09559,1.0954620000000002,1.09687,2024-01-12,2024-01-12 13:25:00
2024-01-15,LONG,SL,-1.4,4,T1,9.0,5.4,1.09477,1.094662,1.09585,2024-01-15,2024-01-15 11:40:00
2024-01-23,LONG,SL,-1.5,4,T2,25.5,6.0,1.0895800000000002,1.0894600000000003,1.09078,2024-01-23,2024-01-23 10:50:00
2024-01-24,LONG,SL,-1.3,4,T3,37.3,5.1,1.0862,1.086098,1.08722,2024-01-24,2024-01-24 09:00:00
2024-01-25,SHORT,TP,9.1,5,T3,39.6,4.7,1.0899600000000005,1.0900540000000005,1.08902,2024-01-25,2024-01-25 15:20:00
2024-01-29,LONG,SL,-1.8,4,T1,8.1,7.3,1.0823300000000002,1.0821840000000003,1.08379,2024-01-29,2024-01-29 12:00:00
2024-01-30,SHORT,SL,-1.5,6,T2,28.2,6.0,1.0838899999999998,1.0840099999999997,1.08269,2024-01-30,2024-01-30 12:50:00
2024-02-05,LONG,SL,-1.6,5,T1,8.7,6.5,1.0764799999999999,1.07635,1.07778,2024-02-05,2024-02-05 11:15:00
2024-02-07,SHORT,SL,-1.4,6,T2,28.9,5.5,1.0779899999999996,1.0780999999999996,1.07689,2024-02-07,2024-02-07 15:30:00
2024-02-09,LONG,SL,-1.5,5,T1,15.1,6.0,1.0763500000000001,1.0762300000000002,1.07755,2024-02-09,2024-02-09 12:15:00
2024-02-13,LONG,TP,11.3,4,T3,39.1,5.8,1.07567,1.075554,1.07683,2024-02-13,2024-02-13 12:00:00
2024-02-15,SHORT,SL,-2.4,10,T2,28.8,10.3,1.0775900000000003,1.0777960000000002,1.07553,2024-02-15,2024-02-15 16:35:00
2024-02-16,SHORT,SL,-1.3,4,T3,38.7,5.0,1.07774,1.07784,1.07674,2024-02-16,2024-02-16 13:40:00
2024-02-20,SHORT,SL,-1.8,6,T2,24.2,7.6,1.0802099999999997,1.0803619999999996,1.07869,2024-02-20,2024-02-20 12:35:00
2024-03-01,SHORT,TP,9.7,4,T3,30.4,5.0,1.08242,1.08252,1.08142,2024-03-01,2024-03-01 14:55:00
2024-03-12,LONG,TP,12.3,10,T2,20.6,6.3,1.0916800000000002,1.0915540000000001,1.09294,2024-03-12,2024-03-12 15:35:00
2024-03-14,LONG,SL,-1.6,10,T2,26.4,6.6,1.0918200000000002,1.0916880000000002,1.09314,2024-03-14,2024-03-14 16:35:00
2024-03-20,LONG,SL,-1.6,6,T1,12.2,6.6,1.0845499999999997,1.0844179999999997,1.08587,2024-03-20,2024-03-20 12:10:00
2024-03-25,SHORT,SL,-1.4,3,T1,11.6,5.7,1.0833599999999999,1.0834739999999998,1.08222,2024-03-25,2024-03-25 16:05:00
2024-03-27,LONG,SL,-1.2,5,T2,22.4,4.7,1.08179,1.081696,1.08273,2024-03-27,2024-03-27 15:05:00
2024-03-28,LONG,SL,-1.5,5,T1,16.1,5.9,1.0794300000000003,1.0793120000000003,1.08061,2024-03-28,2024-03-28 11:10:00
2024-04-01,LONG,SL,-1.2,5,T1,7.2,4.7,1.07741,1.077316,1.07835,2024-04-01,2024-04-01 16:50:00
2024-04-05,LONG,SL,-1.3,4,T2,20.6,4.9,1.0813600000000003,1.0812620000000004,1.08234,2024-04-05,2024-04-05 15:35:00
2024-04-12,LONG,SL,-3.0,4,T3,36.2,13.4,1.0664100000000003,1.0661420000000004,1.06909,2024-04-12,2024-04-12 12:25:00
2024-04-17,SHORT,TP,10.7,4,T2,28.7,5.5,1.0624200000000001,1.0625300000000002,1.06132,2024-04-17,2024-04-17 08:40:00
2024-04-22,LONG,SL,-1.6,5,T1,10.3,6.6,1.0644500000000003,1.0643180000000003,1.06577,2024-04-22,2024-04-22 14:15:00
2024-04-23,SHORT,SL,-1.9,5,T2,27.3,7.8,1.067,1.067156,1.06544,2024-04-23,2024-04-23 10:35:00
2024-04-26,SHORT,SL,-1.4,4,T3,37.6,5.3,1.0747600000000004,1.0748660000000003,1.0737,2024-04-26,2024-04-26 11:35:00
2024-04-30,LONG,SL,-1.5,4,T2,29.1,6.0,1.0683000000000002,1.0681800000000004,1.0695000000000001,2024-04-30,2024-04-30 19:05:00
2024-05-03,SHORT,SL,-1.3,4,T3,32.6,4.8,1.0744500000000001,1.0745460000000002,1.07349,2024-05-03,2024-05-03 12:30:00
2024-05-10,LONG,SL,-1.3,5,T3,35.3,5.0,1.07678,1.07668,1.07778,2024-05-10,2024-05-10 15:50:00
2024-05-14,LONG,TP,9.1,6,T3,43.2,4.7,1.0767600000000002,1.0766660000000001,1.0777,2024-05-14,2024-05-14 15:35:00
2024-05-29,LONG,SL,-3.0,6,T2,29.6,13.4,1.0811800000000003,1.0809120000000003,1.08386,2024-05-29,2024-05-29 18:30:00
2024-05-31,SHORT,SL,-1.5,7,T2,27.2,6.0,1.0851399999999998,1.0852599999999997,1.08394,2024-05-31,2024-05-31 14:05:00
2024-06-03,LONG,SL,-1.2,5,T1,8.8,4.7,1.0836400000000002,1.0835460000000001,1.08458,2024-06-03,2024-06-03 11:10:00
2024-06-11,LONG,SL,-2.5,6,T3,40.0,10.8,1.0727,1.072484,1.07486,2024-06-11,2024-06-11 14:50:00
2024-06-12,SHORT,SL,-1.3,5,T3,31.8,4.8,1.0751300000000001,1.0752260000000002,1.07417,2024-06-12,2024-06-12 11:10:00
2024-06-20,LONG,SL,-1.3,6,T1,10.4,4.8,1.07056,1.0704639999999999,1.07152,2024-06-20,2024-06-20 19:30:00
2024-06-21,LONG,SL,-1.3,4,T3,38.7,4.9,1.0702899999999997,1.0701919999999998,1.07127,2024-06-21,2024-06-21 10:15:00
2024-06-28,SHORT,SL,-1.3,5,T2,20.0,4.8,1.0707600000000002,1.0708560000000003,1.0698,2024-06-28,2024-06-28 13:00:00
2024-07-03,SHORT,SL,-1.4,5,T1,14.8,5.4,1.07632,1.076428,1.07524,2024-07-03,2024-07-03 15:15:00
2024-07-16,LONG,SL,-1.4,6,T1,18.9,5.3,1.0883200000000002,1.0882140000000002,1.08938,2024-07-16,2024-07-16 15:40:00
2024-07-17,LONG,SL,-1.3,5,T1,16.7,5.0,1.0897400000000002,1.0896400000000002,1.09074,2024-07-17,2024-07-17 10:05:00
2024-07-18,LONG,SL,-1.3,4,T3,41.0,4.8,1.09204,1.0919439999999998,1.093,2024-07-18,2024-07-18 16:15:00
2024-07-23,LONG,SL,-1.4,5,T2,23.2,5.6,1.0865199999999997,1.0864079999999996,1.08764,2024-07-23,2024-07-23 13:10:00
2024-07-25,SHORT,SL,-1.8,5,T1,17.9,7.4,1.08639,1.086538,1.08491,2024-07-25,2024-07-25 20:00:00
2024-07-29,LONG,SL,-1.3,5,T1,11.8,4.9,1.0842499999999997,1.0841519999999998,1.08523,2024-07-29,2024-07-29 11:05:00
2024-07-31,LONG,SL,-1.6,4,T1,15.9,6.5,1.08055,1.08042,1.08185,2024-07-31,2024-07-31 21:00:00
2024-08-01,LONG,SL,-1.6,4,T2,27.0,6.4,1.08048,1.0803520000000002,1.08176,2024-08-01,2024-08-01 10:40:00
2024-08-05,SHORT,SL,-1.8,3,T2,26.9,7.7,1.0952099999999998,1.0953639999999998,1.09367,2024-08-05,2024-08-05 10:35:00
2024-08-15,LONG,SL,-1.4,6,T3,30.5,5.3,1.0997500000000002,1.0996440000000003,1.10081,2024-08-15,2024-08-15 15:35:00
2024-08-26,LONG,SL,-1.8,7,T1,13.2,7.6,1.1156699999999997,1.1155179999999998,1.11719,2024-08-26,2024-08-26 16:05:00
2024-08-27,LONG,SL,-1.8,7,T3,37.5,7.7,1.1154799999999996,1.1153259999999996,1.11702,2024-08-27,2024-08-27 15:30:00
2024-08-28,LONG,SL,-1.5,3,T1,19.5,6.2,1.1141999999999999,1.1140759999999998,1.11544,2024-08-28,2024-08-28 08:55:00
2024-09-03,LONG,SL,-1.3,4,T2,29.4,4.8,1.10418,1.1040839999999998,1.10514,2024-09-03,2024-09-03 12:10:00
2024-09-04,SHORT,SL,-1.4,5,T2,23.4,5.6,1.1068500000000003,1.1069620000000004,1.10573,2024-09-04,2024-09-04 17:05:00
2024-09-09,LONG,SL,-1.4,4,T1,8.6,5.4,1.1053299999999995,1.1052219999999995,1.10641,2024-09-09,2024-09-09 11:20:00
2024-09-16,SHORT,SL,-1.4,5,T1,18.3,5.3,1.1126500000000004,1.1127560000000003,1.11159,2024-09-16,2024-09-16 12:10:00
2024-09-18,SHORT,SL,-1.4,5,T1,12.5,5.4,1.11362,1.113728,1.11254,2024-09-18,2024-09-18 12:40:00
2024-09-23,LONG,SL,-1.9,5,T1,8.5,8.1,1.11345,1.113288,1.11507,2024-09-23,2024-09-23 10:20:00
2024-09-27,LONG,SL,-1.6,4,T3,44.3,6.3,1.1149700000000002,1.1148440000000002,1.11623,2024-09-27,2024-09-27 09:50:00
2024-09-30,SHORT,SL,-1.3,4,T1,6.0,4.8,1.1170900000000001,1.1171860000000002,1.11613,2024-09-30,2024-09-30 10:50:00
2024-10-01,LONG,SL,-1.2,4,T3,39.1,4.7,1.11234,1.112246,1.11328,2024-10-01,2024-10-01 10:10:00
2024-10-03,LONG,TP,8.1,3,T3,41.9,4.2,1.1021599999999998,1.1020759999999998,1.103,2024-10-03,2024-10-03 17:05:00
2024-10-04,LONG,SL,-1.4,5,T2,24.2,5.4,1.10162,1.101512,1.1027,2024-10-04,2024-10-04 15:35:00
2024-10-10,LONG,TP,10.5,6,T3,42.6,5.4,1.09216,1.092052,1.09324,2024-10-10,2024-10-10 15:35:00
2024-10-16,LONG,SL,-1.7,4,T2,22.8,7.2,1.0866300000000004,1.0864860000000005,1.08807,2024-10-16,2024-10-16 20:10:00
2024-10-23,LONG,SL,-1.4,5,T2,26.0,5.7,1.0775400000000002,1.0774260000000002,1.07868,2024-10-23,2024-10-23 14:45:00
2024-10-28,SHORT,SL,-1.2,5,T1,13.4,4.6,1.0812600000000003,1.0813520000000003,1.08034,2024-10-28,2024-10-28 11:20:00
2024-10-29,SHORT,TP,9.1,6,T3,31.6,4.7,1.0826099999999999,1.0827039999999999,1.08167,2024-10-29,2024-10-29 12:50:00
2024-10-30,SHORT,SL,-1.6,6,T1,10.9,6.5,1.0838400000000001,1.08397,1.08254,2024-10-30,2024-10-30 11:20:00
2024-10-31,SHORT,TP,9.1,4,T3,42.5,4.7,1.08635,1.086444,1.08541,2024-10-31,2024-10-31 11:05:00
2024-11-01,LONG,SL,-1.8,10,T3,37.2,7.5,1.08455,1.0843999999999998,1.08605,2024-11-01,2024-11-01 20:35:00
2024-11-04,SHORT,SL,-1.2,4,T1,10.9,4.6,1.0903000000000003,1.0903920000000002,1.08938,2024-11-04,2024-11-04 13:05:00
2024-11-11,LONG,SL,-1.4,4,T1,19.2,5.7,1.07007,1.0699560000000001,1.07121,2024-11-11,2024-11-11 09:35:00
2024-11-15,LONG,TP,8.5,3,T2,29.4,4.4,1.05272,1.052632,1.0536,2024-11-15,2024-11-15 16:40:00
2024-11-20,LONG,SL,-1.2,3,T1,12.2,4.3,1.0575200000000002,1.0574340000000002,1.05838,2024-11-20,2024-11-20 10:05:00
2024-11-25,SHORT,SL,-1.7,3,T1,13.8,7.2,1.0500500000000001,1.050194,1.04861,2024-11-25,2024-11-25 15:15:00
2024-11-26,SHORT,SL,-1.3,4,T3,43.1,4.8,1.04906,1.0491560000000002,1.0481,2024-11-26,2024-11-26 10:55:00
2024-11-29,SHORT,TP,9.1,4,T2,29.4,4.7,1.0594599999999998,1.0595539999999999,1.05852,2024-11-29,2024-11-29 09:35:00
2024-12-04,SHORT,TP,13.9,3,T3,38.0,7.1,1.05393,1.0540720000000001,1.05251,2024-12-04,2024-12-04 17:30:00
2024-12-05,SHORT,SL,-1.7,4,T3,31.6,6.9,1.0548000000000002,1.0549380000000002,1.05342,2024-12-05,2024-12-05 15:30:00
2024-12-10,LONG,SL,-1.6,5,T2,20.1,6.5,1.0529199999999999,1.05279,1.05422,2024-12-10,2024-12-10 11:25:00
2024-12-11,LONG,TP,23.7,4,T3,41.1,12.0,1.0489399999999998,1.0486999999999997,1.05134,2024-12-11,2024-12-11 14:15:00
2024-12-17,SHORT,TP,9.1,3,T3,43.6,4.7,1.05124,1.051334,1.0503,2024-12-17,2024-12-17 19:10:00
2024-12-18,LONG,SL,-1.3,4,T3,38.5,5.0,1.04845,1.0483500000000001,1.04945,2024-12-18,2024-12-18 15:25:00
2024-12-23,LONG,SL,-1.1,3,T1,7.0,4.2,1.0425500000000003,1.0424660000000003,1.04339,2024-12-23,2024-12-23 09:45:00
2024-12-27,SHORT,SL,-2.4,4,T2,20.4,10.5,1.04377,1.0439800000000001,1.04167,2024-12-27,2024-12-27 14:00:00
2024-12-30,LONG,SL,-1.3,5,T1,6.0,5.2,1.0413400000000004,1.0412360000000005,1.04238,2024-12-30,2024-12-30 11:00:00
2025-01-02,LONG,TP,14.3,4,T1,13.9,7.3,1.0348200000000003,1.0346740000000003,1.03628,2025-01-02,2025-01-02 10:55:00
2025-01-06,SHORT,SL,-1.4,4,T1,9.8,5.6,1.0336000000000003,1.0337120000000004,1.03248,2025-01-06,2025-01-06 10:15:00
2025-01-08,LONG,SL,-1.9,4,T3,44.8,7.8,1.0328,1.032644,1.03436,2025-01-08,2025-01-08 10:10:00
2025-01-13,SHORT,TP,8.9,3,T3,33.0,4.6,1.0231000000000003,1.0231920000000003,1.02218,2025-01-13,2025-01-13 10:25:00
2025-01-14,SHORT,TP,13.3,3,T2,27.2,6.8,1.02662,1.026756,1.02526,2025-01-14,2025-01-14 09:40:00
2025-01-16,LONG,TP,9.5,5,T2,27.5,4.9,1.0282899999999997,1.0281919999999998,1.02927,2025-01-16,2025-01-16 09:05:00
2025-01-17,LONG,SL,-1.3,4,T2,24.2,5.1,1.02737,1.0272679999999998,1.02839,2025-01-17,2025-01-17 16:15:00
2025-01-20,SHORT,SL,-1.8,3,T1,16.1,7.3,1.0326699999999998,1.0328159999999997,1.03121,2025-01-20,2025-01-20 15:35:00
2025-01-23,LONG,TP,9.5,4,T3,41.6,4.9,1.0386500000000003,1.0385520000000004,1.03963,2025-01-23,2025-01-23 18:15:00
2025-01-30,SHORT,SL,-1.5,4,T1,18.1,5.8,1.0432000000000001,1.0433160000000001,1.04204,2025-01-30,2025-01-30 15:55:00
2025-02-03,LONG,SL,-1.9,4,T3,31.0,7.9,1.0219799999999999,1.0218219999999998,1.02356,2025-02-03,2025-02-03 10:05:00
2025-02-06,LONG,SL,-1.2,3,T2,26.7,4.3,1.0378900000000002,1.0378040000000002,1.03875,2025-02-06,2025-02-06 10:00:00
2025-02-07,SHORT,SL,-1.6,10,T3,31.7,6.7,1.0389,1.039034,1.03756,2025-02-07,2025-02-07 10:00:00
2025-02-17,LONG,SL,-1.3,4,T1,18.7,5.2,1.0478699999999999,1.0477659999999998,1.04891,2025-02-17,2025-02-17 10:05:00
2025-02-24,LONG,TP,9.5,3,T1,15.6,4.9,1.0501700000000003,1.0500720000000003,1.05115,2025-02-24,2025-02-24 09:00:00
2025-03-07,SHORT,SL,-1.3,3,T3,33.1,5.2,1.0826499999999997,1.0827539999999996,1.08161,2025-03-07,2025-03-07 09:05:00
2025-03-10,LONG,SL,-1.4,5,T2,25.5,5.6,1.0824000000000003,1.0822880000000004,1.08352,2025-03-10,2025-03-10 10:50:00
2025-03-13,LONG,TP,11.9,3,T3,37.0,6.1,1.08706,1.086938,1.08828,2025-03-13,2025-03-13 10:10:00
2025-03-18,SHORT,SL,-1.3,4,T3,41.8,4.9,1.0921900000000002,1.0922880000000001,1.09121,2025-03-18,2025-03-18 10:30:00
2025-03-19,LONG,SL,-1.6,4,T3,33.1,6.5,1.0907700000000005,1.0906400000000005,1.09207,2025-03-19,2025-03-19 10:15:00
2025-03-24,LONG,SL,-1.1,3,T1,15.1,4.2,1.0810299999999997,1.0809459999999997,1.0818699999999999,2025-03-24,2025-03-24 16:50:00
2025-03-26,LONG,SL,-1.3,5,T2,27.5,5.1,1.0775,1.0773979999999999,1.07852,2025-03-26,2025-03-26 16:20:00
2025-03-31,LONG,SL,-2.0,4,T1,16.7,8.4,1.08092,1.0807520000000002,1.0826,2025-03-31,2025-03-31 13:15:00
2025-04-01,LONG,SL,-1.3,3,T3,40.2,5.0,1.0810099999999996,1.0809099999999996,1.08201,2025-04-01,2025-04-01 09:00:00
2025-04-14,LONG,SL,-3.1,3,T3,43.5,14.2,1.13267,1.1323860000000001,1.13551,2025-04-14,2025-04-14 16:05:00
2025-04-28,LONG,TP,22.5,4,T2,29.1,11.4,1.1329700000000003,1.1327420000000004,1.13525,2025-04-28,2025-04-28 10:30:00
2025-05-02,LONG,SL,-1.3,3,T3,38.5,4.8,1.12953,1.1294339999999998,1.13049,2025-05-02,2025-05-02 21:45:00
2025-05-05,SHORT,SL,-1.3,3,T1,18.4,5.1,1.1352899999999995,1.1353919999999995,1.13427,2025-05-05,2025-05-05 14:15:00
2025-05-12,LONG,TP,8.1,3,T1,12.9,4.2,1.1215699999999997,1.1214859999999998,1.12241,2025-05-12,2025-05-12 08:55:00
2025-05-15,SHORT,SL,-1.3,3,T1,19.1,5.2,1.1207600000000002,1.1208640000000003,1.11972,2025-05-15,2025-05-15 09:25:00
2025-05-19,SHORT,SL,-1.3,3,T1,15.9,5.2,1.1194000000000002,1.1195040000000003,1.11836,2025-05-19,2025-05-19 09:15:00
2025-05-23,LONG,TP,11.7,3,T3,35.9,6.0,1.1302899999999996,1.1301699999999995,1.1314899999999999,2025-05-23,2025-05-23 14:55:00
2025-06-02,SHORT,SL,-1.4,4,T1,19.2,5.4,1.1398899999999998,1.1399979999999998,1.1388099999999999,2025-06-02,2025-06-02 09:40:00
2025-06-06,LONG,SL,-1.2,3,T3,30.4,4.7,1.14223,1.142136,1.14317,2025-06-06,2025-06-06 11:10:00
2025-06-09,LONG,TP,9.9,5,T1,14.2,5.1,1.14121,1.141108,1.14223,2025-06-09,2025-06-09 08:55:00
2025-06-10,SHORT,SL,-2.0,3,T3,31.1,8.7,1.1429899999999997,1.1431639999999996,1.1412499999999999,2025-06-10,2025-06-10 14:20:00
2025-06-16,SHORT,SL,-1.2,3,T1,13.5,4.5,1.1549200000000002,1.15501,1.15402,2025-06-16,2025-06-16 08:20:00
2025-06-23,SHORT,SL,-1.4,3,T2,21.4,5.4,1.15117,1.151278,1.15009,2025-06-23,2025-06-23 08:55:00
2025-06-30,SHORT,SL,-1.8,4,T2,20.2,7.5,1.1753900000000002,1.1755400000000003,1.17389,2025-06-30,2025-06-30 18:45:00
2025-07-02,LONG,SL,-1.2,3,T3,43.9,4.4,1.17808,1.177992,1.17896,2025-07-02,2025-07-02 09:45:00
2025-07-07,LONG,SL,-1.2,4,T1,11.1,4.7,1.17572,1.175626,1.17666,2025-07-07,2025-07-07 09:35:00
2025-07-10,LONG,SL,-1.5,4,T3,32.8,5.9,1.1722300000000003,1.1721120000000003,1.17341,2025-07-10,2025-07-10 14:15:00
2025-07-15,LONG,SL,-1.3,4,T3,37.9,5.0,1.1667500000000002,1.1666500000000002,1.16775,2025-07-15,2025-07-15 15:05:00
