chain,start,end,duration_d,brd_chg,disp_chg,rb_spread,has_opposing,classification,in_conc,state7,state30,subperiod
Tron,2021-04-09 23:59:59,2021-04-14 23:59:59,6,-0.022,-0.37149,0.02656,True,OFFSETTING_LOCAL_ROTATION,False,ETH_BROADENING,STABLECOIN_PARKING,2020-2021
Tron,2021-05-01 23:59:59,2021-05-06 23:59:59,6,-0.024,0.36867,0.03078,True,OFFSETTING_LOCAL_ROTATION,False,STABLECOIN_PARKING,STABLECOIN_PARKING,2020-2021
Tron,2021-05-07 23:59:59,2021-05-09 23:59:59,3,-0.144,-0.18224,0.01247,False,RANK_BAND_REPRICING,False,STABLECOIN_PARKING,STABLECOIN_PARKING,2020-2021
Tron,2021-05-10 23:59:59,2021-05-14 23:59:59,5,-0.02,-0.1843,0.02244,False,RANK_BAND_REPRICING,False,STABLECOIN_PARKING,STABLECOIN_PARKING,2020-2021
Tron,2021-06-02 23:59:59,2021-06-04 23:59:59,3,-0.002,-0.02649,0.00939,False,GLOBAL_BREADTH_DISPERSION,False,STABLECOIN_PARKING,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2021-06-09 23:59:59,2021-06-12 23:59:59,4,0.0,-0.01114,0.02112,False,RANK_BAND_REPRICING,False,STABLECOIN_PARKING,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2021-06-30 23:59:59,2021-07-03 23:59:59,4,-0.028,0.01102,0.00845,False,GLOBAL_BREADTH_DISPERSION,False,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,2020-2021
Tron,2021-07-04 23:59:59,2021-07-08 23:59:59,5,0.05,0.14163,0.01053,False,RANK_BAND_REPRICING,True,STABLECOIN_PARKING,BTC_CONCENTRATION,2020-2021
Tron,2021-07-25 23:59:59,2021-07-29 23:59:59,5,-0.098,-0.11096,0.00529,False,GLOBAL_BREADTH_DISPERSION,True,BTC_CONCENTRATION,BROAD_RISK_EXPANSION,2020-2021
Tron,2021-08-07 23:59:59,2021-08-11 23:59:59,5,0.042,0.06211,0.00771,False,GLOBAL_BREADTH_DISPERSION,True,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2021-08-19 23:59:59,2021-08-23 23:59:59,5,0.0,-0.34579,0.008,False,GLOBAL_BREADTH_DISPERSION,False,BROAD_RISK_EXPANSION,STABLECOIN_PARKING,2020-2021
Tron,2021-08-26 23:59:59,2021-08-28 23:59:59,3,0.016,0.11279,0.01847,True,OFFSETTING_LOCAL_ROTATION,False,BROAD_RISK_EXPANSION,STABLECOIN_PARKING,2020-2021
Tron,2021-09-02 23:59:59,2021-09-05 23:59:59,4,0.0,-0.03643,0.0174,False,RANK_BAND_REPRICING,False,ETH_BROADENING,BTC_CONCENTRATION,2020-2021
Tron,2021-09-19 23:59:59,2021-09-21 23:59:59,3,-0.168,-0.10322,0.0222,False,RANK_BAND_REPRICING,False,STABLECOIN_PARKING,BTC_CONCENTRATION,2020-2021
Tron,2021-10-03 23:59:59,2021-10-05 23:59:59,3,0.008,-0.01282,0.00685,False,GLOBAL_BREADTH_DISPERSION,False,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2021-10-06 23:59:59,2021-10-08 23:59:59,3,0.216,0.02809,0.0106,False,RANK_BAND_REPRICING,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2020-2021
Tron,2021-10-15 23:59:59,2021-10-18 23:59:59,4,0.042,-0.00701,0.01194,False,RANK_BAND_REPRICING,True,BTC_CONCENTRATION,ETH_BROADENING,2020-2021
Tron,2021-10-20 23:59:59,2021-10-23 23:59:59,4,-0.092,-0.03517,0.01135,False,RANK_BAND_REPRICING,True,BTC_CONCENTRATION,ETH_BROADENING,2020-2021
Tron,2021-10-24 23:59:59,2021-10-29 23:59:59,6,0.062,0.28631,0.00918,False,GLOBAL_BREADTH_DISPERSION,True,MID_CAP_ROTATION,ETH_BROADENING,2020-2021
Tron,2021-11-01 23:59:59,2021-11-18 23:59:59,18,-0.236,0.16609,0.00508,False,GLOBAL_BREADTH_DISPERSION,True,ETH_BROADENING,STABLECOIN_PARKING,2020-2021
Tron,2021-12-26 23:59:59,2022-01-27 23:59:59,6,-0.156,0.01511,0.00653,False,GLOBAL_BREADTH_DISPERSION,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2022
Tron,2022-02-09 23:59:59,2022-02-13 23:59:59,5,0.0,,0.00996,False,TRUE_STALL,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2022
Tron,2022-03-02 23:59:59,2022-03-04 23:59:59,3,-0.136,-0.06561,0.00632,False,GLOBAL_BREADTH_DISPERSION,True,STABLECOIN_PARKING,BROAD_RISK_EXPANSION,2022
Tron,2022-03-15 23:59:59,2022-03-18 23:59:59,4,0.016,0.01381,0.00562,False,GLOBAL_BREADTH_DISPERSION,False,BTC_CONCENTRATION,ETH_BROADENING,2022
Tron,2022-03-19 23:59:59,2022-03-25 23:59:59,7,0.36,0.05879,0.00272,False,GLOBAL_BREADTH_DISPERSION,True,BROAD_RISK_EXPANSION,MID_CAP_ROTATION,2022
Tron,2022-03-29 23:59:59,2022-03-31 23:59:59,3,-0.14,-0.02333,0.00859,False,GLOBAL_BREADTH_DISPERSION,False,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,2022
Tron,2022-04-03 23:59:59,2022-04-05 23:59:59,3,-0.014,-0.01603,0.01754,False,RANK_BAND_REPRICING,False,MID_CAP_ROTATION,MIXED_NO_CLEAR_ROUTE,2022
Tron,2022-04-21 23:59:59,2022-04-26 23:59:59,6,-0.314,-0.0059,0.00871,False,GLOBAL_BREADTH_DISPERSION,False,MIXED_NO_CLEAR_ROUTE,CAPITAL_EXIT,2022
Tron,2022-06-25 23:59:59,2022-06-27 23:59:59,3,-0.044,-0.04086,0.01234,False,RANK_BAND_REPRICING,False,CAPITAL_EXIT,MIXED_NO_CLEAR_ROUTE,2022
Tron,2022-07-09 23:59:59,2022-07-15 23:59:59,7,0.336,0.09328,0.00494,False,GLOBAL_BREADTH_DISPERSION,False,MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,2022
Tron,2022-07-19 23:59:59,2022-07-24 23:59:59,6,-0.21,-0.11646,0.00622,False,GLOBAL_BREADTH_DISPERSION,False,ETH_BROADENING,ETH_BROADENING,2022
Tron,2022-07-31 23:59:59,2022-08-06 23:59:59,7,-0.04,-0.07846,0.0033,False,GLOBAL_BREADTH_DISPERSION,False,BROAD_RISK_EXPANSION,NARROW_LEADERSHIP,2022
Tron,2022-09-11 23:59:59,2022-09-15 23:59:59,5,-0.004,-0.05627,0.00694,False,GLOBAL_BREADTH_DISPERSION,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2022
Tron,2022-10-29 23:59:59,2022-11-01 23:59:59,4,0.05,-0.00445,0.00678,False,GLOBAL_BREADTH_DISPERSION,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2022
Tron,2022-12-02 23:59:59,2022-12-04 23:59:59,3,-0.058,-0.01617,0.00168,False,GLOBAL_BREADTH_DISPERSION,False,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2022
Tron,2022-12-05 23:59:59,2022-12-07 23:59:59,3,-0.002,-0.00624,0.00704,False,TRUE_STALL,False,BTC_CONCENTRATION,BTC_CONCENTRATION,2022
Tron,2022-12-08 23:59:59,2022-12-10 23:59:59,3,0.14,-0.00294,0.0039,False,GLOBAL_BREADTH_DISPERSION,False,BTC_CONCENTRATION,BTC_CONCENTRATION,2022
Tron,2022-12-12 23:59:59,2022-12-15 23:59:59,4,-0.078,9e-05,0.00678,False,GLOBAL_BREADTH_DISPERSION,True,BTC_CONCENTRATION,BTC_CONCENTRATION,2022
Tron,2023-01-12 23:59:59,2023-01-27 23:59:59,16,0.504,0.28586,0.00692,False,GLOBAL_BREADTH_DISPERSION,True,LARGE_ALT_ROTATION,MID_CAP_ROTATION,2023
Tron,2023-01-28 23:59:59,2023-02-05 23:59:59,9,-0.004,0.18915,0.00439,False,GLOBAL_BREADTH_DISPERSION,False,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,2023
Tron,2023-02-17 23:59:59,2023-02-24 23:59:59,8,-0.198,0.01921,0.00282,False,GLOBAL_BREADTH_DISPERSION,False,MID_CAP_ROTATION,BTC_CONCENTRATION,2023
Tron,2023-03-17 23:59:59,2023-03-20 23:59:59,4,-0.102,-0.07646,0.00805,False,GLOBAL_BREADTH_DISPERSION,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2023
Tron,2023-03-22 23:59:59,2023-03-24 23:59:59,3,0.01,-0.00656,0.01364,False,RANK_BAND_REPRICING,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2023
Tron,2023-03-31 23:59:59,2023-04-05 23:59:59,6,0.294,0.01313,0.00336,False,GLOBAL_BREADTH_DISPERSION,True,BTC_CONCENTRATION,BTC_CONCENTRATION,2023
Tron,2023-04-06 23:59:59,2023-04-08 23:59:59,3,0.218,0.0646,0.00473,False,GLOBAL_BREADTH_DISPERSION,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2023
Tron,2023-04-11 23:59:59,2023-04-19 23:59:59,9,-0.272,-0.03961,0.00517,False,GLOBAL_BREADTH_DISPERSION,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2023
Tron,2023-04-30 23:59:59,2023-05-02 23:59:59,3,-0.02,-0.00109,0.00516,False,GLOBAL_BREADTH_DISPERSION,True,MIXED_NO_CLEAR_ROUTE,NARROW_LEADERSHIP,2023
Tron,2023-05-17 23:59:59,2023-05-20 23:59:59,4,0.048,-0.0055,0.00279,False,GLOBAL_BREADTH_DISPERSION,False,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,2023
Tron,2023-05-28 23:59:59,2023-06-01 23:59:59,4,0.002,-0.04767,0.0034,False,GLOBAL_BREADTH_DISPERSION,False,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,2023
Tron,2023-06-20 23:59:59,2023-06-28 23:59:59,8,-0.026,0.02184,0.00602,False,GLOBAL_BREADTH_DISPERSION,True,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2023
Tron,2023-07-02 23:59:59,2023-07-04 23:59:59,3,0.036,2.04963,0.00712,False,GLOBAL_BREADTH_DISPERSION,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2023
Tron,2023-07-13 23:59:59,2023-07-16 23:59:59,4,-0.056,-0.7757,0.01064,False,RANK_BAND_REPRICING,True,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2023
Tron,2023-07-17 23:59:59,2023-07-20 23:59:59,4,-0.084,-0.23541,0.00412,False,GLOBAL_BREADTH_DISPERSION,False,ETH_BROADENING,MIXED_NO_CLEAR_ROUTE,2023
Tron,2023-08-01 23:59:59,2023-08-05 23:59:59,5,0.024,-0.07352,0.00356,False,GLOBAL_BREADTH_DISPERSION,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2023
Tron,2023-09-08 23:59:59,2023-09-10 23:59:59,3,-0.02,-0.01344,0.00794,False,GLOBAL_BREADTH_DISPERSION,False,BTC_CONCENTRATION,BTC_CONCENTRATION,2023
Tron,2023-10-06 23:59:59,2023-10-10 23:59:59,5,-0.062,0.17068,0.00494,False,GLOBAL_BREADTH_DISPERSION,True,BTC_CONCENTRATION,LARGE_ALT_ROTATION,2023
Tron,2023-10-25 23:59:59,2023-10-30 23:59:59,6,0.826,,0.00421,False,GLOBAL_BREADTH_DISPERSION,True,BTC_CONCENTRATION,BROAD_RISK_EXPANSION,2023
Tron,2023-11-03 23:59:59,2023-11-17 23:59:59,13,0.016,1.06503,0.00506,False,GLOBAL_BREADTH_DISPERSION,True,BROAD_RISK_EXPANSION,BTC_CONCENTRATION,2023
Tron,2023-11-25 23:59:59,2023-11-27 23:59:59,3,-0.05,-0.01678,0.00938,False,GLOBAL_BREADTH_DISPERSION,False,MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,2023
Tron,2023-12-05 23:59:59,2023-12-10 23:59:59,5,-0.796,,0.00831,False,GLOBAL_BREADTH_DISPERSION,True,BTC_CONCENTRATION,NARROW_LEADERSHIP,2023
Tron,2023-12-15 23:59:59,2023-12-17 23:59:59,3,0.07,-0.00209,0.00921,False,GLOBAL_BREADTH_DISPERSION,True,LARGE_ALT_ROTATION,NARROW_LEADERSHIP,2023
Tron,2023-12-20 23:59:59,2023-12-27 23:59:59,8,0.12,0.00741,0.00704,False,GLOBAL_BREADTH_DISPERSION,True,NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE,2023
Tron,2024-01-29 23:59:59,2024-02-04 23:59:59,7,-0.052,-0.01782,0.00626,False,GLOBAL_BREADTH_DISPERSION,True,BTC_CONCENTRATION,BTC_CONCENTRATION,2024
Tron,2024-02-09 23:59:59,2024-02-21 23:59:59,13,0.488,0.13492,0.00492,False,GLOBAL_BREADTH_DISPERSION,True,BTC_CONCENTRATION,BTC_CONCENTRATION,2024
Tron,2024-02-28 23:59:59,2024-03-05 23:59:59,7,0.018,0.20135,0.01823,True,OFFSETTING_LOCAL_ROTATION,True,MID_CAP_ROTATION,BTC_CONCENTRATION,2024
Tron,2024-03-10 23:59:59,2024-03-16 23:59:59,7,-0.09,-0.23985,0.01704,False,RANK_BAND_REPRICING,False,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2024
Tron,2024-03-27 23:59:59,2024-04-01 23:59:59,6,-0.206,-0.13807,0.00981,False,GLOBAL_BREADTH_DISPERSION,True,BTC_CONCENTRATION,STABLECOIN_PARKING,2024
Tron,2024-05-06 23:59:59,2024-05-10 23:59:59,4,0.002,0.01564,0.00548,False,GLOBAL_BREADTH_DISPERSION,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2024
Tron,2024-05-17 23:59:59,2024-05-29 23:59:59,13,-0.072,0.00097,0.00302,False,GLOBAL_BREADTH_DISPERSION,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2024
Tron,2024-07-14 23:59:59,2024-07-24 23:59:59,11,0.264,0.02694,0.00385,False,GLOBAL_BREADTH_DISPERSION,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2024
Tron,2024-08-12 23:59:59,2024-08-16 23:59:59,4,-0.11,-0.00641,0.01105,False,RANK_BAND_REPRICING,True,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2024
Tron,2024-09-13 23:59:59,2024-09-18 23:59:59,6,-0.05,-0.00757,0.00339,False,GLOBAL_BREADTH_DISPERSION,True,LARGE_ALT_ROTATION,BTC_CONCENTRATION,2024
Tron,2024-09-19 23:59:59,2024-09-26 23:59:59,8,0.224,0.01169,0.00883,False,GLOBAL_BREADTH_DISPERSION,True,LARGE_ALT_ROTATION,BTC_CONCENTRATION,2024
Tron,2024-11-12 23:59:59,2024-11-14 23:59:59,3,-0.224,0.09175,0.04743,False,RANK_BAND_REPRICING,True,MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,2024
Tron,2024-11-21 23:59:59,2024-11-27 23:59:59,7,0.164,0.04477,0.01747,False,RANK_BAND_REPRICING,True,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,2024
Tron,2024-11-29 23:59:59,2024-12-01 23:59:59,3,-0.054,0.12698,0.01387,False,RANK_BAND_REPRICING,False,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,2024
Tron,2024-12-04 23:59:59,2024-12-08 23:59:59,5,-0.006,0.14185,0.00904,False,GLOBAL_BREADTH_DISPERSION,False,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,2024
Tron,2024-12-09 23:59:59,2024-12-11 23:59:59,3,-0.026,-0.2284,0.03435,False,RANK_BAND_REPRICING,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2024
Tron,2024-12-28 23:59:59,2024-12-30 23:59:59,3,-0.116,-0.02244,0.0076,False,GLOBAL_BREADTH_DISPERSION,False,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2024
Tron,2025-01-06 23:59:59,2025-01-08 23:59:59,3,0.012,-0.09435,0.02831,False,RANK_BAND_REPRICING,True,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,2025-2026
Tron,2025-02-12 23:59:59,2025-02-15 23:59:59,4,-0.016,0.09845,0.00641,False,GLOBAL_BREADTH_DISPERSION,True,MIXED_NO_CLEAR_ROUTE,STABLECOIN_PARKING,2025-2026
Tron,2025-02-16 23:59:59,2025-02-18 23:59:59,3,0.066,0.10152,0.00511,False,GLOBAL_BREADTH_DISPERSION,False,STABLECOIN_PARKING,STABLECOIN_PARKING,2025-2026
Tron,2025-03-19 23:59:59,2025-03-21 23:59:59,3,0.02,0.05277,0.01484,True,RANK_BAND_REPRICING,False,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2025-2026
Tron,2025-03-23 23:59:59,2025-03-27 23:59:59,5,0.088,0.04762,0.00656,False,GLOBAL_BREADTH_DISPERSION,False,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,2025-2026
Tron,2025-04-24 23:59:59,2025-05-01 23:59:59,8,0.382,0.04759,0.0027,False,GLOBAL_BREADTH_DISPERSION,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2025-2026
Tron,2025-05-09 23:59:59,2025-05-16 23:59:59,8,-0.044,-0.00129,0.01163,True,RANK_BAND_REPRICING,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2025-2026
Tron,2025-06-11 23:59:59,2025-06-14 23:59:59,4,0.006,-0.01048,0.02076,False,RANK_BAND_REPRICING,True,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2025-2026
Tron,2025-07-02 23:59:59,2025-07-05 23:59:59,4,0.064,0.00739,0.00537,False,GLOBAL_BREADTH_DISPERSION,True,BTC_CONCENTRATION,BROAD_RISK_EXPANSION,2025-2026
Tron,2025-07-12 23:59:59,2025-07-25 23:59:59,14,0.25,0.14381,0.00478,False,GLOBAL_BREADTH_DISPERSION,True,ETH_BROADENING,NARROW_LEADERSHIP,2025-2026
Tron,2025-08-09 23:59:59,2025-08-14 23:59:59,6,-0.3,-0.02998,0.0139,True,RANK_BAND_REPRICING,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2025-2026
Tron,2025-09-10 23:59:59,2025-09-19 23:59:59,10,0.018,0.0479,0.00716,False,GLOBAL_BREADTH_DISPERSION,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2025-2026
Tron,2025-10-03 23:59:59,2025-10-09 23:59:59,7,-0.182,-0.07718,0.00364,False,GLOBAL_BREADTH_DISPERSION,True,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2025-2026
Tron,2025-12-12 23:59:59,2025-12-14 23:59:59,3,0.062,0.08375,0.00753,False,GLOBAL_BREADTH_DISPERSION,False,BTC_CONCENTRATION,BTC_CONCENTRATION,2025-2026
Tron,2025-12-26 23:59:59,2025-12-29 23:59:59,4,-0.01,-0.16007,0.00765,False,GLOBAL_BREADTH_DISPERSION,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2025-2026
Tron,2026-01-02 23:59:59,2026-01-08 23:59:59,7,0.096,-0.02556,0.00631,False,GLOBAL_BREADTH_DISPERSION,False,BTC_CONCENTRATION,CAPITAL_EXIT,2025-2026
Tron,2026-04-15 23:59:59,2026-04-22 23:59:59,8,0.236,-1.46395,0.00329,False,GLOBAL_BREADTH_DISPERSION,True,BTC_CONCENTRATION,LARGE_ALT_ROTATION,2025-2026
Tron,2026-05-06 23:59:59,2026-05-13 23:59:59,8,-0.13,-0.24852,0.00306,False,GLOBAL_BREADTH_DISPERSION,True,BTC_CONCENTRATION,NARROW_LEADERSHIP,2025-2026
Tron,2026-06-14 23:59:59,2026-06-18 23:59:59,5,-0.004,-0.1494,0.00514,False,GLOBAL_BREADTH_DISPERSION,False,LARGE_ALT_ROTATION,BTC_CONCENTRATION,2025-2026
Tron,2026-08-21 23:59:59,2026-08-23 23:59:59,3,0.022,0.01265,0.01903,False,RANK_BAND_REPRICING,True,,,2025-2026
Ethereum,2020-06-09 23:59:59,2020-06-11 23:59:59,3,0.0,,0.00925,False,TRUE_STALL,False,MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,2020-2021
Ethereum,2020-06-13 23:59:59,2020-06-15 23:59:59,3,0.0,,0.00573,False,TRUE_STALL,False,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,2020-2021
Ethereum,2020-06-18 23:59:59,2020-06-21 23:59:59,4,0.0,,0.00342,False,TRUE_STALL,False,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,2020-2021
Ethereum,2020-06-24 23:59:59,2020-08-03 23:59:59,41,0.682,,0.00738,False,GLOBAL_BREADTH_DISPERSION,False,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,2020-2021
Ethereum,2020-08-04 23:59:59,2020-08-26 23:59:59,23,-0.042,0.32597,0.00593,False,GLOBAL_BREADTH_DISPERSION,False,ETH_BROADENING,MIXED_NO_CLEAR_ROUTE,2020-2021
Ethereum,2020-08-27 23:59:59,2020-09-07 23:59:59,12,-0.33,-0.32687,0.01239,False,RANK_BAND_REPRICING,False,NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE,2020-2021
Ethereum,2020-09-15 23:59:59,2020-09-17 23:59:59,3,-0.018,-0.07875,0.0171,False,RANK_BAND_REPRICING,False,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,2020-2021
Ethereum,2020-09-20 23:59:59,2020-09-22 23:59:59,3,-0.05,-0.04835,0.01467,False,RANK_BAND_REPRICING,False,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,2020-2021
Ethereum,2020-09-23 23:59:59,2020-10-04 23:59:59,12,0.066,0.01715,0.0066,False,GLOBAL_BREADTH_DISPERSION,True,BTC_CONCENTRATION,BTC_CONCENTRATION,2020-2021
Ethereum,2020-10-14 23:59:59,2020-10-17 23:59:59,4,0.012,0.06772,0.01151,False,RANK_BAND_REPRICING,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,2020-2021
Ethereum,2020-11-26 23:59:59,2020-11-28 23:59:59,3,-0.558,,0.01342,False,RANK_BAND_REPRICING,True,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,2020-2021
Ethereum,2020-12-04 23:59:59,2020-12-10 23:59:59,7,0.0,,0.01132,False,RANK_BAND_REPRICING,False,BTC_CONCENTRATION,BTC_CONCENTRATION,2020-2021
