event_id,exit_date,route1,route2,route3,state_sequence,propagation_depth,alt_or_broad_weight,subperiod
EXIT_082,2025-01-07 23:59:59,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,STABLECOIN_PARKING,MIXED_NO_CLEAR_ROUTE -> BTC_CONCENTRATION -> STABLECOIN_PARKING,0,0,2025-2026
EXIT_083,2025-01-20 23:59:59,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,STABLECOIN_PARKING,MIXED_NO_CLEAR_ROUTE -> MIXED_NO_CLEAR_ROUTE -> STABLECOIN_PARKING,0,0,2025-2026
EXIT_084,2025-01-26 23:59:59,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,STABLECOIN_PARKING,MIXED_NO_CLEAR_ROUTE -> BTC_CONCENTRATION -> STABLECOIN_PARKING -> NARROW_LEADERSHIP,0,0,2025-2026
EXIT_085,2025-01-29 23:59:59,BTC_CONCENTRATION,BTC_CONCENTRATION,STABLECOIN_PARKING,BTC_CONCENTRATION -> BTC_CONCENTRATION -> STABLECOIN_PARKING -> NARROW_LEADERSHIP,0,0,2025-2026
EXIT_086,2025-02-04 23:59:59,BTC_CONCENTRATION,BTC_CONCENTRATION,STABLECOIN_PARKING,BTC_CONCENTRATION -> BTC_CONCENTRATION -> STABLECOIN_PARKING -> NARROW_LEADERSHIP,0,0,2025-2026
EXIT_087,2025-02-14 23:59:59,MIXED_NO_CLEAR_ROUTE,STABLECOIN_PARKING,NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE -> STABLECOIN_PARKING -> NARROW_LEADERSHIP,0,0,2025-2026
EXIT_088,2025-03-29 23:59:59,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE -> BTC_CONCENTRATION -> BROAD_RISK_EXPANSION -> ETH_BROADENING,2,1,2025-2026
EXIT_089,2025-04-13 23:59:59,BTC_CONCENTRATION,BTC_CONCENTRATION,BROAD_RISK_EXPANSION,BTC_CONCENTRATION -> BTC_CONCENTRATION -> BROAD_RISK_EXPANSION -> ETH_BROADENING,2,1,2025-2026
EXIT_090,2025-04-15 23:59:59,BTC_CONCENTRATION,BROAD_RISK_EXPANSION,ETH_BROADENING,BTC_CONCENTRATION -> BROAD_RISK_EXPANSION -> ETH_BROADENING -> MID_CAP_ROTATION,3,1,2025-2026
EXIT_091,2025-04-18 23:59:59,BTC_CONCENTRATION,BROAD_RISK_EXPANSION,ETH_BROADENING,BTC_CONCENTRATION -> BROAD_RISK_EXPANSION -> ETH_BROADENING -> MID_CAP_ROTATION,3,1,2025-2026
EXIT_092,2025-04-20 23:59:59,BTC_CONCENTRATION,BROAD_RISK_EXPANSION,ETH_BROADENING,BTC_CONCENTRATION -> BROAD_RISK_EXPANSION -> ETH_BROADENING -> MID_CAP_ROTATION,3,1,2025-2026
EXIT_093,2025-04-27 23:59:59,BTC_CONCENTRATION,BROAD_RISK_EXPANSION,ETH_BROADENING,BTC_CONCENTRATION -> BROAD_RISK_EXPANSION -> ETH_BROADENING -> MID_CAP_ROTATION,3,1,2025-2026
EXIT_094,2025-05-09 23:59:59,BROAD_RISK_EXPANSION,ETH_BROADENING,MID_CAP_ROTATION,BROAD_RISK_EXPANSION -> ETH_BROADENING -> MID_CAP_ROTATION -> MIXED_NO_CLEAR_ROUTE,3,1,2025-2026
EXIT_095,2025-05-27 23:59:59,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,ETH_BROADENING,MIXED_NO_CLEAR_ROUTE -> BTC_CONCENTRATION -> ETH_BROADENING -> BROAD_RISK_EXPANSION,2,1,2025-2026
EXIT_096,2025-06-04 23:59:59,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,BTC_CONCENTRATION -> MIXED_NO_CLEAR_ROUTE -> ETH_BROADENING -> BROAD_RISK_EXPANSION,2,1,2025-2026
EXIT_097,2025-06-06 23:59:59,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,BTC_CONCENTRATION -> MIXED_NO_CLEAR_ROUTE -> ETH_BROADENING -> BROAD_RISK_EXPANSION,2,1,2025-2026
EXIT_098,2025-06-15 23:59:59,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,ETH_BROADENING,MIXED_NO_CLEAR_ROUTE -> BTC_CONCENTRATION -> ETH_BROADENING -> BROAD_RISK_EXPANSION,2,1,2025-2026
EXIT_099,2025-06-17 23:59:59,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,ETH_BROADENING,MIXED_NO_CLEAR_ROUTE -> BTC_CONCENTRATION -> ETH_BROADENING -> BROAD_RISK_EXPANSION,2,1,2025-2026
EXIT_100,2025-07-02 23:59:59,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,BTC_CONCENTRATION -> MIXED_NO_CLEAR_ROUTE -> ETH_BROADENING -> BROAD_RISK_EXPANSION,2,1,2025-2026
EXIT_101,2025-07-13 23:59:59,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,NARROW_LEADERSHIP,BROAD_RISK_EXPANSION -> BROAD_RISK_EXPANSION -> NARROW_LEADERSHIP -> MIXED_NO_CLEAR_ROUTE,2,1,2025-2026
