chain,end,max_rb_move,disp_chg,brd_chg,moves_cancel
Ethereum,2023-12-31 23:59:59,,-0.11276,-0.014,False
Ethereum,2024-01-09 23:59:59,,0.15624,-0.092,False
Ethereum,2024-03-17 23:59:59,,0.49665,0.502,False
Ethereum,2024-04-03 23:59:59,,-0.18025,-0.358,False
Ethereum,2024-04-14 23:59:59,,0.02636,-0.112,False
Ethereum,2024-04-30 23:59:59,,-0.41775,-0.12,False
Ethereum,2024-05-12 23:59:59,,0.02002,0.068,False
Ethereum,2024-05-31 23:59:59,,0.08954,0.288,False
Ethereum,2024-06-04 23:59:59,,-0.0317,-0.088,False
Ethereum,2024-07-26 23:59:59,,0.0188,0.312,False
Ethereum,2024-08-22 23:59:59,,-0.01895,0.076,False
Ethereum,2024-09-18 23:59:59,,-0.00043,-0.002,False
Ethereum,2024-10-16 23:59:59,,0.05258,0.172,False
Ethereum,2024-10-21 23:59:59,,-0.04827,-0.176,False
Ethereum,2024-11-10 23:59:59,,0.02039,0.044,False
Ethereum,2024-11-14 23:59:59,,0.09036,-0.262,False
Ethereum,2024-11-25 23:59:59,,0.01198,0.076,False
Ethereum,2024-12-13 23:59:59,,-0.81932,0.01,False
Ethereum,2025-01-10 23:59:59,,-0.15528,-0.048,False
Ethereum,2025-01-29 23:59:59,,-0.09429,0.008,False
Ethereum,2025-02-18 23:59:59,,0.09984,0.05,False
Ethereum,2025-02-21 23:59:59,,-0.05962,-0.022,False
Ethereum,2025-03-31 23:59:59,,0.00943,0.038,False
Ethereum,2025-04-27 23:59:59,,0.0424,0.082,False
Ethereum,2025-05-04 23:59:59,,0.00274,0.08,False
Ethereum,2025-05-08 23:59:59,,0.1471,0.25,False
Ethereum,2025-05-16 23:59:59,,-0.04294,-0.018,False
Ethereum,2025-05-19 23:59:59,,0.03519,-0.006,False
Ethereum,2025-05-25 23:59:59,,0.02066,-0.08,False
Ethereum,2025-05-30 23:59:59,,0.01487,-0.364,False
Ethereum,2025-06-16 23:59:59,,-0.01426,0.076,False
Ethereum,2025-07-03 23:59:59,,-0.01189,0.002,False
Ethereum,2025-07-25 23:59:59,,0.14381,0.25,False
Ethereum,2025-07-30 23:59:59,,-0.06203,-0.01,False
Ethereum,2025-08-03 23:59:59,,-0.01246,-0.134,False
Ethereum,2025-08-12 23:59:59,,-0.02685,-0.118,False
Ethereum,2025-08-16 23:59:59,,-0.02068,-0.03,False
Ethereum,2025-08-28 23:59:59,,-0.00123,0.128,False
Ethereum,2025-09-12 23:59:59,,-0.04408,-0.004,False
Ethereum,2025-09-21 23:59:59,,0.05438,-0.294,False
Ethereum,2025-10-11 23:59:59,,-0.00986,-0.312,False
Ethereum,2025-10-31 23:59:59,,-0.0961,-0.08,False
