chain,start,end,duration_d,imp_share_chg_pre5,imp_share_chg_post3,imp_share_ctrl_med,release_trigger,state_at_end,in_conc_at_end,state_end_plus7,state_end_plus30,fwd7_propagation,subperiod
Tron,2021-10-20 23:59:59,2021-10-23 23:59:59,4,0.6,-0.4,-0.25,imp_share,BTC_CONCENTRATION,True,BTC_CONCENTRATION,ETH_BROADENING,False,2020-2021
Tron,2021-10-24 23:59:59,2021-10-29 23:59:59,6,-0.2,0.0,0.0,imp_share,BTC_CONCENTRATION,True,MID_CAP_ROTATION,ETH_BROADENING,True,2020-2021
Tron,2021-11-01 23:59:59,2021-11-18 23:59:59,18,0.0,-0.2,0.15,vel7,STABLECOIN_PARKING,False,ETH_BROADENING,STABLECOIN_PARKING,True,2020-2021
Tron,2021-12-26 23:59:59,2022-01-27 23:59:59,6,0.0,0.0,0.2,tvl_chg7,STABLECOIN_PARKING,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,False,2022
Tron,2022-02-09 23:59:59,2022-02-13 23:59:59,5,0.0,0.25,0.14286,tvl_chg7,MIXED_NO_CLEAR_ROUTE,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,False,2022
Tron,2022-03-02 23:59:59,2022-03-04 23:59:59,3,0.5,-0.25,0.0,imp_share,BTC_CONCENTRATION,True,STABLECOIN_PARKING,BROAD_RISK_EXPANSION,False,2022
Tron,2022-03-15 23:59:59,2022-03-18 23:59:59,4,-0.75,0.0,0.0,imp_share,MIXED_NO_CLEAR_ROUTE,False,BTC_CONCENTRATION,ETH_BROADENING,False,2022
Tron,2022-03-19 23:59:59,2022-03-25 23:59:59,7,0.2,0.2,0.4,imp_share,BTC_CONCENTRATION,True,BROAD_RISK_EXPANSION,MID_CAP_ROTATION,True,2022
Tron,2022-03-29 23:59:59,2022-03-31 23:59:59,3,-0.2,-0.2,0.0,imp_share,BROAD_RISK_EXPANSION,False,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,True,2022
Tron,2022-04-03 23:59:59,2022-04-05 23:59:59,3,0.0,0.35,-0.4,imp_share,BROAD_RISK_EXPANSION,False,MID_CAP_ROTATION,MIXED_NO_CLEAR_ROUTE,True,2022
Tron,2022-04-21 23:59:59,2022-04-26 23:59:59,6,0.25,-0.5,0.6,imp_share,MIXED_NO_CLEAR_ROUTE,False,MIXED_NO_CLEAR_ROUTE,CAPITAL_EXIT,False,2022
Tron,2022-06-25 23:59:59,2022-06-27 23:59:59,3,0.06667,0.2,0.2,tvl_chg7,CAPITAL_EXIT,False,CAPITAL_EXIT,MIXED_NO_CLEAR_ROUTE,False,2022
Tron,2022-07-09 23:59:59,2022-07-15 23:59:59,7,0.0,0.0,-0.2,imp_share,ETH_BROADENING,False,MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,False,2022
Tron,2022-07-19 23:59:59,2022-07-24 23:59:59,6,0.2,0.6,0.0,imp_share,MIXED_NO_CLEAR_ROUTE,False,ETH_BROADENING,ETH_BROADENING,True,2022
Tron,2022-07-31 23:59:59,2022-08-06 23:59:59,7,0.4,-0.2,0.0,imp_share,BROAD_RISK_EXPANSION,False,BROAD_RISK_EXPANSION,NARROW_LEADERSHIP,True,2022
Tron,2022-09-11 23:59:59,2022-09-15 23:59:59,5,0.0,0.2,-0.07143,imp_share,MIXED_NO_CLEAR_ROUTE,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,False,2022
Tron,2022-10-29 23:59:59,2022-11-01 23:59:59,4,0.0,0.2,0.0,vel7,MIXED_NO_CLEAR_ROUTE,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,False,2022
Tron,2022-12-02 23:59:59,2022-12-04 23:59:59,3,-0.5,0.33333,0.0,imp_share,MIXED_NO_CLEAR_ROUTE,False,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,False,2022
Tron,2022-12-05 23:59:59,2022-12-07 23:59:59,3,0.16667,0.0,0.0,imp_share,MIXED_NO_CLEAR_ROUTE,False,BTC_CONCENTRATION,BTC_CONCENTRATION,False,2022
Tron,2022-12-08 23:59:59,2022-12-10 23:59:59,3,0.33333,-0.16667,0.33333,tvl_chg7,MIXED_NO_CLEAR_ROUTE,False,BTC_CONCENTRATION,BTC_CONCENTRATION,False,2022
Tron,2022-12-12 23:59:59,2022-12-15 23:59:59,4,-0.16667,0.33333,0.0,tvl_chg7,BTC_CONCENTRATION,True,BTC_CONCENTRATION,BTC_CONCENTRATION,False,2022
Tron,2023-01-12 23:59:59,2023-01-27 23:59:59,16,0.5,-0.33333,0.0,imp_share,LARGE_ALT_ROTATION,False,LARGE_ALT_ROTATION,MID_CAP_ROTATION,True,2023
Tron,2023-01-28 23:59:59,2023-02-05 23:59:59,9,0.16667,-0.16667,0.0,tvl_chg7,BROAD_RISK_EXPANSION,False,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,True,2023
Tron,2023-02-17 23:59:59,2023-02-24 23:59:59,8,0.5,0.0,0.0,vel7,BROAD_RISK_EXPANSION,False,MID_CAP_ROTATION,BTC_CONCENTRATION,True,2023
