event_id,exit_date,first_destination,range_compression_ratio,activity_over_displacement,mean_reversion_ac1,adverse_perturb_min_1d,rapid_reclaim_max_1d,choppy_participation,absorption_like_score,stable_outcome,subperiod
EXIT_047,2024-01-31 23:59:59,MIXED_NO_CLEAR_ROUTE,1.4591,0.5827,0.042,-0.04662,0.03832,0.406,0.4212,False,2024
EXIT_048,2024-02-13 23:59:59,BTC_CONCENTRATION,1.2154,0.1112,0.3628,-0.01589,0.03591,0.5117,0.2816,False,2024
EXIT_049,2024-02-25 23:59:59,BTC_CONCENTRATION,1.0278,0.1216,-0.1814,-0.01025,0.04015,0.5436,0.4691,False,2024
EXIT_050,2024-03-02 23:59:59,MID_CAP_ROTATION,1.0329,0.1049,0.0722,-0.01155,0.06634,0.5583,0.4686,True,2024
EXIT_051,2024-03-07 23:59:59,MID_CAP_ROTATION,1.105,0.1147,-0.4703,-0.05058,0.06634,0.5784,0.7939,True,2024
EXIT_052,2024-03-09 23:59:59,MID_CAP_ROTATION,1.1574,0.1007,-0.5699,-0.05058,0.06634,0.6063,0.7881,True,2024
EXIT_053,2024-03-29 23:59:59,BTC_CONCENTRATION,1.5102,8.9372,-0.3093,-0.08228,0.09683,0.4729,0.5833,False,2024
EXIT_054,2024-04-03 23:59:59,BTC_CONCENTRATION,1.541,0.3792,0.0676,-0.05803,0.09683,0.4969,0.4167,False,2024
EXIT_055,2024-04-10 23:59:59,MIXED_NO_CLEAR_ROUTE,1.4629,1.7238,-0.1039,-0.05803,0.03735,0.4609,0.5875,False,2024
EXIT_056,2024-04-19 23:59:59,MIXED_NO_CLEAR_ROUTE,1.3947,0.3382,-0.204,-0.06199,0.04143,0.4287,0.595,False,2024
EXIT_057,2024-04-23 23:59:59,MIXED_NO_CLEAR_ROUTE,1.3896,0.3477,-0.1171,-0.06199,0.04143,0.426,0.5956,False,2024
EXIT_058,2024-05-17 23:59:59,MIXED_NO_CLEAR_ROUTE,1.1359,0.0767,-0.0939,-0.03267,2.15719,0.4516,0.6238,False,2024
EXIT_059,2024-05-20 23:59:59,MIXED_NO_CLEAR_ROUTE,1.0565,0.0777,-0.2114,-0.03267,2.15719,0.3987,0.6326,False,2024
EXIT_060,2024-06-06 23:59:59,MIXED_NO_CLEAR_ROUTE,0.8857,0.2841,0.065,-0.01285,0.02477,0.4684,0.1516,False,2024
EXIT_061,2024-06-12 23:59:59,MIXED_NO_CLEAR_ROUTE,0.8729,0.2626,0.3269,-0.03481,0.02477,0.37,0.3197,False,2024
EXIT_062,2024-07-20 23:59:59,BTC_CONCENTRATION,1.0169,0.1261,-0.1735,-0.04549,0.06479,0.6247,0.637,False,2024
EXIT_063,2024-07-23 23:59:59,BTC_CONCENTRATION,1.0049,0.1027,0.0567,-0.01616,0.06479,0.5874,0.305,False,2024
EXIT_064,2024-08-05 23:59:59,BTC_CONCENTRATION,0.9979,0.135,0.1407,-0.04534,0.03203,0.276,0.4725,False,2024
EXIT_065,2024-08-07 23:59:59,BTC_CONCENTRATION,1.001,0.1441,-0.0091,-0.06884,0.03655,0.2921,0.6388,False,2024
EXIT_066,2024-08-13 23:59:59,MIXED_NO_CLEAR_ROUTE,1.0414,0.4661,-0.1791,-0.06884,0.11326,0.3483,0.6343,False,2024
EXIT_067,2024-09-06 23:59:59,BROAD_RISK_EXPANSION,1.1087,0.2711,-0.159,-0.05136,0.05638,0.3677,0.7935,True,2024
EXIT_068,2024-09-20 23:59:59,BROAD_RISK_EXPANSION,0.8558,0.1627,0.18,-0.03675,0.03399,0.5794,0.6549,True,2024
EXIT_069,2024-10-03 23:59:59,BTC_CONCENTRATION,0.833,9.0567,0.3916,-0.04155,0.03043,0.4929,0.4908,False,2024
EXIT_070,2024-10-24 23:59:59,BTC_CONCENTRATION,0.9059,0.1565,-0.1678,-0.02172,0.04804,0.4664,0.4827,False,2024
EXIT_071,2024-10-27 23:59:59,BTC_CONCENTRATION,0.9463,0.3682,-0.3109,-0.03172,0.04804,0.4247,0.6449,False,2024
EXIT_072,2024-11-03 23:59:59,BTC_CONCENTRATION,0.9603,5.9674,-0.0021,-0.03242,0.0334,0.4041,0.6433,False,2024
EXIT_073,2024-11-06 23:59:59,BTC_CONCENTRATION,0.9447,4.4118,0.0218,-0.03242,0.0334,0.3973,0.4784,False,2024
EXIT_074,2024-11-09 23:59:59,BTC_CONCENTRATION,0.9565,0.1424,0.3328,-0.03242,0.08731,0.4774,0.4771,False,2024
EXIT_075,2024-11-11 23:59:59,BTC_CONCENTRATION,0.9697,0.1264,0.3435,-0.03242,0.08731,0.4879,0.4756,False,2024
EXIT_076,2024-11-15 23:59:59,BTC_CONCENTRATION,1.0227,0.122,0.1562,-0.03163,0.08731,0.4614,0.4697,False,2024
EXIT_077,2024-11-21 23:59:59,BROAD_RISK_EXPANSION,1.1833,0.1043,-0.0999,-0.03163,0.08277,0.4909,0.7852,True,2024
EXIT_078,2024-11-24 23:59:59,BROAD_RISK_EXPANSION,1.2611,0.1011,-0.1322,-0.03163,0.08277,0.4973,0.7765,True,2024
EXIT_079,2024-12-25 23:59:59,MIXED_NO_CLEAR_ROUTE,1.5374,2.2063,0.2388,-0.06135,0.04945,0.4341,0.4167,False,2024
EXIT_080,2025-01-03 23:59:59,MIXED_NO_CLEAR_ROUTE,1.4838,0.6556,0.1882,-0.03684,0.03489,0.4793,0.4185,False,2025-2026
EXIT_081,2025-01-05 23:59:59,MIXED_NO_CLEAR_ROUTE,1.4591,0.282,0.2437,-0.03684,0.03489,0.5056,0.4212,False,2025-2026
EXIT_082,2025-01-07 23:59:59,MIXED_NO_CLEAR_ROUTE,1.4305,0.1919,0.2177,-0.03684,0.03489,0.498,0.4244,False,2025-2026
EXIT_083,2025-01-20 23:59:59,MIXED_NO_CLEAR_ROUTE,1.1421,3.2757,-0.018,-0.05889,0.05634,0.3854,0.6231,False,2025-2026
EXIT_084,2025-01-26 23:59:59,MIXED_NO_CLEAR_ROUTE,1.0818,0.2132,-0.0872,-0.03923,0.05634,0.409,0.6298,False,2025-2026
EXIT_085,2025-01-29 23:59:59,BTC_CONCENTRATION,1.0502,0.6397,-0.1478,-0.03923,0.05634,0.3567,0.6333,False,2025-2026
EXIT_086,2025-02-04 23:59:59,BTC_CONCENTRATION,1.0406,0.415,-0.1195,-0.0481,0.03416,0.3866,0.6344,False,2025-2026
EXIT_087,2025-02-14 23:59:59,MIXED_NO_CLEAR_ROUTE,1.0995,0.1814,-0.2652,-0.0481,0.03416,0.3873,0.6278,False,2025-2026
EXIT_088,2025-03-29 23:59:59,MIXED_NO_CLEAR_ROUTE,1.0732,2.1629,-0.4419,-0.03607,0.04834,0.4774,0.6308,False,2025-2026
EXIT_089,2025-04-13 23:59:59,BTC_CONCENTRATION,0.9122,1.216,-0.4262,-0.06982,0.08213,0.4647,0.6486,False,2025-2026
EXIT_090,2025-04-15 23:59:59,BTC_CONCENTRATION,0.9005,2.2278,-0.4564,-0.06982,0.08213,0.4527,0.6499,False,2025-2026
EXIT_091,2025-04-18 23:59:59,BTC_CONCENTRATION,0.9038,1.9112,-0.4352,-0.06982,0.08213,0.4324,0.6496,False,2025-2026
EXIT_092,2025-04-20 23:59:59,BTC_CONCENTRATION,0.9155,1.5672,-0.5489,-0.06982,0.08213,0.463,0.6483,False,2025-2026
EXIT_093,2025-04-27 23:59:59,BTC_CONCENTRATION,0.9245,0.125,0.1015,-0.01991,0.06359,0.5129,0.3139,False,2025-2026
EXIT_094,2025-05-09 23:59:59,BROAD_RISK_EXPANSION,0.8907,0.1356,-0.0152,-0.01475,0.08061,0.4403,0.651,True,2025-2026
EXIT_095,2025-05-27 23:59:59,MIXED_NO_CLEAR_ROUTE,0.8645,0.3827,-0.2396,-0.0411,0.02938,0.4261,0.4873,False,2025-2026
EXIT_096,2025-06-04 23:59:59,BTC_CONCENTRATION,0.8906,1.1896,-0.0041,-0.0411,0.02379,0.4641,0.4844,False,2025-2026
EXIT_097,2025-06-06 23:59:59,BTC_CONCENTRATION,0.8974,0.1276,0.1411,-0.0411,0.00925,0.3764,0.317,False,2025-2026
EXIT_098,2025-06-15 23:59:59,MIXED_NO_CLEAR_ROUTE,0.8818,4.0129,0.1384,-0.03557,0.04201,0.444,0.4854,False,2025-2026
EXIT_099,2025-06-17 23:59:59,MIXED_NO_CLEAR_ROUTE,0.8699,8.5032,0.1318,-0.03557,0.04201,0.4129,0.4867,False,2025-2026
EXIT_100,2025-07-02 23:59:59,BTC_CONCENTRATION,0.8404,3.011,0.0464,-0.01813,0.05313,0.3879,0.3233,False,2025-2026
EXIT_101,2025-07-13 23:59:59,BROAD_RISK_EXPANSION,0.8299,0.1467,0.1505,-0.01813,0.04404,0.5324,0.4911,True,2025-2026
EXIT_102,2025-09-21 23:59:59,MIXED_NO_CLEAR_ROUTE,0.8821,0.1457,0.2221,-0.01704,0.01841,0.581,0.152,False,2025-2026
EXIT_103,2025-09-25 23:59:59,MIXED_NO_CLEAR_ROUTE,0.8421,1.2134,0.2209,-0.0314,0.01747,0.4723,0.3231,False,2025-2026
EXIT_104,2025-10-02 23:59:59,MIXED_NO_CLEAR_ROUTE,0.8041,20.9169,-0.2155,-0.04528,0.0397,0.429,0.6607,False,2025-2026
EXIT_105,2025-10-06 23:59:59,MIXED_NO_CLEAR_ROUTE,0.804,0.3604,-0.0564,-0.04528,0.0397,0.4326,0.6607,False,2025-2026
EXIT_106,2025-10-28 23:59:59,MIXED_NO_CLEAR_ROUTE,1.5409,1.121,0.4151,-0.02333,0.02799,0.4134,0.0833,False,2025-2026
EXIT_107,2025-12-24 23:59:59,MIXED_NO_CLEAR_ROUTE,0.8671,0.38,-0.2978,-0.02491,0.03771,0.3637,0.487,False,2025-2026
EXIT_108,2026-01-01 23:59:59,MIXED_NO_CLEAR_ROUTE,0.869,0.3596,-0.2648,-0.01185,0.03507,0.4457,0.4868,False,2025-2026
EXIT_109,2026-01-16 23:59:59,MIXED_NO_CLEAR_ROUTE,0.8193,0.169,0.1678,-0.02675,0.04659,0.5039,0.3256,False,2025-2026
EXIT_110,2026-01-23 23:59:59,MIXED_NO_CLEAR_ROUTE,0.8209,0.5943,0.1056,-0.04577,0.04659,0.3974,0.4921,False,2025-2026
EXIT_111,2026-01-27 23:59:59,MIXED_NO_CLEAR_ROUTE,0.8322,0.5016,-0.0744,-0.04577,0.04659,0.4274,0.6575,False,2025-2026
EXIT_112,2026-03-08 23:59:59,BTC_CONCENTRATION,1.1406,8.7419,-0.1748,-0.03788,0.0603,0.3857,0.6233,False,2025-2026
EXIT_113,2026-03-17 23:59:59,BTC_CONCENTRATION,0.9128,0.1995,0.0418,-0.03153,0.05278,0.5226,0.4819,False,2025-2026
EXIT_114,2026-03-21 23:59:59,BTC_CONCENTRATION,0.8476,0.3173,0.3072,-0.03229,0.03981,0.5023,0.4892,False,2025-2026
EXIT_115,2026-03-24 23:59:59,BTC_CONCENTRATION,0.8493,0.3293,0.2239,-0.03229,0.03981,0.4927,0.489,False,2025-2026
EXIT_116,2026-03-27 23:59:59,BTC_CONCENTRATION,0.8483,8.3116,0.0977,-0.03244,0.03981,0.4416,0.4891,False,2025-2026
EXIT_117,2026-04-01 23:59:59,BTC_CONCENTRATION,0.821,0.2522,0.1086,-0.03244,0.03667,0.387,0.4921,False,2025-2026
EXIT_118,2026-04-12 23:59:59,BTC_CONCENTRATION,0.7788,0.1405,-0.3238,-0.01882,0.04122,0.5243,0.4968,False,2025-2026
EXIT_119,2026-04-15 23:59:59,BTC_CONCENTRATION,0.7933,0.2002,-0.478,-0.02594,0.04731,0.5,0.4952,False,2025-2026
EXIT_120,2026-05-08 23:59:59,MID_CAP_ROTATION,0.7897,0.4716,0.2027,-0.0156,0.01813,0.4977,0.3289,True,2025-2026
EXIT_121,2026-05-22 23:59:59,LARGE_ALT_ROTATION,0.8162,0.6683,0.0002,-0.02166,0.01824,0.4513,0.326,True,2025-2026
EXIT_122,2026-07-11 23:59:59,MIXED_NO_CLEAR_ROUTE,0.9717,0.1736,0.2354,-0.02112,0.03864,0.5027,0.3087,False,2025-2026
EXIT_123,2026-08-11 23:59:59,MIXED_NO_CLEAR_ROUTE,0.7809,2.0193,-0.2543,-0.02305,0.01228,0.4723,0.3299,False,2025-2026
EXIT_124,2026-08-13 23:59:59,MIXED_NO_CLEAR_ROUTE,0.7789,2.1262,-0.2282,-0.02305,0.01228,0.4677,0.3301,False,2025-2026
