state,band_a,band_b,corr,perm_p,n,edge,uncond_corr,uncond_edge,new_edge_vs_uncond,sign_flip,direction,fdr_q
VOL_LOW,26-50,51-100,0.3392,0.005,843,True,0.1352,True,False,False,a_leads_b,0.0248
VOL_LOW,26-50,101-200,0.2853,0.005,843,True,0.0637,True,False,False,a_leads_b,0.0248
VOL_LOW,26-50,201-300,-0.0414,0.2537,843,False,-0.0394,False,False,False,a_leads_b,0.3374
VOL_LOW,26-50,301-500,0.0192,0.6766,843,False,0.0176,False,False,False,a_leads_b,0.7349
VOL_LOW,51-100,11-25,0.227,0.005,843,True,0.0942,True,False,False,a_leads_b,0.0248
VOL_LOW,51-100,26-50,0.3217,0.01,843,True,0.1691,True,False,False,a_leads_b,0.0346
VOL_LOW,51-100,101-200,0.4729,0.01,843,True,0.1333,True,False,False,a_leads_b,0.0346
VOL_LOW,51-100,201-300,0.0434,0.2736,843,False,-0.0447,False,False,False,a_leads_b,0.3552
VOL_LOW,51-100,301-500,0.109,0.0348,843,True,0.0224,False,True,False,a_leads_b,0.0827
VOL_LOW,101-200,11-25,0.2048,0.005,843,True,0.0045,False,True,False,a_leads_b,0.0248
VOL_LOW,101-200,26-50,0.2737,0.005,843,True,0.0683,True,False,False,a_leads_b,0.0248
VOL_LOW,101-200,51-100,0.4793,0.0149,843,True,0.1069,True,False,False,a_leads_b,0.0447
VOL_LOW,101-200,201-300,0.0051,0.8607,843,False,-0.0556,False,False,False,a_leads_b,0.8859
VOL_LOW,101-200,301-500,0.0954,0.0597,843,False,-0.0117,False,False,False,a_leads_b,0.1219
VOL_LOW,201-300,11-25,-0.0048,0.8209,843,False,-0.0406,False,False,False,a_leads_b,0.8557
VOL_LOW,201-300,26-50,-0.0101,0.801,843,False,-0.0447,False,False,False,a_leads_b,0.8439
VOL_LOW,201-300,51-100,0.0295,0.398,843,False,-0.0624,False,False,False,a_leads_b,0.4685
VOL_LOW,201-300,101-200,-0.004,0.9154,843,False,-0.0536,False,False,False,a_leads_b,0.9325
VOL_LOW,201-300,301-500,0.1662,0.005,843,True,0.2668,True,False,False,a_leads_b,0.0248
VOL_LOW,301-500,11-25,0.0303,0.3881,843,False,-0.0059,False,False,False,a_leads_b,0.459
VOL_LOW,301-500,26-50,0.0506,0.3085,843,False,0.0227,False,False,False,a_leads_b,0.3862
VOL_LOW,301-500,51-100,0.0901,0.0647,843,False,0.0148,False,False,False,a_leads_b,0.1305
VOL_LOW,301-500,101-200,0.091,0.0348,843,True,0.0017,False,True,False,a_leads_b,0.0827
VOL_LOW,301-500,201-300,0.167,0.0149,843,True,0.2666,True,False,False,a_leads_b,0.0447
CONC_RISING,1-10,11-25,-0.0117,0.3433,1068,False,0.0402,False,False,False,a_leads_b,0.4202
CONC_RISING,1-10,26-50,0.0031,0.5871,1068,False,0.033,False,False,False,a_leads_b,0.6477
CONC_RISING,1-10,51-100,0.015,0.2289,1068,False,0.0403,True,False,False,a_leads_b,0.3218
CONC_RISING,1-10,101-200,-0.0055,0.3134,1068,False,0.0132,False,False,False,a_leads_b,0.3904
CONC_RISING,1-10,201-300,-0.0001,1.0,1068,False,0.0141,False,False,False,a_leads_b,1.0
CONC_RISING,1-10,301-500,0.0073,0.5622,1068,False,0.014,False,False,False,a_leads_b,0.6286
CONC_RISING,11-25,1-10,0.0119,0.2537,1068,False,0.0385,False,False,False,a_leads_b,0.3374
CONC_RISING,11-25,26-50,0.0717,0.0348,1068,True,0.1063,True,False,False,a_leads_b,0.0827
CONC_RISING,11-25,51-100,0.0302,0.199,1068,False,0.0746,True,False,False,a_leads_b,0.2897
CONC_RISING,11-25,101-200,0.007,0.4776,1068,False,0.0302,False,False,False,a_leads_b,0.5439
CONC_RISING,11-25,201-300,-0.0795,0.0597,1068,False,-0.0547,False,False,False,a_leads_b,0.1219
CONC_RISING,11-25,301-500,-0.074,0.0597,1068,False,-0.039,False,False,False,a_leads_b,0.1219
CONC_RISING,26-50,1-10,0.0324,0.1144,1068,False,0.0679,True,False,False,a_leads_b,0.2017
CONC_RISING,26-50,11-25,0.1188,0.005,1068,True,0.0962,True,False,False,a_leads_b,0.0248
CONC_RISING,26-50,51-100,0.1043,0.01,1068,True,0.1352,True,False,False,a_leads_b,0.0346
CONC_RISING,26-50,101-200,0.0609,0.0249,1068,True,0.0637,True,False,False,a_leads_b,0.0641
CONC_RISING,26-50,201-300,-0.0273,0.408,1068,False,-0.0394,False,False,False,a_leads_b,0.4779
