event_id,exit_date,first_destination,tau_release_d,tau_release_censor,tau_activate_d,tau_activate_censor,tau_broaden_d,tau_broaden_censor,tau_peak_d,tau_peak_censor,tau_hold_d,tau_hold_censor,tau_decay_d,tau_decay_censor,tau_reroute_d,tau_reroute_censor,tau_total_d,tau_total_censor,subperiod
EXIT_010,2021-10-28 23:59:59,BTC_CONCENTRATION,1,OBSERVED,8.0,OBSERVED,14.0,OBSERVED,1,OBSERVED,6,OBSERVED,1.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2020-2021
EXIT_011,2021-11-04 23:59:59,MIXED_NO_CLEAR_ROUTE,1,OBSERVED,1.0,OBSERVED,7.0,OBSERVED,0,OBSERVED,5,OBSERVED,1.0,OBSERVED,1,OBSERVED,89.0,OBSERVED,2020-2021
EXIT_012,2022-03-06 23:59:59,MIXED_NO_CLEAR_ROUTE,4,OBSERVED,20.0,OBSERVED,24.0,OBSERVED,28,OBSERVED,3,OBSERVED,,NOT_REACHED,1,OBSERVED,13.0,OBSERVED,2022
EXIT_013,2022-03-21 23:59:59,BROAD_RISK_EXPANSION,1,OBSERVED,5.0,OBSERVED,9.0,OBSERVED,13,OBSERVED,12,OBSERVED,13.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2022
EXIT_014,2022-03-23 23:59:59,BROAD_RISK_EXPANSION,2,OBSERVED,3.0,OBSERVED,7.0,OBSERVED,11,OBSERVED,12,OBSERVED,11.0,OBSERVED,1,OBSERVED,2.0,OBSERVED,2022
EXIT_015,2022-03-26 23:59:59,BROAD_RISK_EXPANSION,1,OBSERVED,3.0,OBSERVED,4.0,OBSERVED,8,OBSERVED,12,OBSERVED,8.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2022
EXIT_016,2022-03-29 23:59:59,BROAD_RISK_EXPANSION,1,OBSERVED,1.0,OBSERVED,1.0,OBSERVED,5,OBSERVED,12,OBSERVED,5.0,OBSERVED,1,OBSERVED,73.0,OBSERVED,2022
EXIT_017,2022-06-11 23:59:59,CAPITAL_EXIT,2,OBSERVED,33.0,OBSERVED,35.0,OBSERVED,0,OBSERVED,30,OBSERVED,1.0,OBSERVED,1,OBSERVED,,RIGHT_CENSORED,2022
EXIT_018,2022-10-09 23:59:59,MIXED_NO_CLEAR_ROUTE,11,OBSERVED,26.0,OBSERVED,,RIGHT_CENSORED,26,OBSERVED,10,OBSERVED,26.0,OBSERVED,1,OBSERVED,11.0,OBSERVED,2022
EXIT_019,2022-10-22 23:59:59,BTC_CONCENTRATION,1,OBSERVED,13.0,OBSERVED,,RIGHT_CENSORED,13,OBSERVED,6,OBSERVED,13.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2022
EXIT_020,2022-10-29 23:59:59,MIXED_NO_CLEAR_ROUTE,5,OBSERVED,6.0,OBSERVED,,RIGHT_CENSORED,6,OBSERVED,4,OBSERVED,6.0,OBSERVED,1,OBSERVED,43.0,OBSERVED,2022
EXIT_021,2022-12-16 23:59:59,BTC_CONCENTRATION,1,OBSERVED,30.0,OBSERVED,50.0,OBSERVED,30,OBSERVED,2,OBSERVED,30.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2022
EXIT_022,2022-12-19 23:59:59,BTC_CONCENTRATION,1,OBSERVED,27.0,OBSERVED,47.0,OBSERVED,27,OBSERVED,10,OBSERVED,27.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2022
EXIT_023,2022-12-30 23:59:59,MIXED_NO_CLEAR_ROUTE,7,OBSERVED,16.0,OBSERVED,36.0,OBSERVED,30,OBSERVED,6,OBSERVED,30.0,OBSERVED,1,OBSERVED,7.0,OBSERVED,2022
EXIT_024,2023-01-07 23:59:59,BTC_CONCENTRATION,2,OBSERVED,8.0,OBSERVED,28.0,OBSERVED,25,OBSERVED,6,OBSERVED,25.0,OBSERVED,1,OBSERVED,2.0,OBSERVED,2023
EXIT_025,2023-01-15 23:59:59,LARGE_ALT_ROTATION,3,OBSERVED,1.0,OBSERVED,20.0,OBSERVED,17,OBSERVED,9,OBSERVED,17.0,OBSERVED,1,OBSERVED,3.0,OBSERVED,2023
EXIT_026,2023-01-22 23:59:59,LARGE_ALT_ROTATION,9,OBSERVED,1.0,OBSERVED,13.0,OBSERVED,10,OBSERVED,8,OBSERVED,10.0,OBSERVED,1,OBSERVED,49.0,OBSERVED,2023
EXIT_027,2023-04-18 23:59:59,BTC_CONCENTRATION,2,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,0,OBSERVED,1,OBSERVED,,NOT_REACHED,1,OBSERVED,2.0,OBSERVED,2023
EXIT_028,2023-04-21 23:59:59,BTC_CONCENTRATION,4,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,5,OBSERVED,6,OBSERVED,5.0,OBSERVED,1,OBSERVED,4.0,OBSERVED,2023
EXIT_029,2023-05-01 23:59:59,BTC_CONCENTRATION,1,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,2,OBSERVED,6,OBSERVED,26.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2023
EXIT_030,2023-05-08 23:59:59,MIXED_NO_CLEAR_ROUTE,22,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,28,OBSERVED,21,OBSERVED,28.0,OBSERVED,1,OBSERVED,39.0,OBSERVED,2023
EXIT_031,2023-06-30 23:59:59,BTC_CONCENTRATION,1,OBSERVED,15.0,OBSERVED,,RIGHT_CENSORED,13,OBSERVED,4,OBSERVED,13.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2023
EXIT_032,2023-07-05 23:59:59,BTC_CONCENTRATION,1,OBSERVED,10.0,OBSERVED,,RIGHT_CENSORED,8,OBSERVED,6,OBSERVED,10.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2023
EXIT_033,2023-07-12 23:59:59,LARGE_ALT_ROTATION,1,OBSERVED,3.0,OBSERVED,,RIGHT_CENSORED,1,OBSERVED,5,OBSERVED,9.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2023
EXIT_034,2023-07-15 23:59:59,MIXED_NO_CLEAR_ROUTE,5,OBSERVED,1.0,OBSERVED,,RIGHT_CENSORED,0,OBSERVED,7,OBSERVED,0.0,OBSERVED,1,OBSERVED,58.0,OBSERVED,2023
EXIT_035,2023-09-28 23:59:59,BTC_CONCENTRATION,3,OBSERVED,39.0,OBSERVED,47.0,OBSERVED,30,OBSERVED,11,OBSERVED,,NOT_REACHED,1,OBSERVED,3.0,OBSERVED,2023
EXIT_036,2023-10-13 23:59:59,BTC_CONCENTRATION,1,OBSERVED,25.0,OBSERVED,33.0,OBSERVED,25,OBSERVED,2,OBSERVED,30.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2023
EXIT_037,2023-10-16 23:59:59,BTC_CONCENTRATION,1,OBSERVED,22.0,OBSERVED,30.0,OBSERVED,22,OBSERVED,7,OBSERVED,27.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2023
EXIT_038,2023-10-25 23:59:59,BTC_CONCENTRATION,1,OBSERVED,14.0,OBSERVED,22.0,OBSERVED,14,OBSERVED,13,OBSERVED,15.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2023
EXIT_039,2023-11-08 23:59:59,BROAD_RISK_EXPANSION,1,OBSERVED,2.0,OBSERVED,8.0,OBSERVED,0,OBSERVED,3,OBSERVED,1.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2023
EXIT_040,2023-11-11 23:59:59,BROAD_RISK_EXPANSION,4,OBSERVED,1.0,OBSERVED,6.0,OBSERVED,1,OBSERVED,3,OBSERVED,1.0,OBSERVED,1,OBSERVED,9.0,OBSERVED,2023
EXIT_041,2023-11-22 23:59:59,BROAD_RISK_EXPANSION,11,OBSERVED,1.0,OBSERVED,1.0,OBSERVED,2,OBSERVED,10,OBSERVED,2.0,OBSERVED,1,OBSERVED,12.0,OBSERVED,2023
EXIT_042,2023-12-09 23:59:59,BROAD_RISK_EXPANSION,1,OBSERVED,7.0,OBSERVED,16.0,OBSERVED,11,OBSERVED,5,OBSERVED,,NOT_REACHED,1,OBSERVED,3.0,OBSERVED,2023
EXIT_043,2023-12-14 23:59:59,BROAD_RISK_EXPANSION,1,OBSERVED,3.0,OBSERVED,12.0,OBSERVED,7,OBSERVED,5,OBSERVED,7.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2023
EXIT_044,2023-12-17 23:59:59,BROAD_RISK_EXPANSION,1,OBSERVED,4.0,OBSERVED,9.0,OBSERVED,4,OBSERVED,5,OBSERVED,7.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2023
EXIT_045,2023-12-21 23:59:59,BROAD_RISK_EXPANSION,2,OBSERVED,1.0,OBSERVED,5.0,OBSERVED,0,OBSERVED,5,OBSERVED,,NOT_REACHED,1,OBSERVED,15.0,OBSERVED,2023
EXIT_046,2024-01-10 23:59:59,MIXED_NO_CLEAR_ROUTE,2,OBSERVED,5.0,OBSERVED,78.0,OBSERVED,1,OBSERVED,1,OBSERVED,1.0,OBSERVED,1,OBSERVED,18.0,OBSERVED,2024
EXIT_047,2024-01-31 23:59:59,MIXED_NO_CLEAR_ROUTE,6,OBSERVED,6.0,OBSERVED,58.0,OBSERVED,30,OBSERVED,5,OBSERVED,30.0,OBSERVED,1,OBSERVED,10.0,OBSERVED,2024
EXIT_048,2024-02-13 23:59:59,BTC_CONCENTRATION,1,OBSERVED,18.0,OBSERVED,45.0,OBSERVED,18,OBSERVED,11,OBSERVED,18.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2024
EXIT_049,2024-02-25 23:59:59,BTC_CONCENTRATION,1,OBSERVED,6.0,OBSERVED,33.0,OBSERVED,6,OBSERVED,5,OBSERVED,6.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2024
EXIT_050,2024-03-02 23:59:59,MID_CAP_ROTATION,1,OBSERVED,5.0,OBSERVED,27.0,OBSERVED,0,OBSERVED,1,OBSERVED,0.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2024
EXIT_051,2024-03-07 23:59:59,MID_CAP_ROTATION,1,OBSERVED,2.0,OBSERVED,22.0,OBSERVED,0,OBSERVED,8,OBSERVED,0.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2024
EXIT_052,2024-03-09 23:59:59,MID_CAP_ROTATION,8,OBSERVED,1.0,OBSERVED,20.0,OBSERVED,0,OBSERVED,7,OBSERVED,0.0,OBSERVED,1,OBSERVED,9.0,OBSERVED,2024
EXIT_053,2024-03-29 23:59:59,BTC_CONCENTRATION,1,OBSERVED,1.0,OBSERVED,,RIGHT_CENSORED,1,OBSERVED,2,OBSERVED,23.0,OBSERVED,1,OBSERVED,3.0,OBSERVED,2024
EXIT_054,2024-04-03 23:59:59,BTC_CONCENTRATION,1,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,1,OBSERVED,6,OBSERVED,18.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2024
EXIT_055,2024-04-10 23:59:59,MIXED_NO_CLEAR_ROUTE,3,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,0,OBSERVED,2,OBSERVED,8.0,OBSERVED,1,OBSERVED,8.0,OBSERVED,2024
EXIT_056,2024-04-19 23:59:59,MIXED_NO_CLEAR_ROUTE,2,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,27,OBSERVED,1,OBSERVED,,NOT_REACHED,1,OBSERVED,2.0,OBSERVED,2024
EXIT_057,2024-04-23 23:59:59,MIXED_NO_CLEAR_ROUTE,4,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,23,OBSERVED,3,OBSERVED,,NOT_REACHED,1,OBSERVED,21.0,OBSERVED,2024
EXIT_058,2024-05-17 23:59:59,MIXED_NO_CLEAR_ROUTE,1,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,13,OBSERVED,16,OBSERVED,13.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2024
EXIT_059,2024-05-20 23:59:59,MIXED_NO_CLEAR_ROUTE,16,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,10,OBSERVED,15,OBSERVED,10.0,OBSERVED,1,OBSERVED,16.0,OBSERVED,2024
EXIT_060,2024-06-06 23:59:59,MIXED_NO_CLEAR_ROUTE,4,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,1,OBSERVED,3,OBSERVED,1.0,OBSERVED,1,OBSERVED,4.0,OBSERVED,2024
EXIT_061,2024-06-12 23:59:59,MIXED_NO_CLEAR_ROUTE,23,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,0,OBSERVED,22,OBSERVED,,NOT_REACHED,1,OBSERVED,37.0,OBSERVED,2024
EXIT_062,2024-07-20 23:59:59,BTC_CONCENTRATION,1,OBSERVED,45.0,OBSERVED,65.0,OBSERVED,1,OBSERVED,2,OBSERVED,1.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2024
EXIT_063,2024-07-23 23:59:59,BTC_CONCENTRATION,1,OBSERVED,42.0,OBSERVED,62.0,OBSERVED,0,OBSERVED,11,OBSERVED,,NOT_REACHED,1,OBSERVED,1.0,OBSERVED,2024
EXIT_064,2024-08-05 23:59:59,BTC_CONCENTRATION,1,OBSERVED,30.0,OBSERVED,50.0,OBSERVED,28,OBSERVED,1,OBSERVED,28.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2024
EXIT_065,2024-08-07 23:59:59,BTC_CONCENTRATION,1,OBSERVED,28.0,OBSERVED,48.0,OBSERVED,26,OBSERVED,5,OBSERVED,26.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2024
EXIT_066,2024-08-13 23:59:59,MIXED_NO_CLEAR_ROUTE,3,OBSERVED,22.0,OBSERVED,42.0,OBSERVED,20,OBSERVED,2,OBSERVED,20.0,OBSERVED,1,OBSERVED,20.0,OBSERVED,2024
EXIT_067,2024-09-06 23:59:59,BROAD_RISK_EXPANSION,1,OBSERVED,2.0,OBSERVED,20.0,OBSERVED,21,OBSERVED,6,OBSERVED,21.0,OBSERVED,1,OBSERVED,11.0,OBSERVED,2024
EXIT_068,2024-09-20 23:59:59,BROAD_RISK_EXPANSION,3,OBSERVED,5.0,OBSERVED,6.0,OBSERVED,7,OBSERVED,6,OBSERVED,7.0,OBSERVED,1,OBSERVED,12.0,OBSERVED,2024
EXIT_069,2024-10-03 23:59:59,BTC_CONCENTRATION,3,OBSERVED,1.0,OBSERVED,55.0,OBSERVED,3,OBSERVED,17,OBSERVED,3.0,OBSERVED,1,OBSERVED,4.0,OBSERVED,2024
EXIT_070,2024-10-24 23:59:59,BTC_CONCENTRATION,1,OBSERVED,31.0,OBSERVED,34.0,OBSERVED,23,OBSERVED,2,OBSERVED,23.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2024
EXIT_071,2024-10-27 23:59:59,BTC_CONCENTRATION,1,OBSERVED,28.0,OBSERVED,31.0,OBSERVED,29,OBSERVED,6,OBSERVED,29.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2024
EXIT_072,2024-11-03 23:59:59,BTC_CONCENTRATION,1,OBSERVED,21.0,OBSERVED,24.0,OBSERVED,27,OBSERVED,2,OBSERVED,27.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2024
EXIT_073,2024-11-06 23:59:59,BTC_CONCENTRATION,1,OBSERVED,18.0,OBSERVED,21.0,OBSERVED,24,OBSERVED,2,OBSERVED,24.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2024
EXIT_074,2024-11-09 23:59:59,BTC_CONCENTRATION,1,OBSERVED,15.0,OBSERVED,18.0,OBSERVED,21,OBSERVED,1,OBSERVED,21.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2024
EXIT_075,2024-11-11 23:59:59,BTC_CONCENTRATION,2,OBSERVED,13.0,OBSERVED,16.0,OBSERVED,19,OBSERVED,2,OBSERVED,19.0,OBSERVED,1,OBSERVED,2.0,OBSERVED,2024
EXIT_076,2024-11-15 23:59:59,BTC_CONCENTRATION,1,OBSERVED,9.0,OBSERVED,12.0,OBSERVED,15,OBSERVED,5,OBSERVED,15.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2024
EXIT_077,2024-11-21 23:59:59,BROAD_RISK_EXPANSION,1,OBSERVED,3.0,OBSERVED,6.0,OBSERVED,9,OBSERVED,21,OBSERVED,9.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2024
EXIT_078,2024-11-24 23:59:59,BROAD_RISK_EXPANSION,3,OBSERVED,1.0,OBSERVED,3.0,OBSERVED,6,OBSERVED,21,OBSERVED,6.0,OBSERVED,1,OBSERVED,30.0,OBSERVED,2024
EXIT_079,2024-12-25 23:59:59,MIXED_NO_CLEAR_ROUTE,8,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,0,OBSERVED,7,OBSERVED,0.0,OBSERVED,1,OBSERVED,8.0,OBSERVED,2024
EXIT_080,2025-01-03 23:59:59,MIXED_NO_CLEAR_ROUTE,1,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,14,OBSERVED,1,OBSERVED,,NOT_REACHED,1,OBSERVED,1.0,OBSERVED,2025-2026
EXIT_081,2025-01-05 23:59:59,MIXED_NO_CLEAR_ROUTE,1,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,12,OBSERVED,11,OBSERVED,,NOT_REACHED,1,OBSERVED,1.0,OBSERVED,2025-2026
EXIT_082,2025-01-07 23:59:59,MIXED_NO_CLEAR_ROUTE,11,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,10,OBSERVED,10,OBSERVED,10.0,OBSERVED,1,OBSERVED,11.0,OBSERVED,2025-2026
EXIT_083,2025-01-20 23:59:59,MIXED_NO_CLEAR_ROUTE,2,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,1,OBSERVED,1,OBSERVED,1.0,OBSERVED,1,OBSERVED,2.0,OBSERVED,2025-2026
EXIT_084,2025-01-26 23:59:59,MIXED_NO_CLEAR_ROUTE,2,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,4,OBSERVED,1,OBSERVED,,NOT_REACHED,1,OBSERVED,2.0,OBSERVED,2025-2026
EXIT_085,2025-01-29 23:59:59,BTC_CONCENTRATION,5,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,1,OBSERVED,1,OBSERVED,,NOT_REACHED,1,OBSERVED,5.0,OBSERVED,2025-2026
EXIT_086,2025-02-04 23:59:59,BTC_CONCENTRATION,3,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,14,OBSERVED,7,OBSERVED,14.0,OBSERVED,1,OBSERVED,3.0,OBSERVED,2025-2026
EXIT_087,2025-02-14 23:59:59,MIXED_NO_CLEAR_ROUTE,10,OBSERVED,,RIGHT_CENSORED,84.0,OBSERVED,22,OBSERVED,9,OBSERVED,22.0,OBSERVED,1,OBSERVED,42.0,OBSERVED,2025-2026
EXIT_088,2025-03-29 23:59:59,MIXED_NO_CLEAR_ROUTE,14,OBSERVED,41.0,OBSERVED,41.0,OBSERVED,30,OBSERVED,13,OBSERVED,30.0,OBSERVED,1,OBSERVED,14.0,OBSERVED,2025-2026
EXIT_089,2025-04-13 23:59:59,BTC_CONCENTRATION,1,OBSERVED,26.0,OBSERVED,26.0,OBSERVED,26,OBSERVED,1,OBSERVED,26.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2025-2026
EXIT_090,2025-04-15 23:59:59,BTC_CONCENTRATION,2,OBSERVED,24.0,OBSERVED,24.0,OBSERVED,24,OBSERVED,1,OBSERVED,24.0,OBSERVED,1,OBSERVED,2.0,OBSERVED,2025-2026
EXIT_091,2025-04-18 23:59:59,BTC_CONCENTRATION,1,OBSERVED,21.0,OBSERVED,21.0,OBSERVED,21,OBSERVED,1,OBSERVED,21.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2025-2026
EXIT_092,2025-04-20 23:59:59,BTC_CONCENTRATION,1,OBSERVED,19.0,OBSERVED,19.0,OBSERVED,19,OBSERVED,6,OBSERVED,19.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2025-2026
EXIT_093,2025-04-27 23:59:59,BTC_CONCENTRATION,1,OBSERVED,12.0,OBSERVED,12.0,OBSERVED,12,OBSERVED,11,OBSERVED,12.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2025-2026
EXIT_094,2025-05-09 23:59:59,BROAD_RISK_EXPANSION,6,OBSERVED,1.0,OBSERVED,1.0,OBSERVED,0,OBSERVED,5,OBSERVED,1.0,OBSERVED,1,OBSERVED,17.0,OBSERVED,2025-2026
EXIT_095,2025-05-27 23:59:59,MIXED_NO_CLEAR_ROUTE,7,OBSERVED,49.0,OBSERVED,52.0,OBSERVED,0,OBSERVED,6,OBSERVED,2.0,OBSERVED,1,OBSERVED,7.0,OBSERVED,2025-2026
EXIT_096,2025-06-04 23:59:59,BTC_CONCENTRATION,1,OBSERVED,41.0,OBSERVED,44.0,OBSERVED,0,OBSERVED,1,OBSERVED,,NOT_REACHED,1,OBSERVED,1.0,OBSERVED,2025-2026
EXIT_097,2025-06-06 23:59:59,BTC_CONCENTRATION,1,OBSERVED,39.0,OBSERVED,42.0,OBSERVED,0,OBSERVED,8,OBSERVED,,NOT_REACHED,1,OBSERVED,1.0,OBSERVED,2025-2026
EXIT_098,2025-06-15 23:59:59,MIXED_NO_CLEAR_ROUTE,1,OBSERVED,30.0,OBSERVED,33.0,OBSERVED,28,OBSERVED,11,OBSERVED,30.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2025-2026
EXIT_099,2025-06-17 23:59:59,MIXED_NO_CLEAR_ROUTE,11,OBSERVED,28.0,OBSERVED,31.0,OBSERVED,29,OBSERVED,10,OBSERVED,29.0,OBSERVED,1,OBSERVED,11.0,OBSERVED,2025-2026
EXIT_100,2025-07-02 23:59:59,BTC_CONCENTRATION,2,OBSERVED,13.0,OBSERVED,16.0,OBSERVED,19,OBSERVED,9,OBSERVED,19.0,OBSERVED,1,OBSERVED,2.0,OBSERVED,2025-2026
EXIT_101,2025-07-13 23:59:59,BROAD_RISK_EXPANSION,2,OBSERVED,2.0,OBSERVED,5.0,OBSERVED,8,OBSERVED,11,OBSERVED,8.0,OBSERVED,1,OBSERVED,69.0,OBSERVED,2025-2026
EXIT_102,2025-09-21 23:59:59,MIXED_NO_CLEAR_ROUTE,3,OBSERVED,50.0,OBSERVED,,RIGHT_CENSORED,13,OBSERVED,2,OBSERVED,,NOT_REACHED,1,OBSERVED,3.0,OBSERVED,2025-2026
EXIT_103,2025-09-25 23:59:59,MIXED_NO_CLEAR_ROUTE,3,OBSERVED,46.0,OBSERVED,,RIGHT_CENSORED,9,OBSERVED,2,OBSERVED,,NOT_REACHED,1,OBSERVED,3.0,OBSERVED,2025-2026
EXIT_104,2025-10-02 23:59:59,MIXED_NO_CLEAR_ROUTE,1,OBSERVED,39.0,OBSERVED,,RIGHT_CENSORED,2,OBSERVED,19,OBSERVED,,NOT_REACHED,1,OBSERVED,1.0,OBSERVED,2025-2026
EXIT_105,2025-10-06 23:59:59,MIXED_NO_CLEAR_ROUTE,19,OBSERVED,35.0,OBSERVED,,RIGHT_CENSORED,0,OBSERVED,18,OBSERVED,5.0,OBSERVED,1,OBSERVED,19.0,OBSERVED,2025-2026
EXIT_106,2025-10-28 23:59:59,MIXED_NO_CLEAR_ROUTE,6,OBSERVED,13.0,OBSERVED,,RIGHT_CENSORED,13,OBSERVED,5,OBSERVED,,NOT_REACHED,1,OBSERVED,53.0,OBSERVED,2025-2026
EXIT_107,2025-12-24 23:59:59,MIXED_NO_CLEAR_ROUTE,7,OBSERVED,17.0,OBSERVED,,RIGHT_CENSORED,24,OBSERVED,6,OBSERVED,24.0,OBSERVED,1,OBSERVED,7.0,OBSERVED,2025-2026
EXIT_108,2026-01-01 23:59:59,MIXED_NO_CLEAR_ROUTE,1,OBSERVED,9.0,OBSERVED,,RIGHT_CENSORED,16,OBSERVED,8,OBSERVED,16.0,OBSERVED,1,OBSERVED,11.0,OBSERVED,2025-2026
EXIT_109,2026-01-16 23:59:59,MIXED_NO_CLEAR_ROUTE,2,OBSERVED,1.0,OBSERVED,,RIGHT_CENSORED,1,OBSERVED,4,OBSERVED,4.0,OBSERVED,1,OBSERVED,6.0,OBSERVED,2025-2026
EXIT_110,2026-01-23 23:59:59,MIXED_NO_CLEAR_ROUTE,2,OBSERVED,6.0,OBSERVED,,RIGHT_CENSORED,1,OBSERVED,1,OBSERVED,1.0,OBSERVED,1,OBSERVED,3.0,OBSERVED,2025-2026
EXIT_111,2026-01-27 23:59:59,MIXED_NO_CLEAR_ROUTE,2,OBSERVED,2.0,OBSERVED,,RIGHT_CENSORED,1,OBSERVED,1,OBSERVED,11.0,OBSERVED,1,OBSERVED,39.0,OBSERVED,2025-2026
