state_1,state_2,state_3,occurrences,subperiods_with_ge3,classification,subperiod_counts
ETH_BROADENING,NARROW_LEADERSHIP,NARROW_LEADERSHIP,7,1,PARTIALLY_RECURRING,"{""2025-2026"": 4, ""2020-2021"": 1, ""2022"": 1, ""2024"": 1}"
ETH_BROADENING,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,6,1,PARTIALLY_RECURRING,"{""2020-2021"": 3, ""2022"": 2, ""2023"": 1}"
ETH_BROADENING,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,6,1,PARTIALLY_RECURRING,"{""2020-2021"": 5, ""2024"": 1}"
NARROW_LEADERSHIP,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,6,1,PARTIALLY_RECURRING,"{""2025-2026"": 5, ""2024"": 1}"
MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,CAPITAL_EXIT,6,1,PARTIALLY_RECURRING,"{""2022"": 4, ""2024"": 1, ""2025-2026"": 1}"
BROAD_RISK_EXPANSION,MID_CAP_ROTATION,MID_CAP_ROTATION,5,1,PARTIALLY_RECURRING,"{""2023"": 4, ""2020-2021"": 1}"
MID_CAP_ROTATION,MID_CAP_ROTATION,MIXED_NO_CLEAR_ROUTE,5,0,CYCLE_SPECIFIC,"{""2023"": 2, ""2025-2026"": 2, ""2024"": 1}"
BTC_CONCENTRATION,LARGE_ALT_ROTATION,LARGE_ALT_ROTATION,5,1,PARTIALLY_RECURRING,"{""2023"": 3, ""2024"": 2}"
NARROW_LEADERSHIP,ETH_BROADENING,ETH_BROADENING,5,1,PARTIALLY_RECURRING,"{""2025-2026"": 3, ""2022"": 1, ""2024"": 1}"
MID_CAP_ROTATION,BTC_CONCENTRATION,BTC_CONCENTRATION,5,0,CYCLE_SPECIFIC,"{""2024"": 2, ""2022"": 1, ""2023"": 1, ""2025-2026"": 1}"
BTC_CONCENTRATION,MID_CAP_ROTATION,BTC_CONCENTRATION,5,0,CYCLE_SPECIFIC,"{""2023"": 2, ""2024"": 2, ""2022"": 1}"
MIXED_NO_CLEAR_ROUTE,LARGE_ALT_ROTATION,MIXED_NO_CLEAR_ROUTE,5,0,CYCLE_SPECIFIC,"{""2025-2026"": 2, ""2020-2021"": 1, ""2022"": 1, ""2024"": 1}"
MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,LARGE_ALT_ROTATION,5,1,PARTIALLY_RECURRING,"{""2025-2026"": 3, ""2020-2021"": 1, ""2022"": 1}"
LARGE_ALT_ROTATION,LARGE_ALT_ROTATION,BROAD_RISK_EXPANSION,5,0,CYCLE_SPECIFIC,"{""2020-2021"": 2, ""2023"": 2, ""2024"": 1}"
MID_CAP_ROTATION,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,5,0,CYCLE_SPECIFIC,"{""2022"": 2, ""2023"": 2, ""2020-2021"": 1}"
BROAD_RISK_EXPANSION,LARGE_ALT_ROTATION,LARGE_ALT_ROTATION,4,0,CYCLE_SPECIFIC,"{""2020-2021"": 2, ""2024"": 2}"
BTC_CONCENTRATION,MID_CAP_ROTATION,MID_CAP_ROTATION,4,0,CYCLE_SPECIFIC,"{""2025-2026"": 2, ""2023"": 1, ""2024"": 1}"
BTC_CONCENTRATION,BTC_CONCENTRATION,LARGE_ALT_ROTATION,4,0,CYCLE_SPECIFIC,"{""2023"": 2, ""2024"": 1, ""2025-2026"": 1}"
LARGE_ALT_ROTATION,LARGE_ALT_ROTATION,MIXED_NO_CLEAR_ROUTE,4,0,CYCLE_SPECIFIC,"{""2023"": 2, ""2024"": 2}"
MIXED_NO_CLEAR_ROUTE,CAPITAL_EXIT,MIXED_NO_CLEAR_ROUTE,4,1,PARTIALLY_RECURRING,"{""2022"": 3, ""2024"": 1}"
BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,MID_CAP_ROTATION,4,1,PARTIALLY_RECURRING,"{""2023"": 3, ""2020-2021"": 1}"
MID_CAP_ROTATION,MID_CAP_ROTATION,BROAD_RISK_EXPANSION,4,1,PARTIALLY_RECURRING,"{""2023"": 3, ""2020-2021"": 1}"
NARROW_LEADERSHIP,NARROW_LEADERSHIP,ETH_BROADENING,4,0,CYCLE_SPECIFIC,"{""2025-2026"": 2, ""2020-2021"": 1, ""2024"": 1}"
ETH_BROADENING,STABLECOIN_PARKING,STABLECOIN_PARKING,4,1,PARTIALLY_RECURRING,"{""2020-2021"": 4}"
BROAD_RISK_EXPANSION,ETH_BROADENING,BROAD_RISK_EXPANSION,4,0,CYCLE_SPECIFIC,"{""2020-2021"": 2, ""2022"": 1, ""2025-2026"": 1}"
LARGE_ALT_ROTATION,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,4,0,CYCLE_SPECIFIC,"{""2020-2021"": 1, ""2023"": 1, ""2024"": 1, ""2025-2026"": 1}"
BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,4,0,CYCLE_SPECIFIC,"{""2022"": 2, ""2020-2021"": 1, ""2024"": 1}"
CAPITAL_EXIT,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,4,1,PARTIALLY_RECURRING,"{""2022"": 3, ""2024"": 1}"
ETH_BROADENING,ETH_BROADENING,MIXED_NO_CLEAR_ROUTE,4,1,PARTIALLY_RECURRING,"{""2020-2021"": 3, ""2022"": 1}"
NARROW_LEADERSHIP,NARROW_LEADERSHIP,BTC_CONCENTRATION,4,1,PARTIALLY_RECURRING,"{""2025-2026"": 3, ""2024"": 1}"
STABLECOIN_PARKING,STABLECOIN_PARKING,NARROW_LEADERSHIP,3,1,PARTIALLY_RECURRING,"{""2020-2021"": 3}"
BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,3,1,PARTIALLY_RECURRING,"{""2020-2021"": 3}"
STABLECOIN_PARKING,NARROW_LEADERSHIP,STABLECOIN_PARKING,3,1,PARTIALLY_RECURRING,"{""2020-2021"": 3}"
ETH_BROADENING,ETH_BROADENING,STABLECOIN_PARKING,3,1,PARTIALLY_RECURRING,"{""2020-2021"": 3}"
MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,3,0,CYCLE_SPECIFIC,"{""2020-2021"": 2, ""2024"": 1}"
NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE,NARROW_LEADERSHIP,3,1,PARTIALLY_RECURRING,"{""2022"": 3}"
MIXED_NO_CLEAR_ROUTE,NARROW_LEADERSHIP,ETH_BROADENING,3,0,CYCLE_SPECIFIC,"{""2022"": 2, ""2025-2026"": 1}"
ETH_BROADENING,BROAD_RISK_EXPANSION,ETH_BROADENING,3,0,CYCLE_SPECIFIC,"{""2020-2021"": 2, ""2025-2026"": 1}"
BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,LARGE_ALT_ROTATION,3,0,CYCLE_SPECIFIC,"{""2020-2021"": 2, ""2024"": 1}"
STABLECOIN_PARKING,NARROW_LEADERSHIP,NARROW_LEADERSHIP,3,0,CYCLE_SPECIFIC,"{""2020-2021"": 2, ""2025-2026"": 1}"
ETH_BROADENING,NARROW_LEADERSHIP,ETH_BROADENING,3,0,CYCLE_SPECIFIC,"{""2025-2026"": 2, ""2022"": 1}"
MIXED_NO_CLEAR_ROUTE,MID_CAP_ROTATION,MIXED_NO_CLEAR_ROUTE,3,0,CYCLE_SPECIFIC,"{""2020-2021"": 1, ""2022"": 1, ""2025-2026"": 1}"
MIXED_NO_CLEAR_ROUTE,CAPITAL_EXIT,CAPITAL_EXIT,3,0,CYCLE_SPECIFIC,"{""2022"": 2, ""2025-2026"": 1}"
BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,BTC_CONCENTRATION,2,0,CYCLE_SPECIFIC,"{""2023"": 1, ""2024"": 1}"
LARGE_ALT_ROTATION,MIXED_NO_CLEAR_ROUTE,LARGE_ALT_ROTATION,2,0,CYCLE_SPECIFIC,"{""2023"": 1, ""2024"": 1}"
BTC_CONCENTRATION,NARROW_LEADERSHIP,BTC_CONCENTRATION,2,0,CYCLE_SPECIFIC,"{""2024"": 1, ""2025-2026"": 1}"
NARROW_LEADERSHIP,NARROW_LEADERSHIP,STABLECOIN_PARKING,2,0,CYCLE_SPECIFIC,"{""2020-2021"": 2}"
STABLECOIN_PARKING,ETH_BROADENING,ETH_BROADENING,2,0,CYCLE_SPECIFIC,"{""2020-2021"": 2}"
ETH_BROADENING,STABLECOIN_PARKING,ETH_BROADENING,2,0,CYCLE_SPECIFIC,"{""2020-2021"": 2}"
MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,2,0,CYCLE_SPECIFIC,"{""2020-2021"": 2}"
MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,ETH_BROADENING,2,0,CYCLE_SPECIFIC,"{""2020-2021"": 2}"
NARROW_LEADERSHIP,STABLECOIN_PARKING,NARROW_LEADERSHIP,2,0,CYCLE_SPECIFIC,"{""2020-2021"": 2}"
MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,2,0,CYCLE_SPECIFIC,"{""2020-2021"": 1, ""2024"": 1}"
LARGE_ALT_ROTATION,LARGE_ALT_ROTATION,MID_CAP_ROTATION,2,0,CYCLE_SPECIFIC,"{""2023"": 1, ""2024"": 1}"
MID_CAP_ROTATION,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,2,0,CYCLE_SPECIFIC,"{""2022"": 1, ""2024"": 1}"
MIXED_NO_CLEAR_ROUTE,LARGE_ALT_ROTATION,BROAD_RISK_EXPANSION,2,0,CYCLE_SPECIFIC,"{""2023"": 1, ""2024"": 1}"
BTC_CONCENTRATION,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,2,0,CYCLE_SPECIFIC,"{""2023"": 1, ""2025-2026"": 1}"
LARGE_ALT_ROTATION,MIXED_NO_CLEAR_ROUTE,NARROW_LEADERSHIP,2,0,CYCLE_SPECIFIC,"{""2022"": 1, ""2024"": 1}"
MID_CAP_ROTATION,MID_CAP_ROTATION,BTC_CONCENTRATION,2,0,CYCLE_SPECIFIC,"{""2024"": 1, ""2025-2026"": 1}"
BTC_CONCENTRATION,BTC_CONCENTRATION,BROAD_RISK_EXPANSION,2,0,CYCLE_SPECIFIC,"{""2024"": 1, ""2025-2026"": 1}"
NARROW_LEADERSHIP,BTC_CONCENTRATION,BTC_CONCENTRATION,2,0,CYCLE_SPECIFIC,"{""2024"": 1, ""2025-2026"": 1}"
CAPITAL_EXIT,CAPITAL_EXIT,MIXED_NO_CLEAR_ROUTE,2,0,CYCLE_SPECIFIC,"{""2022"": 2}"
BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,MID_CAP_ROTATION,2,0,CYCLE_SPECIFIC,"{""2022"": 1, ""2024"": 1}"
ETH_BROADENING,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,2,0,CYCLE_SPECIFIC,"{""2022"": 2}"
MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,MID_CAP_ROTATION,2,0,CYCLE_SPECIFIC,"{""2022"": 1, ""2025-2026"": 1}"
MID_CAP_ROTATION,BROAD_RISK_EXPANSION,MID_CAP_ROTATION,2,0,CYCLE_SPECIFIC,"{""2022"": 1, ""2023"": 1}"
NARROW_LEADERSHIP,ETH_BROADENING,NARROW_LEADERSHIP,2,0,CYCLE_SPECIFIC,"{""2022"": 1, ""2025-2026"": 1}"
NARROW_LEADERSHIP,NARROW_LEADERSHIP,LARGE_ALT_ROTATION,2,0,CYCLE_SPECIFIC,"{""2025-2026"": 2}"
NARROW_LEADERSHIP,LARGE_ALT_ROTATION,NARROW_LEADERSHIP,2,0,CYCLE_SPECIFIC,"{""2025-2026"": 2}"
MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,NARROW_LEADERSHIP,2,0,CYCLE_SPECIFIC,"{""2025-2026"": 2}"
SMALL_CAP_ROTATION,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,2,0,CYCLE_SPECIFIC,"{""2025-2026"": 2}"
STABLECOIN_PARKING,MIXED_NO_CLEAR_ROUTE,NARROW_LEADERSHIP,2,0,CYCLE_SPECIFIC,"{""2024"": 1, ""2025-2026"": 1}"
NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,2,0,CYCLE_SPECIFIC,"{""2024"": 2}"
NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE,LARGE_ALT_ROTATION,2,0,CYCLE_SPECIFIC,"{""2024"": 1, ""2025-2026"": 1}"
ETH_BROADENING,ETH_BROADENING,MID_CAP_ROTATION,2,0,CYCLE_SPECIFIC,"{""2020-2021"": 1, ""2025-2026"": 1}"
MIXED_NO_CLEAR_ROUTE,LARGE_ALT_ROTATION,LARGE_ALT_ROTATION,2,0,CYCLE_SPECIFIC,"{""2023"": 1, ""2025-2026"": 1}"
ETH_BROADENING,MID_CAP_ROTATION,MID_CAP_ROTATION,2,0,CYCLE_SPECIFIC,"{""2020-2021"": 1, ""2025-2026"": 1}"
NARROW_LEADERSHIP,STABLECOIN_PARKING,STABLECOIN_PARKING,2,0,CYCLE_SPECIFIC,"{""2020-2021"": 2}"
BTC_CONCENTRATION,BTC_CONCENTRATION,NARROW_LEADERSHIP,2,0,CYCLE_SPECIFIC,"{""2024"": 1, ""2025-2026"": 1}"
CAPITAL_EXIT,CAPITAL_EXIT,LARGE_ALT_ROTATION,2,0,CYCLE_SPECIFIC,"{""2025-2026"": 2}"
BTC_CONCENTRATION,NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE,2,0,CYCLE_SPECIFIC,"{""2025-2026"": 2}"
LARGE_ALT_ROTATION,CAPITAL_EXIT,CAPITAL_EXIT,2,0,CYCLE_SPECIFIC,"{""2025-2026"": 2}"
LARGE_ALT_ROTATION,LARGE_ALT_ROTATION,CAPITAL_EXIT,2,0,CYCLE_SPECIFIC,"{""2025-2026"": 2}"
MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,STABLECOIN_PARKING,1,0,CYCLE_SPECIFIC,"{""2020-2021"": 1}"
STABLECOIN_PARKING,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,1,0,CYCLE_SPECIFIC,"{""2020-2021"": 1}"
NARROW_LEADERSHIP,ETH_BROADENING,STABLECOIN_PARKING,1,0,CYCLE_SPECIFIC,"{""2020-2021"": 1}"
STABLECOIN_PARKING,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,1,0,CYCLE_SPECIFIC,"{""2020-2021"": 1}"
STABLECOIN_PARKING,STABLECOIN_PARKING,ETH_BROADENING,1,0,CYCLE_SPECIFIC,"{""2020-2021"": 1}"
NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE,STABLECOIN_PARKING,1,0,CYCLE_SPECIFIC,"{""2020-2021"": 1}"
STABLECOIN_PARKING,NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE,1,0,CYCLE_SPECIFIC,"{""2020-2021"": 1}"
NARROW_LEADERSHIP,STABLECOIN_PARKING,MIXED_NO_CLEAR_ROUTE,1,0,CYCLE_SPECIFIC,"{""2020-2021"": 1}"
MIXED_NO_CLEAR_ROUTE,STABLECOIN_PARKING,NARROW_LEADERSHIP,1,0,CYCLE_SPECIFIC,"{""2020-2021"": 1}"
BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,1,0,CYCLE_SPECIFIC,"{""2020-2021"": 1}"
STABLECOIN_PARKING,ETH_BROADENING,STABLECOIN_PARKING,1,0,CYCLE_SPECIFIC,"{""2020-2021"": 1}"
MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,MID_CAP_ROTATION,1,0,CYCLE_SPECIFIC,"{""2022"": 1}"
MID_CAP_ROTATION,STABLECOIN_PARKING,STABLECOIN_PARKING,1,0,CYCLE_SPECIFIC,"{""2020-2021"": 1}"
MID_CAP_ROTATION,MID_CAP_ROTATION,STABLECOIN_PARKING,1,0,CYCLE_SPECIFIC,"{""2020-2021"": 1}"
BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,MID_CAP_ROTATION,1,0,CYCLE_SPECIFIC,"{""2020-2021"": 1}"
SMALL_CAP_ROTATION,MID_CAP_ROTATION,MIXED_NO_CLEAR_ROUTE,1,0,CYCLE_SPECIFIC,"{""2022"": 1}"
BROAD_RISK_EXPANSION,BTC_CONCENTRATION,BROAD_RISK_EXPANSION,1,0,CYCLE_SPECIFIC,"{""2023"": 1}"
MID_CAP_ROTATION,BTC_CONCENTRATION,LARGE_ALT_ROTATION,1,0,CYCLE_SPECIFIC,"{""2023"": 1}"
MID_CAP_ROTATION,MID_CAP_ROTATION,LARGE_ALT_ROTATION,1,0,CYCLE_SPECIFIC,"{""2023"": 1}"
ETH_BROADENING,BTC_CONCENTRATION,BTC_CONCENTRATION,1,0,CYCLE_SPECIFIC,"{""2023"": 1}"
ETH_BROADENING,ETH_BROADENING,BTC_CONCENTRATION,1,0,CYCLE_SPECIFIC,"{""2023"": 1}"
LARGE_ALT_ROTATION,MID_CAP_ROTATION,MID_CAP_ROTATION,1,0,CYCLE_SPECIFIC,"{""2023"": 1}"
MID_CAP_ROTATION,LARGE_ALT_ROTATION,LARGE_ALT_ROTATION,1,0,CYCLE_SPECIFIC,"{""2023"": 1}"
BTC_CONCENTRATION,ETH_BROADENING,ETH_BROADENING,1,0,CYCLE_SPECIFIC,"{""2023"": 1}"
BTC_CONCENTRATION,BTC_CONCENTRATION,ETH_BROADENING,1,0,CYCLE_SPECIFIC,"{""2023"": 1}"
NARROW_LEADERSHIP,ETH_BROADENING,MIXED_NO_CLEAR_ROUTE,1,0,CYCLE_SPECIFIC,"{""2022"": 1}"
MID_CAP_ROTATION,SMALL_CAP_ROTATION,SMALL_CAP_ROTATION,1,0,CYCLE_SPECIFIC,"{""2022"": 1}"
MIXED_NO_CLEAR_ROUTE,MID_CAP_ROTATION,SMALL_CAP_ROTATION,1,0,CYCLE_SPECIFIC,"{""2022"": 1}"
BROAD_RISK_EXPANSION,MID_CAP_ROTATION,BROAD_RISK_EXPANSION,1,0,CYCLE_SPECIFIC,"{""2022"": 1}"
SMALL_CAP_ROTATION,SMALL_CAP_ROTATION,MID_CAP_ROTATION,1,0,CYCLE_SPECIFIC,"{""2022"": 1}"
CAPITAL_EXIT,MIXED_NO_CLEAR_ROUTE,CAPITAL_EXIT,1,0,CYCLE_SPECIFIC,"{""2022"": 1}"
CAPITAL_EXIT,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,1,0,CYCLE_SPECIFIC,"{""2022"": 1}"
SMALL_CAP_ROTATION,MID_CAP_ROTATION,BROAD_RISK_EXPANSION,1,0,CYCLE_SPECIFIC,"{""2022"": 1}"
BROAD_RISK_EXPANSION,SMALL_CAP_ROTATION,MID_CAP_ROTATION,1,0,CYCLE_SPECIFIC,"{""2022"": 1}"
BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,SMALL_CAP_ROTATION,1,0,CYCLE_SPECIFIC,"{""2022"": 1}"
BTC_CONCENTRATION,MID_CAP_ROTATION,BROAD_RISK_EXPANSION,1,0,CYCLE_SPECIFIC,"{""2022"": 1}"
MID_CAP_ROTATION,STABLECOIN_PARKING,LARGE_ALT_ROTATION,1,0,CYCLE_SPECIFIC,"{""2024"": 1}"
STABLECOIN_PARKING,LARGE_ALT_ROTATION,LARGE_ALT_ROTATION,1,0,CYCLE_SPECIFIC,"{""2024"": 1}"
BROAD_RISK_EXPANSION,BTC_CONCENTRATION,LARGE_ALT_ROTATION,1,0,CYCLE_SPECIFIC,"{""2024"": 1}"
BTC_CONCENTRATION,MID_CAP_ROTATION,STABLECOIN_PARKING,1,0,CYCLE_SPECIFIC,"{""2024"": 1}"
