sector,episode_start,episode_end,leader_symbol,leader_rank,n_peers,n_days,same_day_corr,delay1_corr,delay3_corr,delay7_corr,delay14_corr
ai-big-data,2022-08-23 23:59:59,2022-08-27 23:59:59,GRT,57,30,5,0.5183,,,,
ai-big-data,2022-09-07 23:59:59,2022-09-13 23:59:59,GRT,59,48,7,-0.2642,0.7456,,,
ai-big-data,2022-10-17 23:59:59,2022-10-22 23:59:59,GRT,63,36,6,0.5876,-0.4236,,,
ai-big-data,2022-12-08 23:59:59,2022-12-15 23:59:59,GRT,75,54,8,-0.0954,0.1883,-0.8377,,
ai-big-data,2022-12-19 23:59:59,2022-12-28 23:59:59,GRT,65,70,10,0.3968,0.1989,0.0326,,
ai-big-data,2023-01-06 23:59:59,2023-01-18 23:59:59,GRT,62,153,13,0.4689,-0.3068,-0.1555,0.3612,
ai-big-data,2023-02-04 23:59:59,2023-02-11 23:59:59,GRT,52,156,8,0.848,-0.2512,0.268,,
ai-big-data,2023-05-27 23:59:59,2023-06-04 23:59:59,GRT,42,192,8,0.4292,0.5267,,,
ai-big-data,2023-07-12 23:59:59,2023-07-16 23:59:59,GRT,41,118,5,0.7489,,,,
ai-big-data,2023-10-25 23:59:59,2023-11-02 23:59:59,INJ,44,240,9,-0.1024,0.8702,0.3297,,
ai-big-data,2024-01-24 23:59:59,2024-02-04 23:59:59,ICP,17,488,12,0.7102,0.1269,0.4817,-0.0821,
ai-big-data,2024-02-10 23:59:59,2024-02-14 23:59:59,ICP,16,212,5,-0.6003,,,,
ai-big-data,2024-05-05 23:59:59,2024-05-11 23:59:59,NEAR,17,283,6,0.9993,,,,
ai-big-data,2024-06-20 23:59:59,2024-06-26 23:59:59,NEAR,19,363,7,0.5702,0.2846,,,
ai-big-data,2024-08-25 23:59:59,2024-08-29 23:59:59,NEAR,18,246,5,-0.1056,,,,
ai-big-data,2024-09-20 23:59:59,2024-09-30 23:59:59,NEAR,19,544,11,0.6112,0.078,0.0515,,
ai-big-data,2024-11-25 23:59:59,2024-12-04 23:59:59,NEAR,20,585,10,-0.1753,0.1383,-0.058,,
ai-big-data,2025-02-03 23:59:59,2025-02-09 23:59:59,NEAR,30,419,7,0.6622,0.5615,,,
ai-big-data,2025-02-28 23:59:59,2025-03-05 23:59:59,NEAR,30,366,6,0.6528,0.1952,,,
ai-big-data,2025-04-22 23:59:59,2025-04-29 23:59:59,TAO,32,497,8,-0.3442,0.3423,-0.74,,
ai-big-data,2026-02-12 23:59:59,2026-02-17 23:59:59,TAO,39,272,6,0.3411,0.5301,,,
ai-big-data,2026-03-14 23:59:59,2026-03-24 23:59:59,TAO,32,534,11,-0.0401,0.2232,0.0848,,
ai-big-data,2026-05-06 23:59:59,2026-05-12 23:59:59,TAO,30,357,7,0.8493,-0.2006,,,
ai-big-data,2026-05-22 23:59:59,2026-05-29 23:59:59,TAO,31,430,8,0.7167,-0.411,-0.2839,,
ai-big-data,2026-06-12 23:59:59,2026-06-19 23:59:59,NEAR,32,431,8,0.3827,-0.6688,0.8823,,
ai-big-data,2026-07-04 23:59:59,2026-07-11 23:59:59,NEAR,31,397,8,0.367,-0.5441,0.8768,,
ai-big-data,2026-07-30 23:59:59,2026-08-07 23:59:59,NEAR,33,502,9,0.3586,0.4757,0.6445,,
ai-memes,2025-02-26 23:59:59,2025-03-03 23:59:59,AI16Z,139,29,6,0.8891,-0.7204,,,
ai-memes,2025-04-22 23:59:59,2025-04-30 23:59:59,FARTCOIN,63,35,9,-0.0117,0.6289,-0.3612,,
ai-memes,2025-05-08 23:59:59,2025-05-13 23:59:59,FARTCOIN,66,19,6,0.9526,0.7306,,,
ai-memes,2025-09-10 23:59:59,2025-09-14 23:59:59,FARTCOIN,89,30,5,0.7237,,,,
ai-memes,2025-12-01 23:59:59,2025-12-08 23:59:59,FARTCOIN,127,26,8,0.1494,0.2964,0.8546,,
ai-memes,2026-01-03 23:59:59,2026-01-09 23:59:59,FARTCOIN,122,21,7,0.6561,-0.114,,,
ai-memes,2026-03-15 23:59:59,2026-03-23 23:59:59,B,144,36,9,0.0927,0.3875,0.0896,,
ai-memes,2026-04-08 23:59:59,2026-04-13 23:59:59,FARTCOIN,130,24,6,-0.0532,-0.1678,,,
ai-memes,2026-06-12 23:59:59,2026-06-19 23:59:59,B,118,24,8,-0.2165,0.1147,-0.4644,,
ai-memes,2026-07-01 23:59:59,2026-07-07 23:59:59,B,112,28,7,-0.1942,0.7697,,,
ai-memes,2026-07-30 23:59:59,2026-08-06 23:59:59,B,136,34,8,0.1796,0.2898,0.1636,,
ai-memes,2026-08-13 23:59:59,2026-08-23 23:59:59,B,132,53,11,-0.2412,0.1966,0.2855,,
alameda-research-portfolio,2021-05-29 23:59:59,2021-06-06 23:59:59,BTC,1,234,8,-0.8271,0.0567,,,
alameda-research-portfolio,2021-07-05 23:59:59,2021-07-11 23:59:59,BTC,1,204,7,-0.8071,-0.3402,,,
alameda-research-portfolio,2021-10-16 23:59:59,2021-10-23 23:59:59,BTC,1,248,8,-0.72,-0.4506,0.826,,
alameda-research-portfolio,2022-04-19 23:59:59,2022-04-26 23:59:59,BTC,1,232,8,-0.2648,-0.4165,-0.2539,,
alameda-research-portfolio,2022-05-01 23:59:59,2022-05-08 23:59:59,BTC,1,232,8,-0.4794,0.2159,-0.2666,,
alameda-research-portfolio,2022-05-26 23:59:59,2022-05-31 23:59:59,BTC,1,165,6,-0.6626,-0.4389,,,
alameda-research-portfolio,2022-06-21 23:59:59,2022-06-26 23:59:59,BTC,1,168,6,-0.3747,0.0413,,,
alameda-research-portfolio,2022-07-04 23:59:59,2022-07-10 23:59:59,BTC,1,190,7,-0.1083,-0.2794,,,
alameda-research-portfolio,2022-07-16 23:59:59,2022-07-20 23:59:59,BTC,1,140,5,-0.5381,,,,
alameda-research-portfolio,2022-10-25 23:59:59,2022-10-29 23:59:59,BTC,1,131,5,0.1117,,,,
alameda-research-portfolio,2022-11-26 23:59:59,2022-12-01 23:59:59,BTC,1,173,6,-0.3067,-0.2641,,,
alameda-research-portfolio,2022-12-28 23:59:59,2023-01-01 23:59:59,BTC,1,144,5,-0.7834,,,,
alameda-research-portfolio,2023-01-06 23:59:59,2023-01-16 23:59:59,BTC,1,326,11,-0.287,-0.0784,0.2482,,
alameda-research-portfolio,2023-04-12 23:59:59,2023-04-17 23:59:59,BTC,1,174,6,-0.141,0.441,,,
alameda-research-portfolio,2023-05-22 23:59:59,2023-05-29 23:59:59,BTC,1,230,8,-0.3063,0.1534,-0.7916,,
alameda-research-portfolio,2023-07-13 23:59:59,2023-07-19 23:59:59,BTC,1,189,7,0.2373,-0.2097,,,
alameda-research-portfolio,2024-04-30 23:59:59,2024-05-05 23:59:59,BTC,1,146,6,0.9996,-0.2478,,,
alameda-research-portfolio,2024-06-16 23:59:59,2024-06-26 23:59:59,BTC,1,272,11,-0.9405,-0.0482,-0.4161,,
alameda-research-portfolio,2024-07-06 23:59:59,2024-07-12 23:59:59,BTC,1,168,7,-0.7483,0.7977,,,
alameda-research-portfolio,2024-09-20 23:59:59,2024-09-26 23:59:59,BTC,1,147,7,-0.9221,0.4691,,,
alameda-research-portfolio,2025-02-08 23:59:59,2025-02-12 23:59:59,BTC,1,95,5,-0.5409,,,,
alameda-research-portfolio,2025-03-02 23:59:59,2025-03-11 23:59:59,BTC,1,190,10,-0.2183,0.3642,-0.1877,,
alameda-research-portfolio,2026-05-14 23:59:59,2026-05-18 23:59:59,BTC,1,80,5,-0.1044,,,,
alameda-research-portfolio,2026-06-13 23:59:59,2026-06-19 23:59:59,BTC,1,112,7,-0.5493,-0.0708,,,
alameda-research-portfolio,2026-07-20 23:59:59,2026-07-27 23:59:59,BTC,1,128,8,-0.2178,-0.0457,0.3572,,
algorand-ecosystem,2022-02-12 23:59:59,2022-02-17 23:59:59,HT,62,36,6,0.2327,-0.5665,,,
algorand-ecosystem,2022-04-06 23:59:59,2022-04-14 23:59:59,KCS,66,45,9,0.3023,-0.1657,-0.6525,,
algorand-ecosystem,2022-04-26 23:59:59,2022-05-03 23:59:59,KCS,54,40,8,-0.1692,0.0522,-0.7193,,
algorand-ecosystem,2022-05-11 23:59:59,2022-05-17 23:59:59,HT,48,39,7,-0.5788,-0.1109,,,
algorand-ecosystem,2022-05-27 23:59:59,2022-06-02 23:59:59,KCS,40,35,7,0.0166,0.1528,,,
algorand-ecosystem,2022-06-10 23:59:59,2022-06-14 23:59:59,KCS,36,30,5,0.4457,,,,
algorand-ecosystem,2022-08-25 23:59:59,2022-08-30 23:59:59,KCS,51,30,6,0.7257,0.4786,,,
algorand-ecosystem,2022-10-14 23:59:59,2022-10-20 23:59:59,HT,42,42,7,0.0991,0.1671,,,
algorand-ecosystem,2022-11-26 23:59:59,2022-12-02 23:59:59,HT,38,42,7,0.6744,-0.4289,,,
algorand-ecosystem,2022-12-18 23:59:59,2022-12-24 23:59:59,HT,42,42,7,0.0171,0.3405,,,
algorand-ecosystem,2023-04-06 23:59:59,2023-04-12 23:59:59,KCS,61,35,7,0.4163,0.3166,,,
algorand-ecosystem,2023-06-08 23:59:59,2023-06-15 23:59:59,KCS,60,28,7,0.3032,,,,
algorand-ecosystem,2023-07-08 23:59:59,2023-07-12 23:59:59,KCS,67,20,5,0.6461,,,,
algorand-ecosystem,2023-07-18 23:59:59,2023-07-27 23:59:59,KCS,68,36,9,0.8005,-0.186,,,
algorand-ecosystem,2023-09-08 23:59:59,2023-09-17 23:59:59,HT,78,32,8,0.9948,,,,
algorand-ecosystem,2024-01-23 23:59:59,2024-01-27 23:59:59,KCS,63,19,5,0.2075,,,,
algorand-ecosystem,2024-04-09 23:59:59,2024-04-16 23:59:59,KCS,98,29,7,0.0729,-0.4221,,,
algorand-ecosystem,2024-06-20 23:59:59,2024-06-26 23:59:59,LMWR,321,7,7,-0.2301,-0.0028,,,
algorand-ecosystem,2025-07-05 23:59:59,2025-07-17 23:59:59,ALGO,54,13,13,-0.2377,0.191,-0.2344,-0.3051,
algorand-ecosystem,2025-09-09 23:59:59,2025-09-14 23:59:59,ALGO,53,6,6,0.023,0.2461,,,
algorand-ecosystem,2025-11-18 23:59:59,2025-11-26 23:59:59,ALGO,54,9,9,0.1106,-0.0675,-0.5355,,
algorand-ecosystem,2025-11-28 23:59:59,2025-12-07 23:59:59,ALGO,54,10,10,-0.3433,-0.3601,0.1374,,
algorithmic-stablecoin,2022-02-12 23:59:59,2022-02-17 23:59:59,FEI,140,18,6,0.9893,0.0715,,,
algorithmic-stablecoin,2022-02-20 23:59:59,2022-02-26 23:59:59,FEI,132,21,7,0.9927,0.1594,,,
algorithmic-stablecoin,2022-04-08 23:59:59,2022-04-12 23:59:59,FEI,144,15,5,0.9961,,,,
algorithmic-stablecoin,2022-05-08 23:59:59,2022-05-15 23:59:59,FEI,123,53,8,0.995,-0.0271,0.111,,
algorithmic-stablecoin,2022-06-10 23:59:59,2022-06-14 23:59:59,FRAX,208,45,5,0.9966,,,,
algorithmic-stablecoin,2022-08-18 23:59:59,2022-08-24 23:59:59,FRAX,208,70,7,0.9907,-0.0821,,,
algorithmic-stablecoin,2022-11-08 23:59:59,2022-11-15 23:59:59,FRAX,205,80,8,0.9898,-0.2067,0.1155,,
algorithmic-stablecoin,2023-02-27 23:59:59,2023-03-13 23:59:59,FRAX,207,120,15,0.9627,0.6196,-0.4679,0.0842,
algorithmic-stablecoin,2023-03-24 23:59:59,2023-03-28 23:59:59,FRAX,207,40,5,0.9997,,,,
algorithmic-stablecoin,2023-04-19 23:59:59,2023-04-27 23:59:59,FRAX,207,71,9,0.9739,0.1619,0.2768,,
algorithmic-stablecoin,2023-05-07 23:59:59,2023-05-14 23:59:59,FRAX,207,56,7,0.9286,-0.3648,,,
algorithmic-stablecoin,2023-06-08 23:59:59,2023-06-16 23:59:59,FRAX,207,64,8,0.9863,-0.0782,,,
algorithmic-stablecoin,2024-03-18 23:59:59,2024-03-22 23:59:59,USDD,120,15,5,0.9956,,,,
algorithmic-stablecoin,2024-04-02 23:59:59,2024-04-07 23:59:59,USDD,117,18,6,0.9945,-0.269,,,
algorithmic-stablecoin,2024-04-12 23:59:59,2024-04-19 23:59:59,USDD,112,21,8,0.9916,-0.1199,-0.4447,,
algorithmic-stablecoin,2024-05-31 23:59:59,2024-06-04 23:59:59,USDD,111,6,5,-0.0815,,,,
algorithmic-stablecoin,2024-06-14 23:59:59,2024-06-24 23:59:59,USDD,102,22,11,0.0712,0.2074,-0.0177,,
algorithmic-stablecoin,2024-07-02 23:59:59,2024-07-10 23:59:59,USDD,90,18,9,-0.0414,-0.6329,0.8943,,
algorithmic-stablecoin,2024-07-28 23:59:59,2024-08-07 23:59:59,USDD,93,20,10,0.6612,0.2106,0.4481,,
algorithmic-stablecoin,2024-09-30 23:59:59,2024-10-05 23:59:59,USDD,92,12,6,0.2173,0.0233,,,
algorithmic-stablecoin,2025-02-01 23:59:59,2025-02-07 23:59:59,USDD,105,5,5,,,,,
algorithmic-stablecoin,2025-03-03 23:59:59,2025-03-09 23:59:59,USDD,222,14,7,0.7563,-0.022,,,
alleged-sec-securities,2024-06-24 23:59:59,2024-06-29 23:59:59,BNB,4,162,6,0.7762,0.7249,,,
alleged-sec-securities,2024-07-27 23:59:59,2024-07-31 23:59:59,SOL,4,135,5,0.1748,,,,
alleged-sec-securities,2024-11-18 23:59:59,2024-11-29 23:59:59,SOL,4,311,12,0.0399,0.3306,0.0735,0.1543,
alleged-sec-securities,2025-01-09 23:59:59,2025-01-13 23:59:59,BNB,5,127,5,-0.1553,,,,
alleged-sec-securities,2025-02-05 23:59:59,2025-02-13 23:59:59,SOL,5,234,9,0.339,0.6975,-0.1931,,
alleged-sec-securities,2025-03-01 23:59:59,2025-03-05 23:59:59,BNB,5,134,5,0.1923,,,,
alleged-sec-securities,2025-03-07 23:59:59,2025-03-15 23:59:59,BNB,5,243,9,0.6856,-0.159,-0.4698,,
alleged-sec-securities,2025-05-29 23:59:59,2025-06-03 23:59:59,BNB,5,153,6,0.3924,-0.598,,,
alleged-sec-securities,2025-06-16 23:59:59,2025-06-22 23:59:59,BNB,5,179,7,0.1142,-0.1556,,,
alleged-sec-securities,2026-02-27 23:59:59,2026-03-03 23:59:59,BNB,4,110,5,0.0033,,,,
alleged-sec-securities,2026-05-15 23:59:59,2026-05-19 23:59:59,BNB,4,100,5,-0.1334,,,,
alleged-sec-securities,2026-08-02 23:59:59,2026-08-08 23:59:59,BNB,4,133,7,0.8786,-0.4658,,,
amber-group-portfolio,2026-07-30 23:59:59,2026-08-05 23:59:59,NEAR,33,109,7,0.4105,0.4048,,,
amber-group-portfolio,2026-08-19 23:59:59,2026-08-23 23:59:59,NEAR,34,82,5,0.7372,,,,
amm,2021-01-24 23:59:59,2021-01-29 23:59:59,UNI,14,45,6,0.2214,-0.7625,,,
amm,2021-02-01 23:59:59,2021-02-05 23:59:59,UNI,12,36,5,0.6878,,,,
amm,2021-04-23 23:59:59,2021-04-27 23:59:59,UNI,9,69,5,0.377,,,,
amm,2021-05-29 23:59:59,2021-06-05 23:59:59,UNI,11,119,7,0.8414,,,,
amm,2022-03-23 23:59:59,2022-03-30 23:59:59,UNI,25,132,8,0.3624,-0.8148,0.2707,,
amm,2022-04-01 23:59:59,2022-04-07 23:59:59,UNI,24,118,7,0.6115,0.1316,,,
amm,2022-05-27 23:59:59,2022-05-31 23:59:59,UNI,22,85,5,0.3141,,,,
amm,2022-06-23 23:59:59,2022-06-27 23:59:59,UNI,19,77,5,0.1805,,,,
amm,2022-07-04 23:59:59,2022-07-09 23:59:59,UNI,19,94,6,0.636,-0.6678,,,
amm,2022-07-11 23:59:59,2022-07-20 23:59:59,UNI,19,160,10,0.6267,0.0648,0.326,,
amm,2022-10-17 23:59:59,2022-10-23 23:59:59,UNI,16,112,7,-0.3426,0.043,,,
amm,2022-10-25 23:59:59,2022-10-31 23:59:59,UNI,16,112,7,0.4331,-0.0097,,,
amm,2022-11-13 23:59:59,2022-11-19 23:59:59,UNI,16,115,7,0.7219,-0.2088,,,
amm,2022-11-24 23:59:59,2022-12-04 23:59:59,UNI,17,188,11,0.053,-0.1305,0.2171,,
amm,2022-12-28 23:59:59,2023-01-02 23:59:59,UNI,16,102,6,0.7715,0.5629,,,
amm,2023-03-29 23:59:59,2023-04-02 23:59:59,UNI,20,80,5,0.9641,,,,
amm,2023-11-02 23:59:59,2023-11-07 23:59:59,UNI,26,90,6,0.4542,-0.8463,,,
amm,2024-05-17 23:59:59,2024-05-22 23:59:59,UNI,23,99,6,0.6418,0.0694,,,
amm,2024-06-16 23:59:59,2024-06-26 23:59:59,UNI,17,198,11,0.683,0.1453,0.1579,,
amm,2024-07-11 23:59:59,2024-07-15 23:59:59,UNI,22,94,5,0.4998,,,,
amm,2024-09-24 23:59:59,2024-10-02 23:59:59,UNI,24,162,9,0.521,0.2378,0.1429,,
amm,2024-11-25 23:59:59,2024-12-04 23:59:59,UNI,23,176,10,0.7827,-0.3961,0.4618,,
amm,2025-02-03 23:59:59,2025-02-09 23:59:59,UNI,26,119,7,0.3591,-0.3376,,,
amm,2025-04-21 23:59:59,2025-04-25 23:59:59,UNI,28,73,5,0.4511,,,,
