chain,link,driver,outcome,lead_days,corr,perm_p,n,fdr_q
Solana,TVL_LEADS_NATIVE,tvl_chg7,improving_share,1,0.0859,0.0597,1920,0.1242
Solana,TVL_LEADS_NATIVE,tvl_chg7,improving_share,3,0.0162,0.7264,1918,0.8332
Solana,TVL_LEADS_NATIVE,tvl_chg7,improving_share,7,-0.0686,0.1393,1914,0.2364
Solana,TVL_LEADS_NATIVE,tvl_chg7,improving_share,14,0.0461,0.2886,1907,0.4183
Solana,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,1,0.0736,0.0498,1920,0.1098
Solana,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,3,0.0743,0.0348,1918,0.0831
Solana,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,7,0.0717,0.0498,1914,0.1098
Solana,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,14,0.0518,0.1443,1907,0.2417
Solana,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,1,0.3138,0.005,1892,0.0253
Solana,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,3,0.1514,0.005,1890,0.0253
Solana,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,7,-0.1744,0.005,1886,0.0253
Solana,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,14,-0.0236,0.4577,1879,0.615
Solana,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,1,0.2943,0.0299,1920,0.0779
Solana,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,3,0.3171,0.0149,1918,0.0499
Solana,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,7,0.3558,0.0149,1914,0.0499
Solana,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,14,0.3925,0.005,1907,0.0253
Solana,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,1,0.3292,0.005,1892,0.0253
Solana,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,3,0.1717,0.005,1890,0.0253
Solana,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,7,-0.123,0.01,1886,0.0391
Solana,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,14,0.0283,0.3731,1879,0.5289
Arbitrum,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,1,0.3309,0.005,1720,0.0253
Arbitrum,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,3,0.1536,0.01,1718,0.0391
Arbitrum,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,7,-0.1855,0.005,1715,0.0253
Arbitrum,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,14,-0.0211,0.5373,1708,0.6829
Arbitrum,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,1,0.3419,0.005,1720,0.0253
Arbitrum,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,3,0.2007,0.005,1718,0.0253
Arbitrum,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,7,-0.1736,0.0199,1714,0.0597
Arbitrum,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,14,-0.0484,0.1692,1707,0.2711
Avalanche,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,1,0.1547,0.0647,1746,0.1304
Avalanche,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,3,0.147,0.0597,1744,0.1242
Avalanche,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,7,0.2412,0.005,1740,0.0253
Avalanche,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,14,0.4113,0.005,1733,0.0253
Avalanche,TVL_LEADS_NATIVE,tvl_chg7,improving_share,1,-0.0166,0.7164,1746,0.8332
Avalanche,TVL_LEADS_NATIVE,tvl_chg7,improving_share,3,-0.059,0.1891,1744,0.3012
Avalanche,TVL_LEADS_NATIVE,tvl_chg7,improving_share,7,-0.0937,0.0348,1740,0.0831
Avalanche,TVL_LEADS_NATIVE,tvl_chg7,improving_share,14,-0.0619,0.1343,1733,0.2325
Avalanche,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,1,0.0444,0.1642,1746,0.2648
Avalanche,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,3,0.0394,0.2338,1744,0.3569
Avalanche,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,7,0.0231,0.3731,1740,0.5289
Avalanche,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,14,0.0478,0.1592,1733,0.26
Avalanche,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,1,0.3715,0.005,1684,0.0253
Avalanche,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,3,0.2229,0.005,1684,0.0253
Avalanche,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,7,-0.0644,0.0647,1684,0.1304
Avalanche,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,14,0.0016,0.9652,1677,0.9751
Avalanche,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,1,0.1756,0.0547,1746,0.1176
Avalanche,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,3,0.2014,0.0398,1744,0.0909
Avalanche,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,7,0.2283,0.0299,1740,0.0779
Avalanche,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,14,0.1939,0.0398,1733,0.0909
Avalanche,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,1,0.3916,0.005,1683,0.0253
Avalanche,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,3,0.2399,0.005,1681,0.0253
Avalanche,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,7,-0.1133,0.01,1677,0.0391
Avalanche,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,14,0.0025,0.9552,1670,0.9702
Polygon,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,1,0.1542,0.0348,1652,0.0831
Polygon,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,3,0.1396,0.0597,1650,0.1242
Polygon,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,7,0.1165,0.1244,1646,0.2183
Polygon,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,14,0.1202,0.1144,1639,0.2064
Polygon,TVL_LEADS_NATIVE,tvl_chg7,improving_share,1,0.0168,0.7363,1652,0.8332
Polygon,TVL_LEADS_NATIVE,tvl_chg7,improving_share,3,-0.0288,0.5274,1650,0.677
Polygon,TVL_LEADS_NATIVE,tvl_chg7,improving_share,7,-0.0558,0.2338,1646,0.3569
Polygon,TVL_LEADS_NATIVE,tvl_chg7,improving_share,14,0.0282,0.597,1639,0.737
Polygon,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,1,0.0996,0.0647,1652,0.1304
Polygon,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,3,0.1307,0.005,1650,0.0253
Polygon,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,7,0.0785,0.0896,1646,0.17
Polygon,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,14,0.0151,0.6816,1639,0.8104
Polygon,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,1,0.3978,0.005,1589,0.0253
Polygon,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,3,0.194,0.005,1589,0.0253
Polygon,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,7,-0.148,0.005,1589,0.0253
Polygon,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,14,-0.0745,0.0945,1589,0.178
Polygon,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,1,0.1603,0.0249,1652,0.0698
Polygon,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,3,0.1517,0.0448,1650,0.1005
Polygon,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,7,0.1332,0.0896,1646,0.17
Polygon,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,14,0.1517,0.0647,1639,0.1304
Polygon,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,1,0.4272,0.005,1588,0.0253
Polygon,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,3,0.2711,0.005,1586,0.0253
Polygon,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,7,-0.1024,0.0249,1582,0.0698
Polygon,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,14,-0.1219,0.0149,1575,0.0499
OP Mainnet,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,1,-0.0255,0.6816,1459,0.8104
OP Mainnet,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,3,-0.0354,0.592,1457,0.7343
OP Mainnet,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,7,-0.052,0.4776,1453,0.6384
OP Mainnet,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,14,-0.0415,0.5572,1446,0.7047
OP Mainnet,TVL_LEADS_NATIVE,tvl_chg7,improving_share,1,0.0118,0.7363,1459,0.8332
OP Mainnet,TVL_LEADS_NATIVE,tvl_chg7,improving_share,3,-0.0065,0.8856,1457,0.9354
OP Mainnet,TVL_LEADS_NATIVE,tvl_chg7,improving_share,7,0.0215,0.6418,1453,0.7774
OP Mainnet,TVL_LEADS_NATIVE,tvl_chg7,improving_share,14,0.0064,0.8955,1446,0.9354
OP Mainnet,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,1,0.0486,0.2786,1459,0.4107
OP Mainnet,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,3,0.0495,0.2388,1457,0.3624
OP Mainnet,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,7,0.065,0.0896,1453,0.17
OP Mainnet,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,14,0.0288,0.4975,1446,0.645
OP Mainnet,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,1,0.3044,0.005,1426,0.0253
OP Mainnet,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,3,0.1465,0.005,1426,0.0253
OP Mainnet,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,7,-0.0621,0.1393,1426,0.2364
OP Mainnet,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,14,-0.004,0.9403,1419,0.9665
OP Mainnet,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,1,-0.0148,0.8209,1459,0.8899
OP Mainnet,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,3,-0.0067,0.9303,1457,0.9639
OP Mainnet,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,7,0.0106,0.8706,1453,0.9296
OP Mainnet,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,14,0.0248,0.7363,1446,0.8332
OP Mainnet,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,1,0.3166,0.005,1425,0.0253
OP Mainnet,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,3,0.1871,0.01,1423,0.0391
OP Mainnet,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,7,-0.0869,0.0199,1419,0.0597
OP Mainnet,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,14,0.0808,0.0547,1412,0.1176
Bitcoin,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,1,0.0724,0.4876,1169,0.6418
Bitcoin,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,3,0.065,0.5871,1167,0.7317
Bitcoin,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,7,0.0517,0.7065,1163,0.8285
Bitcoin,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,14,0.0694,0.4925,1156,0.645
Bitcoin,TVL_LEADS_NATIVE,tvl_chg7,improving_share,1,0.0243,0.6816,1169,0.8104
Bitcoin,TVL_LEADS_NATIVE,tvl_chg7,improving_share,3,0.0037,0.9552,1167,0.9702
Bitcoin,TVL_LEADS_NATIVE,tvl_chg7,improving_share,7,-0.015,0.791,1163,0.8814
Bitcoin,TVL_LEADS_NATIVE,tvl_chg7,improving_share,14,0.0024,0.9403,1156,0.9665
Bitcoin,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,1,0.0555,0.1294,1169,0.2256
Bitcoin,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,3,0.0223,0.5771,1167,0.7228
Bitcoin,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,7,-0.0072,0.8756,1163,0.9296
Bitcoin,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,14,0.1424,0.005,1156,0.0253
Bitcoin,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,1,0.3763,0.01,1137,0.0391
Bitcoin,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,3,0.2088,0.01,1137,0.0391
Bitcoin,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,7,-0.0722,0.1493,1137,0.2469
Bitcoin,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,14,0.0949,0.0746,1130,0.1481
Bitcoin,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,1,0.08,0.4876,1169,0.6418
Bitcoin,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,3,0.0817,0.4328,1167,0.5939
Bitcoin,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,7,0.0787,0.4975,1163,0.645
Bitcoin,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,14,0.1306,0.209,1156,0.3248
Bitcoin,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,1,0.3682,0.005,1136,0.0253
Bitcoin,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,3,0.2123,0.0149,1134,0.0499
Bitcoin,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,7,-0.0322,0.4826,1130,0.6418
Bitcoin,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,14,0.0021,0.9751,1123,0.9751
Sui,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,1,0.1529,0.3085,688,0.4447
Sui,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,3,0.1173,0.4378,686,0.5945
Sui,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,7,0.0643,0.6418,682,0.7774
Sui,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,14,0.0307,0.8955,675,0.9354
Sui,TVL_LEADS_NATIVE,tvl_chg7,improving_share,1,0.2361,0.01,688,0.0391
Sui,TVL_LEADS_NATIVE,tvl_chg7,improving_share,3,0.1437,0.0547,686,0.1176
Sui,TVL_LEADS_NATIVE,tvl_chg7,improving_share,7,0.0118,0.8706,682,0.9296
Sui,TVL_LEADS_NATIVE,tvl_chg7,improving_share,14,-0.1199,0.1095,675,0.2032
Sui,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,1,0.2308,0.0149,688,0.0499
Sui,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,3,0.1425,0.0199,686,0.0597
Sui,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,7,0.0769,0.2836,682,0.4134
Sui,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,14,0.1654,0.0249,675,0.0698
Sui,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,1,0.3559,0.0199,682,0.0597
Sui,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,3,0.1949,0.0299,682,0.0779
Sui,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,7,-0.082,0.1443,682,0.2417
Sui,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,14,-0.0232,0.7363,675,0.8332
Sui,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,1,0.1935,0.0896,688,0.17
Sui,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,3,0.2234,0.0398,686,0.0909
Sui,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,7,0.2662,0.005,682,0.0253
Sui,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,14,0.2939,0.005,675,0.0253
Sui,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,1,0.3916,0.005,681,0.0253
Sui,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,3,0.2429,0.01,679,0.0391
Sui,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,7,-0.0787,0.1542,675,0.2534
Sui,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,14,0.0444,0.4328,668,0.5939
Hyperliquid L1,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,7,0.3229,0.0299,622,0.0779
Hyperliquid L1,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,14,0.1892,0.204,615,0.319
Hyperliquid L1,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,1,0.2032,0.005,621,0.0253
Hyperliquid L1,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,3,0.187,0.0199,621,0.0597
Hyperliquid L1,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,7,0.148,0.0796,621,0.1568
Hyperliquid L1,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,14,-0.0711,0.3831,614,0.5372
Hyperliquid L1,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,1,0.245,0.005,620,0.0253
Hyperliquid L1,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,3,0.1818,0.0348,618,0.0831
Hyperliquid L1,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,7,0.0667,0.408,614,0.569
Hyperliquid L1,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,14,-0.0637,0.4378,607,0.5945
PulseChain,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,1,0.1159,0.2537,364,0.3828
PulseChain,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,3,0.0197,0.8159,362,0.8882
PulseChain,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,7,-0.125,0.2836,358,0.4134
PulseChain,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,14,-0.05,0.6219,351,0.764
PulseChain,TVL_LEADS_NATIVE,tvl_chg7,improving_share,1,0.1619,0.1144,364,0.2064
PulseChain,TVL_LEADS_NATIVE,tvl_chg7,improving_share,3,-0.026,0.7861,362,0.8814
PulseChain,TVL_LEADS_NATIVE,tvl_chg7,improving_share,7,-0.1343,0.1194,358,0.211
PulseChain,TVL_LEADS_NATIVE,tvl_chg7,improving_share,14,0.0356,0.7313,351,0.8332
PulseChain,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,1,0.0333,0.6965,364,0.8243
PulseChain,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,3,-0.0221,0.796,362,0.8814
PulseChain,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,7,-0.017,0.806,358,0.8849
PulseChain,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,14,0.22,0.005,351,0.0253
PulseChain,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,1,0.4393,0.0149,265,0.0499
PulseChain,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,3,0.3336,0.0249,264,0.0698
PulseChain,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,7,-0.1303,0.2687,264,0.403
PulseChain,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,14,0.0204,0.8308,259,0.8968
PulseChain,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,1,0.1968,0.0249,364,0.0698
PulseChain,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,3,0.2361,0.005,362,0.0253
PulseChain,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,7,0.2777,0.005,358,0.0253
PulseChain,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,14,0.134,0.194,351,0.3071
PulseChain,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,1,0.4659,0.005,264,0.0253
PulseChain,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,3,0.2912,0.0348,262,0.0831
PulseChain,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,7,-0.2016,0.1095,258,0.2032
PulseChain,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,14,-0.0634,0.7264,251,0.8332
Cronos,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,1,0.1974,0.1393,352,0.2364
Cronos,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,3,0.1231,0.3781,350,0.5331
Cronos,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,7,0.0088,0.9701,346,0.9751
Cronos,STABLECOIN_LEADS_TVL,stablecoin_change_30d,tvl_chg7,14,0.0166,0.9453,339,0.9678
Cronos,TVL_LEADS_NATIVE,tvl_chg7,improving_share,1,-0.0054,0.9303,352,0.9639
Cronos,TVL_LEADS_NATIVE,tvl_chg7,improving_share,3,-0.0596,0.4129,350,0.5727
Cronos,TVL_LEADS_NATIVE,tvl_chg7,improving_share,7,-0.137,0.0249,346,0.0698
Cronos,TVL_LEADS_NATIVE,tvl_chg7,improving_share,14,0.0396,0.5771,339,0.7228
Cronos,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,1,0.1026,0.199,352,0.3131
Cronos,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,3,0.039,0.5373,350,0.6829
Cronos,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,7,0.1273,0.1144,346,0.2064
