cluster,name,share_global,share_chain_incremental,share_sector_incremental,share_idio,n_member_days
SECTOR,discount-token,0.2393,0.0057,0.1595,0.5955,1383
SECTOR,distributed-computing,0.1295,0.0914,0.0065,0.7725,10800
SECTOR,doggone-doggerel,0.0467,0.136,0.2767,0.5407,4700
SECTOR,dpos,0.0631,0.0743,0.0333,0.8293,5051
SECTOR,dwf-labs-portfolio,0.0778,0.1546,0.0037,0.764,9953
SECTOR,education,0.0033,0.0011,0.9878,0.0078,528
SECTOR,eigenlayer-ecosystem,0.0479,0.4241,0.1692,0.3588,959
SECTOR,energy,0.0992,0.1574,0.1135,0.6299,2826
SECTOR,enterprise-solutions,0.0874,0.1082,0.0028,0.8017,17314
SECTOR,eth-2-staking,0.1891,0.4108,0.0654,0.3348,1480
SECTOR,ethereum,0.1178,0.0273,0.0794,0.7755,859
SECTOR,ethereum-ecosystem,0.0426,0.0617,0.0121,0.8835,15181
SECTOR,eur-stablecoin,0.0097,0.0015,0.9699,0.0189,508
SECTOR,everscale-ecosystem,0.0189,0.3498,0.3557,0.2756,1043
SECTOR,exnetwork-capital-portfolio,0.1262,0.0792,0.3307,0.4638,2206
SECTOR,fan-token,0.0411,0.1813,0.3207,0.4569,684
SECTOR,fantom-ecosystem,0.1456,0.3683,0.1201,0.3659,1342
SECTOR,filesharing,0.1294,0.0847,0.1561,0.6299,1695
SECTOR,gambling,0.0801,0.0764,0.3671,0.4764,2040
SECTOR,gaming,0.0,0.0,0.4995,0.5004,4998
SECTOR,governance,0.3107,0.0106,0.3915,0.2872,509
SECTOR,groestl,0.3098,0.0241,0.3562,0.3099,733
SECTOR,hardware,0.108,0.1949,0.1959,0.5012,2709
SECTOR,heco-ecosystem,0.8965,0.0008,0.0164,0.0863,620
SECTOR,huobi-capital-portfolio,0.1238,0.392,0.147,0.3372,700
SECTOR,hybrid-dpow-pow,0.0187,0.0093,0.9307,0.0414,907
SECTOR,hybrid-pow-pos,0.2341,0.0104,0.4615,0.294,724
SECTOR,identity,0.0649,0.1127,0.5787,0.2437,1174
SECTOR,injective-ecosystem,0.4207,0.0097,0.0929,0.4767,765
SECTOR,insurance,0.0871,0.1787,0.1928,0.5414,897
SECTOR,interoperability,0.0491,0.0824,0.1508,0.7177,3904
SECTOR,iot,0.1032,0.1183,0.0739,0.7047,2506
SECTOR,layer-1,0.0493,0.2283,0.016,0.7065,5098
SECTOR,layer-2,0.0817,0.4957,0.0558,0.3669,1631
SECTOR,logistics,0.0874,0.1045,0.2598,0.5483,1473
SECTOR,loyalty,0.0866,0.1408,0.4195,0.353,2727
SECTOR,lpos,0.0959,0.179,0.4218,0.3033,1076
SECTOR,lyra2rev2,0.3639,0.0357,0.2536,0.3468,605
SECTOR,marketplace,0.0656,0.0446,0.0088,0.8811,6124
SECTOR,masternodes,0.0402,0.0204,0.4714,0.468,1604
SECTOR,media,0.1454,0.2048,0.1361,0.5137,966
SECTOR,medium-of-exchange,0.0841,0.0986,0.0005,0.8169,16689
SECTOR,memes,0.0437,0.0895,0.2409,0.6259,5668
SECTOR,mineable,0.0079,0.0001,0.0041,0.9879,8187
SECTOR,okex-blockdream-ventures-portfolio,0.0778,0.7118,0.0012,0.2092,848
SECTOR,ontology-ecosystem,0.1072,0.3408,0.2177,0.3343,1067
SECTOR,oracles,0.0695,0.201,0.2703,0.4591,627
SECTOR,payments,0.048,0.0518,0.1825,0.7177,2596
SECTOR,platform,0.0563,0.0359,0.072,0.8359,4118
SECTOR,polkadot,0.2145,0.0494,0.2225,0.5136,586
SECTOR,polygon-ecosystem,0.1315,0.0211,0.6322,0.2152,573
SECTOR,posplus,0.078,0.3287,0.2826,0.3106,865
SECTOR,pow,0.0765,0.3133,0.2961,0.3141,973
SECTOR,privacy,0.0466,0.0853,0.7015,0.1666,667
SECTOR,real-world-assets,0.0472,0.2224,0.2867,0.4437,1066
SECTOR,services,0.0665,0.0992,0.0351,0.7991,4504
SECTOR,solana-ecosystem,0.0993,0.0192,0.2902,0.5912,1605
SECTOR,stablecoin,0.0031,0.0006,0.0863,0.91,5353
SECTOR,tokenized-gold,0.0028,0.0106,0.9688,0.0178,941
SECTOR,tron-ecosystem,0.0458,0.308,0.3608,0.2854,1218
SECTOR,wallet,0.0909,0.009,0.3833,0.5169,844
SECTOR,web3,0.0124,0.0026,0.9607,0.0243,671
CHAIN,,0.0173,0.0,0.8535,0.1292,286977
CHAIN,-,0.079,0.0,0.143,0.7781,8062
CHAIN,ABSTRACT,0.2256,0.0,0.3224,0.452,2126
CHAIN,ADA,0.4736,0.0,0.1807,0.3456,840
CHAIN,ASTR,0.0871,0.0,0.6275,0.2853,1577
CHAIN,Arbitrum,0.0745,0.0,0.2938,0.6316,4956
CHAIN,Avalanche,0.1532,0.0,0.2598,0.5871,4105
CHAIN,BERA,0.2182,0.0,0.3947,0.3871,561
CHAIN,BLAST,0.1274,0.0,0.7186,0.1539,966
CHAIN,BNB,0.022,0.0,0.0334,0.9446,62336
CHAIN,Bitcoin,0.0656,0.0,0.2076,0.7267,2506
CHAIN,CELO,0.0047,0.0,0.0,0.9953,1030
CHAIN,Ethereum,0.0002,0.0,0.9948,0.0049,462480
CHAIN,GRAM,0.1857,0.0,0.0541,0.7602,1146
CHAIN,HT,0.0671,0.0,0.1336,0.7992,961
CHAIN,Hyperliquid L1,0.1398,0.0,0.0303,0.8299,1341
CHAIN,KAIA,0.0161,0.0,0.0,0.9839,3734
CHAIN,MANTA,0.2061,0.0,0.4269,0.367,617
CHAIN,MTL,0.1524,0.0,0.1048,0.7429,1605
CHAIN,NEO,0.11,0.0,0.1034,0.7866,2709
CHAIN,OKB,0.0857,0.0,0.1714,0.7429,2124
CHAIN,ONT,0.0961,0.0,0.3191,0.5848,1079
CHAIN,OP Mainnet,0.0682,0.0,0.632,0.2998,1520
CHAIN,OSMO,0.0952,0.0,0.4174,0.4874,2434
CHAIN,Polygon,0.0406,0.0,0.4961,0.4633,3888
CHAIN,Solana,0.0721,0.0,0.2874,0.6406,42378
CHAIN,Stellar,0.0254,0.0,0.1154,0.8593,800
CHAIN,Sui,0.2874,0.0,0.1058,0.6068,2190
CHAIN,TAO,0.1448,0.0,0.178,0.6772,1245
CHAIN,Tron,0.0027,0.0,0.0001,0.9972,10246
CHAIN,VET,0.1292,0.0,0.7214,0.1494,507
CHAIN,ZK,0.0268,0.0,0.1365,0.8367,2909
