metric,band_a,band_b,state,state_days,lag_days,corr,perm_p,n,uncond_best_lag,uncond_best_corr,state_conditioned,workstream,fdr_q
ew_return_1d,1-10,11-25,VOL_LOW,864,-7,0.0225,0.5075,838,-1,-0.1049,False,B,0.6451
ew_return_1d,1-10,11-25,VOL_LOW,864,-3,0.0163,0.6318,841,-1,-0.1049,False,B,0.7345
ew_return_1d,1-10,11-25,VOL_LOW,864,-1,-0.0827,0.01,843,-1,-0.1049,False,B,0.0356
ew_return_1d,1-10,11-25,VOL_LOW,864,1,-0.0749,0.0498,843,-1,-0.1049,False,B,0.1116
ew_return_1d,1-10,11-25,VOL_LOW,864,3,0.0139,0.6766,841,-1,-0.1049,False,B,0.7726
ew_return_1d,1-10,11-25,VOL_LOW,864,7,0.0173,0.6368,838,-1,-0.1049,False,B,0.7367
ew_return_1d,1-10,11-25,BREADTH_EXPANDING,715,-7,-0.0141,0.7811,690,-1,-0.1049,False,B,0.8561
ew_return_1d,1-10,11-25,BREADTH_EXPANDING,715,-3,-0.0278,0.4328,694,-1,-0.1049,False,B,0.5771
ew_return_1d,1-10,11-25,BREADTH_EXPANDING,715,-1,-0.1181,0.005,694,-1,-0.1049,False,B,0.0241
ew_return_1d,1-10,11-25,BREADTH_EXPANDING,715,1,-0.0958,0.0149,694,-1,-0.1049,False,B,0.0461
ew_return_1d,1-10,11-25,BREADTH_EXPANDING,715,3,0.0033,0.9353,694,-1,-0.1049,False,B,0.9597
ew_return_1d,1-10,11-25,BREADTH_EXPANDING,715,7,0.0012,0.99,690,-1,-0.1049,False,B,0.9942
ew_return_1d,1-10,11-25,BREADTH_CONTRACTING,1481,-7,0.0684,0.0299,1425,-1,-0.1049,True,B,0.0759
ew_return_1d,1-10,11-25,BREADTH_CONTRACTING,1481,-3,-0.0512,0.0448,1429,-1,-0.1049,False,B,0.1023
ew_return_1d,1-10,11-25,BREADTH_CONTRACTING,1481,-1,-0.1325,0.005,1432,-1,-0.1049,False,B,0.0241
ew_return_1d,1-10,11-25,BREADTH_CONTRACTING,1481,1,-0.1359,0.005,1432,-1,-0.1049,False,B,0.0241
ew_return_1d,1-10,11-25,BREADTH_CONTRACTING,1481,3,-0.0587,0.0249,1429,-1,-0.1049,True,B,0.0658
ew_return_1d,1-10,11-25,BREADTH_CONTRACTING,1481,7,0.0404,0.1244,1425,-1,-0.1049,False,B,0.227
ew_return_1d,1-10,11-25,SC_INFLOW,1550,-7,0.0156,0.4876,1499,-1,-0.1049,False,B,0.6323
ew_return_1d,1-10,11-25,SC_INFLOW,1550,-3,-0.038,0.1493,1503,-1,-0.1049,False,B,0.2616
ew_return_1d,1-10,11-25,SC_INFLOW,1550,-1,-0.1007,0.005,1505,-1,-0.1049,False,B,0.0241
ew_return_1d,1-10,11-25,SC_INFLOW,1550,1,-0.1,0.005,1505,-1,-0.1049,False,B,0.0241
ew_return_1d,1-10,11-25,SC_INFLOW,1550,3,-0.0296,0.3134,1503,-1,-0.1049,False,B,0.4632
ew_return_1d,1-10,11-25,SC_INFLOW,1550,7,-0.0191,0.5224,1499,-1,-0.1049,False,B,0.6558
ew_return_1d,1-10,11-25,SC_OUTFLOW,646,-7,0.0194,0.5771,617,-1,-0.1049,False,B,0.6925
ew_return_1d,1-10,11-25,SC_OUTFLOW,646,-3,-0.0084,0.806,619,-1,-0.1049,False,B,0.8686
ew_return_1d,1-10,11-25,SC_OUTFLOW,646,-1,-0.1179,0.005,621,-1,-0.1049,False,B,0.0241
ew_return_1d,1-10,11-25,SC_OUTFLOW,646,1,-0.1062,0.0149,621,-1,-0.1049,False,B,0.0461
ew_return_1d,1-10,11-25,SC_OUTFLOW,646,3,-0.0123,0.7463,619,-1,-0.1049,False,B,0.8308
ew_return_1d,1-10,11-25,SC_OUTFLOW,646,7,0.0036,0.9104,617,-1,-0.1049,False,B,0.9423
ew_return_1d,1-10,11-25,CONC_RISING,1112,-7,0.0314,0.3333,1066,-1,-0.1049,False,B,0.4886
ew_return_1d,1-10,11-25,CONC_RISING,1112,-3,-0.0932,0.005,1071,-1,-0.1049,False,B,0.0241
ew_return_1d,1-10,11-25,CONC_RISING,1112,-1,-0.0157,0.5473,1071,-1,-0.1049,False,B,0.6727
ew_return_1d,1-10,11-25,CONC_RISING,1112,1,-0.0333,0.2886,1071,-1,-0.1049,False,B,0.4366
ew_return_1d,1-10,11-25,CONC_RISING,1112,3,-0.0747,0.01,1071,-1,-0.1049,True,B,0.0356
ew_return_1d,1-10,11-25,CONC_RISING,1112,7,0.0076,0.801,1066,-1,-0.1049,False,B,0.8685
ew_return_1d,1-10,11-25,CONC_FALLING,1077,-7,0.0291,0.3831,1042,-1,-0.1049,False,B,0.5318
ew_return_1d,1-10,11-25,CONC_FALLING,1077,-3,0.0209,0.4975,1047,-1,-0.1049,False,B,0.6393
ew_return_1d,1-10,11-25,CONC_FALLING,1077,-1,-0.1626,0.005,1048,-1,-0.1049,False,B,0.0241
ew_return_1d,1-10,11-25,CONC_FALLING,1077,1,-0.1432,0.005,1048,-1,-0.1049,False,B,0.0241
ew_return_1d,1-10,11-25,CONC_FALLING,1077,3,0.0189,0.6219,1047,-1,-0.1049,False,B,0.7302
ew_return_1d,1-10,11-25,CONC_FALLING,1077,7,0.0327,0.2687,1042,-1,-0.1049,False,B,0.4145
ew_return_1d,11-25,26-50,BTC_UP,1127,-7,-0.0428,0.1692,1084,1,-0.0877,False,B,0.2859
ew_return_1d,11-25,26-50,BTC_UP,1127,-3,-0.0255,0.4726,1089,1,-0.0877,False,B,0.6208
ew_return_1d,11-25,26-50,BTC_UP,1127,-1,-0.0701,0.0149,1088,1,-0.0877,False,B,0.0461
ew_return_1d,11-25,26-50,BTC_UP,1127,1,-0.0923,0.01,1088,1,-0.0877,False,B,0.0356
ew_return_1d,11-25,26-50,BTC_UP,1127,3,-0.0196,0.5373,1089,1,-0.0877,False,B,0.6627
ew_return_1d,11-25,26-50,BTC_UP,1127,7,-0.0435,0.1244,1084,1,-0.0877,False,B,0.227
ew_return_1d,11-25,26-50,BTC_DOWN,962,-7,-0.0074,0.7761,926,1,-0.0877,False,B,0.8561
ew_return_1d,11-25,26-50,BTC_DOWN,962,-3,-0.0916,0.0149,929,1,-0.0877,True,B,0.0461
ew_return_1d,11-25,26-50,BTC_DOWN,962,-1,-0.1218,0.005,932,1,-0.0877,False,B,0.0241
ew_return_1d,11-25,26-50,BTC_DOWN,962,1,-0.1123,0.0149,932,1,-0.0877,False,B,0.0461
ew_return_1d,11-25,26-50,BTC_DOWN,962,3,-0.0875,0.0249,929,1,-0.0877,False,B,0.0658
ew_return_1d,11-25,26-50,BTC_DOWN,962,7,0.0234,0.403,926,1,-0.0877,False,B,0.554
ew_return_1d,11-25,26-50,VOL_HIGH,656,-7,-0.0212,0.6567,622,1,-0.0877,False,B,0.756
ew_return_1d,11-25,26-50,VOL_HIGH,656,-3,-0.0733,0.0945,625,1,-0.0877,False,B,0.1833
ew_return_1d,11-25,26-50,VOL_HIGH,656,-1,-0.1672,0.005,628,1,-0.0877,False,B,0.0241
ew_return_1d,11-25,26-50,VOL_HIGH,656,1,-0.1469,0.005,628,1,-0.0877,False,B,0.0241
ew_return_1d,11-25,26-50,VOL_HIGH,656,3,-0.06,0.1692,625,1,-0.0877,False,B,0.2859
ew_return_1d,11-25,26-50,VOL_HIGH,656,7,0.01,0.8507,622,1,-0.0877,False,B,0.8989
ew_return_1d,11-25,26-50,VOL_LOW,864,-7,0.0251,0.4229,838,1,-0.0877,False,B,0.5714
ew_return_1d,11-25,26-50,VOL_LOW,864,-3,0.012,0.7811,841,1,-0.0877,False,B,0.8561
ew_return_1d,11-25,26-50,VOL_LOW,864,-1,-0.0549,0.0995,843,1,-0.0877,False,B,0.1909
ew_return_1d,11-25,26-50,VOL_LOW,864,1,-0.0651,0.0448,843,1,-0.0877,False,B,0.1023
ew_return_1d,11-25,26-50,VOL_LOW,864,3,0.0235,0.5025,841,1,-0.0877,False,B,0.6433
ew_return_1d,11-25,26-50,VOL_LOW,864,7,0.0226,0.4826,838,1,-0.0877,False,B,0.6292
ew_return_1d,11-25,26-50,BREADTH_EXPANDING,715,-7,-0.0169,0.6716,690,1,-0.0877,False,B,0.7682
ew_return_1d,11-25,26-50,BREADTH_EXPANDING,715,-3,-0.0255,0.4975,694,1,-0.0877,False,B,0.6393
ew_return_1d,11-25,26-50,BREADTH_EXPANDING,715,-1,-0.0808,0.0398,694,1,-0.0877,False,B,0.0933
ew_return_1d,11-25,26-50,BREADTH_EXPANDING,715,1,-0.113,0.0149,694,1,-0.0877,False,B,0.0461
ew_return_1d,11-25,26-50,BREADTH_EXPANDING,715,3,-0.0135,0.6318,694,1,-0.0877,False,B,0.7345
ew_return_1d,11-25,26-50,BREADTH_EXPANDING,715,7,-0.0018,0.9701,690,1,-0.0877,False,B,0.9812
ew_return_1d,11-25,26-50,BREADTH_CONTRACTING,1481,-7,0.0302,0.2587,1425,1,-0.0877,False,B,0.4034
ew_return_1d,11-25,26-50,BREADTH_CONTRACTING,1481,-3,-0.0659,0.005,1429,1,-0.0877,True,B,0.0241
ew_return_1d,11-25,26-50,BREADTH_CONTRACTING,1481,-1,-0.1187,0.005,1432,1,-0.0877,False,B,0.0241
ew_return_1d,11-25,26-50,BREADTH_CONTRACTING,1481,1,-0.1085,0.005,1432,1,-0.0877,False,B,0.0241
ew_return_1d,11-25,26-50,BREADTH_CONTRACTING,1481,3,-0.0617,0.0199,1429,1,-0.0877,False,B,0.0566
ew_return_1d,11-25,26-50,BREADTH_CONTRACTING,1481,7,0.0441,0.0796,1425,1,-0.0877,False,B,0.1601
ew_return_1d,11-25,26-50,SC_INFLOW,1550,-7,-0.026,0.398,1499,1,-0.0877,False,B,0.5493
ew_return_1d,11-25,26-50,SC_INFLOW,1550,-3,-0.0404,0.1891,1503,1,-0.0877,False,B,0.3114
ew_return_1d,11-25,26-50,SC_INFLOW,1550,-1,-0.0824,0.01,1505,1,-0.0877,False,B,0.0356
ew_return_1d,11-25,26-50,SC_INFLOW,1550,1,-0.0798,0.01,1505,1,-0.0877,False,B,0.0356
ew_return_1d,11-25,26-50,SC_INFLOW,1550,3,-0.0459,0.1045,1503,1,-0.0877,False,B,0.1973
ew_return_1d,11-25,26-50,SC_INFLOW,1550,7,0.0081,0.796,1499,1,-0.0877,False,B,0.867
ew_return_1d,11-25,26-50,SC_OUTFLOW,646,-7,0.0204,0.5821,617,1,-0.0877,False,B,0.6962
ew_return_1d,11-25,26-50,SC_OUTFLOW,646,-3,-0.0335,0.3483,619,1,-0.0877,False,B,0.5002
ew_return_1d,11-25,26-50,SC_OUTFLOW,646,-1,-0.0878,0.0149,621,1,-0.0877,False,B,0.0461
ew_return_1d,11-25,26-50,SC_OUTFLOW,646,1,-0.113,0.01,621,1,-0.0877,False,B,0.0356
ew_return_1d,11-25,26-50,SC_OUTFLOW,646,3,-0.0123,0.6965,619,1,-0.0877,False,B,0.789
ew_return_1d,11-25,26-50,SC_OUTFLOW,646,7,0.0074,0.8557,617,1,-0.0877,False,B,0.9029
ew_return_1d,11-25,26-50,CONC_RISING,1112,-7,0.0252,0.4179,1066,1,-0.0877,False,B,0.5679
ew_return_1d,11-25,26-50,CONC_RISING,1112,-3,-0.0751,0.0199,1071,1,-0.0877,True,B,0.0566
ew_return_1d,11-25,26-50,CONC_RISING,1112,-1,-0.0315,0.2687,1071,1,-0.0877,False,B,0.4145
ew_return_1d,11-25,26-50,CONC_RISING,1112,1,-0.006,0.8706,1071,1,-0.0877,False,B,0.9118
ew_return_1d,11-25,26-50,CONC_RISING,1112,3,-0.0907,0.005,1071,1,-0.0877,False,B,0.0241
ew_return_1d,11-25,26-50,CONC_RISING,1112,7,0.0355,0.2488,1066,1,-0.0877,False,B,0.3914
ew_return_1d,11-25,26-50,CONC_FALLING,1077,-7,0.0285,0.3632,1042,1,-0.0877,False,B,0.5122
ew_return_1d,11-25,26-50,CONC_FALLING,1077,-3,0.0119,0.7562,1047,1,-0.0877,False,B,0.8405
ew_return_1d,11-25,26-50,CONC_FALLING,1077,-1,-0.1333,0.005,1048,1,-0.0877,False,B,0.0241
ew_return_1d,11-25,26-50,CONC_FALLING,1077,1,-0.145,0.005,1048,1,-0.0877,False,B,0.0241
ew_return_1d,11-25,26-50,CONC_FALLING,1077,3,0.0136,0.7214,1047,1,-0.0877,False,B,0.8107
ew_return_1d,11-25,26-50,CONC_FALLING,1077,7,0.037,0.204,1042,1,-0.0877,False,B,0.3305
ew_return_1d,26-50,51-100,BTC_UP,1127,-7,-0.0483,0.0647,1084,-1,-0.0813,False,B,0.1367
ew_return_1d,26-50,51-100,BTC_UP,1127,-3,-0.0273,0.3532,1089,-1,-0.0813,False,B,0.5042
ew_return_1d,26-50,51-100,BTC_UP,1127,-1,-0.0782,0.0149,1088,-1,-0.0813,False,B,0.0461
ew_return_1d,26-50,51-100,BTC_UP,1127,1,-0.067,0.0398,1088,-1,-0.0813,False,B,0.0933
ew_return_1d,26-50,51-100,BTC_UP,1127,3,-0.0204,0.5871,1089,-1,-0.0813,False,B,0.6998
ew_return_1d,26-50,51-100,BTC_UP,1127,7,-0.0558,0.0547,1084,-1,-0.0813,False,B,0.1199
ew_return_1d,26-50,51-100,BTC_DOWN,962,-7,0.001,0.9801,926,-1,-0.0813,False,B,0.9885
ew_return_1d,26-50,51-100,BTC_DOWN,962,-3,-0.0822,0.0199,929,-1,-0.0813,False,B,0.0566
ew_return_1d,26-50,51-100,BTC_DOWN,962,-1,-0.1127,0.005,932,-1,-0.0813,False,B,0.0241
ew_return_1d,26-50,51-100,BTC_DOWN,962,1,-0.0903,0.005,932,-1,-0.0813,False,B,0.0241
ew_return_1d,26-50,51-100,BTC_DOWN,962,3,-0.0748,0.0348,929,-1,-0.0813,True,B,0.0858
ew_return_1d,26-50,51-100,BTC_DOWN,962,7,-0.0212,0.5174,926,-1,-0.0813,False,B,0.6518
ew_return_1d,26-50,51-100,VOL_HIGH,656,-7,-0.0219,0.6965,622,-1,-0.0813,False,B,0.789
ew_return_1d,26-50,51-100,VOL_HIGH,656,-3,-0.0603,0.1493,625,-1,-0.0813,False,B,0.2616
ew_return_1d,26-50,51-100,VOL_HIGH,656,-1,-0.1565,0.005,628,-1,-0.0813,False,B,0.0241
ew_return_1d,26-50,51-100,VOL_HIGH,656,1,-0.141,0.0199,628,-1,-0.0813,False,B,0.0566
ew_return_1d,26-50,51-100,VOL_HIGH,656,3,-0.0524,0.2637,625,-1,-0.0813,False,B,0.4094
ew_return_1d,26-50,51-100,VOL_HIGH,656,7,-0.033,0.4229,622,-1,-0.0813,False,B,0.5714
ew_return_1d,26-50,51-100,VOL_LOW,864,-7,0.0187,0.5075,838,-1,-0.0813,False,B,0.6451
ew_return_1d,26-50,51-100,VOL_LOW,864,-3,0.0059,0.9154,841,-1,-0.0813,False,B,0.9434
ew_return_1d,26-50,51-100,VOL_LOW,864,-1,-0.0515,0.1045,843,-1,-0.0813,False,B,0.1973
ew_return_1d,26-50,51-100,VOL_LOW,864,1,-0.049,0.1841,843,-1,-0.0813,False,B,0.3045
ew_return_1d,26-50,51-100,VOL_LOW,864,3,0.0258,0.5124,841,-1,-0.0813,False,B,0.6478
ew_return_1d,26-50,51-100,VOL_LOW,864,7,0.0175,0.607,838,-1,-0.0813,False,B,0.7151
ew_return_1d,26-50,51-100,BREADTH_EXPANDING,715,-7,-0.0175,0.6517,690,-1,-0.0813,False,B,0.7527
ew_return_1d,26-50,51-100,BREADTH_EXPANDING,715,-3,-0.019,0.7015,694,-1,-0.0813,False,B,0.7934
ew_return_1d,26-50,51-100,BREADTH_EXPANDING,715,-1,-0.1016,0.01,694,-1,-0.0813,False,B,0.0356
ew_return_1d,26-50,51-100,BREADTH_EXPANDING,715,1,-0.0848,0.0597,694,-1,-0.0813,False,B,0.1285
ew_return_1d,26-50,51-100,BREADTH_EXPANDING,715,3,-0.0081,0.806,694,-1,-0.0813,False,B,0.8686
ew_return_1d,26-50,51-100,BREADTH_EXPANDING,715,7,-0.0382,0.2786,690,-1,-0.0813,False,B,0.4242
ew_return_1d,26-50,51-100,BREADTH_CONTRACTING,1481,-7,0.0268,0.2886,1425,-1,-0.0813,False,B,0.4366
ew_return_1d,26-50,51-100,BREADTH_CONTRACTING,1481,-3,-0.0605,0.0448,1429,-1,-0.0813,False,B,0.1023
ew_return_1d,26-50,51-100,BREADTH_CONTRACTING,1481,-1,-0.1054,0.005,1432,-1,-0.0813,False,B,0.0241
ew_return_1d,26-50,51-100,BREADTH_CONTRACTING,1481,1,-0.0893,0.01,1432,-1,-0.0813,False,B,0.0356
ew_return_1d,26-50,51-100,BREADTH_CONTRACTING,1481,3,-0.0526,0.0597,1429,-1,-0.0813,False,B,0.1285
ew_return_1d,26-50,51-100,BREADTH_CONTRACTING,1481,7,0.0234,0.3383,1425,-1,-0.0813,False,B,0.4898
ew_return_1d,26-50,51-100,SC_INFLOW,1550,-7,-0.0172,0.5622,1499,-1,-0.0813,False,B,0.6839
ew_return_1d,26-50,51-100,SC_INFLOW,1550,-3,-0.0422,0.1045,1503,-1,-0.0813,False,B,0.1973
ew_return_1d,26-50,51-100,SC_INFLOW,1550,-1,-0.0794,0.005,1505,-1,-0.0813,False,B,0.0241
ew_return_1d,26-50,51-100,SC_INFLOW,1550,1,-0.0609,0.0398,1505,-1,-0.0813,False,B,0.0933
ew_return_1d,26-50,51-100,SC_INFLOW,1550,3,-0.0295,0.3383,1503,-1,-0.0813,False,B,0.4898
ew_return_1d,26-50,51-100,SC_INFLOW,1550,7,-0.0274,0.2438,1499,-1,-0.0813,False,B,0.387
ew_return_1d,26-50,51-100,SC_OUTFLOW,646,-7,0.0019,0.9652,617,-1,-0.0813,False,B,0.9804
ew_return_1d,26-50,51-100,SC_OUTFLOW,646,-3,-0.0163,0.6816,619,-1,-0.0813,False,B,0.7758
ew_return_1d,26-50,51-100,SC_OUTFLOW,646,-1,-0.0901,0.0149,621,-1,-0.0813,False,B,0.0461
ew_return_1d,26-50,51-100,SC_OUTFLOW,646,1,-0.0654,0.0647,621,-1,-0.0813,False,B,0.1367
ew_return_1d,26-50,51-100,SC_OUTFLOW,646,3,-0.01,0.8109,619,-1,-0.0813,False,B,0.8686
ew_return_1d,26-50,51-100,SC_OUTFLOW,646,7,0.0046,0.8955,617,-1,-0.0813,False,B,0.931
ew_return_1d,26-50,51-100,CONC_RISING,1112,-7,0.0303,0.3632,1066,-1,-0.0813,False,B,0.5122
ew_return_1d,26-50,51-100,CONC_RISING,1112,-3,-0.0775,0.0149,1071,-1,-0.0813,False,B,0.0461
ew_return_1d,26-50,51-100,CONC_RISING,1112,-1,-0.0081,0.801,1071,-1,-0.0813,False,B,0.8685
ew_return_1d,26-50,51-100,CONC_RISING,1112,1,0.003,0.9453,1071,-1,-0.0813,False,B,0.9672
ew_return_1d,26-50,51-100,CONC_RISING,1112,3,-0.0626,0.0199,1071,-1,-0.0813,True,B,0.0566
ew_return_1d,26-50,51-100,CONC_RISING,1112,7,0.0255,0.408,1066,-1,-0.0813,False,B,0.5598
ew_return_1d,26-50,51-100,CONC_FALLING,1077,-7,0.0272,0.4129,1042,-1,-0.0813,False,B,0.5633
ew_return_1d,26-50,51-100,CONC_FALLING,1077,-3,0.0034,0.9502,1047,-1,-0.0813,False,B,0.9708
ew_return_1d,26-50,51-100,CONC_FALLING,1077,-1,-0.1425,0.005,1048,-1,-0.0813,False,B,0.0241
ew_return_1d,26-50,51-100,CONC_FALLING,1077,1,-0.1232,0.005,1048,-1,-0.0813,False,B,0.0241
ew_return_1d,26-50,51-100,CONC_FALLING,1077,3,0.0007,0.9801,1047,-1,-0.0813,False,B,0.9885
ew_return_1d,26-50,51-100,CONC_FALLING,1077,7,0.0183,0.5274,1042,-1,-0.0813,False,B,0.6597
ew_return_1d,51-100,101-200,BTC_UP,1127,-7,-0.0492,0.0796,1084,-1,-0.0677,False,B,0.1601
ew_return_1d,51-100,101-200,BTC_UP,1127,-3,-0.0209,0.5124,1089,-1,-0.0677,False,B,0.6478
ew_return_1d,51-100,101-200,BTC_UP,1127,-1,-0.0698,0.01,1088,-1,-0.0677,False,B,0.0356
ew_return_1d,51-100,101-200,BTC_UP,1127,1,-0.0416,0.199,1088,-1,-0.0677,False,B,0.3239
ew_return_1d,51-100,101-200,BTC_UP,1127,3,-0.0254,0.4129,1089,-1,-0.0677,False,B,0.5633
ew_return_1d,51-100,101-200,BTC_UP,1127,7,-0.0541,0.0547,1084,-1,-0.0677,False,B,0.1199
ew_return_1d,51-100,101-200,BTC_DOWN,962,-7,-0.0187,0.597,926,-1,-0.0677,False,B,0.7092
ew_return_1d,51-100,101-200,BTC_DOWN,962,-3,-0.0634,0.0647,929,-1,-0.0677,False,B,0.1367
ew_return_1d,51-100,101-200,BTC_DOWN,962,-1,-0.0916,0.01,932,-1,-0.0677,False,B,0.0356
ew_return_1d,51-100,101-200,BTC_DOWN,962,1,-0.082,0.0249,932,-1,-0.0677,False,B,0.0658
ew_return_1d,51-100,101-200,BTC_DOWN,962,3,-0.069,0.0746,929,-1,-0.0677,False,B,0.1535
ew_return_1d,51-100,101-200,BTC_DOWN,962,7,-0.019,0.5373,926,-1,-0.0677,False,B,0.6627
ew_return_1d,51-100,101-200,VOL_HIGH,656,-7,-0.0215,0.6667,622,-1,-0.0677,False,B,0.765
ew_return_1d,51-100,101-200,VOL_HIGH,656,-3,-0.0526,0.2189,625,-1,-0.0677,False,B,0.3506
ew_return_1d,51-100,101-200,VOL_HIGH,656,-1,-0.1432,0.005,628,-1,-0.0677,False,B,0.0241
ew_return_1d,51-100,101-200,VOL_HIGH,656,1,-0.1201,0.005,628,-1,-0.0677,False,B,0.0241
ew_return_1d,51-100,101-200,VOL_HIGH,656,3,-0.0593,0.1542,625,-1,-0.0677,False,B,0.2696
ew_return_1d,51-100,101-200,VOL_HIGH,656,7,-0.0307,0.4527,622,-1,-0.0677,False,B,0.5991
ew_return_1d,51-100,101-200,VOL_LOW,864,-7,0.0168,0.5871,838,-1,-0.0677,False,B,0.6998
ew_return_1d,51-100,101-200,VOL_LOW,864,-3,0.0198,0.5323,841,-1,-0.0677,False,B,0.6612
ew_return_1d,51-100,101-200,VOL_LOW,864,-1,-0.0581,0.0746,843,-1,-0.0677,False,B,0.1535
ew_return_1d,51-100,101-200,VOL_LOW,864,1,-0.0401,0.194,843,-1,-0.0677,False,B,0.3172
ew_return_1d,51-100,101-200,VOL_LOW,864,3,0.0267,0.4378,841,-1,-0.0677,False,B,0.5826
ew_return_1d,51-100,101-200,VOL_LOW,864,7,0.015,0.5672,838,-1,-0.0677,False,B,0.6865
ew_return_1d,51-100,101-200,BREADTH_EXPANDING,715,-7,-0.0211,0.6269,690,-1,-0.0677,False,B,0.7324
ew_return_1d,51-100,101-200,BREADTH_EXPANDING,715,-3,0.0013,0.9701,694,-1,-0.0677,False,B,0.9812
ew_return_1d,51-100,101-200,BREADTH_EXPANDING,715,-1,-0.0895,0.0249,694,-1,-0.0677,False,B,0.0658
ew_return_1d,51-100,101-200,BREADTH_EXPANDING,715,1,-0.0588,0.1244,694,-1,-0.0677,False,B,0.227
ew_return_1d,51-100,101-200,BREADTH_EXPANDING,715,3,-0.0098,0.806,694,-1,-0.0677,False,B,0.8686
ew_return_1d,51-100,101-200,BREADTH_EXPANDING,715,7,-0.0256,0.5224,690,-1,-0.0677,False,B,0.6558
ew_return_1d,51-100,101-200,BREADTH_CONTRACTING,1481,-7,0.0158,0.5025,1425,-1,-0.0677,False,B,0.6433
ew_return_1d,51-100,101-200,BREADTH_CONTRACTING,1481,-3,-0.0498,0.0697,1429,-1,-0.0677,False,B,0.1456
ew_return_1d,51-100,101-200,BREADTH_CONTRACTING,1481,-1,-0.0927,0.005,1432,-1,-0.0677,False,B,0.0241
ew_return_1d,51-100,101-200,BREADTH_CONTRACTING,1481,1,-0.078,0.01,1432,-1,-0.0677,False,B,0.0356
ew_return_1d,51-100,101-200,BREADTH_CONTRACTING,1481,3,-0.0483,0.0746,1429,-1,-0.0677,False,B,0.1535
ew_return_1d,51-100,101-200,BREADTH_CONTRACTING,1481,7,0.016,0.4776,1425,-1,-0.0677,False,B,0.625
ew_return_1d,51-100,101-200,SC_INFLOW,1550,-7,-0.022,0.403,1499,-1,-0.0677,False,B,0.554
ew_return_1d,51-100,101-200,SC_INFLOW,1550,-3,-0.0306,0.3035,1503,-1,-0.0677,False,B,0.4533
ew_return_1d,51-100,101-200,SC_INFLOW,1550,-1,-0.0682,0.0149,1505,-1,-0.0677,False,B,0.0461
ew_return_1d,51-100,101-200,SC_INFLOW,1550,1,-0.0456,0.0896,1505,-1,-0.0677,False,B,0.1748
ew_return_1d,51-100,101-200,SC_INFLOW,1550,3,-0.0298,0.2786,1503,-1,-0.0677,False,B,0.4242
ew_return_1d,51-100,101-200,SC_INFLOW,1550,7,-0.0254,0.3483,1499,-1,-0.0677,False,B,0.5002
ew_return_1d,51-100,101-200,SC_OUTFLOW,646,-7,-0.0018,0.9602,617,-1,-0.0677,False,B,0.9782
ew_return_1d,51-100,101-200,SC_OUTFLOW,646,-3,0.0108,0.7811,619,-1,-0.0677,False,B,0.8561
ew_return_1d,51-100,101-200,SC_OUTFLOW,646,-1,-0.0662,0.0796,621,-1,-0.0677,False,B,0.1601
ew_return_1d,51-100,101-200,SC_OUTFLOW,646,1,-0.0639,0.0846,621,-1,-0.0677,False,B,0.1687
