metric,band_a,band_b,variant,best_lag_days_a_leads_b,best_corr,boot_ci_low,boot_ci_high,raw_p,n_days,classification,raw_lag,resid_lag,resid_corr,raw_corr,fdr_q
ew_return_1d,11-25,51-100,RESID,0,0.9489,0.7934,0.9792,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.9489,0.9588,0.0022
ew_return_1d,11-25,101-200,RAW,0,0.9483,0.9379,0.9573,0.002,2161.0,STRUCTURAL_LEAD_LAG,0,0,0.9371,0.9483,0.0022
ew_return_1d,11-25,101-200,RESID,0,0.9371,0.7563,0.9714,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.9371,0.9483,0.0022
ew_return_1d,11-25,201-300,RAW,0,0.9284,0.913,0.9429,0.002,2161.0,STRUCTURAL_LEAD_LAG,0,0,0.8865,0.9284,0.0022
ew_return_1d,11-25,201-300,RESID,0,0.8865,0.6326,0.9568,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.8865,0.9284,0.0022
ew_return_1d,11-25,301-500,RAW,0,0.8393,0.6657,0.9501,0.002,2161.0,STRUCTURAL_LEAD_LAG,0,0,0.9146,0.8393,0.0022
ew_return_1d,11-25,301-500,RESID,0,0.9146,0.7281,0.9684,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.9146,0.8393,0.0022
ew_return_1d,26-50,51-100,RAW,0,0.9749,0.969,0.9794,0.002,2161.0,STRUCTURAL_LEAD_LAG,0,0,0.9726,0.9749,0.0022
ew_return_1d,26-50,51-100,RESID,0,0.9726,0.8773,0.9881,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.9726,0.9749,0.0022
ew_return_1d,26-50,101-200,RAW,0,0.9692,0.963,0.9749,0.002,2161.0,STRUCTURAL_LEAD_LAG,0,0,0.9709,0.9692,0.0022
ew_return_1d,26-50,101-200,RESID,0,0.9709,0.8577,0.9912,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.9709,0.9692,0.0022
ew_return_1d,26-50,201-300,RAW,0,0.9418,0.9277,0.9534,0.002,2161.0,STRUCTURAL_LEAD_LAG,0,0,0.9122,0.9418,0.0022
ew_return_1d,26-50,201-300,RESID,0,0.9122,0.6781,0.9657,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.9122,0.9418,0.0022
ew_return_1d,26-50,301-500,RAW,0,0.8575,0.6918,0.9653,0.002,2161.0,STRUCTURAL_LEAD_LAG,0,0,0.9298,0.8575,0.0022
ew_return_1d,26-50,301-500,RESID,0,0.9298,0.8079,0.9666,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.9298,0.8575,0.0022
ew_return_1d,51-100,101-200,RAW,0,0.9833,0.9797,0.9862,0.002,2161.0,STRUCTURAL_LEAD_LAG,0,0,0.9825,0.9833,0.0022
ew_return_1d,51-100,101-200,RESID,0,0.9825,0.9185,0.9931,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.9825,0.9833,0.0022
ew_return_1d,51-100,201-300,RAW,0,0.9477,0.9316,0.9588,0.002,2161.0,STRUCTURAL_LEAD_LAG,0,0,0.9227,0.9477,0.0022
ew_return_1d,51-100,201-300,RESID,0,0.9227,0.7366,0.9682,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.9227,0.9477,0.0022
ew_return_1d,51-100,301-500,RAW,0,0.8729,0.7131,0.9779,0.002,2161.0,STRUCTURAL_LEAD_LAG,0,0,0.9568,0.8729,0.0022
ew_return_1d,51-100,301-500,RESID,0,0.9568,0.8794,0.9768,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.9568,0.8729,0.0022
ew_return_1d,101-200,201-300,RAW,0,0.9515,0.94,0.9618,0.002,2161.0,STRUCTURAL_LEAD_LAG,0,0,0.9323,0.9515,0.0022
ew_return_1d,101-200,201-300,RESID,0,0.9323,0.7318,0.9752,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.9323,0.9515,0.0022
ew_return_1d,101-200,301-500,RAW,0,0.882,0.7153,0.9858,0.002,2161.0,STRUCTURAL_LEAD_LAG,0,0,0.967,0.882,0.0022
ew_return_1d,101-200,301-500,RESID,0,0.967,0.932,0.9835,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.967,0.882,0.0022
ew_return_1d,201-300,301-500,RAW,0,0.8464,0.6602,0.9687,0.002,2161.0,STRUCTURAL_LEAD_LAG,0,0,0.9334,0.8464,0.0022
ew_return_1d,201-300,301-500,RESID,0,0.9334,0.7993,0.9701,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.9334,0.8464,0.0022
rank_velocity_7d,1-10,11-25,RAW,0,0.4392,0.0854,0.62,0.002,2144.0,STRUCTURAL_LEAD_LAG,0,0,0.3057,0.4392,0.0022
rank_velocity_7d,1-10,11-25,RESID,0,0.3057,0.0374,0.4941,0.002,2008.0,STRUCTURAL_LEAD_LAG,0,0,0.3057,0.4392,0.0022
rank_velocity_7d,1-10,26-50,RAW,0,0.4758,0.0925,0.629,0.002,2144.0,STRUCTURAL_LEAD_LAG,0,0,0.2927,0.4758,0.0022
rank_velocity_7d,1-10,26-50,RESID,0,0.2927,0.0484,0.4604,0.002,2008.0,STRUCTURAL_LEAD_LAG,0,0,0.2927,0.4758,0.0022
rank_velocity_7d,1-10,51-100,RAW,6,0.4382,-0.0892,0.6472,0.002,2097.0,STRUCTURAL_LEAD_LAG,6,0,0.2343,0.4382,0.0022
rank_velocity_7d,1-10,51-100,RESID,0,0.2343,0.0287,0.3855,0.002,2008.0,STRUCTURAL_LEAD_LAG,6,0,0.2343,0.4382,0.0022
rank_velocity_7d,1-10,101-200,RAW,6,0.6013,-0.0177,0.8061,0.002,2097.0,STRUCTURAL_LEAD_LAG,6,0,0.1658,0.6013,0.0022
rank_velocity_7d,1-10,101-200,RESID,0,0.1658,0.0022,0.2827,0.002,2008.0,STRUCTURAL_LEAD_LAG,6,0,0.1658,0.6013,0.0022
rank_velocity_7d,1-10,201-300,RAW,6,0.1796,-0.0145,0.3505,0.002,2097.0,COMMON_FIELD_EFFECT,6,-13,,,0.0022
rank_velocity_7d,1-10,201-300,RESID,-13,0.0548,0.0022,0.1082,0.0579,1915.0,COMMON_FIELD_EFFECT,6,-13,,,0.0588
rank_velocity_7d,1-10,301-500,RAW,13,-0.2283,-0.4577,0.027,0.002,2086.0,COMMON_FIELD_EFFECT,13,-13,,,0.0022
rank_velocity_7d,1-10,301-500,RESID,-13,0.0287,0.001,0.066,0.1497,1915.0,COMMON_FIELD_EFFECT,13,-13,,,0.1497
rank_velocity_7d,11-25,26-50,RAW,0,0.5272,0.1829,0.7246,0.002,2144.0,STRUCTURAL_LEAD_LAG,0,0,0.2391,0.5272,0.0022
rank_velocity_7d,11-25,26-50,RESID,0,0.2391,0.0801,0.4011,0.002,2008.0,STRUCTURAL_LEAD_LAG,0,0,0.2391,0.5272,0.0022
rank_velocity_7d,11-25,51-100,RAW,0,0.5238,0.1689,0.7026,0.002,2144.0,STRUCTURAL_LEAD_LAG,0,0,0.2657,0.5238,0.0022
rank_velocity_7d,11-25,51-100,RESID,0,0.2657,0.1391,0.3867,0.002,2008.0,STRUCTURAL_LEAD_LAG,0,0,0.2657,0.5238,0.0022
rank_velocity_7d,11-25,101-200,RAW,0,0.4522,0.1014,0.637,0.002,2144.0,STRUCTURAL_LEAD_LAG,0,0,0.1615,0.4522,0.0022
rank_velocity_7d,11-25,101-200,RESID,0,0.1615,0.0313,0.2791,0.002,2008.0,STRUCTURAL_LEAD_LAG,0,0,0.1615,0.4522,0.0022
rank_velocity_7d,11-25,201-300,RAW,6,0.0919,-0.0305,0.2204,0.004,2097.0,AMBIGUOUS,6,1,,,0.0043
rank_velocity_7d,11-25,201-300,RESID,1,-0.0793,-0.1247,-0.0326,0.01,1953.0,AMBIGUOUS,6,1,,,0.0104
rank_velocity_7d,11-25,301-500,RAW,7,-0.0918,-0.2672,0.0463,0.004,2095.0,STRUCTURAL_LEAD_LAG,7,1,-0.0708,-0.0918,0.0043
rank_velocity_7d,11-25,301-500,RESID,1,-0.0708,-0.1276,-0.0229,0.018,1953.0,STRUCTURAL_LEAD_LAG,7,1,-0.0708,-0.0918,0.0186
rank_velocity_7d,26-50,51-100,RAW,0,0.6801,0.3548,0.8119,0.002,2144.0,STRUCTURAL_LEAD_LAG,0,0,0.3946,0.6801,0.0022
rank_velocity_7d,26-50,51-100,RESID,0,0.3946,0.2809,0.5133,0.002,2008.0,STRUCTURAL_LEAD_LAG,0,0,0.3946,0.6801,0.0022
rank_velocity_7d,26-50,101-200,RAW,0,0.6124,0.3315,0.7473,0.002,2144.0,STRUCTURAL_LEAD_LAG,0,0,0.3364,0.6124,0.0022
rank_velocity_7d,26-50,101-200,RESID,0,0.3364,0.2273,0.4226,0.002,2008.0,STRUCTURAL_LEAD_LAG,0,0,0.3364,0.6124,0.0022
rank_velocity_7d,26-50,201-300,RAW,6,0.1172,-0.014,0.2438,0.004,2097.0,AMBIGUOUS,6,14,,,0.0043
rank_velocity_7d,26-50,201-300,RESID,14,-0.0738,-0.1521,-0.0006,0.008,1918.0,AMBIGUOUS,6,14,,,0.0084
rank_velocity_7d,26-50,301-500,RAW,0,0.167,-0.0163,0.3416,0.002,2144.0,AMBIGUOUS,0,14,,,0.0022
rank_velocity_7d,26-50,301-500,RESID,14,-0.0683,-0.1274,-0.0184,0.0279,1918.0,AMBIGUOUS,0,14,,,0.0286
rank_velocity_7d,51-100,101-200,RAW,0,0.8544,0.581,0.9198,0.002,2144.0,STRUCTURAL_LEAD_LAG,0,0,0.6801,0.8544,0.0022
rank_velocity_7d,51-100,101-200,RESID,0,0.6801,0.5389,0.7923,0.002,2008.0,STRUCTURAL_LEAD_LAG,0,0,0.6801,0.8544,0.0022
rank_velocity_7d,51-100,201-300,RAW,0,0.159,-0.2065,0.4229,0.002,2144.0,AMBIGUOUS,0,0,,,0.0022
rank_velocity_7d,51-100,201-300,RESID,0,-0.1236,-0.2837,0.0241,0.002,2008.0,AMBIGUOUS,0,0,,,0.0022
rank_velocity_7d,51-100,301-500,RAW,0,0.2242,-0.0607,0.4389,0.002,2144.0,COMMON_FIELD_EFFECT,0,-2,,,0.0022
rank_velocity_7d,51-100,301-500,RESID,-2,-0.042,-0.1156,0.0264,0.1317,1950.0,COMMON_FIELD_EFFECT,0,-2,,,0.1328
rank_velocity_7d,101-200,201-300,RAW,0,0.1936,-0.3665,0.4676,0.002,2144.0,AMBIGUOUS,0,0,,,0.0022
rank_velocity_7d,101-200,201-300,RESID,0,-0.2092,-0.3882,-0.0259,0.002,2008.0,AMBIGUOUS,0,0,,,0.0022
rank_velocity_7d,101-200,301-500,RAW,7,-0.235,-0.433,0.0937,0.002,2095.0,STRUCTURAL_LEAD_LAG,7,1,-0.0901,-0.235,0.0022
rank_velocity_7d,101-200,301-500,RESID,1,-0.0901,-0.2101,0.0154,0.008,1953.0,STRUCTURAL_LEAD_LAG,7,1,-0.0901,-0.235,0.0084
rank_velocity_7d,201-300,301-500,RAW,0,0.9274,0.8734,0.9663,0.002,2144.0,STRUCTURAL_LEAD_LAG,0,0,0.9634,0.9274,0.0022
rank_velocity_7d,201-300,301-500,RESID,0,0.9634,0.9452,0.9784,0.002,2008.0,STRUCTURAL_LEAD_LAG,0,0,0.9634,0.9274,0.0022
breadth_7d,1-10,11-25,RAW,0,0.8681,0.8496,0.8814,0.002,2196.0,STRUCTURAL_LEAD_LAG,0,0,0.8432,0.8681,0.0022
breadth_7d,1-10,11-25,RESID,0,0.8432,0.8255,0.8641,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.8432,0.8681,0.0022
breadth_7d,1-10,26-50,RAW,0,0.8629,0.8442,0.8799,0.002,2196.0,STRUCTURAL_LEAD_LAG,0,0,0.8371,0.8629,0.0022
breadth_7d,1-10,26-50,RESID,0,0.8371,0.8182,0.8594,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.8371,0.8629,0.0022
breadth_7d,1-10,51-100,RAW,0,0.8699,0.8554,0.8838,0.002,2196.0,STRUCTURAL_LEAD_LAG,0,0,0.852,0.8699,0.0022
breadth_7d,1-10,51-100,RESID,0,0.852,0.8311,0.8759,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.852,0.8699,0.0022
breadth_7d,1-10,101-200,RAW,0,0.8484,0.8301,0.8659,0.002,2196.0,STRUCTURAL_LEAD_LAG,0,0,0.8302,0.8484,0.0022
breadth_7d,1-10,101-200,RESID,0,0.8302,0.8117,0.857,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.8302,0.8484,0.0022
breadth_7d,1-10,201-300,RAW,0,0.837,0.8148,0.8575,0.002,2196.0,STRUCTURAL_LEAD_LAG,0,0,0.8261,0.837,0.0022
breadth_7d,1-10,201-300,RESID,0,0.8261,0.7867,0.8592,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.8261,0.837,0.0022
breadth_7d,1-10,301-500,RAW,0,0.8316,0.8067,0.8532,0.002,2196.0,STRUCTURAL_LEAD_LAG,0,0,0.8212,0.8316,0.0022
breadth_7d,1-10,301-500,RESID,0,0.8212,0.7958,0.8529,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.8212,0.8316,0.0022
breadth_7d,11-25,26-50,RAW,0,0.9059,0.8936,0.9157,0.002,2196.0,STRUCTURAL_LEAD_LAG,0,0,0.9086,0.9059,0.0022
breadth_7d,11-25,26-50,RESID,0,0.9086,0.8687,0.9452,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.9086,0.9059,0.0022
breadth_7d,11-25,51-100,RAW,0,0.9151,0.9038,0.9233,0.002,2196.0,STRUCTURAL_LEAD_LAG,0,0,0.9155,0.9151,0.0022
breadth_7d,11-25,51-100,RESID,0,0.9155,0.8836,0.9453,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.9155,0.9151,0.0022
breadth_7d,11-25,101-200,RAW,0,0.9031,0.8903,0.9121,0.002,2196.0,STRUCTURAL_LEAD_LAG,0,0,0.9104,0.9031,0.0022
breadth_7d,11-25,101-200,RESID,0,0.9104,0.8704,0.9401,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.9104,0.9031,0.0022
breadth_7d,11-25,201-300,RAW,0,0.8508,0.8278,0.872,0.002,2196.0,STRUCTURAL_LEAD_LAG,0,0,0.8562,0.8508,0.0022
breadth_7d,11-25,201-300,RESID,0,0.8562,0.7987,0.9064,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.8562,0.8508,0.0022
breadth_7d,11-25,301-500,RAW,0,0.8822,0.8654,0.8968,0.002,2196.0,STRUCTURAL_LEAD_LAG,0,0,0.8928,0.8822,0.0022
breadth_7d,11-25,301-500,RESID,0,0.8928,0.8532,0.9335,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.8928,0.8822,0.0022
breadth_7d,26-50,51-100,RAW,0,0.9499,0.9434,0.9546,0.002,2196.0,STRUCTURAL_LEAD_LAG,0,0,0.9522,0.9499,0.0022
breadth_7d,26-50,51-100,RESID,0,0.9522,0.9344,0.9679,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.9522,0.9499,0.0022
breadth_7d,26-50,101-200,RAW,0,0.9417,0.932,0.9507,0.002,2196.0,STRUCTURAL_LEAD_LAG,0,0,0.9463,0.9417,0.0022
breadth_7d,26-50,101-200,RESID,0,0.9463,0.9219,0.9663,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.9463,0.9417,0.0022
breadth_7d,26-50,201-300,RAW,0,0.8802,0.8577,0.9007,0.002,2196.0,STRUCTURAL_LEAD_LAG,0,0,0.8799,0.8802,0.0022
breadth_7d,26-50,201-300,RESID,0,0.8799,0.8303,0.9224,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.8799,0.8802,0.0022
breadth_7d,26-50,301-500,RAW,0,0.92,0.9083,0.9326,0.002,2196.0,STRUCTURAL_LEAD_LAG,0,0,0.9216,0.92,0.0022
breadth_7d,26-50,301-500,RESID,0,0.9216,0.8904,0.952,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.9216,0.92,0.0022
breadth_7d,51-100,101-200,RAW,0,0.9679,0.9631,0.9722,0.002,2196.0,STRUCTURAL_LEAD_LAG,0,0,0.969,0.9679,0.0022
breadth_7d,51-100,101-200,RESID,0,0.969,0.957,0.9786,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.969,0.9679,0.0022
breadth_7d,51-100,201-300,RAW,0,0.9001,0.88,0.9197,0.002,2196.0,STRUCTURAL_LEAD_LAG,0,0,0.8979,0.9001,0.0022
breadth_7d,51-100,201-300,RESID,0,0.8979,0.8621,0.9296,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.8979,0.9001,0.0022
breadth_7d,51-100,301-500,RAW,0,0.947,0.9379,0.9545,0.002,2196.0,STRUCTURAL_LEAD_LAG,0,0,0.9481,0.947,0.0022
breadth_7d,51-100,301-500,RESID,0,0.9481,0.9287,0.9652,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.9481,0.947,0.0022
breadth_7d,101-200,201-300,RAW,0,0.9096,0.8857,0.9318,0.002,2196.0,STRUCTURAL_LEAD_LAG,0,0,0.9123,0.9096,0.0022
breadth_7d,101-200,201-300,RESID,0,0.9123,0.8746,0.9459,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.9123,0.9096,0.0022
breadth_7d,101-200,301-500,RAW,0,0.9688,0.9639,0.9727,0.002,2196.0,STRUCTURAL_LEAD_LAG,0,0,0.9709,0.9688,0.0022
breadth_7d,101-200,301-500,RESID,0,0.9709,0.9603,0.9812,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.9709,0.9688,0.0022
breadth_7d,201-300,301-500,RAW,0,0.9134,0.8929,0.9312,0.002,2196.0,STRUCTURAL_LEAD_LAG,0,0,0.9123,0.9134,0.0022
breadth_7d,201-300,301-500,RESID,0,0.9123,0.8692,0.9442,0.002,2035.0,STRUCTURAL_LEAD_LAG,0,0,0.9123,0.9134,0.0022
