stage,boundary,variant,from_state,to_state,count,prob
development,2.0,RKEY_A,0,4,0,
development,2.0,RKEY_A,1,0,0,
development,2.0,RKEY_A,1,1,0,
development,2.0,RKEY_A,1,2,0,
development,2.0,RKEY_A,1,3,0,
development,2.0,RKEY_A,1,4,0,
development,2.0,RKEY_A,2,0,17,0.2786885245901639
development,2.0,RKEY_A,2,1,16,0.26229508196721313
development,2.0,RKEY_A,2,2,12,0.19672131147540983
development,2.0,RKEY_A,2,3,5,0.08196721311475409
development,2.0,RKEY_A,2,4,11,0.18032786885245902
development,2.0,RKEY_A,3,0,3,0.2727272727272727
development,2.0,RKEY_A,3,1,5,0.45454545454545453
development,2.0,RKEY_A,3,2,1,0.09090909090909091
development,2.0,RKEY_A,3,3,1,0.09090909090909091
development,2.0,RKEY_A,3,4,1,0.09090909090909091
development,2.0,RKEY_A,4,0,1,0.2
development,2.0,RKEY_A,4,1,1,0.2
development,2.0,RKEY_A,4,2,3,0.6
development,2.0,RKEY_A,4,3,0,0.0
development,2.0,RKEY_A,4,4,0,0.0
development,2.0,RKEY_B,0,0,0,
development,2.0,RKEY_B,0,1,0,
development,2.0,RKEY_B,0,2,0,
development,2.0,RKEY_B,0,3,0,
development,2.0,RKEY_B,0,4,0,
development,2.0,RKEY_B,1,0,0,
development,2.0,RKEY_B,1,1,0,
development,2.0,RKEY_B,1,2,0,
development,2.0,RKEY_B,1,3,0,
development,2.0,RKEY_B,1,4,0,
development,2.0,RKEY_B,2,0,16,0.24615384615384617
development,2.0,RKEY_B,2,1,20,0.3076923076923077
development,2.0,RKEY_B,2,2,13,0.2
development,2.0,RKEY_B,2,3,5,0.07692307692307693
development,2.0,RKEY_B,2,4,11,0.16923076923076924
development,2.0,RKEY_B,3,0,7,0.4117647058823529
development,2.0,RKEY_B,3,1,7,0.4117647058823529
development,2.0,RKEY_B,3,2,1,0.058823529411764705
development,2.0,RKEY_B,3,3,1,0.058823529411764705
development,2.0,RKEY_B,3,4,1,0.058823529411764705
development,2.0,RKEY_B,4,0,0,0.0
development,2.0,RKEY_B,4,1,1,0.3333333333333333
development,2.0,RKEY_B,4,2,2,0.6666666666666666
development,2.0,RKEY_B,4,3,0,0.0
development,2.0,RKEY_B,4,4,0,0.0
development,2.0,RKEY_C,0,0,0,
development,2.0,RKEY_C,0,1,0,
development,2.0,RKEY_C,0,2,0,
development,2.0,RKEY_C,0,3,0,
development,2.0,RKEY_C,0,4,0,
development,2.0,RKEY_C,1,0,0,
development,2.0,RKEY_C,1,1,0,
development,2.0,RKEY_C,1,2,0,
development,2.0,RKEY_C,1,3,0,
development,2.0,RKEY_C,1,4,0,
development,2.0,RKEY_C,2,0,0,
development,2.0,RKEY_C,2,1,0,
development,2.0,RKEY_C,2,2,0,
development,2.0,RKEY_C,2,3,0,
development,2.0,RKEY_C,2,4,0,
development,2.0,RKEY_C,3,0,1,0.3333333333333333
development,2.0,RKEY_C,3,1,2,0.6666666666666666
development,2.0,RKEY_C,3,2,0,0.0
development,2.0,RKEY_C,3,3,0,0.0
development,2.0,RKEY_C,3,4,0,0.0
development,2.0,RKEY_C,4,0,0,
development,2.0,RKEY_C,4,1,0,
development,2.0,RKEY_C,4,2,0,
development,2.0,RKEY_C,4,3,0,
development,2.0,RKEY_C,4,4,0,
confirmation,1.0,RKEY_A,0,0,0,
confirmation,1.0,RKEY_A,0,1,0,
confirmation,1.0,RKEY_A,0,2,0,
confirmation,1.0,RKEY_A,0,3,0,
confirmation,1.0,RKEY_A,0,4,0,
confirmation,1.0,RKEY_A,1,0,46,0.42990654205607476
confirmation,1.0,RKEY_A,1,1,26,0.24299065420560748
confirmation,1.0,RKEY_A,1,2,22,0.205607476635514
confirmation,1.0,RKEY_A,1,3,7,0.06542056074766354
confirmation,1.0,RKEY_A,1,4,6,0.056074766355140186
confirmation,1.0,RKEY_A,2,0,11,0.3333333333333333
confirmation,1.0,RKEY_A,2,1,9,0.2727272727272727
confirmation,1.0,RKEY_A,2,2,7,0.21212121212121213
confirmation,1.0,RKEY_A,2,3,3,0.09090909090909091
confirmation,1.0,RKEY_A,2,4,3,0.09090909090909091
confirmation,1.0,RKEY_A,3,0,6,0.5
confirmation,1.0,RKEY_A,3,1,2,0.16666666666666666
confirmation,1.0,RKEY_A,3,2,1,0.08333333333333333
confirmation,1.0,RKEY_A,3,3,3,0.25
confirmation,1.0,RKEY_A,3,4,0,0.0
confirmation,1.0,RKEY_A,4,0,0,
confirmation,1.0,RKEY_A,4,1,0,
confirmation,1.0,RKEY_A,4,2,0,
confirmation,1.0,RKEY_A,4,3,0,
confirmation,1.0,RKEY_A,4,4,0,
confirmation,1.0,RKEY_B,0,0,0,
confirmation,1.0,RKEY_B,0,1,0,
confirmation,1.0,RKEY_B,0,2,0,
confirmation,1.0,RKEY_B,0,3,0,
confirmation,1.0,RKEY_B,0,4,0,
confirmation,1.0,RKEY_B,1,0,42,0.37168141592920356
confirmation,1.0,RKEY_B,1,1,27,0.23893805309734514
confirmation,1.0,RKEY_B,1,2,29,0.25663716814159293
confirmation,1.0,RKEY_B,1,3,7,0.061946902654867256
confirmation,1.0,RKEY_B,1,4,8,0.07079646017699115
confirmation,1.0,RKEY_B,2,0,9,0.2727272727272727
confirmation,1.0,RKEY_B,2,1,12,0.36363636363636365
confirmation,1.0,RKEY_B,2,2,7,0.21212121212121213
confirmation,1.0,RKEY_B,2,3,3,0.09090909090909091
confirmation,1.0,RKEY_B,2,4,2,0.06060606060606061
confirmation,1.0,RKEY_B,3,0,5,0.38461538461538464
confirmation,1.0,RKEY_B,3,1,3,0.23076923076923078
confirmation,1.0,RKEY_B,3,2,1,0.07692307692307693
confirmation,1.0,RKEY_B,3,3,3,0.23076923076923078
confirmation,1.0,RKEY_B,3,4,1,0.07692307692307693
confirmation,1.0,RKEY_B,4,0,0,
confirmation,1.0,RKEY_B,4,1,0,
confirmation,1.0,RKEY_B,4,2,0,
confirmation,1.0,RKEY_B,4,3,0,
confirmation,1.0,RKEY_B,4,4,0,
confirmation,1.0,RKEY_C,0,0,0,
confirmation,1.0,RKEY_C,0,1,0,
confirmation,1.0,RKEY_C,0,2,0,
confirmation,1.0,RKEY_C,0,3,0,
confirmation,1.0,RKEY_C,0,4,0,
confirmation,1.0,RKEY_C,1,0,0,
confirmation,1.0,RKEY_C,1,1,0,
confirmation,1.0,RKEY_C,1,2,0,
confirmation,1.0,RKEY_C,1,3,0,
confirmation,1.0,RKEY_C,1,4,0,
confirmation,1.0,RKEY_C,2,0,1,0.125
confirmation,1.0,RKEY_C,2,1,4,0.5
confirmation,1.0,RKEY_C,2,2,1,0.125
confirmation,1.0,RKEY_C,2,3,1,0.125
confirmation,1.0,RKEY_C,2,4,1,0.125
confirmation,1.0,RKEY_C,3,0,0,0.0
confirmation,1.0,RKEY_C,3,1,1,0.3333333333333333
confirmation,1.0,RKEY_C,3,2,0,0.0
confirmation,1.0,RKEY_C,3,3,1,0.3333333333333333
confirmation,1.0,RKEY_C,3,4,1,0.3333333333333333
confirmation,1.0,RKEY_C,4,0,0,
confirmation,1.0,RKEY_C,4,1,0,
confirmation,1.0,RKEY_C,4,2,0,
confirmation,1.0,RKEY_C,4,3,0,
confirmation,1.0,RKEY_C,4,4,0,
confirmation,2.0,RKEY_A,0,0,0,
confirmation,2.0,RKEY_A,0,1,0,
confirmation,2.0,RKEY_A,0,2,0,
confirmation,2.0,RKEY_A,0,3,0,
confirmation,2.0,RKEY_A,0,4,0,
confirmation,2.0,RKEY_A,1,0,0,
confirmation,2.0,RKEY_A,1,1,0,
confirmation,2.0,RKEY_A,1,2,0,
confirmation,2.0,RKEY_A,1,3,0,
confirmation,2.0,RKEY_A,1,4,0,
confirmation,2.0,RKEY_A,2,0,14,0.2857142857142857
confirmation,2.0,RKEY_A,2,1,14,0.2857142857142857
confirmation,2.0,RKEY_A,2,2,11,0.22448979591836735
confirmation,2.0,RKEY_A,2,3,4,0.08163265306122448
confirmation,2.0,RKEY_A,2,4,6,0.12244897959183673
confirmation,2.0,RKEY_A,3,0,6,0.42857142857142855
confirmation,2.0,RKEY_A,3,1,2,0.14285714285714285
confirmation,2.0,RKEY_A,3,2,1,0.07142857142857142
confirmation,2.0,RKEY_A,3,3,4,0.2857142857142857
confirmation,2.0,RKEY_A,3,4,1,0.07142857142857142
confirmation,2.0,RKEY_A,4,0,0,
confirmation,2.0,RKEY_A,4,1,0,
confirmation,2.0,RKEY_A,4,2,0,
confirmation,2.0,RKEY_A,4,3,0,
confirmation,2.0,RKEY_A,4,4,0,
confirmation,2.0,RKEY_B,0,0,0,
confirmation,2.0,RKEY_B,0,1,0,
confirmation,2.0,RKEY_B,0,2,0,
confirmation,2.0,RKEY_B,0,3,0,
confirmation,2.0,RKEY_B,0,4,0,
confirmation,2.0,RKEY_B,1,0,0,
confirmation,2.0,RKEY_B,1,1,0,
confirmation,2.0,RKEY_B,1,2,0,
confirmation,2.0,RKEY_B,1,3,0,
confirmation,2.0,RKEY_B,1,4,0,
confirmation,2.0,RKEY_B,2,0,14,0.2857142857142857
confirmation,2.0,RKEY_B,2,1,14,0.2857142857142857
confirmation,2.0,RKEY_B,2,2,12,0.24489795918367346
confirmation,2.0,RKEY_B,2,3,4,0.08163265306122448
confirmation,2.0,RKEY_B,2,4,5,0.10204081632653061
confirmation,2.0,RKEY_B,3,0,6,0.4
confirmation,2.0,RKEY_B,3,1,4,0.26666666666666666
confirmation,2.0,RKEY_B,3,2,1,0.06666666666666667
confirmation,2.0,RKEY_B,3,3,3,0.2
confirmation,2.0,RKEY_B,3,4,1,0.06666666666666667
confirmation,2.0,RKEY_B,4,0,0,
confirmation,2.0,RKEY_B,4,1,0,
confirmation,2.0,RKEY_B,4,2,0,
confirmation,2.0,RKEY_B,4,3,0,
confirmation,2.0,RKEY_B,4,4,0,
