episode_id,variant,direction,boundary,old_anchor_type,new_anchor_type,old_anchor_value,new_anchor_value,anchor_value_sealed,rekey_event_time,rekey_evidence_complete_time,rekey_known_time,new_anchor_active_time,event_pos,known_pos,crossing_pos,latency_bars,crossing_latency_bars,coordinate_before,coordinate_after,sigma_state_before,sigma_state_after,dist_from_old_anchor,dist_from_new_anchor,dist_from_boundary,vol_known,prior_state_duration,anchor_age,momentum,level_known,level_b_known,anchor_price_known,duplicate_episode_id,stage,is_control
RK-A-d+1-b1-e985-k985,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.08188,1.4269584988987773,1.4269584988987773,2023-08-29 01:00:00+00:00,2023-08-29 01:00:00+00:00,2023-08-29 01:00:00+00:00,2023-08-29 01:00:00+00:00,985,985,985,0,0,1.4269584988987773,0.0,1.0,0.0,1.4269584988987773,0.0,0.42695849889877735,0.0004468072390727207,3,111,1,1.08257,1.0823634998233749,1.08188,X-d+1-b1-e985,development,False
RK-A-d+1-b1-e988-k988,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.08257,1.6798816609701661,1.6798816609701661,2023-08-29 04:00:00+00:00,2023-08-29 04:00:00+00:00,2023-08-29 04:00:00+00:00,2023-08-29 04:00:00+00:00,988,988,988,0,0,1.6798816609701661,0.0,1.0,0.0,1.6798816609701661,0.0,0.6798816609701661,0.0004946834360067611,2,3,1,1.08347,1.0831056619279358,1.08257,X-d+1-b1-e988,development,False
RK-A-d+1-b1-e1002-k1002,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.08361,1.3233101362293567,1.3233101362293567,2023-08-29 18:00:00+00:00,2023-08-29 18:00:00+00:00,2023-08-29 18:00:00+00:00,2023-08-29 18:00:00+00:00,1002,1002,1002,0,0,1.3233101362293567,0.0,1.0,0.0,1.3233101362293567,0.0,0.32331013622935667,0.000968727793663146,1,14,1,1.085,1.084660231736697,1.08361,X-d+1-b1-e1002,development,False
RK-A-d+1-b1-e1006-k1006,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.08736,1.040312311149858,1.040312311149858,2023-08-29 22:00:00+00:00,2023-08-29 22:00:00+00:00,2023-08-29 22:00:00+00:00,2023-08-29 22:00:00+00:00,1006,1006,1006,0,0,1.040312311149858,0.0,1.0,0.0,1.040312311149858,0.0,0.040312311149858004,0.0010337492917689498,1,4,1,1.08853,1.0884846388270408,1.08736,X-d+1-b1-e1006,development,False
RK-A-d+1-b1-e1217-k1217,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.07358,1.4257040301013062,1.4257040301013062,2023-09-11 17:00:00+00:00,2023-09-11 17:00:00+00:00,2023-09-11 17:00:00+00:00,2023-09-11 17:00:00+00:00,1217,1217,1217,0,0,1.4257040301013062,0.0,1.0,0.0,1.4257040301013062,0.0,0.4257040301013062,0.0006399766697937237,1,211,1,1.07456,1.0742672860532192,1.07358,X-d+1-b1-e1217,development,False
RK-A-d+1-b1-e1338-k1338,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.06749,2.704417170063306,2.704417170063306,2023-09-18 18:00:00+00:00,2023-09-18 18:00:00+00:00,2023-09-18 18:00:00+00:00,2023-09-18 18:00:00+00:00,1338,1338,1338,0,0,2.704417170063306,0.0,2.0,0.0,2.704417170063306,0.0,1.704417170063306,0.0006540939415680079,1,121,1,1.06938,1.068188467148347,1.06749,X-d+1-b1-e1338,development,False
RK-A-d+1-b1-e1358-k1358,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.07003,1.3163145279732587,1.3163145279732587,2023-09-19 14:00:00+00:00,2023-09-19 14:00:00+00:00,2023-09-19 14:00:00+00:00,2023-09-19 14:00:00+00:00,1358,1358,1358,0,0,1.3163145279732587,0.0,1.0,0.0,1.3163145279732587,0.0,0.31631452797325865,0.0005890526059434016,2,20,1,1.07086,1.070660489637489,1.07003,X-d+1-b1-e1358,development,False
RK-A-d+1-b1-e1546-k1546,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.05897,1.3607117480761877,1.3607117480761877,2023-09-29 10:00:00+00:00,2023-09-29 10:00:00+00:00,2023-09-29 10:00:00+00:00,2023-09-29 10:00:00+00:00,1546,1546,1546,0,0,1.3607117480761877,0.0,1.0,0.0,1.3607117480761877,0.0,0.36071174807618767,0.001151113446973486,7,188,1,1.06063,1.0601896964767683,1.05897,X-d+1-b1-e1546,development,False
RK-A-d+1-b1-e1653-k1653,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.05377,1.7915398450164388,1.7915398450164388,2023-10-05 21:00:00+00:00,2023-10-05 21:00:00+00:00,2023-10-05 21:00:00+00:00,2023-10-05 21:00:00+00:00,1653,1653,1653,0,0,1.7915398450164388,0.0,1.0,0.0,1.7915398450164388,0.0,0.7915398450164388,0.0006934724073984253,5,107,1,1.05508,1.0545010138584188,1.05377,X-d+1-b1-e1653,development,False
RK-A-d+1-b1-e1670-k1670,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.05546,1.899782190393154,1.899782190393154,2023-10-06 14:00:00+00:00,2023-10-06 14:00:00+00:00,2023-10-06 14:00:00+00:00,2023-10-06 14:00:00+00:00,1670,1670,1670,0,0,1.899782190393154,0.0,1.0,0.0,1.899782190393154,0.0,0.899782190393154,0.000558267194276106,4,17,1,1.05658,1.0560493931970063,1.05546,X-d+1-b1-e1670,development,False
RK-A-d+1-b1-e1722-k1722,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.06042,1.144274680432026,1.144274680432026,2023-10-10 18:00:00+00:00,2023-10-10 18:00:00+00:00,2023-10-10 18:00:00+00:00,2023-10-10 18:00:00+00:00,1722,1722,1722,0,0,1.144274680432026,0.0,1.0,0.0,1.144274680432026,0.0,0.14427468043202607,0.0010624719818250643,3,52,1,1.06171,1.0615472652768108,1.06042,X-d+1-b1-e1722,development,False
RK-A-d+1-b1-e1744-k1744,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.06171,1.999315063753595,1.999315063753595,2023-10-11 16:00:00+00:00,2023-10-11 16:00:00+00:00,2023-10-11 16:00:00+00:00,2023-10-11 16:00:00+00:00,1744,1744,1744,0,0,1.999315063753595,0.0,1.0,0.0,1.999315063753595,0.0,0.999315063753595,0.0005555889919045862,1,22,1,1.06289,1.0623000382828045,1.06171,X-d+1-b1-e1744,development,False
RK-A-d+1-b1-e1822-k1822,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.05551,1.0908716978794801,1.0908716978794801,2023-10-16 22:00:00+00:00,2023-10-16 22:00:00+00:00,2023-10-16 22:00:00+00:00,2023-10-16 22:00:00+00:00,1822,1822,1822,0,0,1.0908716978794801,0.0,1.0,0.0,1.0908716978794801,0.0,0.09087169787948013,0.0006424561627171702,2,78,1,1.05625,1.0561883367818006,1.05551,X-d+1-b1-e1822,development,False
RK-A-d+1-b1-e1842-k1842,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.05751,1.369830318208827,1.369830318208827,2023-10-17 18:00:00+00:00,2023-10-17 18:00:00+00:00,2023-10-17 18:00:00+00:00,2023-10-17 18:00:00+00:00,1842,1842,1842,0,0,1.369830318208827,0.0,1.0,0.0,1.369830318208827,0.0,0.36983031820882695,0.001172597119468371,1,20,1,1.05921,1.0587507604937307,1.05751,X-d+1-b1-e1842,development,False
RK-A-d+1-b1-e1937-k1937,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.06096,2.3786188999381777,2.3786188999381777,2023-10-23 17:00:00+00:00,2023-10-23 17:00:00+00:00,2023-10-23 17:00:00+00:00,2023-10-23 17:00:00+00:00,1937,1937,1937,0,0,2.3786188999381777,0.0,2.0,0.0,2.3786188999381777,0.0,1.3786188999381777,0.0007522135301889522,4,95,1,1.06286,1.061758368701214,1.06096,X-d+1-b1-e1937,development,False
RK-A-d+1-b1-e2055-k2055,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.05912,1.7235496756942164,1.7235496756942164,2023-10-30 15:00:00+00:00,2023-10-30 15:00:00+00:00,2023-10-30 15:00:00+00:00,2023-10-30 15:00:00+00:00,2055,2055,2055,0,0,1.7235496756942164,0.0,1.0,0.0,1.7235496756942164,0.0,0.7235496756942164,0.0008484868718710273,1,118,1,1.06067,1.0600190307697022,1.05912,X-d+1-b1-e2055,development,False
RK-A-d+1-b1-e2058-k2058,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.06094,1.127639720416167,1.127639720416167,2023-10-30 18:00:00+00:00,2023-10-30 18:00:00+00:00,2023-10-30 18:00:00+00:00,2023-10-30 18:00:00+00:00,2058,2058,2058,0,0,1.127639720416167,0.0,1.0,0.0,1.127639720416167,0.0,0.127639720416167,0.0008104236137499828,2,3,1,1.06191,1.061800159328409,1.06094,X-d+1-b1-e2058,development,False
RK-A-d+1-b1-e2075-k2075,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.06211,2.8572639820988273,2.8572639820988273,2023-10-31 11:00:00+00:00,2023-10-31 11:00:00+00:00,2023-10-31 11:00:00+00:00,2023-10-31 11:00:00+00:00,2075,2075,2075,0,0,2.8572639820988273,0.0,2.0,0.0,2.8572639820988273,0.0,1.8572639820988273,0.0007965282883917414,1,17,1,1.06453,1.0629563376815891,1.06211,X-d+1-b1-e2075,development,False
RK-A-d+1-b1-e2319-k2319,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.07215,4.280851029961081,4.280851029961081,2023-11-14 15:00:00+00:00,2023-11-14 15:00:00+00:00,2023-11-14 15:00:00+00:00,2023-11-14 15:00:00+00:00,2319,2319,2319,0,0,4.280851029961081,0.0,4.0,0.0,4.280851029961081,0.0,3.280851029961081,0.0014725649199556375,3,244,1,1.07893,1.0737299735001982,1.07215,X-d+1-b1-e2319,development,False
RK-A-d+1-b1-e2322-k2322,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.08375,1.2409416352674663,1.2409416352674663,2023-11-14 18:00:00+00:00,2023-11-14 18:00:00+00:00,2023-11-14 18:00:00+00:00,2023-11-14 18:00:00+00:00,2322,2322,2322,0,0,1.2409416352674663,0.0,1.0,0.0,1.2409416352674663,0.0,0.24094163526746626,0.0016935496942403199,1,3,1,1.08603,1.0855869395162654,1.08375,X-d+1-b1-e2322,development,False
RK-A-d+1-b1-e2396-k2396,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.08901,1.5734607153350861,1.5734607153350861,2023-11-17 20:00:00+00:00,2023-11-17 20:00:00+00:00,2023-11-17 20:00:00+00:00,2023-11-17 20:00:00+00:00,2396,2396,2396,0,0,1.5734607153350861,0.0,1.0,0.0,1.5734607153350861,0.0,0.5734607153350861,0.0007523931633902767,1,74,1,1.0903,1.0898296719979996,1.08901,X-d+1-b1-e2396,development,False
RK-A-d+1-b1-e2404-k2404,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.09132,1.0144151452948895,1.0144151452948895,2023-11-20 04:00:00+00:00,2023-11-20 04:00:00+00:00,2023-11-20 04:00:00+00:00,2023-11-20 04:00:00+00:00,2404,2404,2404,0,0,1.0144151452948895,0.0,1.0,0.0,1.0144151452948895,0.0,0.01441514529488952,0.0008216607610177088,1,8,1,1.09223,1.0922170633121064,1.09132,X-d+1-b1-e2404,development,False
RK-A-d+1-b1-e2411-k2411,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.09237,1.6074369288912358,1.6074369288912358,2023-11-20 11:00:00+00:00,2023-11-20 11:00:00+00:00,2023-11-20 11:00:00+00:00,2023-11-20 11:00:00+00:00,2411,2411,2411,0,0,1.6074369288912358,0.0,1.0,0.0,1.6074369288912358,0.0,0.6074369288912358,0.0007285375525543721,1,7,1,1.09365,1.093166122533652,1.09237,X-d+1-b1-e2411,development,False
RK-A-d+1-b1-e2428-k2428,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.09518,1.1631592722817792,1.1631592722817792,2023-11-21 04:00:00+00:00,2023-11-21 04:00:00+00:00,2023-11-21 04:00:00+00:00,2023-11-21 04:00:00+00:00,2428,2428,2428,0,0,1.1631592722817792,0.0,1.0,0.0,1.1631592722817792,0.0,0.16315927228177918,0.000627778912941079,12,17,1,1.09598,1.0958677467637457,1.09518,X-d+1-b1-e2428,development,False
RK-A-d+1-b1-e2512-k2512,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.09229,1.9880214765080948,1.9880214765080948,2023-11-24 16:00:00+00:00,2023-11-24 16:00:00+00:00,2023-11-24 16:00:00+00:00,2023-11-24 16:00:00+00:00,2512,2512,2512,0,0,1.9880214765080948,0.0,1.0,0.0,1.9880214765080948,0.0,0.9880214765080948,0.0006259067729960157,1,84,1,1.09365,1.0929738857110987,1.09229,X-d+1-b1-e2512,development,False
RK-A-d+1-b1-e2562-k2562,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.09808,2.8594411620451625,2.8594411620451625,2023-11-28 18:00:00+00:00,2023-11-28 18:00:00+00:00,2023-11-28 18:00:00+00:00,2023-11-28 18:00:00+00:00,2562,2562,2562,0,0,2.8594411620451625,0.0,2.0,0.0,2.8594411620451625,0.0,1.8594411620451625,0.000773056138725874,2,50,1,1.10051,1.098929205684354,1.09808,X-d+1-b1-e2562,development,False
RK-A-d+1-b1-e2796-k2796,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.07934,1.2151529787029027,1.2151529787029027,2023-12-12 12:00:00+00:00,2023-12-12 12:00:00+00:00,2023-12-12 12:00:00+00:00,2023-12-12 12:00:00+00:00,2796,2796,2796,0,0,1.2151529787029027,0.0,1.0,0.0,1.2151529787029027,0.0,0.21515297870290273,0.0005792572903291562,2,234,1,1.0801,1.0799653966790497,1.07934,X-d+1-b1-e2796,development,False
RK-A-d+1-b1-e2848-k2848,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.09428,1.8542753120452546,1.8542753120452546,2023-12-14 16:00:00+00:00,2023-12-14 16:00:00+00:00,2023-12-14 16:00:00+00:00,2023-12-14 16:00:00+00:00,2848,2848,2848,0,0,1.8542753120452546,0.0,1.0,0.0,1.8542753120452546,0.0,0.8542753120452546,0.0023604118767533385,6,52,1,1.09908,1.0968660023231234,1.09428,X-d+1-b1-e2848,development,False
RK-A-d+1-b1-e2920-k2920,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.09685,1.2034786052361068,1.2034786052361068,2023-12-19 16:00:00+00:00,2023-12-19 16:00:00+00:00,2023-12-19 16:00:00+00:00,2023-12-19 16:00:00+00:00,2920,2920,2920,0,0,1.2034786052361068,0.0,1.0,0.0,1.2034786052361068,0.0,0.20347860523610684,0.0008026209364805579,2,72,1,1.09791,1.0977307081643053,1.09685,X-d+1-b1-e2920,development,False
RK-A-d+1-b1-e2975-k2975,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.10028,1.0427998917125074,1.0427998917125074,2023-12-21 23:00:00+00:00,2023-12-21 23:00:00+00:00,2023-12-21 23:00:00+00:00,2023-12-21 23:00:00+00:00,2975,2975,2975,0,0,1.0427998917125074,0.0,1.0,0.0,1.0427998917125074,0.0,0.04279989171250742,0.0006969922571182866,10,55,1,1.10108,1.1010471539597904,1.10028,X-d+1-b1-e2975,development,False
RK-A-d+1-b1-e2992-k2992,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.10286,1.036013614518547,1.036013614518547,2023-12-22 16:00:00+00:00,2023-12-22 16:00:00+00:00,2023-12-22 16:00:00+00:00,2023-12-22 16:00:00+00:00,2992,2992,2992,0,0,1.036013614518547,0.0,1.0,0.0,1.036013614518547,0.0,0.03601361451854701,0.0005599743622411379,1,17,1,1.1035,1.1034777462700356,1.10286,X-d+1-b1-e2992,development,False
RK-A-d+1-b1-e3036-k3036,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.10364,1.7970341475505478,1.7970341475505478,2023-12-26 21:00:00+00:00,2023-12-26 21:00:00+00:00,2023-12-26 21:00:00+00:00,2023-12-26 21:00:00+00:00,3036,3036,3036,0,0,1.7970341475505478,0.0,1.0,0.0,1.7970341475505478,0.0,0.7970341475505478,0.00040322631588023724,3,44,1,1.10444,1.1040851064245392,1.10364,X-d+1-b1-e3036,development,False
RK-A-d+1-b1-e3050-k3050,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.10468,1.65381682574718,1.65381682574718,2023-12-27 11:00:00+00:00,2023-12-27 11:00:00+00:00,2023-12-27 11:00:00+00:00,2023-12-27 11:00:00+00:00,3050,3050,3050,0,0,1.65381682574718,0.0,1.0,0.0,1.65381682574718,0.0,0.6538168257471799,0.0004049136346172067,5,14,1,1.10542,1.1051273905650463,1.10468,X-d+1-b1-e3050,development,False
RK-A-d+1-b1-e3053-k3053,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.10588,2.2954010403200074,2.2954010403200074,2023-12-27 14:00:00+00:00,2023-12-27 14:00:00+00:00,2023-12-27 14:00:00+00:00,2023-12-27 14:00:00+00:00,3053,3053,3053,0,0,2.2954010403200074,0.0,2.0,0.0,2.2954010403200074,0.0,1.2954010403200074,0.00037408522450535503,2,3,1,1.10683,1.1062937707560139,1.10588,X-d+1-b1-e3053,development,False
RK-A-d+1-b1-e3055-k3055,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.10705,4.0933130427996165,4.0933130427996165,2023-12-27 16:00:00+00:00,2023-12-27 16:00:00+00:00,2023-12-27 16:00:00+00:00,2023-12-27 16:00:00+00:00,3055,3055,3055,0,0,4.0933130427996165,0.0,4.0,0.0,4.0933130427996165,0.0,3.0933130427996165,0.0007491532453497503,1,2,1,1.11045,1.1078796608330146,1.10705,X-d+1-b1-e3055,development,False
RK-A-d+1-b1-e3484-k3484,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.09072,1.4084516932623639,1.4084516932623639,2024-01-23 08:00:00+00:00,2024-01-23 08:00:00+00:00,2024-01-23 08:00:00+00:00,2024-01-23 08:00:00+00:00,3484,3484,3484,0,0,1.4084516932623639,0.0,1.0,0.0,1.4084516932623639,0.0,0.40845169326236386,0.00042949423512333133,1,429,1,1.09138,1.0911885585665324,1.09072,X-d+1-b1-e3484,development,False
RK-A-d+1-b1-e3636-k3636,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.08575,2.5274459922416437,2.5274459922416437,2024-01-31 16:00:00+00:00,2024-01-31 16:00:00+00:00,2024-01-31 16:00:00+00:00,2024-01-31 16:00:00+00:00,3636,3636,3636,0,0,2.5274459922416437,0.0,2.0,0.0,2.5274459922416437,0.0,1.5274459922416437,0.0008227068517275652,1,152,1,1.08801,1.0866436215081283,1.08575,X-d+1-b1-e3636,development,False
RK-A-d+1-b1-e3679-k3679,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.08808,1.058823753688669,1.058823753688669,2024-02-02 11:00:00+00:00,2024-02-02 11:00:00+00:00,2024-02-02 11:00:00+00:00,2024-02-02 11:00:00+00:00,3679,3679,3679,0,0,1.058823753688669,0.0,1.0,0.0,1.058823753688669,0.0,0.0588237536886691,0.0008589209437984883,16,43,1,1.08907,1.0890149761783579,1.08808,X-d+1-b1-e3679,development,False
RK-A-d+1-b1-e3813-k3813,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.07866,1.8965387127643265,1.8965387127643265,2024-02-12 01:00:00+00:00,2024-02-12 01:00:00+00:00,2024-02-12 01:00:00+00:00,2024-02-12 01:00:00+00:00,3813,3813,3813,0,0,1.8965387127643265,0.0,1.0,0.0,1.8965387127643265,0.0,0.8965387127643265,0.0005569666232593844,10,134,1,1.0798,1.0792609449554513,1.07866,X-d+1-b1-e3813,development,False
RK-A-d+1-b1-e3971-k3971,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.08039,2.4370357409898467,2.4370357409898467,2024-02-20 15:00:00+00:00,2024-02-20 15:00:00+00:00,2024-02-20 15:00:00+00:00,2024-02-20 15:00:00+00:00,3971,3971,3971,0,0,2.4370357409898467,0.0,2.0,0.0,2.4370357409898467,0.0,1.4370357409898467,0.0007399468431506406,2,158,1,1.08234,1.081189727011121,1.08039,X-d+1-b1-e3971,development,False
RK-A-d+1-b1-e4013-k4013,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.08385,2.515887523823085,2.515887523823085,2024-02-22 09:00:00+00:00,2024-02-22 09:00:00+00:00,2024-02-22 09:00:00+00:00,2024-02-22 09:00:00+00:00,4013,4013,4013,0,0,2.515887523823085,0.0,2.0,0.0,2.515887523823085,0.0,1.5158875238230851,0.0005350570715269268,7,42,1,1.08531,1.084430076780227,1.08385,X-d+1-b1-e4013,development,False
RK-A-d+1-b1-e4237-k4237,RKEY_A,1,1.0,TRAILING50,TRAILING50,1.0886699999999998,2.7451692159028083,2.7451692159028083,2024-03-06 17:00:00+00:00,2024-03-06 17:00:00+00:00,2024-03-06 17:00:00+00:00,2024-03-06 17:00:00+00:00,4237,4237,4237,0,0,2.7451692159028083,0.0,2.0,0.0,2.7451692159028083,0.0,1.7451692159028083,0.0006184970192767912,1,224,1,1.09052,1.0893435474220408,1.0886699999999998,X-d+1-b1-e4237,development,False
