sequence,count,pct,n_subperiods,lift_vs_uniform,status
CONCENTRATION_RELEASES->DISPERSION_EXPANDS->RANK_RECRUITS->TAIL_ACTIVATES,13,0.015587529976019185,5,1.5431654676258995,RARE
DISPERSION_EXPANDS->RANK_RECRUITS->TAIL_ACTIVATES->CONCENTRATION_RELEASES,12,0.014388489208633094,5,1.4244604316546765,RARE
BREADTH_EXPANDS->CONCENTRATION_RELEASES->TAIL_ACTIVATES->RANK_RECRUITS->DISPERSION_EXPANDS,11,0.013189448441247002,4,1.3057553956834533,RARE
BREADTH_EXPANDS->RANK_RECRUITS->TAIL_ACTIVATES->DISPERSION_EXPANDS,11,0.013189448441247002,4,1.3057553956834533,RARE
BREADTH_EXPANDS->RANK_RECRUITS->TAIL_ACTIVATES->DISPERSION_EXPANDS->CONCENTRATION_RELEASES,11,0.013189448441247002,4,1.3057553956834533,RARE
CONCENTRATION_RELEASES->DISPERSION_EXPANDS->TAIL_ACTIVATES->RANK_RECRUITS->BREADTH_EXPANDS,10,0.011990407673860911,5,1.1870503597122304,RARE
CONCENTRATION_RELEASES->TAIL_ACTIVATES->DISPERSION_EXPANDS->RANK_RECRUITS,10,0.011990407673860911,4,1.1870503597122304,RARE
RANK_RECRUITS->TAIL_ACTIVATES->CONCENTRATION_RELEASES->DISPERSION_EXPANDS->BREADTH_EXPANDS,10,0.011990407673860911,5,1.1870503597122304,RARE
BREADTH_EXPANDS->DISPERSION_EXPANDS->RANK_RECRUITS->TAIL_ACTIVATES,9,0.01079136690647482,5,1.0683453237410074,RARE
CONCENTRATION_RELEASES->TAIL_ACTIVATES->DISPERSION_EXPANDS->RANK_RECRUITS->BREADTH_EXPANDS,9,0.01079136690647482,4,1.0683453237410074,RARE
CONCENTRATION_RELEASES->TAIL_ACTIVATES->RANK_RECRUITS->BREADTH_EXPANDS->DISPERSION_EXPANDS,9,0.01079136690647482,3,1.0683453237410074,RARE
BREADTH_EXPANDS->TAIL_ACTIVATES->CONCENTRATION_RELEASES->DISPERSION_EXPANDS->RANK_RECRUITS,8,0.009592326139088728,3,0.9496402877697842,RARE
DISPERSION_EXPANDS->TAIL_ACTIVATES->BREADTH_EXPANDS->RANK_RECRUITS->CONCENTRATION_RELEASES,8,0.009592326139088728,3,0.9496402877697842,RARE
BREADTH_EXPANDS->DISPERSION_EXPANDS->TAIL_ACTIVATES,7,0.008393285371702638,2,0.8309352517985612,RARE
CONCENTRATION_RELEASES->TAIL_ACTIVATES->DISPERSION_EXPANDS->BREADTH_EXPANDS->RANK_RECRUITS,7,0.008393285371702638,2,0.8309352517985612,RARE
DISPERSION_EXPANDS->RANK_RECRUITS->TAIL_ACTIVATES->BREADTH_EXPANDS,7,0.008393285371702638,4,0.8309352517985612,RARE
DISPERSION_EXPANDS->RANK_RECRUITS->TAIL_ACTIVATES->CONCENTRATION_RELEASES->BREADTH_EXPANDS,7,0.008393285371702638,3,0.8309352517985612,RARE
RANK_RECRUITS->TAIL_ACTIVATES->BREADTH_EXPANDS->DISPERSION_EXPANDS->CONCENTRATION_RELEASES,7,0.008393285371702638,4,0.8309352517985612,RARE
CONCENTRATION_RELEASES->DISPERSION_EXPANDS->TAIL_ACTIVATES,6,0.007194244604316547,2,0.7122302158273383,RARE
DISPERSION_EXPANDS->RANK_RECRUITS->TAIL_ACTIVATES->BREADTH_EXPANDS->CONCENTRATION_RELEASES,6,0.007194244604316547,5,0.7122302158273383,RARE
DISPERSION_EXPANDS->TAIL_ACTIVATES->CONCENTRATION_RELEASES->RANK_RECRUITS->BREADTH_EXPANDS,6,0.007194244604316547,3,0.7122302158273383,RARE
BREADTH_EXPANDS->CONCENTRATION_RELEASES->DISPERSION_EXPANDS,5,0.005995203836930456,1,0.5935251798561152,RARE
BREADTH_EXPANDS->RANK_RECRUITS->TAIL_ACTIVATES->CONCENTRATION_RELEASES->DISPERSION_EXPANDS,5,0.005995203836930456,3,0.5935251798561152,RARE
BREADTH_EXPANDS->TAIL_ACTIVATES->RANK_RECRUITS->CONCENTRATION_RELEASES->DISPERSION_EXPANDS,5,0.005995203836930456,3,0.5935251798561152,RARE
CONCENTRATION_RELEASES->TAIL_ACTIVATES->BREADTH_EXPANDS->RANK_RECRUITS->DISPERSION_EXPANDS,5,0.005995203836930456,2,0.5935251798561152,RARE
CONCENTRATION_RELEASES->TAIL_ACTIVATES->RANK_RECRUITS->DISPERSION_EXPANDS,5,0.005995203836930456,4,0.5935251798561152,RARE
RANK_RECRUITS->TAIL_ACTIVATES->BREADTH_EXPANDS->DISPERSION_EXPANDS,5,0.005995203836930456,3,0.5935251798561152,RARE
RANK_RECRUITS->TAIL_ACTIVATES->DISPERSION_EXPANDS->CONCENTRATION_RELEASES,5,0.005995203836930456,2,0.5935251798561152,RARE
RANK_RECRUITS->TAIL_ACTIVATES->DISPERSION_EXPANDS->CONCENTRATION_RELEASES->BREADTH_EXPANDS,5,0.005995203836930456,2,0.5935251798561152,RARE
BREADTH_EXPANDS->DISPERSION_EXPANDS->TAIL_ACTIVATES->CONCENTRATION_RELEASES,4,0.004796163069544364,3,0.4748201438848921,RARE
BREADTH_EXPANDS->TAIL_ACTIVATES->DISPERSION_EXPANDS->RANK_RECRUITS,4,0.004796163069544364,3,0.4748201438848921,RARE
BREADTH_EXPANDS->TAIL_ACTIVATES->DISPERSION_EXPANDS->RANK_RECRUITS->CONCENTRATION_RELEASES,4,0.004796163069544364,3,0.4748201438848921,RARE
CONCENTRATION_RELEASES->DISPERSION_EXPANDS->TAIL_ACTIVATES->BREADTH_EXPANDS,4,0.004796163069544364,3,0.4748201438848921,RARE
DISPERSION_EXPANDS->TAIL_ACTIVATES->CONCENTRATION_RELEASES->RANK_RECRUITS,4,0.004796163069544364,3,0.4748201438848921,RARE
DISPERSION_EXPANDS->TAIL_ACTIVATES->RANK_RECRUITS->BREADTH_EXPANDS->CONCENTRATION_RELEASES,4,0.004796163069544364,2,0.4748201438848921,RARE
RANK_RECRUITS->TAIL_ACTIVATES->CONCENTRATION_RELEASES->DISPERSION_EXPANDS,4,0.004796163069544364,3,0.4748201438848921,RARE
TAIL_ACTIVATES->BREADTH_EXPANDS->CONCENTRATION_RELEASES->DISPERSION_EXPANDS,4,0.004796163069544364,2,0.4748201438848921,RARE
BREADTH_EXPANDS->TAIL_ACTIVATES->DISPERSION_EXPANDS,3,0.0035971223021582736,2,0.3561151079136691,RARE
BREADTH_EXPANDS->TAIL_ACTIVATES->DISPERSION_EXPANDS->CONCENTRATION_RELEASES->RANK_RECRUITS,3,0.0035971223021582736,3,0.3561151079136691,RARE
CONCENTRATION_RELEASES->TAIL_ACTIVATES->BREADTH_EXPANDS->DISPERSION_EXPANDS,3,0.0035971223021582736,2,0.3561151079136691,RARE
CONCENTRATION_RELEASES->TAIL_ACTIVATES->DISPERSION_EXPANDS,3,0.0035971223021582736,1,0.3561151079136691,RARE
DISPERSION_EXPANDS->TAIL_ACTIVATES->BREADTH_EXPANDS->CONCENTRATION_RELEASES->RANK_RECRUITS,3,0.0035971223021582736,1,0.3561151079136691,RARE
DISPERSION_EXPANDS->TAIL_ACTIVATES->BREADTH_EXPANDS->RANK_RECRUITS,3,0.0035971223021582736,2,0.3561151079136691,RARE
DISPERSION_EXPANDS->TAIL_ACTIVATES->CONCENTRATION_RELEASES->BREADTH_EXPANDS->RANK_RECRUITS,3,0.0035971223021582736,1,0.3561151079136691,RARE
RANK_RECRUITS->TAIL_ACTIVATES->DISPERSION_EXPANDS->BREADTH_EXPANDS,3,0.0035971223021582736,2,0.3561151079136691,RARE
TAIL_ACTIVATES->BREADTH_EXPANDS->RANK_RECRUITS->CONCENTRATION_RELEASES->DISPERSION_EXPANDS,3,0.0035971223021582736,1,0.3561151079136691,RARE
TAIL_ACTIVATES->DISPERSION_EXPANDS->BREADTH_EXPANDS->RANK_RECRUITS->CONCENTRATION_RELEASES,3,0.0035971223021582736,1,0.3561151079136691,RARE
BREADTH_EXPANDS->TAIL_ACTIVATES->CONCENTRATION_RELEASES->DISPERSION_EXPANDS,2,0.002398081534772182,2,0.23741007194244604,RARE
CONCENTRATION_RELEASES->BREADTH_EXPANDS,2,0.002398081534772182,1,0.23741007194244604,RARE
CONCENTRATION_RELEASES->RANK_RECRUITS->DISPERSION_EXPANDS->TAIL_ACTIVATES->BREADTH_EXPANDS,2,0.002398081534772182,2,0.23741007194244604,RARE
CONCENTRATION_RELEASES->TAIL_ACTIVATES->DISPERSION_EXPANDS->BREADTH_EXPANDS,2,0.002398081534772182,1,0.23741007194244604,RARE
CONCENTRATION_RELEASES->TAIL_ACTIVATES->RANK_RECRUITS->DISPERSION_EXPANDS->BREADTH_EXPANDS,2,0.002398081534772182,2,0.23741007194244604,RARE
RANK_RECRUITS->TAIL_ACTIVATES->CONCENTRATION_RELEASES->BREADTH_EXPANDS->DISPERSION_EXPANDS,2,0.002398081534772182,2,0.23741007194244604,RARE
RANK_RECRUITS->TAIL_ACTIVATES->DISPERSION_EXPANDS->BREADTH_EXPANDS->CONCENTRATION_RELEASES,2,0.002398081534772182,1,0.23741007194244604,RARE
TAIL_ACTIVATES->BREADTH_EXPANDS->DISPERSION_EXPANDS->RANK_RECRUITS,2,0.002398081534772182,1,0.23741007194244604,RARE
TAIL_ACTIVATES->BREADTH_EXPANDS->DISPERSION_EXPANDS->RANK_RECRUITS->CONCENTRATION_RELEASES,2,0.002398081534772182,1,0.23741007194244604,RARE
TAIL_ACTIVATES->BREADTH_EXPANDS->RANK_RECRUITS->DISPERSION_EXPANDS,2,0.002398081534772182,1,0.23741007194244604,RARE
TAIL_ACTIVATES->DISPERSION_EXPANDS->BREADTH_EXPANDS->CONCENTRATION_RELEASES->RANK_RECRUITS,2,0.002398081534772182,1,0.23741007194244604,RARE
TAIL_ACTIVATES->DISPERSION_EXPANDS->RANK_RECRUITS,2,0.002398081534772182,1,0.23741007194244604,RARE
TAIL_ACTIVATES->RANK_RECRUITS->DISPERSION_EXPANDS->BREADTH_EXPANDS,2,0.002398081534772182,1,0.23741007194244604,RARE
BREADTH_EXPANDS->RANK_RECRUITS->CONCENTRATION_RELEASES->DISPERSION_EXPANDS->TAIL_ACTIVATES,1,0.001199040767386091,1,0.11870503597122302,RARE
BREADTH_EXPANDS->TAIL_ACTIVATES->DISPERSION_EXPANDS->CONCENTRATION_RELEASES,1,0.001199040767386091,1,0.11870503597122302,RARE
BREADTH_EXPANDS->TAIL_ACTIVATES->RANK_RECRUITS,1,0.001199040767386091,1,0.11870503597122302,RARE
BREADTH_EXPANDS->TAIL_ACTIVATES->RANK_RECRUITS->DISPERSION_EXPANDS->CONCENTRATION_RELEASES,1,0.001199040767386091,1,0.11870503597122302,RARE
CONCENTRATION_RELEASES->BREADTH_EXPANDS->DISPERSION_EXPANDS,1,0.001199040767386091,1,0.11870503597122302,RARE
CONCENTRATION_RELEASES->BREADTH_EXPANDS->DISPERSION_EXPANDS->TAIL_ACTIVATES,1,0.001199040767386091,1,0.11870503597122302,RARE
CONCENTRATION_RELEASES->RANK_RECRUITS->BREADTH_EXPANDS->DISPERSION_EXPANDS->TAIL_ACTIVATES,1,0.001199040767386091,1,0.11870503597122302,RARE
RANK_RECRUITS->BREADTH_EXPANDS->TAIL_ACTIVATES->DISPERSION_EXPANDS,1,0.001199040767386091,1,0.11870503597122302,RARE
RANK_RECRUITS->CONCENTRATION_RELEASES->TAIL_ACTIVATES->DISPERSION_EXPANDS->BREADTH_EXPANDS,1,0.001199040767386091,1,0.11870503597122302,RARE
RANK_RECRUITS->TAIL_ACTIVATES->BREADTH_EXPANDS->CONCENTRATION_RELEASES->DISPERSION_EXPANDS,1,0.001199040767386091,1,0.11870503597122302,RARE
TAIL_ACTIVATES->BREADTH_EXPANDS->CONCENTRATION_RELEASES->RANK_RECRUITS->DISPERSION_EXPANDS,1,0.001199040767386091,1,0.11870503597122302,RARE
TAIL_ACTIVATES->BREADTH_EXPANDS->DISPERSION_EXPANDS->CONCENTRATION_RELEASES->RANK_RECRUITS,1,0.001199040767386091,1,0.11870503597122302,RARE
TAIL_ACTIVATES->CONCENTRATION_RELEASES->BREADTH_EXPANDS->DISPERSION_EXPANDS->RANK_RECRUITS,1,0.001199040767386091,1,0.11870503597122302,RARE
TAIL_ACTIVATES->CONCENTRATION_RELEASES->DISPERSION_EXPANDS->BREADTH_EXPANDS,1,0.001199040767386091,1,0.11870503597122302,RARE
TAIL_ACTIVATES->CONCENTRATION_RELEASES->DISPERSION_EXPANDS->BREADTH_EXPANDS->RANK_RECRUITS,1,0.001199040767386091,1,0.11870503597122302,RARE
TAIL_ACTIVATES->CONCENTRATION_RELEASES->DISPERSION_EXPANDS->RANK_RECRUITS->BREADTH_EXPANDS,1,0.001199040767386091,1,0.11870503597122302,RARE
TAIL_ACTIVATES->DISPERSION_EXPANDS->BREADTH_EXPANDS->RANK_RECRUITS,1,0.001199040767386091,1,0.11870503597122302,RARE
TAIL_ACTIVATES->DISPERSION_EXPANDS->CONCENTRATION_RELEASES->RANK_RECRUITS,1,0.001199040767386091,1,0.11870503597122302,RARE
TAIL_ACTIVATES->DISPERSION_EXPANDS->CONCENTRATION_RELEASES->RANK_RECRUITS->BREADTH_EXPANDS,1,0.001199040767386091,1,0.11870503597122302,RARE
TAIL_ACTIVATES->RANK_RECRUITS->BREADTH_EXPANDS->DISPERSION_EXPANDS,1,0.001199040767386091,1,0.11870503597122302,RARE
TAIL_ACTIVATES->RANK_RECRUITS->BREADTH_EXPANDS->DISPERSION_EXPANDS->CONCENTRATION_RELEASES,1,0.001199040767386091,1,0.11870503597122302,RARE
TAIL_ACTIVATES->RANK_RECRUITS->DISPERSION_EXPANDS->BREADTH_EXPANDS->CONCENTRATION_RELEASES,1,0.001199040767386091,1,0.11870503597122302,RARE
