health_state,lag_d,n_events,med_top500_breadth_30d,med_top500_dispersion_30d,med_rank_depth_rel,med_top3_share,med_btc_return_30d,med_vol_med,p_state_success,p_state_concentration
PRICE_RECOVERY_RANK_DECAY,0,282,0.388,0.3405882965348217,-0.031025358188013497,0.716009285114948,0.05397421346727027,0.05146930379541209,0.22340425531914893,0.34397163120567376
PRICE_RECOVERY_RANK_DECAY,1,282,0.409,0.34362029647215514,-0.029706711827804766,0.7157820142057034,0.06345738333719675,0.05103453985434957,0.24113475177304963,0.3546099290780142
PRICE_RECOVERY_RANK_DECAY,3,282,0.416,0.34357176741566364,-0.032321029316269456,0.7145087182209254,0.07561275107864829,0.05106418170274907,0.26595744680851063,0.35106382978723405
PRICE_RECOVERY_RANK_DECAY,7,282,0.443,0.3542148711084855,-0.029390760134929916,0.713958059218787,0.08434986996833893,0.04932784569238938,0.31560283687943264,0.2765957446808511
PRICE_RECOVERY_RANK_DECAY,14,282,0.48,0.3839388047770192,-0.02660567642842865,0.7138904679557342,0.08485363724190964,0.04911879061350609,0.30141843971631205,0.33687943262411346
PRICE_RECOVERY_RANK_DECAY,30,282,0.504,0.3985874540128047,-0.03178401726783481,0.7119485162400814,0.0793439231585874,0.050489611973926755,0.3723404255319149,0.24468085106382978
PRICE_DECAY_RANK_RECOVERY,-14,109,0.301,0.30118133344503606,-0.030502235284868118,0.7036975036044697,0.0028177555432952195,0.04902833222012289,0.22018348623853212,0.22018348623853212
PRICE_DECAY_RANK_RECOVERY,-7,109,0.288,0.2969268931949367,-0.033852798391192734,0.7032078021428447,0.0034945487557237476,0.05032697726347164,0.22935779816513763,0.27522935779816515
PRICE_DECAY_RANK_RECOVERY,-3,109,0.292,0.3016170870177887,-0.034241777662985834,0.7039915356541881,-0.0003020321759019118,0.04956656553251941,0.27522935779816515,0.2018348623853211
PRICE_DECAY_RANK_RECOVERY,-1,109,0.272,0.32554773545179716,-0.0400590379488629,0.7043198309289952,0.0007019906395238085,0.05020986749267566,0.22935779816513763,0.27522935779816515
PRICE_DECAY_RANK_RECOVERY,0,109,0.284,0.3098377096749237,-0.03151623927334013,0.7023539715205253,0.01809811655725624,0.05022618733709174,0.27522935779816515,0.2018348623853211
PRICE_DECAY_RANK_RECOVERY,1,109,0.264,0.30594665914824665,-0.035643462952235666,0.7028713705242449,0.019578462400658414,0.0493064020074396,0.24770642201834864,0.23853211009174313
PRICE_DECAY_RANK_RECOVERY,3,109,0.262,0.2938795291257246,-0.02988755745904656,0.70660589804754,0.01518171157308379,0.050241122521614126,0.22935779816513763,0.22935779816513763
PRICE_DECAY_RANK_RECOVERY,7,109,0.206,0.2791729195606044,-0.03061689357854555,0.7077720273417679,-0.023904528807778214,0.050235641336749876,0.24770642201834864,0.1651376146788991
PRICE_DECAY_RANK_RECOVERY,14,109,0.203,0.28920527153070813,-0.02476513854734469,0.7069157835675787,-0.005984874293172793,0.05015217347034212,0.1926605504587156,0.22935779816513763
PRICE_DECAY_RANK_RECOVERY,30,109,0.158,0.2529202291933538,-0.028521913306547353,0.7083748904450278,-0.04236651642492073,0.05244268338450196,0.11926605504587157,0.22018348623853212
PRICE_DECAY_RANK_DECAY,-14,293,0.33,0.3072978773770056,-0.027400823132146396,0.7129986019093117,0.0016436238825434657,0.051804952513862065,0.2525597269624573,0.22525597269624573
PRICE_DECAY_RANK_DECAY,-7,293,0.356,0.32610943648861745,-0.031671981149577755,0.7104330631470601,0.00034868984379188284,0.051637170145934816,0.25597269624573377,0.20819112627986347
PRICE_DECAY_RANK_DECAY,-3,293,0.336,0.30720835768046706,-0.02922503899005305,0.7096705996920741,-0.0006369584863614719,0.051710680414169395,0.23890784982935154,0.20136518771331058
PRICE_DECAY_RANK_DECAY,-1,293,0.314,0.3103432495126015,-0.03683936607774979,0.7111946109480003,0.005315540237411209,0.051479913345065416,0.24914675767918087,0.21160409556313994
PRICE_DECAY_RANK_DECAY,0,293,0.362,0.3162465921734747,-0.03920852876128478,0.7097225060054417,0.008721216085067485,0.051479913345065416,0.2696245733788396,0.19112627986348124
PRICE_DECAY_RANK_DECAY,1,293,0.358,0.3207495859587736,-0.03739953292743636,0.7042161361227917,0.015882369826946574,0.05117560468652559,0.26621160409556316,0.20477815699658702
PRICE_DECAY_RANK_DECAY,3,293,0.36,0.3070974850643313,-0.03963930050785258,0.7097248279468713,0.010063503578113586,0.051187576995923696,0.25597269624573377,0.20819112627986347
PRICE_DECAY_RANK_DECAY,7,293,0.32,0.31224327433122345,-0.0328624118219826,0.7075318463394052,-0.00021781884327065626,0.050241122521614126,0.24914675767918087,0.20477815699658702
PRICE_DECAY_RANK_DECAY,14,293,0.3,0.32680348517546975,-0.032687225996536035,0.7104912347197961,0.006427623974249341,0.049867538525248806,0.24573378839590443,0.23208191126279865
PRICE_DECAY_RANK_DECAY,30,293,0.236,0.29044250242855385,-0.024416703437703635,0.7123541417270332,-0.01665295497873498,0.05085217670086358,0.16382252559726962,0.23890784982935154
