variable,horizon_d,n_success,n_failure,median_success,median_failure,delta,rank_biserial_r,p_raw,p_fdr,significant_fdr
top500_dispersion_30d,2,26,93,0.42112,0.28178,0.13934,0.2965,0.001218,0.002723,True
top500_dispersion_30d,3,27,94,0.47967,0.28731,0.19236,0.356,9e-05,0.000267,True
top500_dispersion_30d,5,27,94,0.49706,0.29797,0.19909,0.378,3.2e-05,0.000109,True
top500_dispersion_30d,7,27,93,0.491,0.26718,0.22382,0.4667,0.0,0.0,True
top500_dispersion_30d,10,26,94,0.54641,0.27196,0.27445,0.4716,0.0,0.0,True
top500_dispersion_30d,14,27,91,0.48623,0.28321,0.20302,0.4308,3e-06,1.1e-05,True
top500_dispersion_30d,21,27,91,0.46703,0.32075,0.14628,0.294,0.001405,0.003104,True
top500_dispersion_30d,30,27,90,0.32549,0.29755,0.02795,0.0927,0.315998,0.425813,False
top500_dispersion_7d,0,27,94,0.16584,0.13593,0.02991,0.1885,0.038168,0.061457,False
top500_dispersion_7d,1,26,92,0.19189,0.13731,0.05458,0.3066,0.000866,0.002031,True
top500_dispersion_7d,2,27,95,0.19838,0.13481,0.06357,0.3699,4.4e-05,0.000142,True
top500_dispersion_7d,3,25,94,0.2448,0.1313,0.1135,0.3971,1.5e-05,5.3e-05,True
top500_dispersion_7d,5,26,96,0.20958,0.1379,0.07168,0.3068,0.000703,0.001691,True
top500_dispersion_7d,7,25,93,0.1725,0.12861,0.04389,0.2713,0.003207,0.006552,True
top500_dispersion_7d,10,27,94,0.17274,0.14127,0.03147,0.1387,0.127206,0.188821,False
top500_dispersion_7d,14,27,93,0.15986,0.14317,0.01669,0.177,0.052527,0.08248,False
top500_dispersion_7d,21,27,91,0.15199,0.14413,0.00786,0.0475,0.606053,0.693675,False
top500_dispersion_7d,30,24,93,0.12835,0.15239,-0.02404,-0.063,0.495398,0.599526,False
btc_return_7d,0,27,94,0.05476,0.01382,0.04093,0.2032,0.025423,0.043128,True
btc_return_7d,1,26,92,0.07513,0.01194,0.06319,0.3012,0.001066,0.00244,True
btc_return_7d,2,27,95,0.04585,-0.00443,0.05028,0.2789,0.002066,0.004314,True
btc_return_7d,3,25,94,0.05721,0.00649,0.05072,0.3217,0.000449,0.001122,True
btc_return_7d,5,26,96,0.01876,0.00802,0.01074,0.103,0.255181,0.351336,False
btc_return_7d,7,25,93,0.00503,0.01195,-0.00692,-0.0173,0.851116,0.893437,False
btc_return_7d,10,27,94,0.01775,0.01105,0.0067,-0.0255,0.779369,0.841364,False
btc_return_7d,14,27,93,-0.00594,0.00902,-0.01497,-0.1265,0.165825,0.238687,False
btc_return_7d,21,27,91,0.00608,0.01113,-0.00504,-0.0239,0.795281,0.852372,False
btc_return_7d,30,24,93,-0.01932,0.01534,-0.03466,-0.1891,0.040831,0.065192,False
btc_return_30d,0,25,85,0.24701,0.01319,0.23382,0.5131,0.0,0.0,True
btc_return_30d,1,26,93,0.20419,0.03801,0.16618,0.4586,1e-06,4e-06,True
btc_return_30d,2,26,93,0.20625,0.02813,0.17812,0.4557,1e-06,4e-06,True
btc_return_30d,3,27,94,0.18452,0.03657,0.14795,0.4533,1e-06,4e-06,True
btc_return_30d,5,27,94,0.18693,0.04032,0.14661,0.4335,2e-06,7e-06,True
btc_return_30d,7,27,93,0.18574,0.03499,0.15075,0.4443,1e-06,4e-06,True
btc_return_30d,10,26,94,0.16545,0.03698,0.12846,0.3326,0.000269,0.00073,True
btc_return_30d,14,27,91,0.13517,0.03952,0.09565,0.2504,0.006538,0.012299,True
btc_return_30d,21,27,91,0.11457,0.02984,0.08474,0.1336,0.146766,0.212867,False
btc_return_30d,30,27,90,0.00722,0.03089,-0.02368,-0.0676,0.464771,0.569719,False
btc_return_1d,0,26,96,0.00231,0.00061,0.00171,0.0113,0.900493,0.940075,False
btc_return_1d,1,26,94,0.00688,-0.00048,0.00737,0.1384,0.129497,0.190732,False
btc_return_1d,2,25,95,0.00291,-0.00053,0.00344,0.1,0.273382,0.373688,False
btc_return_1d,3,26,95,0.00058,0.00427,-0.00369,-0.0889,0.328013,0.430291,False
btc_return_1d,5,26,95,-0.00568,-0.00032,-0.00536,-0.1067,0.240496,0.333535,False
btc_return_1d,7,26,96,-0.00249,-0.00049,-0.002,-0.0679,0.453113,0.559036,False
btc_return_1d,10,27,95,-0.00614,0.00488,-0.01101,-0.1237,0.171922,0.245603,False
btc_return_1d,14,26,93,0.00283,0.00338,-0.00055,-0.056,0.541242,0.640295,False
btc_return_1d,21,27,91,0.00444,0.00082,0.00362,0.0852,0.354588,0.458311,False
btc_return_1d,30,27,93,0.00429,-0.0003,0.00459,0.1213,0.183787,0.260594,False
eth_btc_relative_return_7d,0,27,94,0.00565,-0.00383,0.00948,0.0889,0.32838,0.430291,False
eth_btc_relative_return_7d,1,26,92,0.01937,-0.00518,0.02454,0.1596,0.08299,0.127162,False
eth_btc_relative_return_7d,2,27,95,0.01996,-0.00647,0.02643,0.2353,0.009336,0.016894,True
eth_btc_relative_return_7d,3,25,94,0.01208,-0.00861,0.02069,0.1579,0.085043,0.129265,False
eth_btc_relative_return_7d,5,26,96,0.00824,-0.00398,0.01223,0.2117,0.019375,0.034086,True
eth_btc_relative_return_7d,7,25,93,0.00409,-0.01061,0.01469,0.1379,0.134066,0.195943,False
eth_btc_relative_return_7d,10,27,94,-0.00348,-0.00643,0.00295,0.0549,0.545936,0.640295,False
eth_btc_relative_return_7d,14,27,93,0.00565,-0.0071,0.01275,0.0754,0.408566,0.51409,False
eth_btc_relative_return_7d,21,27,91,-0.00608,-0.00403,-0.00205,-0.0062,0.946369,0.970799,False
eth_btc_relative_return_7d,30,24,93,-0.01472,-0.01047,-0.00426,-0.0431,0.641395,0.721095,False
eth_btc_relative_return_30d,0,25,85,0.02074,-0.04094,0.06168,0.184,0.053684,0.083606,False
eth_btc_relative_return_30d,1,26,93,0.00486,-0.03756,0.04242,0.2317,0.011493,0.020601,True
eth_btc_relative_return_30d,2,26,93,-0.01265,-0.06138,0.04873,0.2511,0.006152,0.011689,True
eth_btc_relative_return_30d,3,27,94,0.02938,-0.04246,0.07184,0.2671,0.003299,0.006598,True
eth_btc_relative_return_30d,5,27,94,-0.00541,-0.04403,0.03862,0.2513,0.005709,0.010957,True
eth_btc_relative_return_30d,7,27,93,-0.00494,-0.04794,0.04301,0.2831,0.001926,0.004112,True
eth_btc_relative_return_30d,10,26,94,0.028,-0.04668,0.07468,0.3065,0.000788,0.001872,True
eth_btc_relative_return_30d,14,27,91,0.02136,-0.03762,0.05899,0.2562,0.005376,0.010423,True
eth_btc_relative_return_30d,21,27,91,0.0109,-0.01521,0.02611,0.1943,0.03478,0.056967,False
eth_btc_relative_return_30d,30,27,90,-0.01211,-0.01652,0.00441,0.0502,0.586849,0.679886,False
vol_med,0,27,94,0.04658,0.04399,0.00259,0.0085,0.925601,0.961007,False
vol_med,1,27,94,0.04548,0.04456,0.00093,-0.0006,0.995033,0.995033,False
vol_med,2,27,94,0.04563,0.04369,0.00195,0.0192,0.83237,0.881836,False
vol_med,3,27,94,0.0461,0.04419,0.00191,0.0294,0.746151,0.819472,False
vol_med,5,27,94,0.04379,0.04412,-0.00033,0.0266,0.769834,0.83582,False
vol_med,7,27,94,0.04343,0.04337,6e-05,0.043,0.636122,0.719424,False
vol_med,10,27,94,0.04505,0.04538,-0.00033,0.0289,0.750869,0.819914,False
vol_med,14,27,92,0.04677,0.04677,0.0,0.0692,0.450224,0.559036,False
vol_med,21,27,91,0.05024,0.04782,0.00242,0.0835,0.364668,0.465013,False
vol_med,30,27,91,0.04856,0.04852,4e-05,0.0746,0.417704,0.52213,False
top3_share,0,27,96,0.71243,0.72287,-0.01044,-0.1471,0.102796,0.153789,False
top3_share,1,27,96,0.71548,0.722,-0.00652,-0.1565,0.082683,0.127162,False
top3_share,2,27,96,0.71557,0.72326,-0.00769,-0.178,0.048424,0.076671,False
top3_share,3,27,96,0.71285,0.72357,-0.01072,-0.2573,0.004324,0.008558,True
top3_share,5,27,96,0.71243,0.72313,-0.0107,-0.2083,0.020905,0.036109,True
top3_share,7,27,96,0.70942,0.72367,-0.01425,-0.2397,0.007861,0.014501,True
top3_share,10,27,96,0.70514,0.72377,-0.01864,-0.265,0.003292,0.006598,True
top3_share,14,27,94,0.70106,0.72555,-0.02449,-0.2864,0.001633,0.003526,True
top3_share,21,27,94,0.70682,0.72271,-0.01589,-0.2411,0.008002,0.014619,True
top3_share,30,27,94,0.70729,0.7259,-0.01861,-0.2683,0.003169,0.006545,True
top3_share_chg7,0,27,96,-0.00483,-2e-05,-0.00481,-0.2005,0.026138,0.043949,True
top3_share_chg7,1,27,96,-0.00447,0.00118,-0.00565,-0.287,0.001455,0.003178,True
top3_share_chg7,2,27,96,-0.00612,0.00105,-0.00717,-0.2551,0.004668,0.009144,True
top3_share_chg7,3,27,96,-0.00831,0.00185,-0.01016,-0.4413,1e-06,4e-06,True
top3_share_chg7,5,27,96,-0.00846,0.00129,-0.00975,-0.3515,9.7e-05,0.000284,True
top3_share_chg7,7,27,96,-0.00586,0.00275,-0.00861,-0.3289,0.000264,0.000727,True
top3_share_chg7,10,27,96,-0.00418,0.00209,-0.00627,-0.2072,0.021592,0.036959,True
top3_share_chg7,14,27,94,-0.00061,0.00296,-0.00357,-0.2003,0.02754,0.0459,True
top3_share_chg7,21,27,94,-0.00163,0.0005,-0.00212,-0.0023,0.980134,0.995033,False
top3_share_chg7,30,27,94,0.00028,-0.00051,0.0008,-0.0345,0.704133,0.78237,False
med_ret30_11_50,0,25,85,0.22913,-0.04003,0.26917,0.6131,0.0,0.0,True
med_ret30_11_50,1,26,93,0.21591,-0.02991,0.24582,0.5836,0.0,0.0,True
med_ret30_11_50,2,26,93,0.2328,-0.03768,0.27048,0.5913,0.0,0.0,True
med_ret30_11_50,3,27,94,0.22913,-0.02961,0.25874,0.618,0.0,0.0,True
med_ret30_11_50,5,27,94,0.24924,-0.02541,0.27465,0.6095,0.0,0.0,True
med_ret30_11_50,7,27,93,0.23564,-0.02196,0.25759,0.6291,0.0,0.0,True
med_ret30_11_50,10,26,94,0.22454,-0.02342,0.24796,0.5652,0.0,0.0,True
med_ret30_11_50,14,27,91,0.20263,-0.01923,0.22186,0.4857,0.0,0.0,True
med_ret30_11_50,21,27,91,0.12532,-0.01687,0.14219,0.3424,0.0002,0.000576,True
med_ret30_11_50,30,27,90,0.01674,-0.01654,0.03329,0.0562,0.543122,0.640295,False
med_ret30_51_200,0,25,85,0.22831,-0.07846,0.30678,0.6471,0.0,0.0,True
med_ret30_51_200,1,26,93,0.2166,-0.06726,0.28386,0.6107,0.0,0.0,True
med_ret30_51_200,2,26,93,0.22633,-0.07698,0.30331,0.6296,0.0,0.0,True
med_ret30_51_200,3,27,94,0.23178,-0.0648,0.29658,0.6525,0.0,0.0,True
med_ret30_51_200,5,27,94,0.25035,-0.07499,0.32534,0.6316,0.0,0.0,True
med_ret30_51_200,7,27,93,0.2938,-0.06076,0.35456,0.6537,0.0,0.0,True
med_ret30_51_200,10,26,94,0.22851,-0.04949,0.278,0.5984,0.0,0.0,True
med_ret30_51_200,14,27,91,0.23163,-0.05021,0.28184,0.4992,0.0,0.0,True
med_ret30_51_200,21,27,91,0.16426,-0.03519,0.19945,0.3317,0.000314,0.000829,True
med_ret30_51_200,30,27,90,-0.01467,-0.01917,0.0045,0.0478,0.604785,0.693675,False
med_ret30_201_500,0,25,85,0.15816,-0.06521,0.22338,0.6233,0.0,0.0,True
med_ret30_201_500,1,26,93,0.14559,-0.04336,0.18895,0.5889,0.0,0.0,True
med_ret30_201_500,2,26,93,0.14716,-0.06052,0.20768,0.606,0.0,0.0,True
med_ret30_201_500,3,27,94,0.15026,-0.06302,0.21328,0.6333,0.0,0.0,True
med_ret30_201_500,5,27,94,0.15816,-0.05989,0.21805,0.6225,0.0,0.0,True
med_ret30_201_500,7,27,93,0.19322,-0.04168,0.2349,0.6434,0.0,0.0,True
med_ret30_201_500,10,26,94,0.17007,-0.05131,0.22138,0.5792,0.0,0.0,True
med_ret30_201_500,14,27,91,0.14495,-0.04917,0.19412,0.4874,0.0,0.0,True
med_ret30_201_500,21,27,91,0.11314,-0.03047,0.14361,0.3365,0.000257,0.000727,True
med_ret30_201_500,30,27,90,-0.02822,-0.01367,-0.01455,0.0592,0.521883,0.623634,False
total_mcap_chg30,0,27,96,0.23466,0.02955,0.20511,0.4727,0.0,0.0,True
total_mcap_chg30,1,27,96,0.22121,0.02396,0.19725,0.4909,0.0,0.0,True
total_mcap_chg30,2,27,96,0.18585,0.02035,0.1655,0.5124,0.0,0.0,True
total_mcap_chg30,3,27,96,0.21083,0.03112,0.17971,0.4986,0.0,0.0,True
total_mcap_chg30,5,27,96,0.23942,0.02297,0.21645,0.4848,0.0,0.0,True
total_mcap_chg30,7,27,96,0.22934,0.02563,0.2037,0.5025,0.0,0.0,True
total_mcap_chg30,10,27,96,0.22934,0.02732,0.20202,0.4319,2e-06,7e-06,True
total_mcap_chg30,14,27,94,0.20118,0.02693,0.17425,0.3599,7.5e-05,0.000226,True
total_mcap_chg30,21,27,94,0.10917,0.02159,0.08758,0.2117,0.019897,0.034683,True
total_mcap_chg30,30,27,94,0.02976,0.02597,0.00378,0.0017,0.985099,0.995033,False
btc_dom_chg30,0,27,96,0.0024,-0.00082,0.00322,0.0848,0.346712,0.451201,False
btc_dom_chg30,1,27,96,0.00433,0.00724,-0.00291,-0.1526,0.090541,0.13653,False
btc_dom_chg30,2,27,96,0.00533,0.00595,-0.00062,-0.1174,0.19309,0.271756,False
btc_dom_chg30,3,27,96,-0.00155,0.00718,-0.00873,-0.2937,0.001127,0.002549,True
btc_dom_chg30,5,27,96,-0.00276,0.00837,-0.01113,-0.2981,0.000947,0.002194,True
btc_dom_chg30,7,27,96,-0.00475,0.00851,-0.01326,-0.3664,4.8e-05,0.000152,True
btc_dom_chg30,10,27,96,-0.01322,0.00814,-0.02136,-0.4259,2e-06,7e-06,True
btc_dom_chg30,14,27,94,-0.01319,0.00991,-0.0231,-0.4148,5e-06,1.8e-05,True
btc_dom_chg30,21,27,94,-0.00849,0.00506,-0.01355,-0.3237,0.00037,0.000937,True
btc_dom_chg30,30,27,94,-0.0075,0.00727,-0.01477,-0.3107,0.000631,0.001537,True
stablecoin_change_30d,0,27,96,0.02424,0.02121,0.00303,0.0617,0.493752,0.599526,False
stablecoin_change_30d,1,27,96,0.02292,0.02266,0.00026,0.0369,0.682254,0.762519,False
stablecoin_change_30d,2,27,96,0.02161,0.02327,-0.00166,0.0187,0.835424,0.881836,False
stablecoin_change_30d,3,27,96,0.02431,0.02264,0.00167,0.0496,0.58237,0.678836,False
stablecoin_change_30d,5,27,96,0.02101,0.02255,-0.00154,0.0452,0.61634,0.701225,False
stablecoin_change_30d,7,27,96,0.02304,0.0197,0.00334,0.076,0.399105,0.505533,False
stablecoin_change_30d,10,27,96,0.01937,0.02191,-0.00255,0.0595,0.50931,0.612461,False
stablecoin_change_30d,14,27,94,0.02195,0.02444,-0.00249,0.0334,0.713398,0.788056,False
stablecoin_change_30d,21,27,94,0.02548,0.02652,-0.00104,-0.0006,0.995033,0.995033,False
stablecoin_change_30d,30,27,94,0.0255,0.02244,0.00306,-0.0057,0.950361,0.970799,False
chain_tvl_med_chg7,0,27,96,0.07004,0.00933,0.06071,0.3234,0.000335,0.000872,True
chain_tvl_med_chg7,1,27,96,0.06007,-0.00203,0.0621,0.3289,0.000264,0.000727,True
chain_tvl_med_chg7,2,27,96,0.06833,0.01403,0.05429,0.3113,0.000556,0.001372,True
chain_tvl_med_chg7,3,27,96,0.07203,0.00191,0.07012,0.389,1.6e-05,5.5e-05,True
chain_tvl_med_chg7,5,27,96,0.07069,0.00048,0.07022,0.4248,2e-06,7e-06,True
chain_tvl_med_chg7,7,27,96,0.04623,-0.00307,0.04929,0.3697,4.1e-05,0.000134,True
chain_tvl_med_chg7,10,27,96,0.03488,-0.00167,0.03655,0.2209,0.014277,0.025352,True
chain_tvl_med_chg7,14,27,94,0.02315,0.00536,0.01778,0.0889,0.32838,0.430291,False
chain_tvl_med_chg7,21,27,94,-0.00884,0.00247,-0.01131,-0.0928,0.307273,0.417013,False
chain_tvl_med_chg7,30,27,94,-0.00258,0.00384,-0.00643,-0.0832,0.360124,0.462321,False
