event_id,class,top500_breadth_30d_retrace_median,top500_breadth_30d_retention_5d,top500_breadth_7d_retrace_median,top500_breadth_7d_retention_5d,top500_dispersion_30d_retrace_median,top500_dispersion_30d_retention_5d,vol_med_retrace_median,vol_med_retention_5d,top3_share_chg7_retrace_median,top3_share_chg7_retention_5d,eth_btc_relative_return_7d_retrace_median,eth_btc_relative_return_7d_retention_5d,btc_return_7d_retrace_median,btc_return_7d_retention_5d,med_ret30_51_200_retrace_median,med_ret30_51_200_retention_5d
EXIT_047,FAILED_IGNITION,0.198,1.519,0.282,0.3306,0.22714,0.9948,0.0426,0.8685,0.00247,0.6235,-0.00829,-0.1651,0.02071,-0.2326,-0.09375,0.314
EXIT_048,FAILED_IGNITION,0.606,,0.822,0.9832,0.30077,,0.03536,0.9807,0.00378,0.0121,0.02078,-1.6908,0.10633,0.513,0.03863,
EXIT_049,FAILED_IGNITION,0.814,1.0608,0.768,1.4674,0.41936,1.2693,0.03697,1.1249,0.00424,-2.0581,-0.05507,-0.6213,0.19284,-30.9,0.26829,2.0786
EXIT_050,RETEST_RELOAD,0.844,0.9906,0.744,0.9808,0.66566,1.3895,0.04603,1.1965,-0.00036,4.0759,-0.02196,-1.1101,0.11765,0.4614,0.49649,1.1501
EXIT_051,RETEST_RELOAD,0.826,0.9787,0.748,1.027,0.87852,1.0447,0.05067,1.0686,-0.00691,0.9477,0.0392,-0.0112,0.09384,1.2863,0.55203,1.001
EXIT_052,RETEST_RELOAD,0.822,0.9665,0.754,0.9278,0.87358,0.8826,0.05175,1.0648,-0.01076,9.7976,-0.00074,-1.6181,0.09265,0.6406,0.58292,0.9811
EXIT_054,FAILED_IGNITION,0.32,0.9357,0.158,2.975,0.32275,0.8595,0.05916,0.9266,0.00625,7.5244,-0.02565,-6.8578,-0.02763,-0.5533,-0.07635,0.6951
EXIT_056,FAILED_IGNITION,0.148,0.8644,0.834,4.3913,0.58949,2.7656,0.06313,1.0114,-0.00893,-2.8504,0.00309,-0.4422,0.04067,-0.9814,-0.19871,1.029
EXIT_057,FAILED_IGNITION,0.086,0.5616,0.514,0.2662,0.20025,0.2035,0.06201,0.9658,-0.00352,-0.2833,0.02455,20.9434,-0.00138,-0.6867,-0.27935,1.4328
EXIT_058,FAILED_IGNITION,0.358,0.5655,0.744,1.0164,0.20293,0.8061,0.04351,1.0364,0.0056,0.1344,0.10638,-4.7325,0.10111,0.4184,-0.02685,-1.5646
EXIT_062,FAILED_IGNITION,0.48,0.4947,0.328,0.2187,0.23947,0.8221,0.04685,1.0035,0.00048,-11.0471,-0.03501,3.8757,0.02819,0.2105,0.00278,-2.7629
EXIT_064,FAILED_IGNITION,0.214,2.3654,0.054,12.619,0.17188,1.1673,0.05141,1.1126,-0.00121,-1.3434,-0.11306,1.3168,-0.07857,-0.0228,-0.11191,0.3656
EXIT_065,FAILED_IGNITION,0.214,1.3913,0.48,16.2963,0.17479,1.018,0.05181,1.1505,-0.00219,2.3169,-0.08268,-0.2162,0.00737,-0.6692,-0.11367,0.7323
EXIT_068,RETEST_RELOAD,0.472,1.1073,0.828,1.0492,0.2302,0.9288,0.03994,0.9711,6e-05,12.2825,0.06425,11.3791,0.06622,0.5597,-0.00041,1.4272
EXIT_069,FAILED_IGNITION,0.73,1.1736,0.114,4.9773,0.32809,1.1812,0.04169,0.9975,0.00474,1.1671,-0.04018,0.6335,-0.04291,-0.3138,0.11216,1.5471
EXIT_071,FAILED_IGNITION,0.314,2.2326,0.3,3.7077,0.31441,0.5997,0.04209,0.9268,0.00766,1.3519,-0.03751,0.1588,0.04262,-2.7421,-0.04198,0.0066
EXIT_073,FAILED_IGNITION,0.686,1.7163,0.792,2.0714,0.28321,1.2055,0.04652,1.1027,-0.03595,1.3444,0.09986,-4.8769,0.10809,6.7539,0.10053,32.782
EXIT_074,FAILED_IGNITION,0.676,0.6608,0.812,0.702,0.30043,1.3183,0.0501,1.1096,-0.0004,-0.7684,0.07185,-0.6251,0.19758,1.3828,0.10053,0.0841
EXIT_076,FAILED_IGNITION,0.668,0.9933,0.496,0.6108,0.42139,0.7836,0.05829,1.116,0.02298,-6.4172,-0.09144,0.54,0.04989,0.2185,0.11814,0.9448
EXIT_077,RETEST_RELOAD,0.74,1.1385,0.688,0.9408,0.41691,0.9328,0.06096,0.9992,-0.0125,0.3185,0.00421,-2.4159,0.07971,-0.0301,0.38489,2.6091
EXIT_080,FAILED_IGNITION,0.14,0.987,0.746,0.3926,0.36799,0.5082,0.06382,0.8757,-0.00666,0.6773,-0.00472,-0.3582,0.03739,0.1578,-0.2386,0.8717
EXIT_081,FAILED_IGNITION,0.11,0.8679,0.296,0.1835,0.30313,0.6582,0.05768,0.8727,-0.00441,2.0106,-0.02177,-1.7425,0.00661,-0.6786,-0.22749,0.8754
EXIT_083,FAILED_IGNITION,0.15,0.986,0.142,0.5221,0.41395,0.5613,0.0541,0.9394,0.00632,-0.6414,-0.05402,-0.0158,0.03133,0.037,-0.12862,1.4456
EXIT_085,FAILED_IGNITION,0.112,0.55,0.102,0.697,0.24611,0.6664,0.05409,1.1317,0.00605,-2.1324,-0.03353,2.1614,-0.02303,-13.8154,-0.26164,2.1151
EXIT_089,FAILED_IGNITION,0.198,0.932,0.55,0.7176,0.22988,0.9141,0.05158,0.963,-0.00374,0.0435,-0.02356,-0.0236,0.06618,0.1793,-0.12115,1.3217
EXIT_090,FAILED_IGNITION,0.218,1.0,0.488,0.8239,0.22528,0.9625,0.05158,1.0028,0.00106,0.9203,-0.02354,1.2967,0.01768,0.1835,-0.10898,0.7538
EXIT_091,FAILED_IGNITION,0.24,1.25,0.668,1.7336,0.22528,1.0767,0.05195,1.0246,0.00249,1.2691,-0.016,17.0817,0.03521,9.1713,-0.07698,0.3601
EXIT_092,FAILED_IGNITION,0.276,1.5085,0.846,1.4828,0.2255,1.0191,0.05286,1.0208,0.00249,-0.0763,0.00282,-0.12,0.11502,6.833,-0.04872,0.2891
EXIT_093,FAILED_IGNITION,0.648,1.4795,0.52,0.4965,0.28835,1.2423,0.05127,0.9522,0.00094,1.5302,0.01208,0.289,0.02312,0.2295,0.09307,6.5646
EXIT_097,FAILED_IGNITION,0.18,0.3968,0.528,1.6098,0.21536,0.9061,0.04692,0.8999,0.00233,14.0498,-0.01036,-1.0338,0.03776,10.0235,-0.14723,7.776
EXIT_098,FAILED_IGNITION,0.118,0.6747,0.112,0.7273,0.20782,0.945,0.04476,1.0058,0.00351,-0.1139,-0.04053,-2.4356,-0.03171,11.4789,-0.19491,1.6007
EXIT_099,FAILED_IGNITION,0.112,0.9524,0.1,0.9286,0.20532,0.9123,0.0444,0.9559,0.00489,-0.2894,-0.05487,1.4537,-0.03048,0.843,-0.25874,1.3599
EXIT_100,FAILED_IGNITION,0.176,1.0779,0.362,0.5764,0.16788,1.0802,0.04412,0.9604,0.00171,-0.0587,0.02448,0.2429,0.00883,0.779,-0.0873,1.0444
EXIT_101,RETEST_RELOAD,0.688,1.0537,0.834,0.8401,0.25929,1.3568,0.04277,0.9995,-0.00503,8.7487,0.14816,2.9696,0.06658,0.0457,0.14933,2.5714
EXIT_103,FAILED_IGNITION,0.252,1.5114,0.142,3.0238,0.62003,1.4859,0.03618,0.9901,0.00247,0.7542,-0.042,0.26,-0.02761,-0.264,-0.073,0.5919
EXIT_104,FAILED_IGNITION,0.416,0.7165,0.658,0.8333,0.36698,0.6527,0.03765,1.0516,0.00177,0.9927,0.00426,0.164,0.10159,0.6079,0.00538,-5.8136
EXIT_108,FAILED_IGNITION,0.474,3.0102,0.826,1.1938,0.21822,1.1697,0.03549,1.0027,-0.00525,2.5811,0.02845,3.0467,0.04073,3.4912,-0.02695,-0.1648
EXIT_112,FAILED_IGNITION,0.404,2.4727,0.408,1.8466,0.28508,1.2014,0.03548,0.9864,0.00037,0.6746,0.0035,-3.3286,-0.00491,11.7924,-0.03355,-0.0238
EXIT_115,FAILED_IGNITION,0.31,0.6275,0.194,1.0,0.28617,0.9969,0.03124,0.8945,-0.00122,0.7413,-0.01298,0.2699,-0.02786,0.6049,-0.09088,7.9932
EXIT_116,FAILED_IGNITION,0.31,1.5189,0.194,1.5694,0.27848,0.9081,0.03082,0.9913,0.00087,-8.0909,-0.00021,-2.4497,-0.03481,0.7637,-0.08439,0.5641
EXIT_118,FAILED_IGNITION,0.382,2.0889,0.784,1.6335,2.83681,3.5282,0.0325,0.9821,0.00324,-0.1595,0.02544,1.5627,0.05177,2.2132,-0.01611,-0.2937
EXIT_119,FAILED_IGNITION,0.49,1.7959,0.71,0.7466,0.62943,0.2687,0.03235,1.037,0.00064,0.5853,-0.00782,-1.6528,0.04386,0.36,0.00625,-0.2806
EXIT_120,RETEST_RELOAD,0.744,0.8146,0.758,0.4892,0.60378,0.9683,0.0301,1.0037,-0.00648,0.7423,-0.02543,0.6461,0.02381,-1.0283,0.19188,0.6434
EXIT_122,FAILED_IGNITION,0.342,0.7403,0.41,1.0847,0.17688,0.83,0.02818,0.9847,0.00258,0.0678,0.0422,-9.4286,0.00943,0.8339,-0.05733,2.9206
