family,delay_h,hold_h,split,n,mean_net_bps,mean_gross_bps,win_prob,mean_cost_bps
EUR_LIQUIDATION_JPY_STRENGTH,1,8,RELATIONSHIP_CONFIRMED_OOS,544,5.16368251795475,6.619618591014111,0.5202205882352942,1.455936073059361
EUR_LIQUIDATION_JPY_STRENGTH,1,12,inner_sel,1000,9.924799297222888,11.283703406811927,0.562,1.3589041095890406
EUR_LIQUIDATION_JPY_STRENGTH,1,12,inner_val,288,8.294864609245586,9.65376871883463,0.625,1.3589041095890408
EUR_LIQUIDATION_JPY_STRENGTH,1,12,RELATIONSHIP_CONFIRMED_OOS,544,4.005406309401119,5.364310418990159,0.4797794117647059,1.3589041095890408
EUR_LIQUIDATION_JPY_STRENGTH,2,4,inner_sel,992,10.429380681464464,11.982348717994148,0.5836693548387096,1.55296803652968
EUR_LIQUIDATION_JPY_STRENGTH,2,4,inner_val,284,5.700662221943767,7.253630258473446,0.5845070422535211,1.5529680365296803
EUR_LIQUIDATION_JPY_STRENGTH,2,4,RELATIONSHIP_CONFIRMED_OOS,540,4.250099123695251,5.803067160224932,0.5425925925925926,1.5529680365296803
EUR_LIQUIDATION_JPY_STRENGTH,2,6,inner_sel,992,9.90422196344826,11.408674018242776,0.5725806451612904,1.5044520547945206
EUR_LIQUIDATION_JPY_STRENGTH,2,6,inner_val,284,7.972743074585041,9.47719512937956,0.5950704225352113,1.5044520547945206
EUR_LIQUIDATION_JPY_STRENGTH,2,6,RELATIONSHIP_CONFIRMED_OOS,540,5.60368462536518,7.1081366801597,0.55,1.5044520547945206
EUR_LIQUIDATION_JPY_STRENGTH,2,8,inner_sel,992,10.095082073785056,11.551018146844417,0.5725806451612904,1.455936073059361
EUR_LIQUIDATION_JPY_STRENGTH,2,8,inner_val,284,5.562298809371309,7.0182348824306695,0.5880281690140845,1.455936073059361
EUR_LIQUIDATION_JPY_STRENGTH,2,8,RELATIONSHIP_CONFIRMED_OOS,540,4.335220680765913,5.791156753825272,0.55,1.455936073059361
EUR_LIQUIDATION_JPY_STRENGTH,2,12,inner_sel,992,9.552963490689146,10.911867600278187,0.5483870967741935,1.3589041095890408
EUR_LIQUIDATION_JPY_STRENGTH,2,12,inner_val,284,8.135140834292502,9.494044943881544,0.5845070422535211,1.3589041095890408
EUR_LIQUIDATION_JPY_STRENGTH,2,12,RELATIONSHIP_CONFIRMED_OOS,540,2.999019304123731,4.357923413712773,0.5074074074074074,1.3589041095890408
EUR_LIQUIDATION_JPY_STRENGTH,3,4,inner_sel,980,1.591173719849304,3.144141756378984,0.4877551020408163,1.5529680365296803
EUR_LIQUIDATION_JPY_STRENGTH,3,4,inner_val,284,2.4830332362573606,4.03600127278704,0.5070422535211268,1.5529680365296803
