k,subset,n,deliver_rate,target,stall_rate,rate
3,DEMAND+TRANSFER+EXIT_PRESSURE,40,,SAT_WITHOUT_DELIVERY,,0.175
3,DEMAND+TRANSFER+NON_SATURATED,115,,SAT_WITHOUT_DELIVERY,,0.183
3,DEMAND+TRANSFER+GAIN_HI,83,,SAT_WITHOUT_DELIVERY,,0.205
3,DEMAND+EXIT_PRESSURE+NON_SATURATED,94,,SAT_WITHOUT_DELIVERY,,0.309
3,DEMAND+EXIT_PRESSURE+GAIN_HI,61,,SAT_WITHOUT_DELIVERY,,0.607
3,DEMAND+NON_SATURATED+GAIN_HI,99,,SAT_WITHOUT_DELIVERY,,0.424
3,CAPACITY+THRESHOLD+EXIT_PRESSURE,59,,SAT_WITHOUT_DELIVERY,,0.254
3,CAPACITY+THRESHOLD+NON_SATURATED,96,,SAT_WITHOUT_DELIVERY,,0.115
3,CAPACITY+THRESHOLD+GAIN_HI,56,,SAT_WITHOUT_DELIVERY,,0.357
3,CAPACITY+EXIT_PRESSURE+NON_SATURATED,359,,SAT_WITHOUT_DELIVERY,,0.092
3,CAPACITY+EXIT_PRESSURE+GAIN_HI,129,,SAT_WITHOUT_DELIVERY,,0.248
3,CAPACITY+NON_SATURATED+GAIN_HI,282,,SAT_WITHOUT_DELIVERY,,0.149
3,THRESHOLD+TRANSFER+EXIT_PRESSURE,108,,SAT_WITHOUT_DELIVERY,,0.056
3,THRESHOLD+TRANSFER+NON_SATURATED,340,,SAT_WITHOUT_DELIVERY,,0.05
3,THRESHOLD+TRANSFER+GAIN_HI,179,,SAT_WITHOUT_DELIVERY,,0.073
3,THRESHOLD+EXIT_PRESSURE+NON_SATURATED,156,,SAT_WITHOUT_DELIVERY,,0.045
3,THRESHOLD+EXIT_PRESSURE+GAIN_HI,77,,SAT_WITHOUT_DELIVERY,,0.156
3,THRESHOLD+NON_SATURATED+GAIN_HI,199,,SAT_WITHOUT_DELIVERY,,0.07
3,TRANSFER+EXIT_PRESSURE+NON_SATURATED,132,,SAT_WITHOUT_DELIVERY,,0.03
3,TRANSFER+EXIT_PRESSURE+GAIN_HI,64,,SAT_WITHOUT_DELIVERY,,0.047
3,TRANSFER+NON_SATURATED+GAIN_HI,196,,SAT_WITHOUT_DELIVERY,,0.036
3,EXIT_PRESSURE+NON_SATURATED+GAIN_HI,182,,SAT_WITHOUT_DELIVERY,,0.06
