family_a,family_b,interaction_type,outcome,n_both,observed_both,additive_expectation,interaction_delta,alters_outcome
VOLATILITY_FORCING,PHYSICAL_DISTURBANCE_FORCING,SYNERGISTIC_LIKE,ceiling,229,0.5666,0.6676,-0.101,True
VOLATILITY_FORCING,PHYSICAL_DISTURBANCE_FORCING,SYNERGISTIC_LIKE,rank_recruitment,229,0.8821,0.8761,0.006,False
BTC_ANCHOR_FORCING,PHYSICAL_DISTURBANCE_FORCING,ANTAGONISTIC_LIKE,route_pressure,319,0.4538,0.5683,-0.1145,True
BTC_ANCHOR_FORCING,PHYSICAL_DISTURBANCE_FORCING,ANTAGONISTIC_LIKE,transfer,261,0.7251,0.9145,-0.1894,True
BTC_ANCHOR_FORCING,PHYSICAL_DISTURBANCE_FORCING,ANTAGONISTIC_LIKE,threshold,308,1.0533,1.2873,-0.234,True
BTC_ANCHOR_FORCING,PHYSICAL_DISTURBANCE_FORCING,ANTAGONISTIC_LIKE,gain,322,0.9758,1.0763,-0.1006,True
BTC_ANCHOR_FORCING,PHYSICAL_DISTURBANCE_FORCING,ANTAGONISTIC_LIKE,ceiling,322,0.6966,0.6612,0.0354,False
BTC_ANCHOR_FORCING,PHYSICAL_DISTURBANCE_FORCING,ANTAGONISTIC_LIKE,rank_recruitment,322,0.8478,0.9018,-0.054,False
ETH_RELATIVE_FORCING,RANK_RECRUITMENT_FORCING,ROUTE_SPECIFIC,route_pressure,165,0.5059,0.5614,-0.0554,True
ETH_RELATIVE_FORCING,RANK_RECRUITMENT_FORCING,ROUTE_SPECIFIC,transfer,145,0.5427,0.5881,-0.0454,False
ETH_RELATIVE_FORCING,RANK_RECRUITMENT_FORCING,ROUTE_SPECIFIC,threshold,165,-0.0695,-0.1244,0.0549,True
ETH_RELATIVE_FORCING,RANK_RECRUITMENT_FORCING,ROUTE_SPECIFIC,gain,165,0.755,0.8654,-0.1104,True
ETH_RELATIVE_FORCING,RANK_RECRUITMENT_FORCING,ROUTE_SPECIFIC,ceiling,165,0.9717,1.0035,-0.0318,False
ETH_RELATIVE_FORCING,RANK_RECRUITMENT_FORCING,ROUTE_SPECIFIC,rank_recruitment,165,0.8788,0.8812,-0.0024,False
ETH_RELATIVE_FORCING,STABLECOIN_CAPITAL_FORCING,ANTAGONISTIC_LIKE,route_pressure,250,0.4236,0.5007,-0.0771,True
ETH_RELATIVE_FORCING,STABLECOIN_CAPITAL_FORCING,ANTAGONISTIC_LIKE,transfer,217,0.5581,0.5651,-0.0071,False
ETH_RELATIVE_FORCING,STABLECOIN_CAPITAL_FORCING,ANTAGONISTIC_LIKE,threshold,233,0.5915,0.8119,-0.2204,True
ETH_RELATIVE_FORCING,STABLECOIN_CAPITAL_FORCING,ANTAGONISTIC_LIKE,gain,250,0.8294,1.084,-0.2546,True
ETH_RELATIVE_FORCING,STABLECOIN_CAPITAL_FORCING,ANTAGONISTIC_LIKE,ceiling,250,0.6982,0.6479,0.0502,False
ETH_RELATIVE_FORCING,STABLECOIN_CAPITAL_FORCING,ANTAGONISTIC_LIKE,rank_recruitment,250,0.788,0.8187,-0.0307,False
ETH_RELATIVE_FORCING,PHYSICAL_DISTURBANCE_FORCING,SYNERGISTIC_LIKE,route_pressure,284,0.4772,0.4682,0.0089,False
ETH_RELATIVE_FORCING,PHYSICAL_DISTURBANCE_FORCING,SYNERGISTIC_LIKE,transfer,225,0.7312,0.8245,-0.0933,True
ETH_RELATIVE_FORCING,PHYSICAL_DISTURBANCE_FORCING,SYNERGISTIC_LIKE,threshold,275,0.6853,1.0777,-0.3923,True
ETH_RELATIVE_FORCING,PHYSICAL_DISTURBANCE_FORCING,SYNERGISTIC_LIKE,gain,287,1.1319,0.914,0.2179,True
ETH_RELATIVE_FORCING,PHYSICAL_DISTURBANCE_FORCING,SYNERGISTIC_LIKE,ceiling,287,0.6693,0.767,-0.0977,True
ETH_RELATIVE_FORCING,PHYSICAL_DISTURBANCE_FORCING,SYNERGISTIC_LIKE,rank_recruitment,287,0.8606,0.8738,-0.0132,False
RANK_RECRUITMENT_FORCING,CONCENTRATION_RELEASE_FORCING,ROUTE_SPECIFIC,route_pressure,164,0.4138,0.5028,-0.089,True
RANK_RECRUITMENT_FORCING,CONCENTRATION_RELEASE_FORCING,ROUTE_SPECIFIC,transfer,140,0.554,0.6701,-0.1161,True
RANK_RECRUITMENT_FORCING,CONCENTRATION_RELEASE_FORCING,ROUTE_SPECIFIC,threshold,160,-0.1697,-0.0919,-0.0777,True
RANK_RECRUITMENT_FORCING,CONCENTRATION_RELEASE_FORCING,ROUTE_SPECIFIC,gain,164,0.9408,0.7115,0.2293,True
RANK_RECRUITMENT_FORCING,CONCENTRATION_RELEASE_FORCING,ROUTE_SPECIFIC,ceiling,164,0.8499,1.0008,-0.1509,True
RANK_RECRUITMENT_FORCING,CONCENTRATION_RELEASE_FORCING,ROUTE_SPECIFIC,rank_recruitment,164,0.8415,0.9033,-0.0618,False
RANK_RECRUITMENT_FORCING,STABLECOIN_CAPITAL_FORCING,ROUTE_SPECIFIC,route_pressure,139,0.3137,0.4981,-0.1843,True
RANK_RECRUITMENT_FORCING,STABLECOIN_CAPITAL_FORCING,ROUTE_SPECIFIC,transfer,123,0.5853,0.5735,0.0118,False
RANK_RECRUITMENT_FORCING,STABLECOIN_CAPITAL_FORCING,ROUTE_SPECIFIC,threshold,138,0.4461,0.3338,0.1122,True
RANK_RECRUITMENT_FORCING,STABLECOIN_CAPITAL_FORCING,ROUTE_SPECIFIC,gain,139,1.0871,0.4015,0.6856,True
RANK_RECRUITMENT_FORCING,STABLECOIN_CAPITAL_FORCING,ROUTE_SPECIFIC,ceiling,139,0.7003,0.9604,-0.2601,True
RANK_RECRUITMENT_FORCING,STABLECOIN_CAPITAL_FORCING,ROUTE_SPECIFIC,rank_recruitment,139,0.8273,0.7737,0.0537,False
RANK_RECRUITMENT_FORCING,PHYSICAL_DISTURBANCE_FORCING,ROUTE_SPECIFIC,route_pressure,150,0.2686,0.577,-0.3083,True
RANK_RECRUITMENT_FORCING,PHYSICAL_DISTURBANCE_FORCING,ROUTE_SPECIFIC,transfer,119,0.765,0.9139,-0.1489,True
RANK_RECRUITMENT_FORCING,PHYSICAL_DISTURBANCE_FORCING,ROUTE_SPECIFIC,threshold,150,0.5053,0.7406,-0.2354,True
RANK_RECRUITMENT_FORCING,PHYSICAL_DISTURBANCE_FORCING,ROUTE_SPECIFIC,gain,150,0.9576,0.7753,0.1824,True
RANK_RECRUITMENT_FORCING,PHYSICAL_DISTURBANCE_FORCING,ROUTE_SPECIFIC,ceiling,150,0.7846,0.9403,-0.1557,True
RANK_RECRUITMENT_FORCING,PHYSICAL_DISTURBANCE_FORCING,ROUTE_SPECIFIC,rank_recruitment,150,0.9067,0.8545,0.0522,False
CONCENTRATION_RELEASE_FORCING,STABLECOIN_CAPITAL_FORCING,SYNERGISTIC_LIKE,route_pressure,297,0.3614,0.4873,-0.1258,True
CONCENTRATION_RELEASE_FORCING,STABLECOIN_CAPITAL_FORCING,SYNERGISTIC_LIKE,transfer,252,0.5967,0.5866,0.0101,False
CONCENTRATION_RELEASE_FORCING,STABLECOIN_CAPITAL_FORCING,SYNERGISTIC_LIKE,threshold,276,0.5839,0.6071,-0.0233,False
CONCENTRATION_RELEASE_FORCING,STABLECOIN_CAPITAL_FORCING,SYNERGISTIC_LIKE,gain,297,0.9585,0.874,0.0846,False
CONCENTRATION_RELEASE_FORCING,STABLECOIN_CAPITAL_FORCING,SYNERGISTIC_LIKE,ceiling,297,0.6417,0.651,-0.0093,False
CONCENTRATION_RELEASE_FORCING,STABLECOIN_CAPITAL_FORCING,SYNERGISTIC_LIKE,rank_recruitment,297,0.8215,0.7642,0.0574,False
STABLECOIN_CAPITAL_FORCING,PHYSICAL_DISTURBANCE_FORCING,SYNERGISTIC_LIKE,route_pressure,337,0.3804,0.464,-0.0836,True
STABLECOIN_CAPITAL_FORCING,PHYSICAL_DISTURBANCE_FORCING,SYNERGISTIC_LIKE,transfer,307,0.654,0.9658,-0.3117,True
STABLECOIN_CAPITAL_FORCING,PHYSICAL_DISTURBANCE_FORCING,SYNERGISTIC_LIKE,threshold,306,0.8998,1.4761,-0.5762,True
STABLECOIN_CAPITAL_FORCING,PHYSICAL_DISTURBANCE_FORCING,SYNERGISTIC_LIKE,gain,337,1.0087,0.8199,0.1888,True
STABLECOIN_CAPITAL_FORCING,PHYSICAL_DISTURBANCE_FORCING,SYNERGISTIC_LIKE,ceiling,337,0.5991,0.6568,-0.0576,False
STABLECOIN_CAPITAL_FORCING,PHYSICAL_DISTURBANCE_FORCING,SYNERGISTIC_LIKE,rank_recruitment,337,0.8368,0.7393,0.0974,True
