ep_start,ep_end,conv_date,days_to_conv,first_changed,delta_first,relation
2025-10-31,2025-11-01,2025-11-03,1,threshold,-0.8952,COINCIDES
2025-11-23,2025-11-24,2025-11-27,2,threshold,1.2637,COINCIDES
2025-11-26,2025-11-26,2025-11-27,0,threshold,1.0976,COINCIDES
2025-12-08,2025-12-09,2026-01-03,24,ceiling,0.5286,PRECEDES
2025-12-13,2025-12-13,2026-01-03,20,ceiling,0.5286,PRECEDES
2025-12-19,2025-12-19,2026-01-03,14,threshold,0.7291,PRECEDES
2025-12-26,2025-12-27,2026-01-03,6,ceiling,0.5286,PRECEDES
2026-01-01,2026-01-02,2026-01-03,0,threshold,0.6252,COINCIDES
2026-01-21,2026-01-21,2026-01-22,0,threshold,-1.1052,COINCIDES
2026-02-02,2026-02-02,2026-02-21,18,threshold,0.5752,PRECEDES
2026-02-06,2026-02-06,2026-02-21,14,threshold,1.7574,PRECEDES
2026-02-13,2026-02-14,2026-02-21,6,exit_pressure,0.6,PRECEDES
2026-02-16,2026-02-16,2026-02-21,4,exit_pressure,0.6,PRECEDES
2026-02-20,2026-02-20,2026-02-21,0,exit_pressure,0.6,COINCIDES
2026-04-07,2026-04-07,2026-05-01,23,threshold,0.7338,PRECEDES
2026-04-09,2026-04-10,2026-05-01,20,exit_pressure,-0.3276,PRECEDES
2026-04-13,2026-04-13,2026-05-01,17,exit_pressure,-0.3819,PRECEDES
2026-04-15,2026-04-17,2026-05-01,13,exit_pressure,-0.4914,PRECEDES
2026-04-20,2026-04-20,2026-05-01,10,threshold,-0.2389,PRECEDES
2026-04-26,2026-04-26,2026-05-01,4,exit_pressure,0.2,PRECEDES
2026-05-14,2026-05-14,2026-05-15,0,threshold,-0.9236,COINCIDES
