artifact,tier,centroid_pips,lower_cutoff_pips,upper_cutoff_pips,cluster_size,cluster_fraction,within_sd_pips,silhouette,init_policy,seed,quantile,bin,lower_pips,upper_pips,count
HISTOGRAM,BIN,,,,,,,,,,,40.0,121.36216216216165,124.21621621621567,0.0
HISTOGRAM,BIN,,,,,,,,,,,41.0,124.21621621621567,127.0702702702697,0.0
HISTOGRAM,BIN,,,,,,,,,,,42.0,127.0702702702697,129.92432432432372,0.0
HISTOGRAM,BIN,,,,,,,,,,,43.0,129.92432432432372,132.77837837837774,0.0
HISTOGRAM,BIN,,,,,,,,,,,44.0,132.77837837837774,135.63243243243176,0.0
HISTOGRAM,BIN,,,,,,,,,,,45.0,135.63243243243176,138.4864864864858,0.0
HISTOGRAM,BIN,,,,,,,,,,,46.0,138.4864864864858,141.34054054053982,0.0
HISTOGRAM,BIN,,,,,,,,,,,47.0,141.34054054053982,144.19459459459384,0.0
HISTOGRAM,BIN,,,,,,,,,,,48.0,144.19459459459384,147.04864864864788,0.0
HISTOGRAM,BIN,,,,,,,,,,,49.0,147.04864864864788,149.9027027027019,0.0
HISTOGRAM,BIN,,,,,,,,,,,50.0,149.9027027027019,152.75675675675595,0.0
HISTOGRAM,BIN,,,,,,,,,,,51.0,152.75675675675595,155.61081081080997,0.0
HISTOGRAM,BIN,,,,,,,,,,,52.0,155.61081081080997,158.46486486486398,0.0
HISTOGRAM,BIN,,,,,,,,,,,53.0,158.46486486486398,161.31891891891803,0.0
HISTOGRAM,BIN,,,,,,,,,,,54.0,161.31891891891803,164.17297297297205,0.0
HISTOGRAM,BIN,,,,,,,,,,,55.0,164.17297297297205,167.02702702702607,0.0
HISTOGRAM,BIN,,,,,,,,,,,56.0,167.02702702702607,169.8810810810801,0.0
HISTOGRAM,BIN,,,,,,,,,,,57.0,169.8810810810801,172.73513513513413,0.0
HISTOGRAM,BIN,,,,,,,,,,,58.0,172.73513513513413,175.58918918918815,0.0
HISTOGRAM,BIN,,,,,,,,,,,59.0,175.58918918918815,178.4432432432422,0.0
HISTOGRAM,BIN,,,,,,,,,,,60.0,178.4432432432422,181.2972972972962,0.0
HISTOGRAM,BIN,,,,,,,,,,,61.0,181.2972972972962,184.15135135135023,0.0
HISTOGRAM,BIN,,,,,,,,,,,62.0,184.15135135135023,187.00540540540428,0.0
HISTOGRAM,BIN,,,,,,,,,,,63.0,187.00540540540428,189.8594594594583,0.0
HISTOGRAM,BIN,,,,,,,,,,,64.0,189.8594594594583,192.7135135135123,0.0
HISTOGRAM,BIN,,,,,,,,,,,65.0,192.7135135135123,195.56756756756636,0.0
HISTOGRAM,BIN,,,,,,,,,,,66.0,195.56756756756636,198.42162162162037,0.0
HISTOGRAM,BIN,,,,,,,,,,,67.0,198.42162162162037,201.2756756756744,0.0
HISTOGRAM,BIN,,,,,,,,,,,68.0,201.2756756756744,204.12972972972844,0.0
HISTOGRAM,BIN,,,,,,,,,,,69.0,204.12972972972844,206.98378378378246,0.0
HISTOGRAM,BIN,,,,,,,,,,,70.0,206.98378378378246,209.83783783783647,0.0
HISTOGRAM,BIN,,,,,,,,,,,71.0,209.83783783783647,212.69189189189052,0.0
HISTOGRAM,BIN,,,,,,,,,,,72.0,212.69189189189052,215.54594594594454,0.0
HISTOGRAM,BIN,,,,,,,,,,,73.0,215.54594594594454,218.39999999999858,1.0
