conditioning,checkpoint,remaining_range_definition,n,mean,median,p10,p25,p50,p75,p90,iqr,mad,variance,condition_value
directional_balance_bucket,06AM,,132,45.53939393939371,39.300000000001006,17.930000000000447,27.525000000000468,39.300000000001006,58.974999999998886,75.92999999999829,31.44999999999842,14.350000000001867,814.347235996335,DOWN_HEAVY
directional_balance_bucket,06AM,,79,32.249367088607585,28.099999999999792,7.599999999999611,15.049999999999788,28.099999999999792,47.249999999998685,57.90000000000006,32.199999999998894,15.000000000000572,523.5331325108143,DOWN_LEAN
directional_balance_bucket,06AM,,126,46.497619047619224,40.65000000000096,17.400000000000745,27.30000000000121,40.65000000000096,60.84999999999951,84.65000000000055,33.549999999998306,15.85000000000058,788.9003911564474,UP_HEAVY
directional_balance_bucket,06AM,,53,32.94150943396219,29.600000000000733,9.519999999999747,19.49999999999896,29.600000000000733,40.10000000000069,60.81999999999921,20.60000000000173,10.499999999999957,484.96582413669995,UP_LEAN
TIME_ONLY,09AM,final_range_minus_delivered_range,442,28.591176470588138,21.59999999999939,3.409999999999913,10.549999999999724,21.59999999999939,38.82499999999955,61.91999999999977,28.274999999999824,13.199999999999878,637.453609928133,
tier,09AM,,232,28.5387931034481,22.050000000000125,4.2199999999989934,10.875000000000188,22.050000000000125,38.89999999999949,56.15000000000015,28.0249999999993,12.94999999999935,576.4910813020202,1.0
tier,09AM,,139,28.4561151079137,21.59999999999939,3.279999999999728,10.749999999999368,21.59999999999939,38.5000000000002,62.079999999999906,27.75000000000083,13.400000000001185,604.0508079291963,2.0
tier,09AM,,61,28.540983606557294,17.899999999999583,0.0,10.099999999999554,17.899999999999583,38.599999999999746,72.1000000000016,28.500000000000192,12.09999999999933,872.9775006718588,3.0
initial_3am_state,09AM,,10,31.989999999999963,21.399999999999196,0.0,2.2250000000001435,21.399999999999196,54.3750000000004,79.05000000000007,52.150000000000254,21.399999999999196,1067.5028999999959,AR_NO_GO_STATE
initial_3am_state,09AM,,56,31.416071428571332,20.49999999999996,8.69999999999926,12.749999999999705,20.49999999999996,42.34999999999933,64.64999999999942,29.59999999999963,11.650000000000826,790.0977774234642,BALANCED_ASIA
initial_3am_state,09AM,,10,47.97000000000006,22.449999999999413,0.0,9.600000000000723,22.449999999999413,89.70000000000088,107.23999999999889,80.10000000000016,22.449999999999413,2493.9101000000064,FULL_LOOP
initial_3am_state,09AM,,32,27.53124999999988,21.299999999999653,5.599999999999383,12.97499999999896,21.299999999999653,36.77499999999833,50.12999999999868,23.79999999999937,11.150000000000883,551.5096484375074,ONE_SIDED_DOWN
initial_3am_state,09AM,,32,27.887499999999786,21.69999999999894,3.68000000000146,14.84999999999903,21.69999999999894,37.69999999999995,47.86999999999964,22.850000000000925,11.750000000000373,531.2110937499984,ONE_SIDED_UP
initial_3am_state,09AM,,29,21.593103448275983,15.500000000001627,3.759999999999765,8.799999999999919,15.500000000001627,33.19999999999989,44.32000000000035,24.39999999999997,9.800000000002036,335.0978834720567,OVER_COMPLETED
initial_3am_state,09AM,,273,28.127472527472413,23.699999999997612,2.8200000000002676,10.699999999999037,23.699999999997612,39.19999999999702,60.25999999999911,28.499999999997982,13.800000000001585,555.6098313408189,PARTIAL_LOOP
loop_count,09AM,,10,31.989999999999963,21.399999999999196,0.0,2.2250000000001435,21.399999999999196,54.3750000000004,79.05000000000007,52.150000000000254,21.399999999999196,1067.5028999999959,0
