participation,sign,rank_band,horizon,state,n_risk,n_transition,hazard
BAND_BROAD,DOWN,1501-2000,1D,NEW_EXTREME,4956,131,0.026432606941081516
BAND_BROAD,DOWN,1501-2000,1D,50P_GIVEBACK,4956,1214,0.24495560936238903
BAND_BROAD,DOWN,1501-2000,2D,1S_RECOVERY,4956,846,0.17070217917675545
BAND_BROAD,DOWN,1501-2000,2D,FULL_REVERSAL,4956,2914,0.5879741727199355
BAND_BROAD,DOWN,1501-2000,2D,NEW_EXTREME,4956,263,0.05306698950766747
BAND_BROAD,DOWN,1501-2000,2D,50P_GIVEBACK,4956,1504,0.30347054075867635
BAND_BROAD,DOWN,1501-2000,3D,1S_RECOVERY,4956,851,0.17171105730427763
BAND_BROAD,DOWN,1501-2000,3D,FULL_REVERSAL,4956,2961,0.597457627118644
BAND_BROAD,DOWN,1501-2000,3D,NEW_EXTREME,4956,341,0.06880548829701372
BAND_BROAD,DOWN,1501-2000,3D,50P_GIVEBACK,4956,1681,0.33918482647296205
BAND_BROAD,DOWN,1501-2000,5D,1S_RECOVERY,4956,815,0.16444713478611783
BAND_BROAD,DOWN,1501-2000,5D,FULL_REVERSAL,4956,3012,0.6077481840193705
BAND_BROAD,DOWN,1501-2000,5D,NEW_EXTREME,4956,434,0.08757062146892655
BAND_BROAD,DOWN,1501-2000,5D,50P_GIVEBACK,4956,1930,0.3894269572235674
BAND_BROAD,DOWN,1501-2000,7D,1S_RECOVERY,4956,833,0.16807909604519775
BAND_BROAD,DOWN,1501-2000,7D,FULL_REVERSAL,4956,3021,0.6095641646489104
BAND_BROAD,DOWN,1501-2000,7D,NEW_EXTREME,4956,572,0.11541565778853914
BAND_BROAD,DOWN,1501-2000,7D,50P_GIVEBACK,4956,2094,0.4225181598062954
BAND_BROAD,DOWN,1501-2000,10D,1S_RECOVERY,4956,865,0.17453591606133978
BAND_BROAD,DOWN,1501-2000,10D,FULL_REVERSAL,4956,3049,0.6152138821630347
BAND_BROAD,DOWN,1501-2000,10D,NEW_EXTREME,4956,690,0.13922518159806296
BAND_BROAD,DOWN,1501-2000,10D,50P_GIVEBACK,4956,2241,0.45217917675544794
BAND_BROAD,DOWN,1501-2000,14D,1S_RECOVERY,4956,864,0.17433414043583534
BAND_BROAD,DOWN,1501-2000,14D,FULL_REVERSAL,4956,3077,0.620863599677159
BAND_BROAD,DOWN,1501-2000,14D,NEW_EXTREME,4956,792,0.15980629539951574
BAND_BROAD,DOWN,1501-2000,14D,50P_GIVEBACK,4956,2393,0.48284907183212267
BAND_BROAD,DOWN,1501-2000,21D,1S_RECOVERY,4956,873,0.1761501210653753
BAND_BROAD,DOWN,1501-2000,21D,FULL_REVERSAL,4956,3067,0.6188458434221146
BAND_BROAD,DOWN,1501-2000,21D,NEW_EXTREME,4956,925,0.18664245359160614
BAND_BROAD,DOWN,1501-2000,21D,50P_GIVEBACK,4956,2548,0.5141242937853108
BAND_BROAD,DOWN,1501-2000,30D,1S_RECOVERY,4956,891,0.1797820823244552
BAND_BROAD,DOWN,1501-2000,30D,FULL_REVERSAL,4956,3129,0.6313559322033898
BAND_BROAD,DOWN,1501-2000,30D,NEW_EXTREME,4956,1043,0.21045197740112995
BAND_BROAD,DOWN,1501-2000,30D,50P_GIVEBACK,4956,2677,0.5401533494753834
BAND_BROAD,DOWN,501-750,1D,1S_RECOVERY,479,121,0.25260960334029225
BAND_BROAD,DOWN,501-750,1D,FULL_REVERSAL,479,249,0.5198329853862212
BAND_BROAD,DOWN,501-750,1D,NEW_EXTREME,479,12,0.025052192066805846
BAND_BROAD,DOWN,501-750,1D,50P_GIVEBACK,479,77,0.16075156576200417
BAND_BROAD,DOWN,501-750,2D,1S_RECOVERY,479,123,0.2567849686847599
BAND_BROAD,DOWN,501-750,2D,FULL_REVERSAL,479,240,0.5010438413361169
BAND_BROAD,DOWN,501-750,2D,NEW_EXTREME,479,33,0.06889352818371608
BAND_BROAD,DOWN,501-750,2D,50P_GIVEBACK,479,103,0.2150313152400835
BAND_BROAD,DOWN,501-750,3D,1S_RECOVERY,479,122,0.2546972860125261
BAND_BROAD,DOWN,501-750,3D,FULL_REVERSAL,479,237,0.49478079331941544
BAND_BROAD,DOWN,501-750,3D,NEW_EXTREME,479,51,0.10647181628392484
BAND_BROAD,DOWN,501-750,3D,50P_GIVEBACK,479,118,0.24634655532359082
BAND_BROAD,DOWN,501-750,5D,1S_RECOVERY,479,124,0.2588726513569937
BAND_BROAD,DOWN,501-750,5D,FULL_REVERSAL,479,238,0.4968684759916493
BAND_BROAD,DOWN,501-750,5D,NEW_EXTREME,479,60,0.12526096033402923
BAND_BROAD,DOWN,501-750,5D,50P_GIVEBACK,479,130,0.27139874739039666
BAND_BROAD,DOWN,501-750,7D,1S_RECOVERY,479,119,0.24843423799582465
BAND_BROAD,DOWN,501-750,7D,FULL_REVERSAL,479,223,0.46555323590814196
BAND_BROAD,DOWN,501-750,7D,NEW_EXTREME,479,82,0.17118997912317327
BAND_BROAD,DOWN,501-750,7D,50P_GIVEBACK,479,134,0.2797494780793319
BAND_BROAD,DOWN,501-750,10D,1S_RECOVERY,479,117,0.24425887265135698
BAND_BROAD,DOWN,501-750,10D,FULL_REVERSAL,479,234,0.48851774530271397
BAND_BROAD,DOWN,501-750,10D,NEW_EXTREME,479,95,0.19832985386221294
BAND_BROAD,DOWN,501-750,10D,50P_GIVEBACK,479,151,0.31524008350730687
BAND_BROAD,DOWN,501-750,14D,1S_RECOVERY,479,115,0.24008350730688935
BAND_BROAD,DOWN,501-750,14D,FULL_REVERSAL,479,228,0.4759916492693111
BAND_BROAD,DOWN,501-750,14D,NEW_EXTREME,479,111,0.23173277661795408
BAND_BROAD,DOWN,501-750,14D,50P_GIVEBACK,479,158,0.3298538622129436
BAND_BROAD,DOWN,501-750,21D,1S_RECOVERY,479,113,0.2359081419624217
BAND_BROAD,DOWN,501-750,21D,FULL_REVERSAL,479,225,0.4697286012526096
BAND_BROAD,DOWN,501-750,21D,NEW_EXTREME,479,127,0.2651356993736952
BAND_BROAD,DOWN,501-750,21D,50P_GIVEBACK,479,163,0.34029227557411273
BAND_BROAD,DOWN,501-750,30D,1S_RECOVERY,479,120,0.25052192066805845
BAND_BROAD,DOWN,501-750,30D,FULL_REVERSAL,479,216,0.4509394572025052
BAND_BROAD,DOWN,501-750,30D,NEW_EXTREME,479,146,0.3048016701461378
BAND_BROAD,DOWN,501-750,30D,50P_GIVEBACK,479,166,0.3465553235908142
BAND_BROAD,DOWN,751-1000,1D,1S_RECOVERY,840,204,0.24285714285714285
BAND_BROAD,DOWN,751-1000,1D,FULL_REVERSAL,840,451,0.5369047619047619
BAND_BROAD,DOWN,751-1000,1D,NEW_EXTREME,840,29,0.034523809523809526
BAND_BROAD,DOWN,751-1000,1D,50P_GIVEBACK,840,178,0.2119047619047619
BAND_BROAD,DOWN,751-1000,2D,1S_RECOVERY,840,196,0.23333333333333334
BAND_BROAD,DOWN,751-1000,2D,FULL_REVERSAL,840,442,0.5261904761904762
BAND_BROAD,DOWN,751-1000,2D,NEW_EXTREME,840,47,0.055952380952380955
BAND_BROAD,DOWN,751-1000,2D,50P_GIVEBACK,840,214,0.25476190476190474
BAND_BROAD,DOWN,751-1000,3D,1S_RECOVERY,840,191,0.22738095238095238
BAND_BROAD,DOWN,751-1000,3D,FULL_REVERSAL,840,449,0.5345238095238095
BAND_BROAD,DOWN,751-1000,3D,NEW_EXTREME,840,75,0.08928571428571429
BAND_BROAD,DOWN,751-1000,3D,50P_GIVEBACK,840,233,0.2773809523809524
BAND_BROAD,DOWN,751-1000,5D,1S_RECOVERY,840,179,0.2130952380952381
BAND_BROAD,DOWN,751-1000,5D,FULL_REVERSAL,840,457,0.544047619047619
BAND_BROAD,DOWN,751-1000,5D,NEW_EXTREME,840,109,0.12976190476190477
BAND_BROAD,DOWN,751-1000,5D,50P_GIVEBACK,840,275,0.3273809523809524
BAND_BROAD,DOWN,751-1000,7D,1S_RECOVERY,840,187,0.2226190476190476
BAND_BROAD,DOWN,751-1000,7D,FULL_REVERSAL,840,442,0.5261904761904762
BAND_BROAD,DOWN,751-1000,7D,NEW_EXTREME,840,137,0.1630952380952381
BAND_BROAD,DOWN,751-1000,7D,50P_GIVEBACK,840,284,0.3380952380952381
BAND_BROAD,DOWN,751-1000,10D,1S_RECOVERY,840,191,0.22738095238095238
BAND_BROAD,DOWN,751-1000,10D,FULL_REVERSAL,840,433,0.5154761904761904
BAND_BROAD,DOWN,751-1000,10D,NEW_EXTREME,840,160,0.19047619047619047
BAND_BROAD,DOWN,751-1000,10D,50P_GIVEBACK,840,304,0.3619047619047619
BAND_BROAD,DOWN,751-1000,14D,1S_RECOVERY,840,184,0.21904761904761905
BAND_BROAD,DOWN,751-1000,14D,FULL_REVERSAL,840,443,0.5273809523809524
BAND_BROAD,DOWN,751-1000,14D,NEW_EXTREME,840,182,0.21666666666666667
BAND_BROAD,DOWN,751-1000,14D,50P_GIVEBACK,840,319,0.37976190476190474
BAND_BROAD,DOWN,751-1000,21D,1S_RECOVERY,840,191,0.22738095238095238
BAND_BROAD,DOWN,751-1000,21D,FULL_REVERSAL,840,437,0.5202380952380953
BAND_BROAD,DOWN,751-1000,21D,NEW_EXTREME,840,221,0.2630952380952381
BAND_BROAD,DOWN,751-1000,21D,50P_GIVEBACK,840,346,0.4119047619047619
BAND_BROAD,DOWN,751-1000,30D,1S_RECOVERY,840,209,0.2488095238095238
BAND_BROAD,DOWN,751-1000,30D,FULL_REVERSAL,840,433,0.5154761904761904
BAND_BROAD,DOWN,751-1000,30D,NEW_EXTREME,840,245,0.2916666666666667
BAND_BROAD,DOWN,751-1000,30D,50P_GIVEBACK,840,334,0.3976190476190476
BAND_BROAD,UP,1001-1500,1D,1S_RECOVERY,8970,1336,0.14894091415830546
BAND_BROAD,UP,1001-1500,1D,FULL_REVERSAL,8970,6039,0.6732441471571906
BAND_BROAD,UP,1001-1500,1D,NEW_EXTREME,8970,325,0.036231884057971016
BAND_BROAD,UP,1001-1500,1D,50P_GIVEBACK,8970,1533,0.17090301003344482
BAND_BROAD,UP,1001-1500,2D,1S_RECOVERY,8970,1409,0.15707915273132664
BAND_BROAD,UP,1001-1500,2D,FULL_REVERSAL,8970,5931,0.6612040133779264
BAND_BROAD,UP,1001-1500,2D,NEW_EXTREME,8970,494,0.05507246376811594
BAND_BROAD,UP,1001-1500,2D,50P_GIVEBACK,8970,1992,0.22207357859531773
BAND_BROAD,UP,1001-1500,3D,1S_RECOVERY,8970,1497,0.1668896321070234
BAND_BROAD,UP,1001-1500,3D,FULL_REVERSAL,8970,5838,0.6508361204013378
BAND_BROAD,UP,1001-1500,3D,NEW_EXTREME,8970,610,0.06800445930880714
BAND_BROAD,UP,1001-1500,3D,50P_GIVEBACK,8970,2263,0.2522853957636566
BAND_BROAD,UP,1001-1500,5D,1S_RECOVERY,8970,1637,0.18249721293199553
BAND_BROAD,UP,1001-1500,5D,FULL_REVERSAL,8970,5645,0.6293199554069119
BAND_BROAD,UP,1001-1500,5D,NEW_EXTREME,8970,848,0.09453734671125975
BAND_BROAD,UP,1001-1500,5D,50P_GIVEBACK,8970,2518,0.2807134894091416
BAND_BROAD,UP,1001-1500,7D,1S_RECOVERY,8970,1639,0.1827201783723523
BAND_BROAD,UP,1001-1500,7D,FULL_REVERSAL,8970,5501,0.6132664437012263
BAND_BROAD,UP,1001-1500,7D,NEW_EXTREME,8970,995,0.1109253065774805
BAND_BROAD,UP,1001-1500,7D,50P_GIVEBACK,8970,2704,0.30144927536231886
BAND_BROAD,UP,1001-1500,10D,1S_RECOVERY,8970,1758,0.1959866220735786
BAND_BROAD,UP,1001-1500,10D,FULL_REVERSAL,8970,5351,0.5965440356744705
BAND_BROAD,UP,1001-1500,10D,NEW_EXTREME,8970,1230,0.13712374581939799
BAND_BROAD,UP,1001-1500,10D,50P_GIVEBACK,8970,2875,0.32051282051282054
BAND_BROAD,UP,1001-1500,14D,1S_RECOVERY,8970,1867,0.2081382385730212
BAND_BROAD,UP,1001-1500,14D,FULL_REVERSAL,8970,5148,0.5739130434782609
BAND_BROAD,UP,1001-1500,14D,NEW_EXTREME,8970,1552,0.1730211817168339
BAND_BROAD,UP,1001-1500,14D,50P_GIVEBACK,8970,3027,0.3374581939799331
BAND_BROAD,UP,1001-1500,21D,1S_RECOVERY,8970,1995,0.22240802675585283
BAND_BROAD,UP,1001-1500,21D,FULL_REVERSAL,8970,4973,0.5544035674470457
BAND_BROAD,UP,1001-1500,21D,NEW_EXTREME,8970,1884,0.21003344481605352
BAND_BROAD,UP,1001-1500,21D,50P_GIVEBACK,8970,3187,0.3552954292084727
BAND_BROAD,UP,1001-1500,30D,1S_RECOVERY,8970,2135,0.23801560758082496
BAND_BROAD,UP,1001-1500,30D,FULL_REVERSAL,8970,4773,0.5321070234113713
BAND_BROAD,UP,1001-1500,30D,NEW_EXTREME,8970,2233,0.24894091415830547
BAND_BROAD,UP,1001-1500,30D,50P_GIVEBACK,8970,3318,0.36989966555183945
BAND_BROAD,UP,1501-2000,1D,1S_RECOVERY,9399,1334,0.1419299925523992
BAND_BROAD,UP,1501-2000,1D,FULL_REVERSAL,9399,6165,0.6559208426428343
BAND_BROAD,UP,1501-2000,1D,NEW_EXTREME,9399,330,0.035110118097669965
BAND_BROAD,UP,1501-2000,1D,50P_GIVEBACK,9399,1544,0.16427279497818917
BAND_BROAD,UP,1501-2000,2D,1S_RECOVERY,9399,1433,0.1524630279817002
BAND_BROAD,UP,1501-2000,2D,FULL_REVERSAL,9399,6041,0.6427279497818917
BAND_BROAD,UP,1501-2000,2D,NEW_EXTREME,9399,519,0.05521864028088094
BAND_BROAD,UP,1501-2000,2D,50P_GIVEBACK,9399,2042,0.21725715501649112
BAND_BROAD,UP,1501-2000,3D,1S_RECOVERY,9399,1556,0.16554952654537716
BAND_BROAD,UP,1501-2000,3D,FULL_REVERSAL,9399,5909,0.6286839025428237
BAND_BROAD,UP,1501-2000,3D,NEW_EXTREME,9399,631,0.0671348015746356
BAND_BROAD,UP,1501-2000,3D,50P_GIVEBACK,9399,2292,0.24385572933290775
BAND_BROAD,UP,1501-2000,5D,1S_RECOVERY,9399,1720,0.18299819129694647
BAND_BROAD,UP,1501-2000,5D,FULL_REVERSAL,9399,5675,0.6037876369826577
BAND_BROAD,UP,1501-2000,5D,NEW_EXTREME,9399,887,0.09437174167464624
BAND_BROAD,UP,1501-2000,5D,50P_GIVEBACK,9399,2506,0.2666241089477604
BAND_BROAD,UP,1501-2000,7D,1S_RECOVERY,9399,1770,0.1883179061602298
BAND_BROAD,UP,1501-2000,7D,FULL_REVERSAL,9399,5480,0.5830407490158528
BAND_BROAD,UP,1501-2000,7D,NEW_EXTREME,9399,1096,0.11660814980317055
BAND_BROAD,UP,1501-2000,7D,50P_GIVEBACK,9399,2704,0.28769017980636236
BAND_BROAD,UP,1501-2000,10D,1S_RECOVERY,9399,1911,0.2033195020746888
BAND_BROAD,UP,1501-2000,10D,FULL_REVERSAL,9399,5240,0.5575061176720928
BAND_BROAD,UP,1501-2000,10D,NEW_EXTREME,9399,1417,0.1507607192254495
BAND_BROAD,UP,1501-2000,10D,50P_GIVEBACK,9399,2749,0.2924779231833174
BAND_BROAD,UP,1501-2000,14D,1S_RECOVERY,9399,2113,0.22481115012235345
BAND_BROAD,UP,1501-2000,14D,FULL_REVERSAL,9399,4992,0.5311203319502075
BAND_BROAD,UP,1501-2000,14D,NEW_EXTREME,9399,1780,0.18938184913288647
BAND_BROAD,UP,1501-2000,14D,50P_GIVEBACK,9399,2810,0.298967975316523
BAND_BROAD,UP,1501-2000,21D,1S_RECOVERY,9399,2281,0.24268539206298542
BAND_BROAD,UP,1501-2000,21D,FULL_REVERSAL,9399,4697,0.49973401425683583
BAND_BROAD,UP,1501-2000,21D,NEW_EXTREME,9399,2210,0.2351313969571231
BAND_BROAD,UP,1501-2000,21D,50P_GIVEBACK,9399,2997,0.31886370890520266
BAND_BROAD,UP,1501-2000,30D,1S_RECOVERY,9399,2508,0.26683689754229173
BAND_BROAD,UP,1501-2000,30D,FULL_REVERSAL,9399,4456,0.4740929886158102
BAND_BROAD,UP,1501-2000,30D,NEW_EXTREME,9399,2696,0.286839025428237
BAND_BROAD,UP,1501-2000,30D,50P_GIVEBACK,9399,3052,0.32471539525481435
BAND_BROAD,UP,501-750,1D,1S_RECOVERY,5395,904,0.1675625579240037
BAND_BROAD,UP,501-750,1D,FULL_REVERSAL,5395,3544,0.6569045412418907
BAND_BROAD,UP,501-750,1D,NEW_EXTREME,5395,176,0.03262279888785913
BAND_BROAD,UP,501-750,1D,50P_GIVEBACK,5395,718,0.13308619091751622
BAND_BROAD,UP,501-750,2D,1S_RECOVERY,5395,885,0.16404077849860982
BAND_BROAD,UP,501-750,2D,FULL_REVERSAL,5395,3532,0.6546802594995366
BAND_BROAD,UP,501-750,2D,NEW_EXTREME,5395,271,0.05023169601482855
BAND_BROAD,UP,501-750,2D,50P_GIVEBACK,5395,1151,0.2133456904541242
BAND_BROAD,UP,501-750,3D,1S_RECOVERY,5395,881,0.1632993512511585
BAND_BROAD,UP,501-750,3D,FULL_REVERSAL,5395,3479,0.6448563484708063
BAND_BROAD,UP,501-750,3D,NEW_EXTREME,5395,332,0.06153846153846154
BAND_BROAD,UP,501-750,3D,50P_GIVEBACK,5395,1303,0.24151992585727525
BAND_BROAD,UP,501-750,5D,1S_RECOVERY,5395,909,0.1684893419833179
BAND_BROAD,UP,501-750,5D,FULL_REVERSAL,5395,3413,0.6326227988878591
BAND_BROAD,UP,501-750,5D,NEW_EXTREME,5395,459,0.08507877664504171
BAND_BROAD,UP,501-750,5D,50P_GIVEBACK,5395,1501,0.27822057460611677
BAND_BROAD,UP,501-750,7D,1S_RECOVERY,5395,921,0.17071362372567192
BAND_BROAD,UP,501-750,7D,FULL_REVERSAL,5395,3381,0.6266913809082484
BAND_BROAD,UP,501-750,7D,NEW_EXTREME,5395,534,0.0989805375347544
BAND_BROAD,UP,501-750,7D,50P_GIVEBACK,5395,1596,0.2958294717330862
BAND_BROAD,UP,501-750,10D,1S_RECOVERY,5395,915,0.1696014828544949
BAND_BROAD,UP,501-750,10D,FULL_REVERSAL,5395,3342,0.6194624652455978
BAND_BROAD,UP,501-750,10D,NEW_EXTREME,5395,625,0.11584800741427248
BAND_BROAD,UP,501-750,10D,50P_GIVEBACK,5395,1809,0.33531047265987024
BAND_BROAD,UP,501-750,14D,1S_RECOVERY,5395,927,0.17182576459684892
BAND_BROAD,UP,501-750,14D,FULL_REVERSAL,5395,3295,0.6107506950880445
BAND_BROAD,UP,501-750,14D,NEW_EXTREME,5395,752,0.13938832252085265
BAND_BROAD,UP,501-750,14D,50P_GIVEBACK,5395,1917,0.3553290083410565
BAND_BROAD,UP,501-750,21D,1S_RECOVERY,5395,957,0.17738646895273402
BAND_BROAD,UP,501-750,21D,FULL_REVERSAL,5395,3268,0.6057460611677479
BAND_BROAD,UP,501-750,21D,NEW_EXTREME,5395,912,0.1690454124189064
BAND_BROAD,UP,501-750,21D,50P_GIVEBACK,5395,2136,0.3959221501390176
BAND_BROAD,UP,501-750,30D,1S_RECOVERY,5395,955,0.17701575532900835
BAND_BROAD,UP,501-750,30D,FULL_REVERSAL,5395,3257,0.6037071362372567
BAND_BROAD,UP,501-750,30D,NEW_EXTREME,5395,1006,0.18646895273401298
BAND_BROAD,UP,501-750,30D,50P_GIVEBACK,5395,2287,0.42391102873030584
BAND_BROAD,UP,751-1000,1D,1S_RECOVERY,5816,1005,0.17279917469050893
BAND_BROAD,UP,751-1000,1D,FULL_REVERSAL,5816,3803,0.6538858321870702
BAND_BROAD,UP,751-1000,1D,NEW_EXTREME,5816,229,0.03937414030261348
BAND_BROAD,UP,751-1000,1D,50P_GIVEBACK,5816,847,0.14563273727647869
BAND_BROAD,UP,751-1000,2D,1S_RECOVERY,5816,1056,0.1815680880330124
BAND_BROAD,UP,751-1000,2D,FULL_REVERSAL,5816,3695,0.6353163686382394
BAND_BROAD,UP,751-1000,2D,NEW_EXTREME,5816,341,0.05863136176066025
BAND_BROAD,UP,751-1000,2D,50P_GIVEBACK,5816,1223,0.21028198074277854
BAND_BROAD,UP,751-1000,3D,1S_RECOVERY,5816,1077,0.18517881705639616
BAND_BROAD,UP,751-1000,3D,FULL_REVERSAL,5816,3617,0.6219050894085282
BAND_BROAD,UP,751-1000,3D,NEW_EXTREME,5816,440,0.07565337001375516
BAND_BROAD,UP,751-1000,3D,50P_GIVEBACK,5816,1406,0.24174690508940852
BAND_BROAD,UP,751-1000,5D,1S_RECOVERY,5816,1117,0.1920563961485557
BAND_BROAD,UP,751-1000,5D,FULL_REVERSAL,5816,3507,0.6029917469050894
BAND_BROAD,UP,751-1000,5D,NEW_EXTREME,5816,596,0.10247592847317744
BAND_BROAD,UP,751-1000,5D,50P_GIVEBACK,5816,1579,0.2714924346629986
BAND_BROAD,UP,751-1000,7D,1S_RECOVERY,5816,1152,0.19807427785419532
BAND_BROAD,UP,751-1000,7D,FULL_REVERSAL,5816,3446,0.592503438789546
BAND_BROAD,UP,751-1000,7D,NEW_EXTREME,5816,722,0.12414030261348005
BAND_BROAD,UP,751-1000,7D,50P_GIVEBACK,5816,1704,0.29298486932599727
BAND_BROAD,UP,751-1000,10D,1S_RECOVERY,5816,1199,0.20615543328748281
BAND_BROAD,UP,751-1000,10D,FULL_REVERSAL,5816,3329,0.5723865199449794
BAND_BROAD,UP,751-1000,10D,NEW_EXTREME,5816,868,0.14924346629986246
BAND_BROAD,UP,751-1000,10D,50P_GIVEBACK,5816,1763,0.3031292984869326
BAND_BROAD,UP,751-1000,14D,1S_RECOVERY,5816,1262,0.2169876203576341
BAND_BROAD,UP,751-1000,14D,FULL_REVERSAL,5816,3230,0.5553645116918845
BAND_BROAD,UP,751-1000,14D,NEW_EXTREME,5816,1023,0.17589408528198075
BAND_BROAD,UP,751-1000,14D,50P_GIVEBACK,5816,1851,0.31825997248968363
BAND_BROAD,UP,751-1000,21D,1S_RECOVERY,5816,1302,0.22386519944979366
BAND_BROAD,UP,751-1000,21D,FULL_REVERSAL,5816,3167,0.5445323246217332
BAND_BROAD,UP,751-1000,21D,NEW_EXTREME,5816,1249,0.21475240715268226
BAND_BROAD,UP,751-1000,21D,50P_GIVEBACK,5816,2043,0.3512723521320495
BAND_BROAD,UP,751-1000,30D,1S_RECOVERY,5816,1351,0.23229023383768913
BAND_BROAD,UP,751-1000,30D,FULL_REVERSAL,5816,3077,0.5290577716643742
BAND_BROAD,UP,751-1000,30D,NEW_EXTREME,5816,1433,0.24638927097661623
BAND_BROAD,UP,751-1000,30D,50P_GIVEBACK,5816,2143,0.36846629986244844
ISOLATED,DOWN,1001-1500,1D,1S_RECOVERY,24,4,0.16666666666666666
ISOLATED,DOWN,1001-1500,1D,FULL_REVERSAL,24,11,0.4583333333333333
ISOLATED,DOWN,1001-1500,1D,NEW_EXTREME,24,1,0.041666666666666664
ISOLATED,DOWN,1001-1500,1D,50P_GIVEBACK,24,7,0.2916666666666667
ISOLATED,DOWN,1001-1500,2D,1S_RECOVERY,24,5,0.20833333333333334
ISOLATED,DOWN,1001-1500,2D,FULL_REVERSAL,24,13,0.5416666666666666
ISOLATED,DOWN,1001-1500,2D,NEW_EXTREME,24,1,0.041666666666666664
ISOLATED,DOWN,1001-1500,2D,50P_GIVEBACK,24,8,0.3333333333333333
ISOLATED,DOWN,1001-1500,3D,1S_RECOVERY,24,5,0.20833333333333334
ISOLATED,DOWN,1001-1500,3D,FULL_REVERSAL,24,14,0.5833333333333334
ISOLATED,DOWN,1001-1500,3D,NEW_EXTREME,24,0,0.0
ISOLATED,DOWN,1001-1500,3D,50P_GIVEBACK,24,12,0.5
ISOLATED,DOWN,1001-1500,5D,1S_RECOVERY,24,4,0.16666666666666666
ISOLATED,DOWN,1001-1500,5D,FULL_REVERSAL,24,15,0.625
ISOLATED,DOWN,1001-1500,5D,NEW_EXTREME,24,0,0.0
ISOLATED,DOWN,1001-1500,5D,50P_GIVEBACK,24,12,0.5
