participation,sign,rank_band,horizon,state,n,n_valid,prob,assets
MULTI_BAND,UP,1501-2000,10D,25P_GIVEBACK,2082,5663,0.36764965565954444,1438
MULTI_BAND,UP,1501-2000,10D,50P_GIVEBACK,1480,5663,0.26134557654953205,1134
MULTI_BAND,UP,1501-2000,10D,FULL_REVERSAL,2808,5663,0.49585025604803107,1758
MULTI_BAND,UP,1501-2000,10D,NEW_EXTREME,1203,5663,0.21243157337100477,885
MULTI_BAND,UP,1501-2000,14D,STABILIZED,3010,5670,0.5308641975308642,1717
MULTI_BAND,UP,1501-2000,14D,1S_RECOVERY,1682,5670,0.2966490299823633,1130
MULTI_BAND,UP,1501-2000,14D,25P_GIVEBACK,2069,5670,0.36490299823633154,1447
MULTI_BAND,UP,1501-2000,14D,50P_GIVEBACK,1525,5670,0.2689594356261023,1163
MULTI_BAND,UP,1501-2000,14D,FULL_REVERSAL,2660,5670,0.4691358024691358,1720
MULTI_BAND,UP,1501-2000,14D,NEW_EXTREME,1458,5670,0.2571428571428571,1011
MULTI_BAND,UP,1501-2000,21D,STABILIZED,3122,5673,0.5503261061166931,1719
MULTI_BAND,UP,1501-2000,21D,1S_RECOVERY,1781,5673,0.3139432399083377,1190
MULTI_BAND,UP,1501-2000,21D,25P_GIVEBACK,2078,5673,0.3662964921558258,1456
MULTI_BAND,UP,1501-2000,21D,50P_GIVEBACK,1660,5673,0.2926141371408426,1246
MULTI_BAND,UP,1501-2000,21D,FULL_REVERSAL,2551,5673,0.4496738938833069,1670
MULTI_BAND,UP,1501-2000,21D,NEW_EXTREME,1735,5673,0.30583465538515775,1157
MULTI_BAND,UP,1501-2000,30D,STABILIZED,3187,5665,0.562577228596646,1749
MULTI_BAND,UP,1501-2000,30D,1S_RECOVERY,1827,5665,0.32250661959399823,1192
MULTI_BAND,UP,1501-2000,30D,25P_GIVEBACK,2087,5665,0.3684024713150927,1446
MULTI_BAND,UP,1501-2000,30D,50P_GIVEBACK,1760,5665,0.3106796116504854,1273
MULTI_BAND,UP,1501-2000,30D,FULL_REVERSAL,2478,5665,0.43742277140335395,1612
MULTI_BAND,UP,1501-2000,30D,NEW_EXTREME,1998,5665,0.3526919682259488,1269
MULTI_BAND,UP,501-750,1D,STABILIZED,760,1862,0.40816326530612246,548
MULTI_BAND,UP,501-750,1D,1S_RECOVERY,384,1862,0.20622986036519872,320
MULTI_BAND,UP,501-750,1D,25P_GIVEBACK,506,1862,0.27175080558539205,401
MULTI_BAND,UP,501-750,1D,50P_GIVEBACK,159,1862,0.08539205155746508,140
MULTI_BAND,UP,501-750,1D,FULL_REVERSAL,1102,1862,0.5918367346938775,724
MULTI_BAND,UP,501-750,1D,NEW_EXTREME,82,1862,0.04403866809881848,76
