horizon_d,from_state,to_state,n,p_transition,class,from_total
7,REHABILITATING,LOCALLY_CONFORMING,2,0.4,RARE,5
7,REHABILITATING,PEER_STRESSED,1,0.2,NEAR_ZERO,5
7,REHABILITATING,TRUE_ISOLATED,2,0.4,RARE,5
7,REJOINING,TRUE_ISOLATED,1,1.0,NEAR_ZERO,1
7,REORGANIZING,CONTAGIOUS,2,0.0323,LOCAL,62
7,REORGANIZING,DECOUPLED,38,0.6129,COMMON,62
7,REORGANIZING,LOCALLY_CONFORMING,11,0.1774,COMMON,62
7,REORGANIZING,PEER_STRESSED,5,0.0806,LOCAL,62
7,REORGANIZING,REHABILITATING,1,0.0161,LOCAL,62
7,REORGANIZING,REJOINING,1,0.0161,LOCAL,62
7,REORGANIZING,REORGANIZING,2,0.0323,LOCAL,62
7,REORGANIZING,TRUE_ISOLATED,2,0.0323,LOCAL,62
7,TRUE_ISOLATED,DECOUPLED,3,0.75,RARE,4
7,TRUE_ISOLATED,PEER_STRESSED,1,0.25,NEAR_ZERO,4
