dir,var,entry,sl,tp,pnl,res
SHORT,INITIAL,1.0821,1.0827539999999996,1.08161,-6.5,SL
SHORT,INITIAL,1.0867,1.086726,1.08402,-0.3,SL
SHORT,INITIAL,1.09088,1.0910120000000003,1.08956,-1.3,SL
SHORT,INITIAL,1.08475,1.0849979999999997,1.0836999999999999,-2.5,SL
SHORT,INITIAL,1.0897000000000001,1.0897080000000001,1.08775,-0.1,SL
SHORT,INITIAL,1.09168,1.0922880000000001,1.09121,-6.1,SL
LONG,CASCADE,1.0916,1.0915735999999998,1.09238,-0.3,SL
LONG,INITIAL,1.09072,1.0906400000000005,1.09207,-0.8,SL
SHORT,CASCADE,1.09143,1.0915615999999997,1.09052,-1.3,SL
SHORT,INITIAL,1.08393,1.084532,1.08341,5.2,TP
SHORT,CASCADE,1.0838,1.0841471999999999,1.08324,-3.5,SL
LONG,INITIAL,1.0813,1.0809459999999997,1.0818699999999999,-3.5,SL
SHORT,INITIAL,1.08117,1.081342,1.08,-1.7,SL
SHORT,INITIAL,1.08081,1.0809799999999998,1.07944,-1.7,SL
LONG,INITIAL,1.08083,1.0807520000000002,1.0826,-0.8,SL
LONG,INITIAL,1.07919,1.0789300000000002,1.08003,8.4,TP
LONG,INITIAL,1.1049,1.1047420000000003,1.10582,-1.6,SL
LONG,CASCADE,1.09959,1.0992899999999999,1.10265,-3.0,SL
LONG,INITIAL,1.10305,1.1018819999999998,1.10384,7.9,TP
SHORT,CASCADE,1.10699,1.1072368000000001,1.10596,-2.5,SL
SHORT,INITIAL,1.13762,1.1377380000000001,1.13677,-1.2,SL
LONG,INITIAL,1.1351,1.135086,1.13656,-0.1,SL
SHORT,CASCADE,1.1368,1.1370244,1.13521,15.9,TP
LONG,INITIAL,1.13668,1.1357000000000002,1.1368,1.2,TP
SHORT,INITIAL,1.1335,1.1336979999999999,1.13229,-2.0,SL
LONG,INITIAL,1.13408,1.1337719999999998,1.13507,9.9,TP
LONG,CASCADE,1.13404,1.1338648,1.13494,-1.8,SL
SHORT,INITIAL,1.13373,1.1338879999999998,1.13248,-1.6,SL
SHORT,INITIAL,1.13249,1.1325820000000004,1.13135,-0.9,SL
LONG,CASCADE,1.13159,1.1309611999999998,1.13207,4.8,TP
SHORT,INITIAL,1.12504,1.125044,1.12401,-0.0,SL
SHORT,CASCADE,1.1266,1.1266135999999998,1.12574,8.6,TP
SHORT,INITIAL,1.1229,1.1233839999999995,1.12136,-4.8,SL
LONG,INITIAL,1.12122,1.1209500000000001,1.12249,-2.7,SL
SHORT,INITIAL,1.12076,1.1208640000000003,1.11972,-1.0,SL
SHORT,INITIAL,1.12152,1.1224259999999997,1.12082,7.0,TP
LONG,INITIAL,1.1203,1.1200240000000001,1.12097,-2.8,SL
SHORT,INITIAL,1.13226,1.1325939999999997,1.13167,-3.3,SL
LONG,CASCADE,1.13035,1.1302352,1.13126,9.1,TP
SHORT,CASCADE,1.13231,1.1323347999999998,1.13089,-0.2,SL
LONG,CASCADE,1.13233,1.1321532,1.13385,-1.8,SL
LONG,INITIAL,1.13965,1.1394419999999998,1.14041,-2.1,SL
LONG,INITIAL,1.13296,1.1327840000000002,1.13439,-1.8,SL
LONG,CASCADE,1.13221,1.1320455999999999,1.13302,-1.6,SL
LONG,INITIAL,1.14228,1.142136,1.14317,-1.4,SL
LONG,CASCADE,1.1406,1.1405740000000002,1.14175,-0.3,SL
LONG,INITIAL,1.1521,1.1518759999999995,1.1529099999999999,8.1,TP
LONG,INITIAL,1.15355,1.1535299999999995,1.15485,-0.2,SL
LONG,CASCADE,1.15274,1.1526828,1.15359,-0.6,SL
SHORT,INITIAL,1.15476,1.15501,1.15402,-2.5,SL
LONG,INITIAL,1.16771,1.1675720000000003,1.16887,-1.4,SL
SHORT,CASCADE,1.16921,1.1692132000000002,1.16839,-0.0,SL
SHORT,CASCADE,1.17387,1.1739532000000001,1.17229,15.8,TP
SHORT,INITIAL,1.17121,1.1713319999999996,1.16966,-1.2,SL
SHORT,INITIAL,1.17388,1.175154,1.17357,3.1,TP
SHORT,INITIAL,1.17964,1.1799380000000002,1.17842,-3.0,SL
LONG,INITIAL,1.17807,1.177992,1.17896,-0.8,SL
LONG,CASCADE,1.1769,1.1768736,1.17768,-0.3,SL
LONG,INITIAL,1.17615,1.1761080000000004,1.17778,-0.4,SL
LONG,INITIAL,1.1769,1.1767360000000004,1.17788,9.8,TP
LONG,INITIAL,1.1728,1.1727659999999998,1.17391,-0.3,SL
SHORT,INITIAL,1.16947,1.1697520000000001,1.16819,-2.8,SL
SHORT,CASCADE,1.17027,1.1706623999999999,1.16952,7.5,TP
SHORT,INITIAL,1.16391,1.164088,1.1629,-1.8,SL
LONG,INITIAL,1.1729,1.1727740000000002,1.17372,-1.3,SL
LONG,CASCADE,1.17217,1.1711316000000003,1.17219,-10.4,SL
LONG,INITIAL,1.1436600000000001,1.1435739999999999,1.14463,-0.9,SL
LONG,INITIAL,1.14127,1.140858,1.1421999999999999,-4.1,SL
SHORT,INITIAL,1.14288,1.142996,1.14205,-1.2,SL
SHORT,INITIAL,1.1565,1.1566559999999997,1.15296,-1.6,SL
LONG,INITIAL,1.15666,1.156318,1.15744,7.8,TP
LONG,INITIAL,1.1547399999999999,1.154242,1.15521,4.7,TP
SHORT,INITIAL,1.15529,1.1555339999999996,1.15417,11.2,TP
LONG,INITIAL,1.16692,1.1667079999999999,1.16882,-2.1,SL
SHORT,INITIAL,1.1694,1.1696800000000003,1.1684700000000001,-2.8,SL
SHORT,INITIAL,1.16829,1.1684500000000002,1.16724,-1.6,SL
SHORT,INITIAL,1.17016,1.1709500000000004,1.16941,-7.9,SL
SHORT,INITIAL,1.16459,1.1647059999999998,1.16332,12.7,TP
SHORT,INITIAL,1.16654,1.166568,1.16494,-0.3,SL
SHORT,INITIAL,1.16,1.1602960000000002,1.15924,-3.0,SL
SHORT,INITIAL,1.1654,1.1657440000000001,1.16438,-3.4,SL
LONG,INITIAL,1.15955,1.1594499999999999,1.1611,-1.0,SL
SHORT,INITIAL,1.16773,1.1678640000000002,1.16672,-1.3,SL
SHORT,INITIAL,1.17342,1.1737060000000004,1.17232,11.0,TP
LONG,INITIAL,1.1641,1.1639380000000004,1.16517,10.7,TP
LONG,CASCADE,1.16342,1.1634076,1.16455,-0.1,SL
SHORT,INITIAL,1.16853,1.168582,1.16768,-0.5,SL
SHORT,INITIAL,1.1718899999999999,1.1727500000000002,1.17154,3.5,TP
LONG,INITIAL,1.17276,1.1727379999999998,1.17386,-0.2,SL
SHORT,INITIAL,1.17542,1.1754499999999997,1.17424,-0.3,SL
SHORT,CASCADE,1.17681,1.1770456000000005,1.17592,8.9,TP
LONG,INITIAL,1.1766,1.1763400000000002,1.17744,-2.6,SL
LONG,CASCADE,1.1756,1.1753316000000003,1.17639,7.9,TP
LONG,INITIAL,1.1785700000000001,1.1782159999999995,1.17925,-3.5,SL
SHORT,CASCADE,1.17944,1.1796496,1.17886,-2.1,SL
SHORT,CASCADE,1.18035,1.18037,1.17953,-0.2,SL
SHORT,INITIAL,1.17495,1.1750900000000002,1.17388,-1.4,SL
SHORT,INITIAL,1.1772,1.1773339999999999,1.1763,-1.3,SL
SHORT,CASCADE,1.17658,1.1767107999999997,1.17577,8.1,TP
SHORT,INITIAL,1.17354,1.173634,1.1726,-0.9,SL
LONG,INITIAL,1.17072,1.1704200000000002,1.17174,-3.0,SL
LONG,INITIAL,1.16582,1.1657399999999998,1.16695,-0.8,SL
SHORT,INITIAL,1.1635900000000001,1.1638200000000005,1.1625,-2.3,SL
LONG,INITIAL,1.1568,1.1558840000000001,1.15683,0.3,TP
SHORT,INITIAL,1.17183,1.172002,1.1711,-1.7,SL
LONG,CASCADE,1.17081,1.1703544000000001,1.17148,6.7,TP
LONG,CASCADE,1.1688399999999999,1.1684559999999997,1.1698,-3.8,SL
LONG,INITIAL,1.16521,1.1651679999999998,1.16618,-0.4,SL
LONG,INITIAL,1.15947,1.1593019999999994,1.16071,-1.7,SL
SHORT,INITIAL,1.16381,1.163914,1.16266,-1.0,SL
LONG,INITIAL,1.15555,1.1552719999999999,1.15635,-2.8,SL
LONG,INITIAL,1.1524,1.1521560000000002,1.15341,-2.4,SL
LONG,INITIAL,1.15141,1.151248,1.15215,-1.6,SL
LONG,INITIAL,1.14788,1.1477679999999997,1.14878,-1.1,SL
SHORT,INITIAL,1.15561,1.1556100000000002,1.15385,-0.0,SL
SHORT,INITIAL,1.15804,1.1580640000000002,1.1567,-0.2,SL
SHORT,INITIAL,1.15756,1.157884,1.15663,-3.2,SL
SHORT,CASCADE,1.1601,1.1602843999999999,1.15889,-1.8,SL
LONG,INITIAL,1.1627399999999999,1.16238,1.16337,-3.6,SL
LONG,INITIAL,1.16308,1.1630519999999998,1.1645699999999999,-0.3,SL
LONG,INITIAL,1.15868,1.158638,1.15954,-0.4,SL
LONG,INITIAL,1.1585,1.158468,1.15937,-0.3,SL
SHORT,INITIAL,1.15257,1.153254,1.15222,-6.8,SL
LONG,INITIAL,1.15646,1.1559139999999999,1.15719,7.3,TP
LONG,INITIAL,1.15792,1.1577319999999998,1.15881,-1.9,SL
SHORT,INITIAL,1.15845,1.1585799999999997,1.15682,-1.3,SL
SHORT,INITIAL,1.16311,1.16335,1.16148,-2.4,SL
SHORT,INITIAL,1.1681,1.1681899999999998,1.16709,-0.9,SL
LONG,INITIAL,1.16568,1.1655000000000002,1.1666,-1.8,SL
LONG,INITIAL,1.16358,1.1635360000000003,1.16446,-0.4,SL
SHORT,INITIAL,1.17483,1.1748459999999994,1.17379,-0.2,SL
SHORT,INITIAL,1.17646,1.1765920000000003,1.17558,-1.3,SL
SHORT,CASCADE,1.17792,1.1791675999999995,1.17779,1.3,TP
LONG,INITIAL,1.17099,1.17069,1.17168,-3.0,SL
SHORT,INITIAL,1.17416,1.1742980000000005,1.17267,-1.4,SL
SHORT,INITIAL,1.17546,1.1761060000000003,1.17494,5.2,TP
SHORT,INITIAL,1.17998,1.180094,1.17906,-1.1,SL
SHORT,INITIAL,1.17959,1.1795980000000001,1.17852,-0.1,SL
SHORT,INITIAL,1.17861,1.1787039999999995,1.17756,-0.9,SL
SHORT,INITIAL,1.17685,1.17706,1.17607,-2.1,SL
LONG,INITIAL,1.17293,1.1725059999999998,1.17343,-4.2,SL
LONG,INITIAL,1.17418,1.1736440000000001,1.17503,-5.4,SL
LONG,INITIAL,1.17157,1.1713759999999995,1.17329,-1.9,SL
LONG,INITIAL,1.16773,1.167596,1.16863,-1.3,SL
LONG,INITIAL,1.16326,1.1631320000000005,1.16487,-1.3,SL
SHORT,INITIAL,1.16849,1.1686580000000006,1.1672500000000001,-1.7,SL
LONG,INITIAL,1.16016,1.1598679999999997,1.16132,-2.9,SL
LONG,INITIAL,1.16223,1.161848,1.16275,5.2,TP
SHORT,INITIAL,1.18696,1.187342,1.18644,-3.8,SL
SHORT,INITIAL,1.1942,1.1944240000000002,1.19306,11.4,TP
LONG,INITIAL,1.19138,1.1908759999999998,1.19268,-5.0,SL
SHORT,INITIAL,1.18208,1.1823359999999998,1.18139,-2.6,SL
SHORT,INITIAL,1.18203,1.182186,1.18003,20.0,TP
LONG,INITIAL,1.17901,1.1785639999999997,1.17962,6.1,TP
LONG,INITIAL,1.18943,1.1893560000000005,1.1905000000000001,-0.7,SL
SHORT,INITIAL,1.1871,1.1871139999999998,1.18586,-0.1,SL
LONG,INITIAL,1.18533,1.185086,1.18612,-2.4,SL
LONG,INITIAL,1.17882,1.1786080000000003,1.18006,-2.1,SL
SHORT,INITIAL,1.17591,1.176432,1.17553,-5.2,SL
SHORT,INITIAL,1.17869,1.1790020000000003,1.17799,-3.1,SL
LONG,INITIAL,1.1801599999999999,1.180034,1.18131,-1.3,SL
SHORT,INITIAL,1.18201,1.182272,1.18115,8.6,TP
LONG,INITIAL,1.15907,1.1588759999999998,1.1598,-1.9,SL
LONG,INITIAL,1.15983,1.159556,1.16268,-2.7,SL
