date,direction,entry_price,exit_price,pnl_pips,exit_reason,signal_type,tier
2024-12-04,1,1.05251,1.0519420000000002,-6.179999999999019,sl_80pct_body,signal1,T3
2024-12-04,1,1.05251,1.0519420000000002,-6.179999999999019,sl_80pct_body,signal2,T3
2024-12-06,-1,1.05682,1.0573080000000001,-5.3800000000004395,sl_80pct_body,signal1,T1
2024-12-06,-1,1.05682,1.0573080000000001,-5.3800000000004395,sl_80pct_body,signal2,T1
2024-12-09,1,1.05644,1.055768,-7.220000000000059,sl_80pct_body,signal1,T2
2024-12-09,1,1.05644,1.055768,-7.220000000000059,sl_80pct_body,signal2,T2
2024-12-09,1,1.05628,1.057175,8.449999999998681,tp1_ar25,cascade_2,T2
2024-12-09,1,1.05704,1.0579100000000001,8.200000000001484,tp2_ar50,cascade_3,T2
2024-12-13,1,1.04871,1.0478340000000002,-9.259999999998769,kill_switch_132,signal1,T1
2024-12-13,1,1.04871,1.0478340000000002,-9.259999999998769,kill_switch_132,signal2,T1
2024-12-16,-1,1.05076,1.0501,6.099999999998829,tp1_ar25,signal1,T2
2024-12-16,-1,1.05076,1.04944,12.699999999999878,tp2_ar50,signal2,T2
2024-12-16,-1,1.05018,1.04944,6.899999999999629,tp2_ar50,cascade_2,T2
2024-12-17,-1,1.04814,1.048764,-6.739999999999579,sl_80pct_body,signal1,T3
2024-12-17,-1,1.04814,1.048764,-6.739999999999579,sl_80pct_body,signal2,T3
2024-12-19,1,1.03919,1.0400025,7.624999999998828,tp1_ar25,signal1,T3
2024-12-19,1,1.03919,1.040815,15.749999999999876,tp2_ar50,signal2,T3
2024-12-19,1,1.04002,1.03907,-10.000000000000064,hard_exit_12pm,cascade_2,T3
2024-12-19,1,1.03917,1.03907,-1.4999999999998899,hard_exit_12pm,cascade_3,T3
2024-12-20,-1,1.03556,1.03531,2.000000000000835,tp1_ar25,signal1,T1
2024-12-20,-1,1.03556,1.03506,4.499999999999449,tp2_ar50,signal2,T1
2024-12-24,1,1.04022,1.039612,-6.579999999999419,sl_80pct_body,signal1,T1
2024-12-24,1,1.04022,1.039612,-6.579999999999419,sl_80pct_body,signal2,T1
2024-12-27,1,1.04167,1.041835,1.1499999999997073,tp1_ar25,signal1,T1
2024-12-27,1,1.04167,1.0420000000000003,2.800000000001635,tp2_ar50,signal2,T1
2024-12-27,1,1.04201,1.0422012000000003,1.4120000000016901,kill_switch_132,cascade_2,T1
2024-12-27,1,1.04136,1.0422012000000003,7.9120000000020845,kill_switch_132,cascade_3,T1
2024-12-30,1,1.04353,1.0442775,6.97499999999901,tp1_ar25,signal1,T2
2024-12-30,1,1.04353,1.0450249999999999,14.44999999999802,tp2_ar50,signal2,T2
2024-12-31,1,1.04183,1.041342,-5.3800000000004395,sl_80pct_body,signal1,T1
2024-12-31,1,1.04183,1.041342,-5.3800000000004395,sl_80pct_body,signal2,T1
2024-12-31,1,1.04184,1.042105,2.149999999999597,tp1_ar25,cascade_2,T1
2025-01-03,1,1.02769,1.02793,1.9000000000001798,tp1_ar25,signal1,T1
2025-01-03,1,1.02769,1.0281699999999998,4.299999999998139,tp2_ar50,signal2,T1
2025-01-03,1,1.0286,1.0287071999999997,0.5719999999975194,kill_switch_132,cascade_2,T1
2025-01-03,1,1.02809,1.0287071999999997,5.671999999997624,kill_switch_132,cascade_3,T1
2025-01-09,-1,1.0291,1.02836,6.899999999999629,tp1_ar25,signal1,T2
2025-01-09,-1,1.0291,1.03048,-14.300000000001589,hard_exit_12pm,signal2,T2
2025-01-09,-1,1.02853,1.03048,-20.000000000001183,hard_exit_12pm,cascade_2,T2
2025-01-10,1,1.03033,1.0307925,4.125000000000323,tp1_ar25,signal1,T1
2025-01-10,1,1.03033,1.02473,-56.5000000000005,hard_exit_12pm,signal2,T1
2025-01-10,1,1.03033,1.02473,-56.5000000000005,hard_exit_12pm,cascade_2,T1
2025-01-15,1,1.03064,1.031255,5.650000000000322,tp1_ar25,signal1,T2
2025-01-15,1,1.03064,1.0337771999999998,30.8719999999984,kill_switch_132,signal2,T2
2025-01-15,1,1.03106,1.0337771999999998,26.67199999999753,kill_switch_132,cascade_2,T2
2025-01-15,1,1.03055,1.0337771999999998,31.771999999997632,kill_switch_132,cascade_3,T2
2025-01-16,-1,1.0277,1.0269825,6.675000000001486,tp1_ar25,signal1,T2
2025-01-16,-1,1.0277,1.026265,13.850000000000751,tp2_ar50,signal2,T2
2025-01-16,-1,1.02718,1.026265,8.649999999999991,tp2_ar50,cascade_2,T2
2025-01-16,-1,1.02745,1.02761,-2.0999999999993797,hard_exit_12pm,cascade_3,T2
2025-01-17,-1,1.02839,1.0279525,3.8749999999986855,tp1_ar25,signal1,T1
