rank_lo,rank_hi,width,sign,n,p_rev_7d,gb_med_7d,gb_p75_7d
1375,1424,50,DOWN,705,0.577304964539007,0.10441243622933308,0.7488426800817897
1400,1449,50,UP,1773,0.5798082346305696,0.11464241826191815,0.5692009181115374
1400,1449,50,DOWN,741,0.5519568151147098,0.08286152471389752,0.711100739314897
1425,1474,50,UP,1685,0.5750741839762611,0.11229281424609275,0.5606005804792159
1425,1474,50,DOWN,800,0.5625,0.11703879305992985,0.7553347080461084
1450,1499,50,UP,1737,0.588370754173863,0.11377670558019666,0.555603080843808
1450,1499,50,DOWN,783,0.5747126436781609,0.14856210329828115,0.9052729522809998
1475,1524,50,UP,1779,0.5801011804384486,0.10801121030670559,0.541672237697171
1475,1524,50,DOWN,752,0.5598404255319149,0.12157469510582355,0.8715231491321194
1500,1549,50,UP,1742,0.5683122847301951,0.09680313779042476,0.5238418256452578
1500,1549,50,DOWN,812,0.5800492610837439,0.1548693748735984,0.8613743478329785
1525,1574,50,UP,1842,0.5754614549402823,0.09964695483519018,0.5274759123605007
1525,1574,50,DOWN,794,0.5806045340050378,0.14282008672668264,0.9165095607221452
1550,1599,50,UP,1854,0.5717367853290184,0.10555384368861959,0.5370128673122687
1550,1599,50,DOWN,784,0.5459183673469388,0.06659626078846435,0.8740624089833375
1575,1624,50,UP,1836,0.5659041394335512,0.10345354769631396,0.5381636168545406
1575,1624,50,DOWN,780,0.5256410256410257,0.03343048825005034,0.8142614669313498
1600,1649,50,UP,1843,0.578404774823657,0.11306508092011217,0.5280292647575278
1600,1649,50,DOWN,728,0.5398351648351648,0.04439004938615474,0.8037034564477513
1625,1674,50,UP,1816,0.5969162995594713,0.14011773766902003,0.5361999796695427
1625,1674,50,DOWN,760,0.5526315789473685,0.07678451502503476,0.8507100638336551
1650,1699,50,UP,1829,0.5877528704209951,0.12274718442528175,0.5489102428827979
1650,1699,50,DOWN,827,0.5634824667472793,0.10678402643239385,0.9399374140112302
1675,1724,50,UP,1750,0.564,0.09643067688090115,0.549020992976877
1675,1724,50,DOWN,843,0.571767497034401,0.13718232723849116,0.8723264805569246
1700,1749,50,UP,1747,0.5798511734401832,0.12435117592626013,0.542546165819333
1700,1749,50,DOWN,831,0.5487364620938628,0.07668558509001933,0.8000179236155859
1725,1774,50,UP,1745,0.5805157593123209,0.13182002744417293,0.5467269454241359
1725,1774,50,DOWN,818,0.5513447432762836,0.0936282530545799,0.8118517485236066
1750,1799,50,UP,1613,0.5759454432734036,0.14018217280345152,0.5466302299690788
1750,1799,50,DOWN,825,0.5806060606060606,0.17195189901923918,0.9135950957837465
1775,1824,50,UP,1618,0.5679851668726823,0.09761294486587435,0.5481181455697424
1775,1824,50,DOWN,830,0.5710843373493976,0.1598200307410269,0.8857821808665683
1800,1849,50,UP,1550,0.5458064516129032,0.06939847059683377,0.5823638499455147
1800,1849,50,DOWN,865,0.5710982658959538,0.13748128426290507,0.9276573712732827
1825,1874,50,UP,1438,0.5417246175243393,0.05449813117280129,0.5634871514453341
1825,1874,50,DOWN,933,0.5980707395498392,0.1929993565879839,1.0829415747416036
1850,1899,50,UP,1368,0.5153508771929824,0.028604073952037446,0.5203675546871419
1850,1899,50,DOWN,954,0.6058700209643606,0.19322737684651597,0.9851482028746439
1875,1924,50,UP,1242,0.49597423510466987,0.0009911957589948722,0.5021730439313138
1875,1924,50,DOWN,962,0.579002079002079,0.10907437034038259,0.9819000299355708
1900,1949,50,UP,1061,0.5230914231856739,0.029316933450470314,0.5274219658517576
1900,1949,50,DOWN,1032,0.5959302325581395,0.16824151951646857,1.167870642996562
1925,1974,50,UP,889,0.5016872890888638,0.011846628446844575,0.6127340021651866
1925,1974,50,DOWN,1133,0.6425419240953222,0.27824922443940575,1.3793980462316948
1950,1999,50,UP,839,0.43504171632896305,0.0,0.6322142810348705
1950,1999,50,DOWN,1519,0.6761026991441738,0.34346016824289693,1.631245277086114
1975,2024,50,UP,438,0.410958904109589,0.0,0.5948322859240494
1975,2024,50,DOWN,997,0.6810431293881645,0.35517713868000717,1.6216048201193587
2000,2049,50,DOWN,59,0.559322033898305,0.132588435799792,1.0731621430883398
450,549,100,UP,2113,0.6876478939895883,0.20356168089124932,0.593121309575898
450,549,100,DOWN,538,0.42193308550185876,0.0,0.3053158430164581
500,599,100,UP,3666,0.6606655755591926,0.19153288666055823,0.5971663119512156
500,599,100,DOWN,1021,0.4701273261508325,0.0,0.48851684388583927
550,649,100,UP,3246,0.604128157732594,0.15317694820642966,0.6010550198493141
550,649,100,DOWN,1070,0.5467289719626168,0.06662546822102719,0.6156752602015163
600,699,100,UP,3410,0.5868035190615836,0.13268704186396033,0.6000022834687851
600,699,100,DOWN,1228,0.5561889250814332,0.09625517737578915,0.624374399397993
650,749,100,UP,3400,0.5938235294117648,0.13127141333423248,0.5738272804488075
650,749,100,DOWN,1301,0.5564950038431975,0.10817272375918847,0.6820202044559827
700,799,100,UP,3403,0.5921245959447546,0.1225631481193475,0.5681635957537703
700,799,100,DOWN,1327,0.5689525244913338,0.12742769981055685,0.7269107691144365
750,849,100,UP,3403,0.5938877461063767,0.12681166289734425,0.5781582080195689
750,849,100,DOWN,1346,0.5534918276374443,0.10021807357828443,0.6638996101120109
800,899,100,UP,3414,0.5981253661394259,0.14959867346685246,0.5809041587858387
800,899,100,DOWN,1405,0.5302491103202847,0.04448277442503425,0.6058163245636491
850,949,100,UP,3582,0.5879396984924623,0.13170529944666565,0.5694429500472953
850,949,100,DOWN,1447,0.5286800276434002,0.03133221123338557,0.6328038800718638
900,999,100,UP,3678,0.5802066340402393,0.11412168643068761,0.5708371657586598
900,999,100,DOWN,1459,0.5421521590130226,0.07809222558347603,0.7050563743310847
950,1049,100,UP,3543,0.5732430143945809,0.1081572061851715,0.5690717604376339
950,1049,100,DOWN,1463,0.5748462064251538,0.1503818569934669,0.7582466376217383
1000,1099,100,UP,3496,0.5749427917620137,0.11757234673056269,0.5605815343301799
1000,1099,100,DOWN,1464,0.5724043715846995,0.12204857376382369,0.7531503252483233
1050,1149,100,UP,3632,0.5817731277533039,0.12949793835567736,0.565629624754826
1050,1149,100,DOWN,1409,0.5706174591909156,0.11502210373331681,0.7489473747993177
1100,1199,100,UP,3594,0.5795770728992766,0.12788473095563369,0.5560177878045215
1100,1199,100,DOWN,1382,0.581041968162084,0.15105654474746855,0.7782535504495575
1150,1249,100,UP,3574,0.5738668158925574,0.11010936048815764,0.5252293455530965
1150,1249,100,DOWN,1451,0.5623707787732598,0.11772907342063496,0.7771236012894529
1200,1299,100,UP,3672,0.5773420479302832,0.10103453757166073,0.5143634176789804
1200,1299,100,DOWN,1507,0.5713337757133378,0.1169124584468796,0.7701074275017475
1250,1349,100,UP,3648,0.5860745614035088,0.10702144244661987,0.5230002921045454
1250,1349,100,DOWN,1508,0.5603448275862069,0.09520932949180215,0.7505191865635649
1300,1399,100,UP,3670,0.580108991825613,0.09775587477026976,0.5309827074114447
1300,1399,100,DOWN,1450,0.5482758620689655,0.07747478160297741,0.738064579745784
1350,1449,100,UP,3635,0.5752407152682256,0.10100350000655979,0.5544786345353894
1350,1449,100,DOWN,1451,0.5568573397656789,0.0882994401284022,0.7319332003124226
1400,1499,100,UP,3510,0.584045584045584,0.11448472677121299,0.5605005962608212
1400,1499,100,DOWN,1524,0.5636482939632546,0.1165631820929174,0.7977075871066898
1450,1549,100,UP,3479,0.5783271054900834,0.10644560868719143,0.538418004025187
1450,1549,100,DOWN,1595,0.5774294670846395,0.15271032645417223,0.8789217083174058
1500,1599,100,UP,3596,0.5700778642936596,0.10129371242799848,0.5338392569415524
1500,1599,100,DOWN,1596,0.5632832080200502,0.11007452629150652,0.8644202036227363
1550,1649,100,UP,3697,0.575060860156884,0.10817590410281545,0.5336190417794897
1550,1649,100,DOWN,1512,0.542989417989418,0.057858789870086864,0.8389765930619271
1600,1699,100,UP,3672,0.5830610021786492,0.11822239942805554,0.5404394871879458
1600,1699,100,DOWN,1555,0.5524115755627009,0.07678451502503476,0.846847969783002
1650,1749,100,UP,3576,0.5838926174496645,0.12366153960735489,0.546630938037795
1650,1749,100,DOWN,1658,0.5560916767189384,0.08571360311135094,0.8564557414221898
1700,1799,100,UP,3360,0.5779761904761904,0.1279146260048847,0.5462981058939761
1700,1799,100,DOWN,1656,0.5646135265700483,0.13080604023448483,0.8564858256521439
1750,1849,100,UP,3163,0.5611760986405312,0.0994985399626563,0.5646588361318153
1750,1849,100,DOWN,1690,0.5757396449704142,0.15937485296504428,0.9212882552053665
1800,1899,100,UP,2918,0.5315284441398218,0.049248467584527215,0.5498899791996604
1800,1899,100,DOWN,1819,0.5893347993402969,0.16262650751178317,0.9763121186069331
1850,1949,100,UP,2429,0.5187319884726225,0.02905166533894125,0.5223665996006873
1850,1949,100,DOWN,1986,0.6007049345417925,0.17313708383412163,1.0605693020175149
1900,1999,100,UP,1900,0.4842105263157895,0.0,0.5547606695024121
1900,1999,100,DOWN,2551,0.6436691493531949,0.27185030929540505,1.4302089183904014
1950,2049,100,UP,861,0.4343786295005807,0.0,0.632719474490931
1950,2049,100,DOWN,1578,0.6717363751584284,0.33806992705477834,1.6163530228659526
2000,2099,100,DOWN,59,0.559322033898305,0.132588435799792,1.0731621430883398
450,649,200,UP,5359,0.63705915282702,0.17760364487922511,0.59756504635204
450,649,200,DOWN,1608,0.5049751243781094,0.0020356005790994978,0.5293400770811022
550,749,200,UP,6646,0.5988564550105326,0.1442291801115642,0.5854876329119434
550,749,200,DOWN,2371,0.552087726697596,0.09077248494179738,0.6453871645737145
650,849,200,UP,6803,0.5938556519182714,0.12925101691474156,0.5761738109965502
650,849,200,DOWN,2647,0.5549678881752927,0.1017343641560029,0.6751495650214927
750,949,200,UP,6985,0.5908375089477451,0.12938000897553453,0.5749655346116948
750,949,200,DOWN,2793,0.5406373075546008,0.06936637411189728,0.6498963673301985
850,1049,200,UP,7125,0.5806315789473684,0.12128514099406569,0.5694401167491192
850,1049,200,DOWN,2910,0.5518900343642612,0.08406460482849809,0.7030955817586872
950,1149,200,UP,7175,0.577560975609756,0.12255302826611257,0.5674639199742062
950,1149,200,DOWN,2872,0.5727715877437326,0.13695591611880784,0.7529269488523157
1050,1249,200,UP,7206,0.5778517901748543,0.1211447476955373,0.5477409045466739
1050,1249,200,DOWN,2860,0.5664335664335665,0.11683948664119828,0.7584118469526975
1150,1349,200,UP,7222,0.5800332317917475,0.10818929933219684,0.5237143503258637
1150,1349,200,DOWN,2959,0.5613382899628253,0.10685506829872324,0.7592766283095085
1250,1449,200,UP,7283,0.5806673074282576,0.1031320856235536,0.5396658599298333
1250,1449,200,DOWN,2959,0.5586346738763096,0.0909720564523227,0.742007103789062
1350,1549,200,UP,7114,0.5767500702839471,0.10327970998663145,0.5452809254219626
1350,1549,200,DOWN,3046,0.5676296782665792,0.12278157535097334,0.8061478898196736
1450,1649,200,UP,7176,0.576644370122631,0.10748584222451099,0.5361267077127536
1450,1649,200,DOWN,3107,0.5606694560669456,0.10532924885151357,0.8593386235925979
1550,1749,200,UP,7273,0.5794032723772858,0.11517114632149492,0.5400689224042056
1550,1749,200,DOWN,3170,0.5498422712933754,0.07107144035619331,0.8442229629415285
1650,1849,200,UP,6739,0.5732304496216056,0.11189592346217202,0.554921307224222
1650,1849,200,DOWN,3348,0.5660095579450418,0.12134683257887731,0.8998561491082802
1750,1949,200,UP,5592,0.5427396280400573,0.06733908204163877,0.5460025477741548
1750,1949,200,DOWN,3676,0.5892274211099021,0.1663232231228608,0.9996182597661243
1850,2049,200,UP,3290,0.4966565349544073,0.003380255125513384,0.5332592560288054
1850,2049,200,DOWN,3564,0.6321548821548821,0.24550684929136352,1.288482476287578
1950,2149,200,UP,861,0.4343786295005807,0.0,0.632719474490931
1950,2149,200,DOWN,1578,0.6717363751584284,0.33806992705477834,1.6163530228659526
