purge_d,rank_band,sign,n_raw,n_purged,unique_assets,horizon,p_rev,gb_med
30D,501-750,DOWN,2920,2331,1107,7D,0.5062205062205062,0.006597532716196602
30D,501-750,DOWN,2920,2331,1107,14D,0.510939510939511,0.02513012454068674
30D,751-1000,UP,8810,6347,2498,3D,0.6199779423349614,0.13242457954322398
30D,751-1000,UP,8810,6347,2498,7D,0.5969749487947061,0.13783715272699584
30D,751-1000,UP,8810,6347,2498,14D,0.5667244367417678,0.1293525836254018
30D,751-1000,DOWN,3533,2806,1478,3D,0.5630791161796151,0.07183998855132051
30D,751-1000,DOWN,3533,2806,1478,7D,0.5367070563079116,0.06937919034359036
30D,751-1000,DOWN,3533,2806,1478,14D,0.5516749821810406,0.10463038080846634
30D,1001-1500,UP,17919,11998,3637,3D,0.6171028504750792,0.12592402029932986
30D,1001-1500,UP,17919,11998,3637,7D,0.5909318219703283,0.1266753946255193
30D,1001-1500,UP,17919,11998,3637,14D,0.5562593765627605,0.10430934773853026
30D,1001-1500,DOWN,7307,5578,2492,3D,0.5756543564001434,0.08330507403972094
30D,1001-1500,DOWN,7307,5578,2492,7D,0.5666905700968089,0.09928815068842584
30D,1001-1500,DOWN,7307,5578,2492,14D,0.5711724632484761,0.17700401541102925
30D,1501-2000,UP,15396,10455,3606,3D,0.6023912003825921,0.10207763832730755
30D,1501-2000,UP,15396,10455,3606,7D,0.5623146819703491,0.09751033121649134
30D,1501-2000,UP,15396,10455,3606,14D,0.5161166905786705,0.0337968359187941
30D,1501-2000,DOWN,9212,7068,3147,3D,0.5850311262026033,0.09516901550732768
30D,1501-2000,DOWN,9212,7068,3147,7D,0.5814940577249575,0.14242442868211863
30D,1501-2000,DOWN,9212,7068,3147,14D,0.5986134691567628,0.2826097086872084
