rank_band,sector,n_assets,n_obs,n_events_ge3s,p_ge3s,baseline_band_ge3s,lift_ge3s,med_z,p95_z,up_med_z,dn_med_z,up_pge2s,dn_pge2s,rev7_p,fwd7_med_sig,momenta_mode
501-750,centralized-exchange,18,2684,46,0.019409282700421943,0.02135313681716707,-0.0019438541167451258,0.4564743489170187,2.1343702416181447,0.49368323960886157,0.4143045274648017,0.06976744186046512,0.04073482428115016,0.5182563338301043,-0.20868933657312197,SHORT_COLD_MEDIUM_COLD
501-750,coinbase-ventures-portfolio,7,495,8,0.019704433497536946,0.02135313681716707,-0.0016487033196301223,0.4218998610955932,2.2514558039088084,0.4163411270007479,0.4218998610955932,0.0979381443298969,0.0330188679245283,0.5070707070707071,-0.3387047127076922,SHORT_HOT_MEDIUM_HOT
501-750,collectibles-nfts,173,33658,684,0.022633268257172164,0.02135313681716707,0.0012801314400050952,0.44145029218799253,2.1152164612515736,0.45745305278813864,0.4380119086145088,0.07869386598668367,0.038408085912823756,0.4912056569017767,-0.2628565485092529,SHORT_COLD_MEDIUM_COLD
501-750,commodities,6,486,19,0.05080213903743316,0.02135313681716707,0.02944900222026609,0.47461779922589004,3.042493578369608,0.5459349606776432,0.38292895230895696,0.13488372093023257,0.05660377358490566,0.43415637860082307,0.8467042570305714,SHORT_HOT_MEDIUM_HOT
501-750,communications-social-media,32,3691,79,0.0249920911104081,0.02135313681716707,0.003638954293241032,0.401417367293978,2.078110439471811,0.4101051628943434,0.3977749736461095,0.08008356545961003,0.03304347826086956,0.48794364670820917,-0.5768242242983914,SHORT_COLD_MEDIUM_COLD
501-750,cosmos,40,9250,194,0.023013048635824436,0.02135313681716707,0.0016599118186573676,0.439475135662542,2.1787450004089792,0.4489726293466592,0.4318349553834573,0.07920298879202989,0.04326160815402039,0.49102702702702705,-0.2790138795456895,SHORT_COLD_MEDIUM_COLD
501-750,cybersecurity,14,5349,125,0.02428127428127428,0.02135313681716707,0.002928137464107212,0.4561666055721035,2.2021804051369345,0.4549402118859058,0.45666093979528655,0.08478605388272584,0.040396341463414635,0.50233688539914,-0.16875076355207316,SHORT_COLD_MEDIUM_COLD
501-750,dag,10,1858,41,0.02363112391930836,0.02135313681716707,0.0022779871021412906,0.4479034048820762,2.1129100926097326,0.5080662287043479,0.4448618891942816,0.07891637220259129,0.04342581423401689,0.4714747039827772,-0.08969703748470718,SHORT_COLD_MEDIUM_COLD
501-750,dao,19,3934,80,0.02185195301830101,0.02135313681716707,0.000498816201133942,0.4018064164875199,2.0253398095276385,0.4104432570526189,0.3937644509187458,0.061461794019933555,0.04385489983757444,0.5236400610066091,-0.11094335517706191,SHORT_COLD_MEDIUM_COLD
501-750,decentralized-exchange,33,3803,79,0.02503961965134707,0.02135313681716707,0.0036864828341800007,0.38434194681307154,2.0613059922314347,0.36054726711075036,0.40875281860377743,0.07010309278350516,0.03588235294117647,0.4785695503549829,-0.34246902907542315,SHORT_COLD_MEDIUM_COLD
501-750,decentralized-exchange-dex-token,47,10082,188,0.02059145673603505,0.02135313681716707,-0.0007616800811320185,0.45195619588513947,2.048544117108057,0.46092632914539994,0.4431231476913852,0.06831728564878496,0.03882476390346275,0.5009918666931165,-0.24841251007699997,SHORT_COLD_MEDIUM_COLD
501-750,defi,452,65745,1302,0.02266515797719558,0.02135313681716707,0.0013120211600285113,0.4293261954197711,2.0795273040013726,0.4374260789069261,0.428226025886317,0.06889904326717121,0.04131919420707643,0.502943189596167,-0.12807333401473806,SHORT_COLD_MEDIUM_COLD
501-750,derivatives,5,576,12,0.024390243902439025,0.02135313681716707,0.003037107085271957,0.5471846403033078,2.07700641626993,0.5652057963527766,0.5408300085794377,0.08403361344537816,0.031496062992125984,0.5295138888888888,-0.3689426951743453,SHORT_COLD_MEDIUM_COLD
501-750,distributed-computing,41,5507,101,0.02118732955737361,0.02135313681716707,-0.00016580725979345803,0.4353375689378328,2.094390687874518,0.44157116096646276,0.4272453868522923,0.08329581269698334,0.032992930086410056,0.4960958779734883,-0.4088172887134762,SHORT_COLD_MEDIUM_COLD
501-750,dpos,14,1981,42,0.025594149908592323,0.02135313681716707,0.004241013091425255,0.41696644306873587,2.150973622634158,0.41330160239723746,0.422275230966841,0.08560311284046693,0.034482758620689655,0.5017667844522968,-0.27194097351450597,SHORT_COLD_MEDIUM_COLD
501-750,dwf-labs-portfolio,13,1231,28,0.02422145328719723,0.02135313681716707,0.0028683164700301633,0.4536878544344553,2.267398522377504,0.4648125531910666,0.45655248253902775,0.09090909090909091,0.044905008635578586,0.5085296506904955,-0.0483069072720489,SHORT_HOT_MEDIUM_HOT
501-750,education,11,1494,20,0.016286644951140065,0.02135313681716707,-0.005066491866027003,0.39986293302379156,1.9290948613781576,0.4109165230992464,0.3914795339244217,0.06112054329371817,0.03129890453834116,0.5207496653279786,-0.20649281684995346,SHORT_COLD_MEDIUM_COLD
501-750,energy,11,1845,37,0.022397094430992737,0.02135313681716707,0.001043957613825669,0.3934092045568246,2.217075941171768,0.3989220983356227,0.39738715798718377,0.08031088082901554,0.04267589388696655,0.5056910569105691,-0.20745367738175702,SHORT_COLD_MEDIUM_COLD
501-750,enterprise-solutions,17,838,13,0.02,0.02135313681716707,-0.001353136817167068,0.49658530818085117,1.9952759872594679,0.5379735582930982,0.4673981791755851,0.06440677966101695,0.03943661971830986,0.5023866348448688,-0.5128603657263368,SHORT_COLD_MEDIUM_COLD
501-750,ethereum,204,19480,368,0.021793201468672273,0.02135313681716707,0.0004400646515052044,0.41286027699554495,2.045673518772805,0.4108933763475061,0.4275839118672691,0.07099314198628397,0.037398005439709885,0.4937371663244353,-0.31951157911341055,SHORT_COLD_MEDIUM_COLD
501-750,events,4,1067,22,0.02208835341365462,0.02135313681716707,0.0007352165964875507,0.4855358754025557,2.127199541398824,0.4944350868340448,0.47881238070396454,0.07543520309477757,0.037578288100208766,0.5238987816307404,-0.17398271380052133,SHORT_COLD_MEDIUM_COLD
501-750,exnetwork-capital-portfolio,11,1324,25,0.020833333333333332,0.02135313681716707,-0.0005198034838337362,0.46346220746946454,2.1069472334701715,0.4918176834682958,0.42817788778902877,0.07011070110701106,0.044072948328267476,0.4871601208459215,-0.452725758477066,SHORT_COLD_MEDIUM_COLD
501-750,fan-token,15,1987,38,0.022498519834221433,0.02135313681716707,0.0011453830170543647,0.3561385739161873,2.066915987093094,0.36555737358362517,0.3499685633922187,0.06581986143187067,0.041312272174969626,0.49320583794665324,-0.07316213943363799,SHORT_HOT_MEDIUM_HOT
501-750,fantom,4,606,14,0.026022304832713755,0.02135313681716707,0.004669168015546687,0.4482591193401466,2.00013592399784,0.48676896803303515,0.4190429838029991,0.07539682539682539,0.027972027972027972,0.4636963696369637,-0.5539953809394669,SHORT_COLD_MEDIUM_COLD
501-750,filesharing,5,657,20,0.032467532467532464,0.02135313681716707,0.011114395650365396,0.47131240877095487,2.363997295657758,0.47816803581932904,0.4682036262567032,0.10714285714285714,0.032467532467532464,0.54337899543379,-0.37483589252132365,SHORT_COLD_MEDIUM_COLD
501-750,gambling,26,2105,51,0.026785714285714284,0.02135313681716707,0.005432577468547216,0.45905904198976444,2.198050700063493,0.48800072507980463,0.43988601497451635,0.07938144329896907,0.0417558886509636,0.49263657957244655,-0.1786833622106868,SHORT_HOT_MEDIUM_HOT
501-750,gaming,86,9847,169,0.020759120501166933,0.02135313681716707,-0.0005940163160001351,0.4452062424447495,2.0637099108268253,0.45260678206572874,0.43573363932450493,0.07422680412371134,0.03406954887218045,0.5005585457499746,-0.33732663224780657,SHORT_COLD_MEDIUM_COLD
501-750,hardware,6,1695,33,0.02186878727634195,0.02135313681716707,0.0005156504591748816,0.3966575532889494,2.06683104417603,0.42763730581751846,0.3798234631378079,0.07248520710059171,0.03721488595438175,0.4766961651917404,-0.2976421268049105,SHORT_COLD_MEDIUM_COLD
501-750,health,13,2184,61,0.031186094069529654,0.02135313681716707,0.009832957252362585,0.40489200822300553,2.4358734445166244,0.3822333224373735,0.41854159244108036,0.08751334044823907,0.045142296368989206,0.5164835164835165,-0.12132739643037178,SHORT_COLD_MEDIUM_COLD
501-750,hospitality,5,1103,18,0.017324350336862367,0.02135313681716707,-0.004028786480304702,0.5341404306139453,1.9876748518776874,0.5610280983995768,0.5092575241027656,0.04981549815498155,0.0482897384305835,0.5004533091568449,0.02267893734901236,SHORT_HOT_MEDIUM_HOT
501-750,hybrid-pow-pos,15,892,26,0.03350515463917526,0.02135313681716707,0.012152017822008188,0.39751254677555314,2.6070838974156616,0.4813494245509631,0.34655935681094563,0.125,0.04591836734693878,0.5123318385650224,0.026077630557739647,SHORT_HOT_MEDIUM_HOT
501-750,identity,7,619,18,0.037578288100208766,0.02135313681716707,0.016225151283041698,0.4063686224010163,2.383412159963305,0.46702029270135825,0.38721058959151333,0.11711711711711711,0.06614785992217899,0.42487883683360256,-0.7157512507346429,SHORT_COLD_MEDIUM_COLD
501-750,insurance,8,1217,23,0.023138832997987926,0.02135313681716707,0.001785696180820858,0.39778864634201705,2.0072324699777853,0.39624470193021666,0.4005961689307311,0.0640176600441501,0.038817005545286505,0.48890714872637636,-0.2730936589764732,SHORT_COLD_MEDIUM_COLD
501-750,interoperability,24,3369,53,0.018460466736328805,0.02135313681716707,-0.002892670080838263,0.4877771996248178,2.015590688048031,0.4920520345650459,0.4860898917165659,0.07158836689038031,0.03398692810457516,0.4965865241911546,-0.3519720367955678,SHORT_COLD_MEDIUM_COLD
501-750,iot,13,1561,27,0.018907563025210083,0.02135313681716707,-0.0024455737919569856,0.4196349326136193,2.0260386824342884,0.43947758943294823,0.3931692674162318,0.06456456456456457,0.04199475065616798,0.5016015374759769,-0.17750678329338299,SHORT_COLD_MEDIUM_COLD
501-750,launchpad,10,742,18,0.03076923076923077,0.02135313681716707,0.009416093952063703,0.4887749702988144,2.320195383679798,0.5633235562691582,0.4334040320041054,0.10830324909747292,0.03896103896103896,0.4811320754716981,-0.3217619356753082,SHORT_COLD_MEDIUM_COLD
501-750,layer-1,15,1119,22,0.02564102564102564,0.02135313681716707,0.004287888823858572,0.40553386430331095,1.9574842670424673,0.34944864285936267,0.42644151160840027,0.06835443037974684,0.02591792656587473,0.49508489722966936,-0.4145210822048648,SHORT_COLD_MEDIUM_COLD
501-750,lending-borowing,3,359,10,0.03125,0.02135313681716707,0.009896863182832932,0.47720619814919363,2.3683989087075106,0.47720619814919363,0.47836117531038597,0.09722222222222222,0.05113636363636364,0.48746518105849584,-0.304172117532589,SHORT_COLD_MEDIUM_COLD
501-750,logistics,11,2555,45,0.019313304721030045,0.02135313681716707,-0.002039832096137024,0.41525868554409207,2.0700649385132244,0.42119197747697956,0.4084767656459015,0.07487091222030981,0.0351027397260274,0.5135029354207437,-0.08285064420322624,SHORT_COLD_MEDIUM_COLD
501-750,marketing,14,2928,55,0.020468924451060664,0.02135313681716707,-0.0008842123661064044,0.438329505062321,2.0802702052567383,0.45728815763214337,0.4207330239088684,0.07348484848484849,0.03730797366495977,0.5150273224043715,-0.17451221352145455,SHORT_COLD_MEDIUM_COLD
501-750,marketplace,92,17782,419,0.02607667413492656,0.02135313681716707,0.004723537317759492,0.4399212002786832,2.1977747294570675,0.4606807657601123,0.4263594636144332,0.08246894608784736,0.040655339805825245,0.5131031380047238,-0.08496020066379875,SHORT_COLD_MEDIUM_COLD
501-750,masternodes,7,313,9,0.028938906752411574,0.02135313681716707,0.007585769935244506,0.4597884043931152,2.4846144533687653,0.4231919415882178,0.5188146573449386,0.10119047619047619,0.06338028169014084,0.48881789137380194,-0.5431884330587712,SHORT_HOT_MEDIUM_HOT
501-750,media,45,12539,324,0.028049519522119298,0.02135313681716707,0.006696382704952229,0.4353355319567559,2.217307346456386,0.43715572775655914,0.4365631294936779,0.07825026141512723,0.04899930986887509,0.5045059414626366,-0.03094291369252606,SHORT_COLD_MEDIUM_COLD
501-750,medium-of-exchange,27,5886,128,0.0243531202435312,0.02135313681716707,0.0029999834263641327,0.41764452730146817,2.1610785803458405,0.4431000759395199,0.4278631772850196,0.07761662093296746,0.04301916308173641,0.5275229357798165,-0.07111403478730792,SHORT_COLD_MEDIUM_COLD
501-750,memes,291,21106,323,0.022720877884074283,0.02135313681716707,0.0013677410669072146,0.38838716478019525,2.1132220597688347,0.520473779848768,0.45216769213021146,0.10711210607887033,0.026033690658499236,0.4208755804036767,-0.21959385254624594,SHORT_COLD_MEDIUM_COLD
501-750,metaverse,9,1111,25,0.02759381898454746,0.02135313681716707,0.006240682167380392,0.41473093744448797,2.2985073681031,0.42248185380305586,0.4214367699943646,0.10208816705336426,0.03624733475479744,0.5004500450045004,-0.17205520341942154,SHORT_COLD_MEDIUM_COLD
501-750,mineable,197,30518,757,0.027986247181041812,0.02135313681716707,0.006633110363874744,0.43021737536359717,2.2866540468868717,0.4550852867227473,0.4190019082957512,0.09350273889227023,0.04145645974994516,0.5052100399764073,-0.13567431891383613,SHORT_COLD_MEDIUM_COLD
501-750,music,4,738,17,0.025449101796407185,0.02135313681716707,0.004095964979240117,0.4445031313781689,2.2325592194735675,0.4492785559127543,0.44013087866756956,0.10726643598615918,0.029023746701846966,0.48509485094850946,-0.46050776743572447,SHORT_COLD_MEDIUM_COLD
501-750,optimism,4,744,24,0.034139402560455195,0.02135313681716707,0.012786265743288127,0.5502546947606732,2.4818303220082596,0.6131752589503279,0.48124253789148497,0.11572700296735905,0.040983606557377046,0.47446236559139787,-0.2804850281620921,SHORT_COLD_MEDIUM_COLD
501-750,oracles,11,687,3,0.0071090047393364926,0.02135313681716707,-0.014244132077830575,0.3701634876876766,1.761072781103055,0.458939226634332,0.30762011474626044,0.06532663316582915,0.004484304932735426,0.5254730713245997,-0.026285016761633244,SHORT_COLD_MEDIUM_COLD
501-750,osmosis,4,449,8,0.021798365122615803,0.02135313681716707,0.00044522830544873465,0.4814358951169638,1.9506781888821518,0.46090601959599753,0.4988904941177964,0.07909604519774012,0.021052631578947368,0.5367483296213809,-0.02784594207324998,SHORT_COLD_MEDIUM_COLD
501-750,payments,29,1103,30,0.02967359050445104,0.02135313681716707,0.008320453687283971,0.361427731096327,2.320601169587331,0.3673005233211928,0.3608598214251582,0.10173160173160173,0.045787545787545784,0.49773345421577514,-0.2828102750147302,SHORT_COLD_MEDIUM_COLD
501-750,platform,169,30945,704,0.025620496397117692,0.02135313681716707,0.004267359579950624,0.4480248484299481,2.1878647124619977,0.4686925367059235,0.43263702277620397,0.08012986054748027,0.041222254251945804,0.5057036677977056,-0.07870989518973531,SHORT_COLD_MEDIUM_COLD
501-750,polkadot,14,1931,39,0.021727019498607242,0.02135313681716707,0.0003738826814401741,0.45695623309974626,2.1689246147958565,0.45933901942549205,0.45255024299310775,0.07953216374269007,0.043617021276595745,0.49611600207146556,-0.30664697374274724,SHORT_COLD_MEDIUM_COLD
501-750,polkastarter,11,472,5,0.015479876160990712,0.02135313681716707,-0.005873260656176356,0.4160801015898345,1.5826054846270514,0.45462883614412,0.38381823799669323,0.055944055944055944,0.016666666666666666,0.4766949152542373,-0.5144511227554917,SHORT_COLD_MEDIUM_COLD
501-750,polygon,20,1719,49,0.031921824104234525,0.02135313681716707,0.010568687287067457,0.3575161241179069,2.320799103085762,0.33733950716153926,0.3914981505730832,0.08136482939632546,0.06477732793522267,0.5264688772542175,-0.00943124031083057,SHORT_HOT_MEDIUM_HOT
501-750,pos,33,4859,111,0.0249438202247191,0.02135313681716707,0.003590683407552031,0.41125360511353337,2.1610282702267702,0.44194902422677074,0.4066163568712532,0.08256029684601113,0.03913630229419703,0.49536941757563285,-0.13552155358539883,SHORT_COLD_MEDIUM_COLD
501-750,pow,18,1653,33,0.021753460777851022,0.02135313681716707,0.00040032396068395357,0.36110542889774266,2.044763675218362,0.38225687684656845,0.34992164906449696,0.08862629246676514,0.02142857142857143,0.4863883847549909,-0.39852715934472355,SHORT_COLD_MEDIUM_COLD
501-750,prediction-markets,3,778,17,0.023743016759776536,0.02135313681716707,0.002389879942609467,0.37494580603031663,1.937410852692571,0.39318912156166685,0.369976859775036,0.049689440993788817,0.04568527918781726,0.4755784061696658,-0.3411756018239521,SHORT_COLD_MEDIUM_COLD
501-750,privacy,39,3863,88,0.026490066225165563,0.02135313681716707,0.0051369294079984945,0.4063526504960512,2.184081517997564,0.4058498046280949,0.4094466082914093,0.09016949152542372,0.03735787763941527,0.4996117007507119,-0.3991169703791248,SHORT_COLD_MEDIUM_COLD
501-750,real-estate,10,2080,38,0.019689119170984457,0.02135313681716707,-0.0016640176461826112,0.5138059845252578,2.120777291093742,0.5370162650802563,0.500412011464829,0.08577633007600434,0.031714568880079286,0.5052884615384615,-0.3115593609776447,SHORT_COLD_MEDIUM_COLD
501-750,real-world-assets,6,658,13,0.021241830065359478,0.02135313681716707,-0.00011130675180759039,0.4686467143208635,2.287811482210216,0.5607660793445248,0.4340111543408826,0.12454212454212454,0.017699115044247787,0.5045592705167173,-0.4038062691719825,SHORT_COLD_MEDIUM_COLD
501-750,retail,3,996,21,0.022340425531914895,0.02135313681716707,0.0009872887147478263,0.44644848872870524,2.2232392975740516,0.44367752766575785,0.46037334315573447,0.07847082494969819,0.03917050691244239,0.5271084337349398,0.01615166998148601,SHORT_HOT_MEDIUM_HOT
501-750,scaling,9,1547,27,0.019940915805022157,0.02135313681716707,-0.0014122210121449118,0.44336062522324904,2.1021515098799006,0.44355953927753244,0.44229056175749093,0.06542056074766354,0.0449438202247191,0.48028442146089206,-0.1844390847958483,SHORT_COLD_MEDIUM_COLD
501-750,services,41,8750,185,0.023858653598142893,0.02135313681716707,0.002505516780975825,0.4310060067946075,2.1838777323800898,0.45033056172967795,0.41346139575070867,0.08578947368421053,0.037262357414448666,0.5145142857142857,-0.015994824710832568,SHORT_COLD_MEDIUM_COLD
501-750,smart-contracts,23,775,14,0.023931623931623933,0.02135313681716707,0.002578487114456865,0.3606116435776247,1.9143337184555225,0.3251102454809402,0.37557341138389844,0.06896551724137931,0.021604938271604937,0.4864516129032258,-0.3883000829885672,SHORT_COLD_MEDIUM_COLD
501-750,solana,70,4631,95,0.026199669056811915,0.02135313681716707,0.004846532239644846,0.38740272356154015,2.1513539868651645,0.42445070111349054,0.36830443646242383,0.08735491753207086,0.03186022610483042,0.48240120924206437,-0.3744865154190218,SHORT_COLD_MEDIUM_COLD
501-750,sports,22,6005,160,0.027387880862718247,0.02135313681716707,0.006034744045551179,0.38966069486323945,2.2598817469536017,0.3896069125803831,0.39029330823220243,0.07336304422351732,0.055726495726495726,0.49059117402164865,-0.1820675395178773,SHORT_COLD_MEDIUM_COLD
501-750,stablecoin,45,7846,206,0.0290304396843292,0.02135313681716707,0.007677302867162131,0.4032466251097673,2.284117151093416,0.4115807941592772,0.4206003727838053,0.07646559048428207,0.06422551583841907,0.5391282182003568,0.00039808024153106607,SHORT_HOT_MEDIUM_HOT
501-750,staking,7,450,10,0.023809523809523808,0.02135313681716707,0.00245638699235674,0.4030908099694409,2.1930045069802517,0.38352788395721565,0.4202823762803426,0.06467661691542288,0.0410958904109589,0.4777777777777778,-0.5250017683009723,SHORT_COLD_MEDIUM_COLD
501-750,store-of-value,11,1861,53,0.031323877068557916,0.02135313681716707,0.009970740251390848,0.361987804870308,2.488020154946078,0.36494040219899504,0.3515982599242912,0.06339712918660287,0.0689252336448598,0.5615260612573885,-0.022681511276928405,SHORT_COLD_MEDIUM_COLD
501-750,substrate,4,588,7,0.016241299303944315,0.02135313681716707,-0.0051118375132227535,0.5200159886698843,1.9663897714808236,0.5637694929283241,0.507931823079641,0.06565656565656566,0.034334763948497854,0.467687074829932,-0.8546679433737506,SHORT_COLD_MEDIUM_COLD
501-750,tokenized-stock,8,1816,37,0.020521353300055462,0.02135313681716707,-0.0008317835171116061,0.2703000275367954,1.9129727915875214,0.2585925567142774,0.2918655684749731,0.04396728016359918,0.0475609756097561,0.5055066079295154,0.16555236931628572,SHORT_HOT_MEDIUM_HOT
501-750,vr-ar,14,2866,67,0.02494415487714073,0.02135313681716707,0.003591018059973663,0.44525088614563113,2.2294795030563592,0.4793430282079037,0.4262284728736306,0.08073541167066348,0.0445993031358885,0.5094207955338451,-0.2460265181190933,SHORT_COLD_MEDIUM_COLD
501-750,wallet,8,1668,38,0.02664796633941094,0.02135313681716707,0.005294829522243871,0.44879075330354196,2.3921006759177996,0.4517241770617488,0.44260425412978,0.09115646258503401,0.050724637681159424,0.4754196642685851,-0.263483156443988,SHORT_COLD_MEDIUM_COLD
501-750,yield-farming,17,1671,18,0.012596221133659902,0.02135313681716707,-0.008756915683507166,0.4082877530991613,2.0664019750353124,0.4073573453290608,0.40935316542234756,0.07174231332357248,0.040214477211796246,0.5080789946140036,-0.33067577321873914,SHORT_COLD_MEDIUM_COLD
501-750,zero-knowledge-proofs,16,1263,28,0.026615969581749048,0.02135313681716707,0.00526283276458198,0.43422945738372387,2.129772361732697,0.4391521985382459,0.43014218127283854,0.08686868686868687,0.04332129963898917,0.5162311955661124,-0.31223364930879377,SHORT_COLD_MEDIUM_COLD
501-750,nan,1164,87651,2046,0.03099295614633038,0.02135313681716707,0.009639819329163312,0.377480344911617,2.3177013304447467,0.40318493140918643,0.3617816239311169,0.09304259447472975,0.039643330521749606,0.5026982008191578,-0.0837520696243884,SHORT_COLD_MEDIUM_COLD
751-1000,ai-big-data,232,22445,418,0.01980104216011369,0.022520634041063928,-0.0027195918809502367,0.477168212614309,2.0834361291522994,0.47117793859769525,0.4839912810948448,0.08311303796129851,0.034361005856011026,0.4974381822232123,-0.2981292495382996,SHORT_COLD_MEDIUM_COLD
751-1000,algorand,5,673,13,0.020700636942675158,0.022520634041063928,-0.0018199970983887696,0.1962084664424486,1.7967877524307163,0.17142281085346062,0.21861310682748453,0.041237113402061855,0.03927492447129909,0.48291233283803864,-0.1029682349068393,SHORT_COLD_MEDIUM_COLD
751-1000,arbitrum,7,342,13,0.04,0.022520634041063928,0.017479365958936073,0.42923450156296966,2.489964998211223,0.3525276788547851,0.4646561084367452,0.07575757575757576,0.08808290155440414,0.4444444444444444,-0.5332111637507493,SHORT_COLD_MEDIUM_COLD
751-1000,art,10,472,3,0.00946372239747634,0.022520634041063928,-0.013056911643587587,0.3871542054438273,1.7523625953678441,0.3767011791850842,0.4620866718856693,0.020689655172413793,0.03488372093023256,0.4427966101694915,-0.41878554569154214,SHORT_COLD_MEDIUM_COLD
751-1000,asset-management,58,8167,182,0.023803295840962593,0.022520634041063928,0.0012826617998986656,0.428447396331063,2.1247928175366426,0.42486014042043596,0.4325744290047146,0.07830832196452933,0.03769791404875597,0.5052038692298274,-0.07886494630912193,SHORT_COLD_MEDIUM_COLD
751-1000,avalanche,15,1292,28,0.02348993288590604,0.022520634041063928,0.0009692988448421133,0.32277449775719913,1.935350270352927,0.3150173485793306,0.32440483341619425,0.07370517928286853,0.030434782608695653,0.48374613003095973,-0.35156117897724715,SHORT_COLD_MEDIUM_COLD
751-1000,base,22,835,18,0.02857142857142857,0.022520634041063928,0.006050794530364643,0.37846442433499206,2.1999957319219448,0.3916982108217625,0.37846442433499206,0.10566037735849057,0.03296703296703297,0.49820359281437127,-0.40344139232661425,SHORT_COLD_MEDIUM_COLD
751-1000,binance-chain,18,1115,37,0.036669970267591674,0.022520634041063928,0.014149336226527746,0.331958036794259,2.5221218572405437,0.34135433356404254,0.3278312170176114,0.09368635437881874,0.05405405405405406,0.4744394618834081,-0.003239441924359684,SHORT_COLD_MEDIUM_COLD
751-1000,binance-labs-portfolio,4,428,9,0.022113022113022112,0.022520634041063928,-0.0004076119280418157,0.42708911979657854,2.244082511576182,0.38183753460574454,0.46339853519401014,0.09693877551020408,0.04265402843601896,0.5116822429906542,-0.22018581054026168,SHORT_COLD_MEDIUM_COLD
751-1000,binance-launchpad,4,731,20,0.027359781121751026,0.022520634041063928,0.004839147080687098,0.5088515485983818,2.3072618197528962,0.4499850422799574,0.5532073087414348,0.07837837837837838,0.07479224376731301,0.533515731874145,0.28074363828756077,SHORT_COLD_MEDIUM_COLD
