lens,rank_band,label,n,mean,std,tstat,pvalue,sig_bh5
sector,1001-1500,bounce-launchpad,953,-inf,,,,False
sector,1001-1500,bullperks-launchpad,498,-inf,,,,False
sector,1001-1500,cardano,1500,-inf,,,,False
sector,1001-1500,centralized-exchange,3568,-inf,,,,False
sector,1001-1500,coinbase-ventures-portfolio,366,-inf,,,,False
sector,1001-1500,collectibles-nfts,67233,-inf,,,,False
sector,1001-1500,commodities,812,-inf,,,,False
sector,1001-1500,communications-social-media,8774,-inf,,,,False
sector,1001-1500,content-creation,595,-inf,,,,False
sector,1001-1500,cosmos,7413,-inf,,,,False
sector,1001-1500,cronos,937,-inf,,,,False
sector,1001-1500,crowdfunding,1310,-inf,,,,False
sector,1001-1500,cybersecurity,3500,-inf,,,,False
sector,1001-1500,dag,2572,-inf,,,,False
sector,1001-1500,dao,6567,-inf,,,,False
sector,1001-1500,dao-maker,374,-inf,,,,False
sector,1001-1500,dapp,313,-inf,,,,False
sector,1001-1500,decentralized-exchange,4990,-inf,,,,False
sector,1001-1500,decentralized-exchange-dex-token,11503,-inf,,,,False
sector,1001-1500,defi,81221,-inf,,,,False
sector,1001-1500,derivatives,531,-inf,,,,False
sector,1001-1500,distributed-computing,6217,-inf,,,,False
sector,1001-1500,dpos,3126,-inf,,,,False
sector,1001-1500,duckstarter,782,-inf,,,,False
sector,1001-1500,dwf-labs-portfolio,2294,-inf,,,,False
sector,1001-1500,e-commerce,547,-inf,,,,False
sector,1001-1500,education,2265,-inf,,,,False
sector,1001-1500,energy,2533,-inf,,,,False
sector,1001-1500,enterprise-solutions,851,-inf,,,,False
sector,1001-1500,entertainment,805,-inf,,,,False
sector,1001-1500,ethereum,44486,-inf,,,,False
sector,1001-1500,events,1821,-inf,,,,False
sector,1001-1500,exnetwork-capital-portfolio,1563,-inf,,,,False
sector,1001-1500,fan-token,5179,-inf,,,,False
sector,1001-1500,fantom,1600,-inf,,,,False
sector,1001-1500,ferrum-network,936,-inf,,,,False
sector,1001-1500,filesharing,853,-inf,,,,False
sector,1001-1500,food-beverage,406,-inf,,,,False
sector,1001-1500,gambling,7133,-inf,,,,False
sector,1001-1500,gaming,20809,-inf,,,,False
sector,1001-1500,hardware,1019,-inf,,,,False
sector,1001-1500,health,5879,-inf,,,,False
sector,1001-1500,hospitality,770,-inf,,,,False
sector,1001-1500,hybrid-pos-lpos,465,-inf,,,,False
sector,1001-1500,hybrid-pos-pop,315,-inf,,,,False
sector,1001-1500,hybrid-pow-pos,4534,-inf,,,,False
sector,1001-1500,identity,914,-inf,,,,False
sector,1001-1500,insurance,2453,-inf,,,,False
sector,1001-1500,interoperability,1913,-inf,,,,False
sector,1001-1500,iot,1857,-inf,,,,False
sector,1001-1500,iotex,385,-inf,,,,False
sector,1001-1500,klaytn,1857,-inf,,,,False
sector,1001-1500,kommunitas-launchpad,672,-inf,,,,False
sector,1001-1500,launchpad,6847,-inf,,,,False
sector,1001-1500,layer-1,1230,-inf,,,,False
sector,1001-1500,layer-2,510,-inf,,,,False
sector,1001-1500,logistics,2588,-inf,,,,False
sector,1001-1500,loyalty,351,-inf,,,,False
sector,1001-1500,manufacturing,733,-inf,,,,False
sector,1001-1500,marketing,2600,-inf,,,,False
sector,1001-1500,marketplace,22533,-inf,,,,False
sector,1001-1500,masternodes,3008,-inf,,,,False
sector,1001-1500,media,7004,-inf,,,,False
sector,1001-1500,medium-of-exchange,4651,-inf,,,,False
sector,1001-1500,memes,43300,-inf,,,,False
sector,1001-1500,metaverse,1790,-inf,,,,False
sector,1001-1500,meverse,499,-inf,,,,False
sector,1001-1500,mineable,85793,-inf,,,,False
sector,1001-1500,music,969,-inf,,,,False
sector,1001-1500,mvb,457,-inf,,,,False
sector,1001-1500,near-protocol,405,-inf,,,,False
sector,1001-1500,okex-blockdream-ventures-portfolio,1474,-inf,,,,False
sector,1001-1500,optimism,388,-inf,,,,False
sector,1001-1500,oracles,4026,-inf,,,,False
sector,1001-1500,osmosis,463,-inf,,,,False
sector,1001-1500,payments,4436,-inf,,,,False
sector,1001-1500,philanthropy,1162,-inf,,,,False
sector,1001-1500,platform,45282,-inf,,,,False
sector,1001-1500,play-to-earn,834,-inf,,,,False
sector,1001-1500,poi,325,-inf,,,,False
sector,1001-1500,polkadot,3733,-inf,,,,False
sector,1001-1500,polkastarter,3954,-inf,,,,False
sector,1001-1500,polygon,4674,-inf,,,,False
sector,1001-1500,pos,9768,-inf,,,,False
sector,1001-1500,posign,444,-inf,,,,False
sector,1001-1500,pow,3728,-inf,,,,False
sector,1001-1500,prediction-markets,1042,-inf,,,,False
sector,1001-1500,privacy,6035,-inf,,,,False
sector,1001-1500,quantum-resistant,387,-inf,,,,False
sector,1001-1500,real-estate,5383,-inf,,,,False
sector,1001-1500,real-world-assets,2069,-inf,,,,False
sector,1001-1500,rebase,567,-inf,,,,False
sector,1001-1500,rehypothecated-crypto,590,-inf,,,,False
sector,1001-1500,scaling,769,-inf,,,,False
sector,1001-1500,sei,330,-inf,,,,False
sector,1001-1500,services,12445,-inf,,,,False
sector,1001-1500,smart-contracts,695,-inf,,,,False
sector,1001-1500,social-money,688,-inf,,,,False
sector,1001-1500,social-token,732,-inf,,,,False
sector,1001-1500,solana,9915,-inf,,,,False
sector,1001-1500,spartan-group,657,-inf,,,,False
sector,1001-1500,sports,22017,-inf,,,,False
sector,1001-1500,stablecoin,8632,-inf,,,,False
sector,1001-1500,staking,1072,-inf,,,,False
sector,1001-1500,storage,713,-inf,,,,False
sector,1001-1500,store-of-value,2457,-inf,,,,False
sector,1001-1500,substrate,1645,-inf,,,,False
sector,1001-1500,sui,713,-inf,,,,False
sector,1001-1500,superstarter,428,-inf,,,,False
sector,1001-1500,telegram-bot,456,-inf,,,,False
sector,1001-1500,tokenized-gold,874,-inf,,,,False
sector,1001-1500,tokenized-stock,579,-inf,,,,False
sector,1001-1500,toncoin,636,-inf,,,,False
sector,1001-1500,tourism,402,-inf,,,,False
sector,1001-1500,transport,1047,-inf,,,,False
sector,1001-1500,tron,833,-inf,,,,False
sector,1001-1500,tron20,472,-inf,,,,False
sector,1001-1500,trustswap-launchpad,854,-inf,,,,False
sector,1001-1500,vbc-ventures-portfolio,484,-inf,,,,False
sector,1001-1500,vr-ar,4849,-inf,,,,False
sector,1001-1500,wallet,597,-inf,,,,False
sector,1001-1500,web3,956,-inf,,,,False
sector,1001-1500,xdc,323,-inf,,,,False
sector,1001-1500,xrp,340,-inf,,,,False
sector,1001-1500,yield-farming,2688,-inf,,,,False
sector,1001-1500,zero-knowledge-proofs,1117,-inf,,,,False
sector,1501-2000,adult,352,-inf,,,,False
sector,1501-2000,ai-big-data,32987,-inf,,,,False
sector,1501-2000,alameda-research-portfolio,433,-inf,,,,False
sector,1501-2000,algorand,513,-inf,,,,False
sector,1501-2000,analytics,573,-inf,,,,False
sector,1501-2000,aptos,390,-inf,,,,False
sector,1501-2000,arbitrum,1062,-inf,,,,False
sector,1501-2000,arbitrum-ecosytem,852,-inf,,,,False
sector,1501-2000,art,2621,-inf,,,,False
sector,1501-2000,asset-management,13985,-inf,,,,False
sector,1501-2000,avalanche,3656,-inf,,,,False
sector,1501-2000,base,1755,-inf,,,,False
sector,1501-2000,binance-chain,1660,-inf,,,,False
sector,1501-2000,binance-labs-portfolio,307,-inf,,,,False
sector,1501-2000,binance-smart-chain,8631,-inf,,,,False
sector,1501-2000,bnb-chain,26020,-inf,,,,False
sector,1501-2000,cardano,671,-inf,,,,False
sector,1501-2000,centralized-exchange,3294,-inf,,,,False
sector,1501-2000,coinbase-ventures-portfolio,308,-inf,,,,False
sector,1501-2000,collectibles-nfts,60012,-inf,,,,False
sector,1501-2000,commodities,941,-inf,,,,False
sector,1501-2000,communications-social-media,6581,-inf,,,,False
sector,1501-2000,content-creation,1078,-inf,,,,False
sector,1501-2000,cosmos,7212,-inf,,,,False
sector,1501-2000,crowdfunding,1474,-inf,,,,False
sector,1501-2000,cybersecurity,3336,-inf,,,,False
sector,1501-2000,dag,1042,-inf,,,,False
sector,1501-2000,dao,2924,-inf,,,,False
sector,1501-2000,dao-maker,1162,-inf,,,,False
sector,1501-2000,dapp,662,-inf,,,,False
sector,1501-2000,decentralized-exchange,2079,-inf,,,,False
sector,1501-2000,decentralized-exchange-dex-token,7873,-inf,,,,False
sector,1501-2000,defi,67932,-inf,,,,False
sector,1501-2000,defi-index,339,-inf,,,,False
sector,1501-2000,derivatives,706,-inf,,,,False
sector,1501-2000,distributed-computing,3918,-inf,,,,False
sector,1501-2000,dpos,3537,-inf,,,,False
sector,1501-2000,duckstarter,623,-inf,,,,False
sector,1501-2000,dwf-labs-portfolio,1865,-inf,,,,False
sector,1501-2000,education,2271,-inf,,,,False
sector,1501-2000,energy,2936,-inf,,,,False
sector,1501-2000,enterprise-solutions,381,-inf,,,,False
sector,1501-2000,entertainment,1265,-inf,,,,False
sector,1501-2000,ethereum,39134,-inf,,,,False
sector,1501-2000,events,945,-inf,,,,False
sector,1501-2000,exnetwork-capital-portfolio,958,-inf,,,,False
sector,1501-2000,fan-token,4201,-inf,,,,False
sector,1501-2000,fantom,598,-inf,,,,False
sector,1501-2000,fashion,626,-inf,,,,False
sector,1501-2000,filesharing,302,-inf,,,,False
sector,1501-2000,food-beverage,590,-inf,,,,False
sector,1501-2000,gambling,6546,-inf,,,,False
sector,1501-2000,gaming,23272,-inf,,,,False
sector,1501-2000,hardware,944,-inf,,,,False
sector,1501-2000,health,4410,-inf,,,,False
sector,1501-2000,heco,546,-inf,,,,False
sector,1501-2000,hospitality,1116,-inf,,,,False
sector,1501-2000,hybrid-pow-npos,309,-inf,,,,False
sector,1501-2000,hybrid-pow-pos,6498,-inf,,,,False
sector,1501-2000,icp,787,-inf,,,,False
sector,1501-2000,injective,816,-inf,,,,False
sector,1501-2000,insurance,2100,-inf,,,,False
sector,1501-2000,interoperability,860,-inf,,,,False
sector,1501-2000,iot,1826,-inf,,,,False
sector,1501-2000,iotex,565,-inf,,,,False
sector,1501-2000,jobs,415,-inf,,,,False
sector,1501-2000,klaytn,1718,-inf,,,,False
sector,1501-2000,kommunitas-launchpad,623,-inf,,,,False
sector,1501-2000,launchpad,6218,-inf,,,,False
sector,1501-2000,launchzone,584,-inf,,,,False
sector,1501-2000,layer-1,1216,-inf,,,,False
sector,1501-2000,logistics,2018,-inf,,,,False
sector,1501-2000,loyalty,850,-inf,,,,False
sector,1501-2000,marketing,5463,-inf,,,,False
sector,1501-2000,marketplace,22782,-inf,,,,False
sector,1501-2000,masternodes,3261,-inf,,,,False
sector,1501-2000,media,9610,-inf,,,,False
sector,1501-2000,medium-of-exchange,5208,-inf,,,,False
sector,1501-2000,memes,50328,-inf,,,,False
sector,1501-2000,metaverse,1705,-inf,,,,False
sector,1501-2000,mineable,108113,-inf,,,,False
sector,1501-2000,move-to-earn,720,-inf,,,,False
sector,1501-2000,music,688,-inf,,,,False
sector,1501-2000,mvb,919,-inf,,,,False
sector,1501-2000,okex-blockdream-ventures-portfolio,480,-inf,,,,False
sector,1501-2000,okx-ventures-portfolio,403,-inf,,,,False
sector,1501-2000,olympus-pro,655,-inf,,,,False
sector,1501-2000,optimism,627,-inf,,,,False
sector,1501-2000,oracles,3491,-inf,,,,False
sector,1501-2000,osmosis,500,-inf,,,,False
sector,1501-2000,oxbull,306,-inf,,,,False
sector,1501-2000,payments,3155,-inf,,,,False
sector,1501-2000,philanthropy,1074,-inf,,,,False
sector,1501-2000,platform,35629,-inf,,,,False
sector,1501-2000,play-to-earn,846,-inf,,,,False
sector,1501-2000,polkadot,4137,-inf,,,,False
sector,1501-2000,polkastarter,2551,-inf,,,,False
sector,1501-2000,polygon,5582,-inf,,,,False
sector,1501-2000,pos,9994,-inf,,,,False
sector,1501-2000,posign,731,-inf,,,,False
sector,1501-2000,pow,3930,-inf,,,,False
sector,1501-2000,prediction-markets,1234,-inf,,,,False
sector,1501-2000,privacy,3311,-inf,,,,False
sector,1501-2000,quantum-resistant,548,-inf,,,,False
sector,1501-2000,real-estate,3951,-inf,,,,False
sector,1501-2000,real-world-assets,664,-inf,,,,False
sector,1501-2000,real-world-assets-protocols,512,-inf,,,,False
sector,1501-2000,rebase,1876,-inf,,,,False
sector,1501-2000,rehypothecated-crypto,609,-inf,,,,False
sector,1501-2000,retail,851,-inf,,,,False
sector,1501-2000,scaling,300,-inf,,,,False
sector,1501-2000,scrypt,553,-inf,,,,False
sector,1501-2000,services,7348,-inf,,,,False
sector,1501-2000,skyvision-capital-portfolio,406,-inf,,,,False
sector,1501-2000,smart-contracts,890,-inf,,,,False
sector,1501-2000,social-money,895,-inf,,,,False
sector,1501-2000,solana,9344,-inf,,,,False
sector,1501-2000,sports,22217,-inf,,,,False
sector,1501-2000,stablecoin,3673,-inf,,,,False
sector,1501-2000,staking,1923,-inf,,,,False
sector,1501-2000,stellar,315,-inf,,,,False
sector,1501-2000,store-of-value,1029,-inf,,,,False
sector,1501-2000,substrate,938,-inf,,,,False
sector,1501-2000,sui,544,-inf,,,,False
sector,1501-2000,superstarter,491,-inf,,,,False
sector,1501-2000,telegram-bot,601,-inf,,,,False
sector,1501-2000,toncoin,1017,-inf,,,,False
sector,1501-2000,tourism,362,-inf,,,,False
sector,1501-2000,transport,607,-inf,,,,False
sector,1501-2000,tron,728,-inf,,,,False
sector,1501-2000,trustswap-launchpad,1224,-inf,,,,False
sector,1501-2000,vbc-ventures-portfolio,1494,-inf,,,,False
sector,1501-2000,velas,448,-inf,,,,False
sector,1501-2000,vr-ar,4294,-inf,,,,False
sector,1501-2000,web3,308,-inf,,,,False
sector,1501-2000,wrapped-tokens,488,-inf,,,,False
sector,1501-2000,xrp,410,-inf,,,,False
sector,1501-2000,yield-aggregator,732,-inf,,,,False
sector,1501-2000,yield-farming,4150,-inf,,,,False
sector,1501-2000,zero-knowledge-proofs,489,-inf,,,,False
chain,501-750,,93661,-inf,,,,False
chain,501-750,-,4418,-inf,,,,False
chain,501-750,A,405,-inf,,,,False
chain,501-750,ADA,1777,-inf,,,,False
chain,501-750,ARB,2639,-inf,,,,False
chain,501-750,AVAX,2163,-inf,,,,False
chain,501-750,BLAST,380,-inf,,,,False
chain,501-750,BNB,47845,-inf,,,,False
chain,501-750,BTC,632,-inf,,,,False
chain,501-750,CELO,1225,-inf,,,,False
chain,501-750,CRO,321,-inf,,,,False
chain,501-750,ETH,265796,-inf,,,,False
chain,501-750,GRAM,780,-inf,,,,False
chain,501-750,HBAR,637,-inf,,,,False
chain,501-750,KAIA,2517,-inf,,,,False
chain,501-750,MTL,348,-inf,,,,False
chain,501-750,NEO,1908,-inf,,,,False
chain,501-750,ONT,680,-inf,,,,False
chain,501-750,OP,554,-inf,,,,False
chain,501-750,OSMO,984,-inf,,,,False
chain,501-750,POL,4292,-inf,,,,False
chain,501-750,SDN,610,-inf,,,,False
chain,501-750,SOL,24463,-inf,,,,False
chain,501-750,SUI,1704,-inf,,,,False
chain,501-750,TAO,335,-inf,,,,False
chain,501-750,TRX,1252,-inf,,,,False
chain,501-750,XDC,601,-inf,,,,False
chain,501-750,XLM,1016,-inf,,,,False
chain,501-750,XRP,531,-inf,,,,False
chain,751-1000,,100827,-inf,,,,False
chain,751-1000,-,5227,-inf,,,,False
chain,751-1000,A,938,-inf,,,,False
chain,751-1000,ADA,1681,-inf,,,,False
chain,751-1000,ALGO,393,-inf,,,,False
chain,751-1000,ARB,2255,-inf,,,,False
chain,751-1000,ARBITRUM,439,-inf,,,,False
chain,751-1000,AVAX,2773,-inf,,,,False
chain,751-1000,BNB,54623,-inf,,,,False
chain,751-1000,BTC,553,-inf,,,,False
chain,751-1000,CELO,342,-inf,,,,False
chain,751-1000,CRO,1057,-inf,,,,False
chain,751-1000,DOT,395,-inf,,,,False
chain,751-1000,EGLD,402,-inf,,,,False
chain,751-1000,ETH,271024,-inf,,,,False
chain,751-1000,FTM,437,-inf,,,,False
chain,751-1000,GRAM,1275,-inf,,,,False
chain,751-1000,HBAR,457,-inf,,,,False
chain,751-1000,ICP,942,-inf,,,,False
chain,751-1000,KAIA,4512,-inf,,,,False
chain,751-1000,NEO,1814,-inf,,,,False
chain,751-1000,OP,441,-inf,,,,False
chain,751-1000,OSMO,1423,-inf,,,,False
chain,751-1000,POL,5326,-inf,,,,False
chain,751-1000,SOL,32761,-inf,,,,False
chain,751-1000,SUI,2055,-inf,,,,False
chain,751-1000,TRX,1518,-inf,,,,False
chain,751-1000,XDC,1313,-inf,,,,False
chain,751-1000,XLM,1068,-inf,,,,False
chain,1001-1500,,210706,-inf,,,,False
