lens,value,rank_band,n,n_assets,p_ge1s,p_ge2s,p_ge3s,p_ge4s,med_z,p90_z,p95_z,p99_z,baseline_ge3s,zstat,pvalue,sig_bh5,lift_ge3s
chain,SUI,1001-1500,3388,21,0.20808736717827628,0.05460448642266824,0.021841794569067298,0.011216056670602124,0.441899852912265,1.5500682784973767,2.0543098670475373,4.2505849060781316,0.023030417945931754,-0.461,0.6446282749783325,False,-0.001188623376864456
chain,TRX,1001-1500,4411,32,0.18023124008161415,0.05644978462933575,0.02493765586034913,0.01586941736567672,0.3104978670170295,1.4752380119067554,2.161041658943822,5.180779918086729,0.023030417945931754,0.844,0.3984092709946149,False,0.0019072379144173743
chain,VET,1001-1500,365,1,0.2136986301369863,0.04657534246575343,0.0027397260273972603,0.0,0.47134952849818956,1.5229033307498634,1.9831963506624903,2.744325032218538,0.023030417945931754,-2.584,0.009756184300755493,True,-0.020290691918534495
chain,WAN,1001-1500,771,1,0.26459143968871596,0.06614785992217899,0.020752269779507133,0.011673151750972763,0.5447240026534657,1.6647467693206737,2.337097520128162,4.044637411084308,0.023030417945931754,-0.422,0.6732339930779223,False,-0.0022781481664246213
chain,WAVES,1001-1500,782,2,0.22634271099744246,0.0639386189258312,0.029411764705882353,0.014066496163682864,0.41546609276256274,1.6121536563571799,2.236531482962874,4.353603008783995,0.023030417945931754,1.19,0.23417851184731198,False,0.0063813467599505985
chain,XDC,1001-1500,892,4,0.22869955156950672,0.05717488789237668,0.026905829596412557,0.010089686098654708,0.4532098064615439,1.5391915880013176,2.142164801367173,3.73323356578134,0.023030417945931754,0.772,0.4403338819964254,False,0.0038754116504808034
chain,XLM,1001-1500,402,4,0.17164179104477612,0.05223880597014925,0.014925373134328358,0.009950248756218905,0.3995325791432953,1.3370712346164837,2.010586224284009,3.928540644021138,0.023030417945931754,-1.083,0.2786439926636436,False,-0.008105044811603396
chain,XPR,1001-1500,287,1,0.23344947735191637,0.05226480836236934,0.027874564459930314,0.006968641114982578,0.5204820612037925,1.5730089285582733,2.0050939643235832,3.5579507016388323,0.023030417945931754,0.547,0.5843099691434328,False,0.0048441465139985596
chain,XRP,1001-1500,1112,6,0.20953237410071943,0.053057553956834536,0.019784172661870502,0.008992805755395683,0.4667682430881891,1.490906522390716,2.0432833053563115,3.668305528074507,0.023030417945931754,-0.722,0.47049366841179474,False,-0.003246245284061252
chain,XTZ,1001-1500,285,1,0.18947368421052632,0.05964912280701754,0.028070175438596492,0.010526315789473684,0.2981420089872951,1.5304705547117778,2.1497222128953317,3.987026795047419,0.023030417945931754,0.567,0.5705743898579168,False,0.005039757492664738
chain,ZK,1001-1500,970,6,0.22371134020618558,0.060824742268041236,0.02268041237113402,0.010309278350515464,0.45386957304698994,1.6131049170838816,2.1604358540188437,3.9598849290492244,0.023030417945931754,-0.073,0.942066826036649,False,-0.00035000557479773417
chain,,1501-2000,226309,1155,0.19282043577586397,0.061177416717850375,0.025893800069816047,0.013857159900843538,0.32712211311314243,1.5327197987060248,2.2060192270266494,4.638434764642914,0.02247902167737205,10.959,6.031554749334559e-28,True,0.0034147783924439977
chain,-,1501-2000,11602,128,0.19781072228926047,0.05369763833821755,0.021720393035683502,0.011032580589553526,0.409218249000529,1.4836562875157349,2.062041256743598,4.078601001353265,0.02247902167737205,-0.551,0.5814663829330529,False,-0.0007586286416885468
chain,A,1501-2000,2905,19,0.16419965576592083,0.058519793459552494,0.024440619621342512,0.013769363166953529,0.26234187589004576,1.4187962727502217,2.155357373048184,5.072097410441113,0.02247902167737205,0.713,0.4757017001316115,False,0.0019615979439704632
chain,ADA,1501-2000,2063,9,0.22636936500242366,0.04701890450799806,0.02084343189529811,0.010179350460494426,0.4512247473712933,1.5042382231807003,1.9510453516781419,4.0191987474850945,0.02247902167737205,-0.501,0.6162618881997589,False,-0.0016355897820739401
chain,ALGO,1501-2000,500,2,0.246,0.072,0.03,0.014,0.42618023763715085,1.5722792968231298,2.297792435492815,4.263894173531521,0.02247902167737205,1.135,0.25658148690199556,False,0.00752097832262795
chain,APT,1501-2000,540,7,0.2351851851851852,0.05740740740740741,0.012962962962962963,0.007407407407407408,0.47633817804090267,1.5466776193239589,2.1739381540174096,3.492080785392444,0.02247902167737205,-1.492,0.13575911103070748,False,-0.009516058714409087
chain,ARB,1501-2000,4742,65,0.2123576549978912,0.07380851961197807,0.03121045972163644,0.015394348376212568,0.37905602138389616,1.644938923004226,2.408356098429465,4.694978321047512,0.02247902167737205,4.056,4.9886636320153954e-05,True,0.008731438044264392
chain,ARBITRUM,1501-2000,474,2,0.14978902953586498,0.0759493670886076,0.035864978902953586,0.014767932489451477,0.33892798127080925,1.4246114144510855,2.556401182315091,5.602110965674926,0.02247902167737205,1.966,0.04929686202840139,False,0.013385957225581537
chain,AVAX,1501-2000,5403,27,0.20840273921895244,0.059966685174902834,0.025171201184527113,0.013325930038867296,0.3947221231133596,1.5846086926729237,2.187789896656686,4.2861164792838835,0.02247902167737205,1.335,0.1818879306904888,False,0.002692179507155064
chain,BITCI,1501-2000,669,3,0.23617339312406577,0.07922272047832586,0.04633781763826607,0.02242152466367713,0.45225937089982166,1.721067233037759,2.754710943038697,5.604163799475166,0.02247902167737205,4.163,3.140481936376975e-05,True,0.02385879596089402
chain,BLAST,1501-2000,205,3,0.15609756097560976,0.04390243902439024,0.01951219512195122,0.00975609756097561,0.3146246765661498,1.1550001289039755,1.802306421950093,3.6726896335880808,0.02247902167737205,-0.287,0.7744483497170201,False,-0.0029668265554208297
chain,BNB,1501-2000,129533,855,0.1962048281132993,0.058340345703411484,0.024047926011132297,0.013239869376915535,0.3743212543574633,1.5150970426492705,2.1523891789439484,4.568887619632775,0.02247902167737205,3.809,0.00013941145283024464,True,0.001568904333760248
