rank_band,sign,amplitude,n_events,unique_assets,horizon,p_rev,gb_med,gb_p75,cont_prob,cont_amp_sig,fwd_med_sig
501-750,UP,nan,24590,2834,1D,0.6179747864985766,0.14353114523802513,0.5210557055749062,0.38007320048800325,0.46196799086548246,-0.15747820938609505
501-750,UP,nan,24590,2834,2D,0.6115087433916226,0.18861970817214113,0.6862966641473703,0.3866205774705165,0.598626435440213,-0.2066674669115391
501-750,UP,nan,24590,2834,3D,0.6043513623424156,0.21832058799185405,0.8094999126998623,0.39377795851972347,0.7575693127248108,-0.24165538997329777
501-750,UP,nan,24590,2834,5D,0.5988206588043921,0.25763952273206936,0.9766523466439354,0.3997153314355429,0.9583691095176298,-0.2803475814088687
501-750,UP,nan,24590,2834,7D,0.5920292801952013,0.2849857478087643,1.1301472301717788,0.40683204554697033,1.1345575445636693,-0.3169834054805132
501-750,UP,nan,24590,2834,10D,0.5862139080927207,0.31834147019293263,1.367524486773121,0.41244408296055307,1.3767458140145468,-0.3479615801681659
501-750,UP,nan,24590,2834,14D,0.58137454249695,0.35199400389679125,1.5794578970867197,0.41740544936966245,1.6757421666843877,-0.367103566246223
501-750,UP,nan,24590,2834,21D,0.58137454249695,0.4303484063175015,1.9709254643306882,0.4172834485563237,2.137959518591132,-0.4609983844671391
501-750,UP,nan,24590,2834,30D,0.5741764945099634,0.4910323943788013,2.407862534181695,0.42460349735664904,2.651918083133305,-0.5500363133741033
501-750,UP,4s+,4980,1793,1D,0.679718875502008,0.10377799151166194,0.30376083597361725,0.3172690763052209,1.0966100769264662,-0.7391581993828181
501-750,UP,4s+,4980,1793,2D,0.6686746987951807,0.12306593563162496,0.3892266736724784,0.32831325301204817,1.4155698506996055,-0.8751411194593296
501-750,UP,4s+,4980,1793,3D,0.6562248995983936,0.13515837880955822,0.42998071740996846,0.33554216867469877,1.623101033207768,-0.9854213296719456
501-750,UP,4s+,4980,1793,5D,0.6441767068273092,0.1466611349973355,0.4789792844332837,0.35160642570281125,2.0741145728606094,-1.0487253842256132
501-750,UP,4s+,4980,1793,7D,0.6407630522088353,0.15059966113613987,0.5067288560152994,0.35602409638554217,2.56912439718653,-1.1071929993186722
501-750,UP,4s+,4980,1793,10D,0.62570281124498,0.1632296724310066,0.567231904069675,0.37349397590361444,2.8571710428739916,-1.2168655081713053
501-750,UP,4s+,4980,1793,14D,0.6198795180722891,0.1735404947440204,0.6319488189508773,0.3783132530120482,3.4052555033712344,-1.2805157007088788
501-750,UP,4s+,4980,1793,21D,0.5991967871485944,0.1824416721698544,0.7369142370035109,0.39959839357429716,4.061824112989553,-1.4048076204931395
501-750,UP,4s+,4980,1793,30D,0.6006024096385543,0.20325200993071016,0.8631888149937691,0.39879518072289155,5.054935214091582,-1.5820813083205296
751-1000,UP,nan,24728,3097,1D,0.611735684244581,0.14373430370160578,0.5481718367350538,0.3874150760271757,0.4547274762830452,-0.1489241554019107
751-1000,UP,nan,24728,3097,2D,0.5991184082821094,0.17428021517927605,0.6922976100647414,0.40015367195082496,0.6524866856681675,-0.18095217823131354
751-1000,UP,nan,24728,3097,3D,0.5876334519572953,0.19099308916557783,0.7999999999999998,0.4113151083791653,0.7888828708696523,-0.19736240763099527
751-1000,UP,nan,24728,3097,5D,0.5627628599158848,0.18361573036779086,0.9263215174146306,0.43602394047233906,1.0208514749534507,-0.1735906296303355
751-1000,UP,nan,24728,3097,7D,0.5495794241345843,0.16118326164450814,1.0507215090983857,0.4498544160465869,1.2518083686773713,-0.14934162363113482
751-1000,UP,nan,24728,3097,10D,0.5382966677450663,0.15165691225242622,1.2106314733828694,0.4606518925913944,1.557470987748817,-0.14342547509215542
751-1000,UP,nan,24728,3097,14D,0.5200582335813653,0.08655519595927821,1.3841203938925848,0.47913296667745064,1.8849856856080478,-0.06912675574016815
751-1000,UP,nan,24728,3097,21D,0.5109187965059852,0.06001149545731439,1.6860707026086506,0.48831284373989,2.427845883571194,-0.05239061660139944
751-1000,UP,nan,24728,3097,30D,0.49474280168230345,0.0,2.0178594913832275,0.5040035587188612,3.075708162035178,0.042944125010892516
751-1000,UP,3s,3817,1721,1D,0.6387215090385119,0.10708294818738165,0.3810432933089262,0.36127849096148806,0.8910772459999419,-0.3696062812425962
751-1000,UP,3s,3817,1721,2D,0.6093790935289495,0.1272306256548328,0.48429035436313606,0.39009693476552265,1.2319910660037467,-0.4339436767577971
751-1000,UP,3s,3817,1721,3D,0.6007335603877391,0.1462215469754747,0.5503282413292483,0.3929787791459261,1.497073676820426,-0.49646746359582855
751-1000,UP,3s,3817,1721,5D,0.5863243384857217,0.14925722528881263,0.631356063603823,0.4073880010479434,1.8502649169565528,-0.5155141882413979
751-1000,UP,3s,3817,1721,7D,0.5740110034058161,0.15454525881056114,0.7066068411293129,0.42520303903589207,2.2575973299039287,-0.5344769376784284
751-1000,UP,3s,3817,1721,10D,0.5614356824731465,0.1359397352198357,0.7650693260105847,0.4372543882630338,2.687053468325958,-0.4686011398551047
751-1000,UP,3s,3817,1721,14D,0.5551480220068117,0.14422117673947862,0.8461066298280714,0.44458999214042444,2.9959119267289323,-0.4934640405778742
751-1000,UP,3s,3817,1721,21D,0.537332984018863,0.12829332141107497,0.9967008987124772,0.46188105842284516,3.869410986489034,-0.4387283602051698
751-1000,UP,3s,3817,1721,30D,0.5297353942887084,0.14726536921898406,1.2213058648184063,0.46895467644747185,4.595949282624348,-0.5015193468440919
751-1000,UP,4s+,4993,2080,1D,0.6691367915081113,0.10476637023274202,0.31440122761077793,0.3296615261365912,1.2712134542405504,-0.7122474118287793
751-1000,UP,4s+,4993,2080,2D,0.6515121169637492,0.12453298676740582,0.4042609189315105,0.34648507911075505,1.65097481569056,-0.8604218174730176
751-1000,UP,4s+,4993,2080,3D,0.633486881634288,0.12004021431719718,0.4338832386053935,0.36350891247746847,2.0402011803998206,-0.8725155393902896
751-1000,UP,4s+,4993,2080,5D,0.6104546364910876,0.1260485424955285,0.4838534410235191,0.38754255958341677,2.5616933700314632,-0.9120089230256028
751-1000,UP,4s+,4993,2080,7D,0.5978369717604647,0.1120865600472103,0.5061999346354155,0.4013619066693371,2.909706566087605,-0.8415469229457979
751-1000,UP,4s+,4993,2080,10D,0.5754055677949129,0.10934635962632079,0.5321853534250096,0.4233927498497897,3.415913146283141,-0.8083790494276365
751-1000,UP,4s+,4993,2080,14D,0.5605848187462448,0.10203513390578144,0.5920414033541845,0.43821349889845784,4.139724385140417,-0.7301899016362406
751-1000,UP,4s+,4993,2080,21D,0.5439615461646304,0.08408007775253137,0.6586844668358864,0.454436210694973,5.047640511818612,-0.6120287733320606
751-1000,UP,4s+,4993,2080,30D,0.5291407971159624,0.05985316989818171,0.7663324501453395,0.46825555778089323,6.219602713201219,-0.43613866453063166
751-1000,UP,2s,10033,2403,1D,0.5974284859962125,0.09674380129462953,0.41575359673258955,0.4016744742350244,0.774522590406169,-0.2322686324177381
751-1000,UP,2s,10033,2403,2D,0.5917472341273796,0.12575027454012336,0.5255682319106189,0.407953752616366,1.0792929223427545,-0.30026857879062663
751-1000,UP,2s,10033,2403,3D,0.5825774942689126,0.14389853521787005,0.6137219307723918,0.4138343466560351,1.3532316696441204,-0.34960725734157433
751-1000,UP,2s,10033,2403,5D,0.566331107345759,0.14357885808768475,0.719425778910632,0.4296820492375162,1.7656514168701634,-0.3392380220623967
751-1000,UP,2s,10033,2403,7D,0.5495863649955148,0.1251438838903172,0.807744003960589,0.449416924150304,1.9696839158128567,-0.30056481340358315
751-1000,UP,2s,10033,2403,10D,0.5357320841223961,0.11830718088599967,0.8967541796336546,0.46307186285258645,2.4376307321664066,-0.28549692268128296
751-1000,UP,2s,10033,2403,14D,0.5226751719326224,0.07983001220116014,1.041798960278066,0.4767268015548689,2.932035767386,-0.19420430609582628
751-1000,UP,2s,10033,2403,21D,0.5186883285158975,0.07648068245846953,1.2773103766356342,0.47981660520283065,3.751642569621277,-0.17995876315184223
751-1000,UP,2s,10033,2403,30D,0.5207814213096781,0.11674958862256767,1.5435367361663181,0.4781221967507226,4.648045501514431,-0.2804144217271177
1001-1500,UP,3s,7456,2707,1D,0.6333154506437768,0.10159184354903314,0.3766752861854929,0.365343347639485,0.8549953875841863,-0.350988885175919
1001-1500,UP,3s,7456,2707,2D,0.6135997854077253,0.12411225612823254,0.46664784146930344,0.3854613733905579,1.2344934177863176,-0.4226424613729566
1001-1500,UP,3s,7456,2707,3D,0.5961641630901288,0.13342378258556828,0.5172697019452852,0.3994098712446352,1.4452526071884817,-0.450346007921551
1001-1500,UP,3s,7456,2707,5D,0.5787285407725322,0.14261571431115067,0.5935348967180484,0.4176502145922747,1.9303823735657806,-0.48544485346596594
1001-1500,UP,3s,7456,2707,7D,0.570681330472103,0.14282068793736655,0.6501859911312432,0.4273068669527897,2.294447004586723,-0.4948694116488092
1001-1500,UP,3s,7456,2707,10D,0.5568669527896996,0.13452587856210216,0.7197166929374219,0.44219420600858367,2.6401011066324953,-0.4572819228119902
1001-1500,UP,3s,7456,2707,14D,0.5354077253218884,0.08944418612873836,0.7892991987184111,0.4639216738197425,3.3889662554757205,-0.2978910002255257
1001-1500,UP,3s,7456,2707,21D,0.5183744635193133,0.06189461788646352,0.9429204930297246,0.48068669527896996,4.199568409071878,-0.2076519694824806
1001-1500,UP,3s,7456,2707,30D,0.5021459227467812,0.00971685300271063,1.11545982380419,0.4966469957081545,5.231492449311978,-0.03245495546725747
1001-1500,UP,4s+,10463,3238,1D,0.6644365860651821,0.09167382110507238,0.31064399272552934,0.3316448437350664,1.1413108018311322,-0.609877918230898
1001-1500,UP,4s+,10463,3238,2D,0.6456083341297907,0.11344484336631903,0.3761163937285457,0.3522890184459524,1.6102322842812646,-0.7799749690562093
1001-1500,UP,4s+,10463,3238,3D,0.6258243333651916,0.11570898513525452,0.41320069940541504,0.36911019784000765,1.953650970667542,-0.7838786405763191
1001-1500,UP,4s+,10463,3238,5D,0.5994456656790595,0.10901098535840892,0.4560945847241601,0.39568001529198127,2.570395721669798,-0.780666196505897
1001-1500,UP,4s+,10463,3238,7D,0.5862563318359935,0.10096100087681,0.48454518446379863,0.41211889515435346,2.9608329366767814,-0.7059260085861759
1001-1500,UP,4s+,10463,3238,10D,0.5699130268565421,0.0882874512704323,0.5196446604850702,0.4285577750167256,3.589838065562984,-0.6304332857994723
1001-1500,UP,4s+,10463,3238,14D,0.5411449870973908,0.05915056344093302,0.5604311571424666,0.4576125394246392,4.1629382134559805,-0.4400704607876669
1001-1500,UP,4s+,10463,3238,21D,0.5186848896110102,0.03323005693120442,0.6238319117766471,0.4796903373793367,5.4248177799621775,-0.24805751522383562
1001-1500,UP,4s+,10463,3238,30D,0.4999522125585396,0.0,0.7093757600003902,0.498136289783045,6.630131863549418,0.0
1001-1500,UP,2s,19534,3423,1D,0.6163100235486844,0.10507072267567183,0.42490448954201276,0.3826661206102181,0.712362994038426,-0.2515340036799693
1001-1500,UP,2s,19534,3423,2D,0.5960376778949524,0.12896647338838002,0.5355839406564737,0.4031944302242244,1.0238552141157848,-0.31419495439328426
1001-1500,UP,2s,19534,3423,3D,0.5867717825330193,0.1469597626727852,0.6203338647719543,0.410566192280127,1.2272394050418076,-0.34605957756405714
1001-1500,UP,2s,19534,3423,5D,0.5680352206409337,0.14781179183703888,0.7251540863057382,0.42909798300399304,1.6522120794466684,-0.3520814990879894
1001-1500,UP,2s,19534,3423,7D,0.5550834442510495,0.13983091523236543,0.7942243420506019,0.4437391215316883,1.9497930306069997,-0.33295155800194365
1001-1500,UP,2s,19534,3423,10D,0.544691307463909,0.13532341955439497,0.9139938772015285,0.454438415071158,2.3525655893317152,-0.32917997748772354
1001-1500,UP,2s,19534,3423,14D,0.5338896283403297,0.1230952859579169,1.032938646157736,0.4652912869867923,2.8081516064056204,-0.29236468849771435
1001-1500,UP,2s,19534,3423,21D,0.5126958124296099,0.06199889135749582,1.2252640135013855,0.48592198218490834,3.6083200761756373,-0.14909109185358313
1001-1500,UP,2s,19534,3423,30D,0.502917989147128,0.024852505833462435,1.4701424368168785,0.4958021910515,4.623158177431696,-0.061039911495832044
1001-1500,UP,nan,55039,4294,1D,0.6230854485001545,0.16055328962480037,0.5892849287261959,0.3751703337633315,0.41263202881224864,-0.15556020120379632
1001-1500,UP,nan,55039,4294,2D,0.6027362415741565,0.188093589745675,0.7139316423937969,0.3964279874270972,0.58258721965535,-0.17321313230993682
1001-1500,UP,nan,55039,4294,3D,0.5886553171387562,0.19442669088603773,0.8068578252654857,0.41029088464543323,0.698717331261998,-0.17850315542812872
1001-1500,UP,nan,55039,4294,5D,0.5615472664837661,0.17172613022953484,0.919467226610796,0.43727175275713587,0.9502159065237638,-0.15036620621227986
1001-1500,UP,nan,55039,4294,7D,0.5417612965351841,0.13226560924947428,1.0080416806945212,0.4574029324660695,1.1388954539279563,-0.10476540990788963
1001-1500,UP,nan,55039,4294,10D,0.5201766020458221,0.07377590977913531,1.1264515959920376,0.4789149512164102,1.4200673435596975,-0.047781070392680675
1001-1500,UP,nan,55039,4294,14D,0.49724740638456366,0.0,1.2582751264592082,0.5016806264648703,1.771018598426776,0.02632576508791202
1001-1500,UP,nan,55039,4294,21D,0.4683951379930595,0.0,1.4664657380933486,0.5305147259216192,2.3137799737982023,0.20236977265703268
1001-1500,UP,nan,55039,4294,30D,0.4457566452878868,0.0,1.6588891906377337,0.5531168807572812,2.972970013560887,0.4484200172334687
1501-2000,UP,nan,57327,4192,1D,0.6210162750536397,0.15196447065507485,0.6105518308703554,0.37390758281438063,0.36421749080122345,-0.12519123958474587
1501-2000,UP,nan,57327,4192,2D,0.5864078008617231,0.1569342933992218,0.7157508867313794,0.4083241753449509,0.5333132229235895,-0.12572069159867902
1501-2000,UP,nan,57327,4192,3D,0.568109267884243,0.15279908312660523,0.7684748422261796,0.4269541402829382,0.6880283407204706,-0.12025317326328945
1501-2000,UP,nan,57327,4192,5D,0.5310935510318,0.08923343120293227,0.8397610646226293,0.4636907565370593,0.9189270699747596,-0.06177625888139317
1501-2000,UP,nan,57327,4192,7D,0.501247230798751,0.008070554760378911,0.8873258125197457,0.49383362115582535,1.1342374552590448,-0.0023095294001346436
1501-2000,UP,nan,57327,4192,10D,0.46688296963036613,0.0,0.9398333549946902,0.527587349765381,1.4530123369381138,0.11240986208090926
1501-2000,UP,nan,57327,4192,14D,0.43632145411411727,0.0,1.0020414223134098,0.5588640605648298,1.8470245128897014,0.28514243468997297
1501-2000,UP,nan,57327,4192,21D,0.4033352521499468,0.0,1.0798713363251133,0.5909431855844541,2.5398143264436595,0.6050287218002468
1501-2000,UP,nan,57327,4192,30D,0.37940237584384323,0.0,1.2599599290415782,0.6148237305283724,3.4815226562303687,1.0505499063144963
1501-2000,UP,4s+,8722,3106,1D,0.6440036688832836,0.07600328504179919,0.31073202460600025,0.34315523962393946,0.9776655885665655,-0.49917674370245824
1501-2000,UP,4s+,8722,3106,2D,0.6268057784911717,0.09887961197036527,0.3816276933120426,0.3623022242604907,1.5163632573182455,-0.6312396260270037
1501-2000,UP,4s+,8722,3106,3D,0.6067415730337079,0.09662062653069822,0.41228066318514583,0.382939692731025,1.834909972802067,-0.6298736874077279
1501-2000,UP,4s+,8722,3106,5D,0.5792249484063289,0.09083846071553442,0.44753193376339045,0.4119468011923871,2.4929284929153788,-0.5923634234153787
1501-2000,UP,4s+,8722,3106,7D,0.5585874799357945,0.07773223983524795,0.48856964462196395,0.43304288007337766,2.9810107141018696,-0.516918315567449
1501-2000,UP,4s+,8722,3106,10D,0.5365741802338914,0.052953123611712,0.5010883141108824,0.4571199266223343,3.5972703322308184,-0.3595135705415372
1501-2000,UP,4s+,8722,3106,14D,0.5102040816326531,0.01847450014065974,0.5329286223355197,0.484177940839257,4.446460592203442,-0.11866461778112138
1501-2000,UP,4s+,8722,3106,21D,0.4833753726209585,0.0,0.6143848813335322,0.5113506076587938,5.405835778696561,0.17808816343777928
1501-2000,UP,4s+,8722,3106,30D,0.46640678743407477,0.0,0.6856927895470516,0.5279752350378354,6.7885880815331285,0.5691133563034894
1501-2000,UP,3s,6674,2688,1D,0.6338028169014085,0.09565396302935023,0.38780900946278285,0.3611027869343722,0.7096504740865274,-0.32238703710724836
1501-2000,UP,3s,6674,2688,2D,0.6129757267006293,0.1183202541051934,0.4765012154970746,0.3831285585855559,1.0143120619586885,-0.40607292554215474
1501-2000,UP,3s,6674,2688,3D,0.5955948456697633,0.11779779211081814,0.5242935988392041,0.39796224153431226,1.3857762508476366,-0.3995658590222645
1501-2000,UP,3s,6674,2688,5D,0.5719208870242734,0.11593886576049277,0.5720881585818107,0.4195385076415942,1.8180684916096315,-0.3920300587348614
1501-2000,UP,3s,6674,2688,7D,0.553940665268205,0.10224153645793675,0.6420189195219707,0.4397662571171711,2.1769726971526455,-0.35427811943535403
1501-2000,UP,3s,6674,2688,10D,0.534462091699131,0.07839711198383742,0.6929222949407725,0.46059334731795026,2.7035173600420976,-0.27266639850153
1501-2000,UP,3s,6674,2688,14D,0.5053940665268205,0.014636642586689282,0.7249772917191744,0.49056038357806414,3.3211843384751685,-0.04879777893319221
1501-2000,UP,3s,6674,2688,21D,0.4787234042553192,0.0,0.852593066251663,0.5166317051243632,4.338265058665598,0.23064227124768388
1501-2000,UP,3s,6674,2688,30D,0.4531015882529218,0.0,0.9966566568918649,0.5425531914893617,5.420481972421165,0.6594260677796688
1501-2000,UP,2s,17441,3509,1D,0.6221546929648529,0.106094269627344,0.4417114851276769,0.37377443953901723,0.6557528530216449,-0.2561005774942715
1501-2000,UP,2s,17441,3509,2D,0.5976721518261567,0.13773686931036155,0.549893543162027,0.39756894673470555,0.9210696614597702,-0.33681674853860666
1501-2000,UP,2s,17441,3509,3D,0.5892437360243106,0.14695726004970586,0.6056095680422674,0.4050799839458747,1.1609038672214227,-0.3532186661608491
1501-2000,UP,2s,17441,3509,5D,0.5675133306576458,0.14733740159121406,0.6839066306876482,0.42778510406513387,1.5367841987519855,-0.35355236220776715
1501-2000,UP,2s,17441,3509,7D,0.5481337079295912,0.11303019776014187,0.7333513060885337,0.44739407144085774,1.872520520045768,-0.2736340951540016
1501-2000,UP,2s,17441,3509,10D,0.5303594977352216,0.08265010910124185,0.8520420058670863,0.4659709879020698,2.264907528284579,-0.20201272637728465
1501-2000,UP,2s,17441,3509,14D,0.5069663436729546,0.030475239098420308,0.9380182813982008,0.4884467633736598,2.830712422475245,-0.07284759013277727
1501-2000,UP,2s,17441,3509,21D,0.4807063815148214,0.0,1.104618381610901,0.5145920532079583,3.671593451614403,0.18454858311673925
1501-2000,UP,2s,17441,3509,30D,0.4623014735393613,0.0,1.3515636033076923,0.5323662634023278,4.865688853782804,0.4893091449492755
501-750,DOWN,2s,6534,1549,1D,0.5373431282522192,0.027246953596960253,0.3693166219300489,0.4615855524946434,-0.6963663877869173,0.06697171065663145
501-750,DOWN,2s,6534,1549,2D,0.5440771349862259,0.050252439846836125,0.4880756823959819,0.4537802265074992,-0.9408865698742309,0.11661234473126725
501-750,DOWN,2s,6534,1549,3D,0.532139577594123,0.05111020993077979,0.5904036626695838,0.4672482399755127,-1.2290899971863043,0.12015648822873169
501-750,DOWN,2s,6534,1549,5D,0.5232629323538415,0.050131442707255135,0.693006388312228,0.4759718396082032,-1.530787648048604,0.11990472955690493
501-750,DOWN,2s,6534,1549,7D,0.5128558310376492,0.03481043360258394,0.7551702260121975,0.485307621671258,-1.6439185687422504,0.08348088919326996
501-750,DOWN,2s,6534,1549,10D,0.5205081114172023,0.05431615075571204,0.9042764200152495,0.47765534129170495,-2.0028792466630803,0.1280692222802005
501-750,DOWN,2s,6534,1549,14D,0.5128558310376492,0.03720619171290221,0.9852892278700833,0.4846954392408938,-2.3628258783181937,0.08233554930386791
501-750,DOWN,2s,6534,1549,21D,0.48163452708907256,0.0,1.1957014402374493,0.5168350168350169,-2.9511249443440004,-0.1759355063014752
501-750,DOWN,2s,6534,1549,30D,0.45531068258340984,0.0,1.3280261242133045,0.5437710437710438,-3.9495042286530455,-0.6282745019500942
501-750,DOWN,nan,22417,2699,1D,0.5152339742159968,0.005863795678691527,0.46478006866595073,0.483606191729491,-0.42629573024396505,0.009109115699691119
501-750,DOWN,nan,22417,2699,2D,0.5130481331132623,0.010981220651986541,0.6025521244290077,0.4857474238301289,-0.5566093966508615,0.02295296219763694
501-750,DOWN,nan,22417,2699,3D,0.514029531159388,0.016880912334407534,0.7176346714856332,0.48503367979658296,-0.6714725517485265,0.03432852070560699
501-750,DOWN,nan,22417,2699,5D,0.5021635366016862,0.0,0.8827832115268837,0.49689967435428467,-0.8743806479652143,0.025593900117337726
501-750,DOWN,nan,22417,2699,7D,0.4903867600481777,0.0,0.964744768257396,0.5080965338805371,-1.0151739962119497,0.0
501-750,DOWN,nan,22417,2699,10D,0.48735334790560736,0.0,1.1057008222939673,0.5117544720524602,-1.2242421899267424,0.0
501-750,DOWN,nan,22417,2699,14D,0.4733015122451711,0.0,1.2661257701930242,0.525984743721283,-1.4233136345238293,-0.08840851960639297
501-750,DOWN,nan,22417,2699,21D,0.45505643038765226,0.0,1.5191953640134503,0.5438729535620288,-1.8305347218060697,-0.19369593496677884
501-750,DOWN,nan,22417,2699,30D,0.4414952937502788,0.0,1.7929574808040605,0.5574340901994023,-2.338041328680127,-0.40233059434227186
501-750,DOWN,3s,1634,861,1D,0.5673194614443084,0.04775623968033152,0.3986649777349681,0.4320685434516524,-0.877400398923904,0.16201110627079887
501-750,DOWN,3s,1634,861,2D,0.5758873929008568,0.09583451066174586,0.5009700344750336,0.423500611995104,-1.2291776233101266,0.326144499780889
501-750,DOWN,3s,1634,861,3D,0.5397796817625459,0.0498244986151167,0.5097243072862607,0.4602203182374541,-1.5372460284586533,0.15558173554108387
501-750,DOWN,3s,1634,861,5D,0.5195838433292533,0.02491711516442606,0.5787210990963312,0.4804161566707466,-1.8596133912304595,0.0876984153246182
501-750,DOWN,3s,1634,861,7D,0.5104039167686658,0.017349819206278833,0.6160848712773254,0.4883720930232558,-1.8933728189408114,0.060816987638166745
501-750,DOWN,3s,1634,861,10D,0.5281517747858017,0.05777321303658056,0.7802836732015554,0.47062423500611994,-2.428937632735202,0.20061866687071941
501-750,DOWN,3s,1634,861,14D,0.5048959608323134,0.010063277251242505,0.8133334857568071,0.4938800489596083,-2.661041579768521,0.036091175874156986
501-750,DOWN,3s,1634,861,21D,0.48776009791921665,0.0,0.9963688281554933,0.5116279069767442,-3.2434660932663038,-0.13651897273817115
501-750,DOWN,3s,1634,861,30D,0.4694002447980416,0.0,0.9960159078936994,0.5305997552019583,-3.9541798396988193,-0.48235462075958513
501-750,DOWN,4s+,1286,686,1D,0.552099533437014,0.018875843475664848,0.3539776678322532,0.4440124416796267,-1.4961640495762794,0.10369442636051007
501-750,DOWN,4s+,1286,686,2D,0.573094867807154,0.05638210408956925,0.4163389969959119,0.42223950233281493,-1.4938796283212492,0.3166138537257425
501-750,DOWN,4s+,1286,686,3D,0.557542768273717,0.04956358903544543,0.4706596359941863,0.44090202177293936,-1.9381108729227805,0.29679613898935553
501-750,DOWN,4s+,1286,686,5D,0.5489891135303266,0.0770114035025464,0.48429476947345984,0.447900466562986,-2.4067494044421047,0.46863939661776177
501-750,DOWN,4s+,1286,686,7D,0.5489891135303266,0.06339059169877108,0.5529450646978308,0.44712286158631415,-2.4158645235022083,0.35703569930203544
501-750,DOWN,4s+,1286,686,10D,0.567651632970451,0.13151879011549836,0.711247751179813,0.4307931570762053,-2.7070683959676445,0.7449662007029185
501-750,DOWN,4s+,1286,686,14D,0.5715396578538102,0.15212815890066317,0.8315456270097064,0.4284603421461897,-3.2497421592664204,0.8510205130745108
501-750,DOWN,4s+,1286,686,21D,0.552099533437014,0.1243132836300897,0.897251840515501,0.4463452566096423,-3.5011798549382807,0.7310710127774652
501-750,DOWN,4s+,1286,686,30D,0.5178849144634525,0.03689242032340029,0.9705231650158159,0.48055987558320373,-4.264335297940068,0.21497765113835252
751-1000,DOWN,nan,26616,3031,1D,0.532424105801022,0.029834904913604708,0.5596954760697253,0.46716260895701833,-0.40780550964923357,0.03498888546835468
751-1000,DOWN,nan,26616,3031,2D,0.5470769461977758,0.07800411977659047,0.7448420642100229,0.4521716260895702,-0.5532084944358632,0.08431537577605061
751-1000,DOWN,nan,26616,3031,3D,0.5430943793207094,0.09338678169600179,0.893392660282783,0.4564547640516982,-0.6631583252199689,0.09657740876270347
751-1000,DOWN,nan,26616,3031,5D,0.5399383829275624,0.11509855386572176,1.1255884177006692,0.4594604749023144,-0.8728175809599659,0.1144764465837866
751-1000,DOWN,nan,26616,3031,7D,0.5374586714758041,0.12926725224691174,1.2938089268904016,0.4616396152690111,-1.0138163511425213,0.13220383398750354
751-1000,DOWN,nan,26616,3031,10D,0.5351668169522092,0.14321590467499867,1.5903771265099587,0.4640441839495041,-1.1959517304760325,0.14867355510844465
751-1000,DOWN,nan,26616,3031,14D,0.5291553952509769,0.15810902585496164,1.86859189728454,0.4700180342651037,-1.444701157272524,0.16281930434952419
