scale,rank_band,state,n,p_abs_gt1s,p_abs_gt2s,p_abs_gt3s,p_up_gt2s,p_dn_gt2s,bd_base_p_gt2s,bd_base_p_gt3s,lift_2s,risk_ratio_2s,odds_2s,med_fwd7_sig
mad,1001-1500,NON_SHMC,748162,0.3998265081626706,0.1774535461571157,0.099553305300189,0.09903871086743246,0.07841483528968325,0.17153204365153904,0.09554865502210591,0.005921502505576659,1.0345212613312413,0.215736807724432,-0.08149941373083697
mad,1001-1500,SHMC,183489,0.36201080173743383,0.14738758181689365,0.07922000773888353,0.07992304715814028,0.06746453465875339,0.17153204365153904,0.09554865502210591,-0.024144461834645387,0.8592422656393346,0.17286586340247373,-0.1395356988607789
mad,1501-2000,NON_SHMC,742451,0.4237801551886926,0.2147912791551227,0.13729256206806914,0.12856067269085772,0.08623060646426497,0.20880872194920788,0.13286324272311764,0.0059825572059148124,1.0286508970988772,0.273546731528923,0.0017380211511538052
mad,1501-2000,SHMC,188717,0.38826390839193076,0.18527212704737783,0.11543740097606468,0.10921644578919758,0.07605568125818024,0.20880872194920788,0.13286324272311764,-0.02353659490183005,0.8872815527909066,0.22740369293607282,-0.05682267814412473
semivol,501-750,NON_SHMC,383982,0.17494049200222928,0.04974451927434098,0.02335526144454688,0.029168033918256585,0.0205764853560844,0.046134721731467564,0.02145815861285063,0.0036097975428734178,1.0782447017646417,0.05234857391862004,-0.05141691649868888
semivol,501-750,SHMC,85816,0.12248298685559803,0.029982753798825396,0.012969609396849073,0.015964388925142164,0.01401836487368323,0.046134721731467564,0.02145815861285063,-0.016151967932642168,0.6498956246738292,0.030909505904400374,-0.07318763277980048
semivol,751-1000,NON_SHMC,408206,0.1750488723830615,0.05211584347118857,0.025075574587340707,0.03555802707456529,0.016557816396623272,0.048608273799370876,0.023126018953022052,0.003507569671817694,1.072159930761892,0.05498123701322197,-0.0359680872904527
semivol,751-1000,SHMC,95988,0.13368337708880276,0.03369171146393299,0.014835187731799808,0.02223194565987415,0.01145976580405884,0.048608273799370876,0.023126018953022052,-0.014916562335437887,0.6931270919636947,0.034866420855165274,-0.07382624299736988
semivol,1001-1500,NON_SHMC,817322,0.1712262731212423,0.05471527745490761,0.02830708093015972,0.03882313213152221,0.015892145323385398,0.05137752111330627,0.0264333265570755,0.0033377563416013417,1.0649653052400168,0.05788232492279336,-0.028143648280925984
semivol,1001-1500,SHMC,196020,0.133573104785226,0.037460463218038975,0.018620548923579228,0.026160595857565555,0.011299867360473422,0.05137752111330627,0.0264333265570755,-0.013917057895267294,0.729121654885313,0.038918363128521226,-0.06080489728876208
semivol,1501-2000,NON_SHMC,806193,0.1824190981563968,0.07354194343041927,0.04631149116898807,0.05081785627014871,0.022724087160270554,0.07021067870355845,0.04410768861095831,0.003331264726860822,1.0474466959780575,0.07937967931621735,0.0
semivol,1501-2000,SHMC,200933,0.1485669352470724,0.056844818919739415,0.03526548650545207,0.039291704199907435,0.017553114719831984,0.07021067870355845,0.04410768861095831,-0.013365859783819031,0.8096320954216667,0.06027090775733335,-0.019425547319864036
