internal_asset_id,cmc_id,cmc_slug,cmc_name,canonical_symbol,symbols_observed,coingecko_id,cg_join,coinpaprika_id,cp_join,date_added_cmc,first_seen_in_snapshots,last_seen_in_snapshots,ticker_reuse_flagged
CMC:2577,2577,ravencoin,Ravencoin,RVN,RVN,ravencoin,HIGH,rvn-ravencoin,HIGH,2018-03-10T00:00:00.000Z,2024-06-01,2026-08-20,False
CMC:2586,2586,synthetix,Synthetix,SNX,SNX,havven,HIGH,snx-synthetix-network-token,SYMBOL_ONLY,2018-03-14T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:2588,2588,loom-network,Loom Network,LOOM,LOOM,loom-network-new,HIGH,loom-loom-network,HIGH,2018-03-14T00:00:00.000Z,2024-06-01,2024-06-01,True
CMC:2634,2634,xdc-network,XDC Network,XDC,XDC,xdce-crowd-sale,HIGH,xdc-xdc-network,HIGH,2018-04-12T00:00:00.000Z,2024-06-01,2026-08-20,False
CMC:2682,2682,holo,Holo,HOT,HOT,holotoken,HIGH,hot-holo,HIGH,2018-04-29T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:2694,2694,nexo,Nexo,NEXO,NEXO,nexo,HIGH,nexo-nexo,HIGH,2018-05-01T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:2765,2765,xyo,XYO,XYO,XYO,xyo-network,SYMBOL_ONLY,xyo-xyo-network,HIGH,2018-05-22T00:00:00.000Z,2024-06-01,2026-08-20,False
CMC:2777,2777,iotex,IoTeX,IOTX,IOTX,iotex,HIGH,iotx-iotex,HIGH,2018-05-25T00:00:00.000Z,2024-06-01,2026-01-01,True
CMC:2868,2868,constellation,Constellation,DAG,DAG,constellation-labs,HIGH,dag-constellation,HIGH,2018-06-20T00:00:00.000Z,2024-06-01,2025-06-01,False
CMC:2930,2930,iq,IQ,IQ,IQ,everipedia,HIGH,iq-everipedia,HIGH,2018-10-03T00:00:00.000Z,2024-06-01,2025-06-01,True
CMC:2933,2933,bitmart-token,BitMart Token,BMX,BMX,bitmart-token,SYMBOL_ONLY,bmx-bitmart-token,HIGH,2018-07-13T00:00:00.000Z,2024-06-01,2026-01-01,True
CMC:2943,2943,rocket-pool,Rocket Pool,RPL,RPL,rocket-pool,HIGH,rpl-rocket-pool,HIGH,2018-07-17T00:00:00.000Z,2024-06-01,2025-06-01,True
CMC:2982,2982,mvl,MVL,MVL,MVL,mass-vehicle-ledger,HIGH,mvl-mass-vehicle-ledger,HIGH,2018-07-27T00:00:00.000Z,2024-06-01,2025-06-01,False
CMC:2989,2989,stasis-euro,STASIS EURO,EURS,EURS,stasis-eurs,HIGH,eurs-stasis-eurs,HIGH,2018-07-30T00:00:00.000Z,2024-06-01,2026-01-01,False
CMC:3012,3012,vethor-token,VeThor Token,VTHO,VTHO,vethor-token,SYMBOL_ONLY,vtho-vethor-token,HIGH,2018-07-30T00:00:00.000Z,2024-06-01,2026-01-01,False
CMC:3029,3029,zel,Flux,FLUX,FLUX,zelcash,HIGH,zel-zelcash,HIGH,2018-08-02T00:00:00.000Z,2024-06-01,2025-06-01,True
CMC:3077,3077,vechain,VeChain,VET,VET,vechain,HIGH,vet-vechain,HIGH,2017-08-22T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:3155,3155,quant,Quant,QNT,QNT,quant-network,HIGH,qnt-quant,HIGH,2018-08-10T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:3217,3217,ontology-gas,Ontology Gas,ONG,ONG,ong,HIGH,ong-ong,HIGH,2018-08-23T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:3306,3306,gemini-dollar,Gemini Dollar,GUSD,GUSD,gemini-dollar,HIGH,gusd-gemini-dollar,HIGH,2018-10-05T00:00:00.000Z,2026-08-20,2026-08-20,True
CMC:3330,3330,paxos-standard,Pax Dollar,USDP,USDP,paxos-standard,HIGH,usdp-paxos-standard-token,HIGH,2018-09-27T00:00:00.000Z,2024-06-01,2025-06-01,True
CMC:3408,3408,usd-coin,USDC,USDC,USDC,usd-coin,HIGH,usdc-usd-coin,HIGH,2018-10-08T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:3513,3513,fantom,Fantom,FTM,FTM,fantom,HIGH,ftm-fantom,HIGH,2018-10-29T00:00:00.000Z,2024-06-01,2025-01-01,True
CMC:3602,3602,bitcoin-sv,Bitcoin SV,BSV,BSV,bitcoin-cash-sv,HIGH,bsv-bitcoin-sv,HIGH,2018-11-09T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:3626,3626,rsk-smart-bitcoin,Rootstock Bitcoin,RBTC,RBTC,rootstock,HIGH,rbtc-rootstock-bitcoin,HIGH,2018-12-05T00:00:00.000Z,2026-01-01,2026-08-20,True
CMC:3635,3635,cronos,Cronos,CRO,CRO,crypto-com-chain,HIGH,cro-cryptocom-chain,HIGH,2018-12-14T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:3637,3637,aergo,Aergo,AERGO,AERGO,aergo,SYMBOL_ONLY,aergo-aergo,HIGH,2018-12-17T00:00:00.000Z,2025-06-01,2025-06-01,False
CMC:3640,3640,livepeer,Livepeer,LPT,LPT,livepeer,HIGH,lpt-livepeer,HIGH,2018-12-19T00:00:00.000Z,2024-06-01,2026-08-20,False
CMC:3661,3661,stronghold-token,Stronghold SHx,SHX,SHX,stronghold-token,SYMBOL_ONLY,shx-stronghold-token,SYMBOL_ONLY,2019-01-03T00:00:00.000Z,2026-08-20,2026-08-20,False
CMC:3701,3701,rsk-infrastructure-framework,Rootstock Infrastructure Framework,RIF,RIF,rif-token,HIGH,rif-rif-token,HIGH,2019-01-16T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:3714,3714,lto-network,LTO Network,LTO,LTO,,NONE,lto-lto-network,HIGH,2019-02-05T00:00:00.000Z,2024-06-01,2024-06-01,True
CMC:3717,3717,wrapped-bitcoin,Wrapped Bitcoin,WBTC,WBTC,wrapped-bitcoin,HIGH,wbtc-wrapped-bitcoin,HIGH,2019-01-30T00:00:00.000Z,2024-06-01,2026-08-20,True
CMC:3773,3773,fetch,Fetch.ai,FET,FET,fetch-ai,SYMBOL_ONLY,fetch-ai,SYMBOL_ONLY,2019-03-02T00:00:00.000Z,2024-06-01,2026-08-20,False
CMC:3783,3783,ankr,Ankr,ANKR,ANKR,ankr,SYMBOL_ONLY,ankr-ankr-network,HIGH,2019-03-06T00:00:00.000Z,2024-06-01,2026-01-01,False
