regime,lens,band,label,n,mean_resid,tstat,pvalue,sig_bh5,abs_mean_resid_pct
BTC_UP,chain,501-750,XDC,308,-0.00795,-6.142,0.0,True,0.00795
BTC_UP,chain,501-750,XLM,535,-0.00506,-4.032,5.5e-05,True,0.00506
BTC_UP,chain,501-750,XRP,276,-0.00518,-2.74,0.006149,True,0.00518
BTC_UP,chain,751-1000,,54750,0.00122,8.571,0.0,True,0.00122
BTC_UP,chain,751-1000,-,3073,0.00105,1.685,0.091994,True,0.00105
BTC_UP,chain,751-1000,A,661,0.00205,1.542,0.123117,True,0.00205
BTC_UP,chain,751-1000,ADA,883,0.00447,5.09,0.0,True,0.00447
BTC_UP,chain,751-1000,ALGO,207,-0.00612,-3.596,0.000323,True,0.00612
BTC_UP,chain,751-1000,ARB,1397,0.00042,0.501,0.616052,True,0.00042
BTC_UP,chain,751-1000,ARBITRUM,242,-0.00508,-2.271,0.023147,True,0.00508
BTC_UP,chain,751-1000,AVAX,1458,0.00442,5.71,0.0,True,0.00442
BTC_UP,chain,751-1000,BNB,30989,0.00027,1.513,0.130274,True,0.00027
BTC_UP,chain,751-1000,BTC,308,0.00225,1.023,0.306225,True,0.00225
BTC_UP,chain,751-1000,CRO,590,-0.00229,-2.055,0.039868,True,0.00229
BTC_UP,chain,751-1000,EGLD,230,0.00958,5.456,0.0,True,0.00958
BTC_UP,chain,751-1000,ETH,146783,0.00123,14.658,0.0,True,0.00123
BTC_UP,chain,751-1000,FTM,235,0.00657,2.724,0.006448,True,0.00657
BTC_UP,chain,751-1000,GRAM,672,0.00276,2.48,0.013151,True,0.00276
BTC_UP,chain,751-1000,HBAR,241,0.00627,4.135,3.5e-05,True,0.00627
BTC_UP,chain,751-1000,ICP,533,0.00634,5.123,0.0,True,0.00634
BTC_UP,chain,751-1000,KAIA,2347,-0.00046,-0.702,0.482542,True,0.00046
BTC_UP,chain,751-1000,NEO,1000,0.00285,2.644,0.008196,True,0.00285
BTC_UP,chain,751-1000,OP,244,0.00628,3.582,0.000341,True,0.00628
BTC_UP,chain,751-1000,OSMO,813,-0.00059,-0.513,0.608054,True,0.00059
BTC_UP,chain,751-1000,POL,2937,-0.00218,-3.71,0.000207,True,0.00218
BTC_UP,chain,751-1000,SOL,18542,0.00166,7.029,0.0,True,0.00166
BTC_UP,chain,751-1000,SUI,1141,0.00586,5.866,0.0,True,0.00586
BTC_UP,chain,751-1000,TRX,898,-0.00487,-4.525,6e-06,True,0.00487
BTC_UP,chain,751-1000,XDC,709,-0.00615,-8.289,0.0,True,0.00615
BTC_UP,chain,751-1000,XLM,568,-0.00308,-2.128,0.033365,True,0.00308
BTC_UP,chain,1001-1500,,114561,0.00073,7.194,0.0,True,0.00073
BTC_UP,chain,1001-1500,-,7006,0.00384,9.506,0.0,True,0.00384
BTC_UP,chain,1001-1500,A,2062,0.00305,4.085,4.4e-05,True,0.00305
BTC_UP,chain,1001-1500,ADA,1497,0.00214,3.131,0.001741,True,0.00214
BTC_UP,chain,1001-1500,ALGO,323,-0.00784,-5.035,0.0,True,0.00784
BTC_UP,chain,1001-1500,APT,550,0.00021,0.133,0.894544,True,0.00021
BTC_UP,chain,1001-1500,ARB,2862,-0.00105,-1.769,0.076834,True,0.00105
BTC_UP,chain,1001-1500,ARBITRUM,379,0.00113,0.7,0.484234,True,0.00113
BTC_UP,chain,1001-1500,AVAX,3019,0.00417,7.034,0.0,True,0.00417
BTC_UP,chain,1001-1500,BCH,416,-0.00415,-3.211,0.001321,True,0.00415
BTC_UP,chain,1001-1500,BITCI,469,-0.00269,-1.893,0.058377,True,0.00269
BTC_UP,chain,1001-1500,BNB,68732,-0.00045,-3.728,0.000193,True,0.00045
BTC_UP,chain,1001-1500,BTC,747,0.0002,0.148,0.881958,True,0.0002
BTC_UP,chain,1001-1500,CELO,371,-0.00566,-5.647,0.0,True,0.00566
BTC_UP,chain,1001-1500,CHZ,295,-0.00275,-1.329,0.183817,True,0.00275
BTC_UP,chain,1001-1500,CRO,950,-6e-05,-0.07,0.943898,True,6e-05
BTC_UP,chain,1001-1500,DOT,668,0.00033,0.307,0.759126,True,0.00033
BTC_UP,chain,1001-1500,EGLD,254,0.00713,3.84,0.000123,True,0.00713
BTC_UP,chain,1001-1500,ETH,281389,0.00082,13.141,0.0,True,0.00082
BTC_UP,chain,1001-1500,FTM,538,0.00856,5.631,0.0,True,0.00856
BTC_UP,chain,1001-1500,GRAM,1566,0.00025,0.33,0.741732,True,0.00025
BTC_UP,chain,1001-1500,ICP,777,0.00706,5.851,0.0,True,0.00706
BTC_UP,chain,1001-1500,KAIA,3424,0.0015,2.995,0.002742,True,0.0015
BTC_UP,chain,1001-1500,LINEA,222,0.00452,2.226,0.026003,True,0.00452
BTC_UP,chain,1001-1500,LUNC,234,0.00025,0.102,0.918393,True,0.00025
BTC_UP,chain,1001-1500,MNT,282,0.00544,3.179,0.001478,True,0.00544
BTC_UP,chain,1001-1500,NEO,1600,0.00073,0.8,0.423869,True,0.00073
BTC_UP,chain,1001-1500,OKB,212,0.01017,8.574,0.0,True,0.01017
BTC_UP,chain,1001-1500,OP,232,0.00678,3.193,0.001407,True,0.00678
BTC_UP,chain,1001-1500,OSMO,1265,0.00284,3.126,0.001774,True,0.00284
BTC_UP,chain,1001-1500,POL,7775,-0.00164,-4.349,1.4e-05,True,0.00164
BTC_UP,chain,1001-1500,SOL,36412,0.00173,10.006,0.0,True,0.00173
BTC_UP,chain,1001-1500,SUI,1763,0.00443,5.95,0.0,True,0.00443
BTC_UP,chain,1001-1500,TRX,2384,-0.00258,-3.902,9.5e-05,True,0.00258
BTC_UP,chain,1001-1500,WAN,410,0.0049,3.295,0.000983,True,0.0049
BTC_UP,chain,1001-1500,WAVES,387,-0.00632,-3.968,7.2e-05,True,0.00632
BTC_UP,chain,1001-1500,XDC,471,-0.00243,-1.975,0.04827,True,0.00243
BTC_UP,chain,1001-1500,XLM,215,-0.00151,-0.668,0.504055,True,0.00151
BTC_UP,chain,1001-1500,XRP,607,0.00681,4.464,8e-06,True,0.00681
BTC_UP,chain,1001-1500,ZK,535,0.00421,2.845,0.004445,True,0.00421
BTC_UP,chain,1501-2000,,122646,0.00038,3.913,9.1e-05,True,0.00038
BTC_UP,chain,1501-2000,-,6906,0.00333,8.184,0.0,True,0.00333
BTC_UP,chain,1501-2000,A,1555,-0.00045,-0.521,0.602598,True,0.00045
BTC_UP,chain,1501-2000,ADA,1151,0.00181,2.556,0.010597,True,0.00181
BTC_UP,chain,1501-2000,ALGO,258,-0.00112,-0.522,0.601993,True,0.00112
BTC_UP,chain,1501-2000,APT,323,0.00272,1.411,0.158187,True,0.00272
BTC_UP,chain,1501-2000,ARB,3168,-0.0008,-1.383,0.166769,True,0.0008
BTC_UP,chain,1501-2000,ARBITRUM,241,-0.00454,-2.151,0.031457,True,0.00454
BTC_UP,chain,1501-2000,AVAX,2759,0.00207,3.257,0.001127,True,0.00207
BTC_UP,chain,1501-2000,BITCI,341,-0.00892,-4.964,1e-06,True,0.00892
BTC_UP,chain,1501-2000,BNB,73823,-0.00204,-17.679,0.0,True,0.00204
BTC_UP,chain,1501-2000,BTC,601,-0.00069,-0.521,0.602434,True,0.00069
BTC_UP,chain,1501-2000,CELO,296,-0.00395,-3.005,0.002657,True,0.00395
BTC_UP,chain,1501-2000,CHZ,675,0.00112,0.954,0.340039,True,0.00112
BTC_UP,chain,1501-2000,CRO,361,0.00472,3.491,0.000482,True,0.00472
BTC_UP,chain,1501-2000,EGLD,536,0.0083,6.673,0.0,True,0.0083
BTC_UP,chain,1501-2000,ETH,269559,-0.0003,-4.647,3e-06,True,0.0003
BTC_UP,chain,1501-2000,FTM,374,0.00481,2.516,0.011883,True,0.00481
BTC_UP,chain,1501-2000,GLMR,490,0.00666,4.178,2.9e-05,True,0.00666
BTC_UP,chain,1501-2000,GRAM,1345,-0.00131,-1.554,0.120121,True,0.00131
BTC_UP,chain,1501-2000,HBAR,324,0.00357,1.736,0.082631,True,0.00357
BTC_UP,chain,1501-2000,HT,415,-0.00296,-1.829,0.067435,True,0.00296
BTC_UP,chain,1501-2000,ICP,617,0.00894,7.197,0.0,True,0.00894
BTC_UP,chain,1501-2000,KAIA,1844,-0.00169,-2.412,0.01585,True,0.00169
BTC_UP,chain,1501-2000,LINEA,284,0.00444,2.709,0.006744,True,0.00444
BTC_UP,chain,1501-2000,NEO,947,-0.0013,-1.095,0.273411,True,0.0013
BTC_UP,chain,1501-2000,OKB,238,0.01257,9.93,0.0,True,0.01257
BTC_UP,chain,1501-2000,OP,322,0.00701,4.329,1.5e-05,True,0.00701
BTC_UP,chain,1501-2000,OSMO,1004,0.00257,2.345,0.019025,True,0.00257
BTC_UP,chain,1501-2000,POL,8693,-0.00285,-8.241,0.0,True,0.00285
BTC_UP,chain,1501-2000,SOL,39319,0.00218,12.707,0.0,True,0.00218
BTC_UP,chain,1501-2000,SUI,1128,-0.00127,-1.195,0.232165,True,0.00127
BTC_UP,chain,1501-2000,TRX,2145,-0.00184,-2.577,0.009973,True,0.00184
BTC_UP,chain,1501-2000,VET,399,0.00186,0.986,0.323905,True,0.00186
BTC_UP,chain,1501-2000,WAVES,748,-0.00141,-1.11,0.267179,True,0.00141
BTC_UP,chain,1501-2000,XDC,253,-0.00191,-1.57,0.116428,True,0.00191
BTC_UP,chain,1501-2000,XLM,276,-0.00052,-0.245,0.806831,True,0.00052
BTC_UP,chain,1501-2000,XRP,420,0.00137,0.871,0.383489,True,0.00137
BTC_UP,chain,1501-2000,ZK,818,0.0024,2.162,0.030596,True,0.0024
BTC_UP,sector,501-750,,45122,-0.00071,-4.413,1e-05,True,0.00071
BTC_UP,sector,501-750,ai-big-data,10749,0.00477,14.654,0.0,True,0.00477
BTC_UP,sector,501-750,analytics,580,0.00668,5.231,0.0,True,0.00668
BTC_UP,sector,501-750,arbitrum,215,-0.00097,-0.583,0.559695,True,0.00097
BTC_UP,sector,501-750,art,217,0.00797,3.521,0.00043,True,0.00797
BTC_UP,sector,501-750,asset-management,3273,0.00073,1.286,0.198287,True,0.00073
BTC_UP,sector,501-750,avalanche,266,0.00035,0.175,0.86077,True,0.00035
BTC_UP,sector,501-750,base,335,0.00217,1.192,0.23341,True,0.00217
BTC_UP,sector,501-750,binance-chain,697,-0.0047,-3.79,0.000151,True,0.0047
BTC_UP,sector,501-750,binance-labs-portfolio,301,0.00219,1.243,0.214015,True,0.00219
BTC_UP,sector,501-750,binance-launchpad,650,0.00415,4.118,3.8e-05,True,0.00415
BTC_UP,sector,501-750,binance-smart-chain,1999,0.00108,1.404,0.160205,True,0.00108
BTC_UP,sector,501-750,bitcoin,669,-0.00322,-2.917,0.003535,True,0.00322
BTC_UP,sector,501-750,bnb-chain,4157,-0.00061,-1.411,0.158137,True,0.00061
BTC_UP,sector,501-750,centralized-exchange,1341,-0.00019,-0.24,0.810518,True,0.00019
BTC_UP,sector,501-750,coinbase-ventures-portfolio,235,0.00372,1.628,0.103506,True,0.00372
BTC_UP,sector,501-750,collectibles-nfts,16629,0.00277,11.686,0.0,True,0.00277
BTC_UP,sector,501-750,commodities,253,-0.00129,-0.767,0.443001,True,0.00129
BTC_UP,sector,501-750,communications-social-media,1858,-0.00071,-0.989,0.322429,True,0.00071
BTC_UP,sector,501-750,cosmos,4533,0.00026,0.595,0.551979,True,0.00026
BTC_UP,sector,501-750,cross-chain,234,-0.00125,-0.761,0.446776,True,0.00125
BTC_UP,sector,501-750,cybersecurity,2684,0.00253,4.496,7e-06,True,0.00253
BTC_UP,sector,501-750,dag,913,0.00569,5.948,0.0,True,0.00569
BTC_UP,sector,501-750,dao,1971,0.00188,3.028,0.002465,True,0.00188
BTC_UP,sector,501-750,decentralized-exchange,1827,0.00161,2.14,0.032323,True,0.00161
BTC_UP,sector,501-750,decentralized-exchange-dex-token,5008,0.00248,6.379,0.0,True,0.00248
BTC_UP,sector,501-750,defi,32522,0.00207,12.973,0.0,True,0.00207
BTC_UP,sector,501-750,derivatives,278,0.00745,4.538,6e-06,True,0.00745
BTC_UP,sector,501-750,distributed-computing,2766,-0.00134,-2.173,0.029756,True,0.00134
BTC_UP,sector,501-750,dpos,1008,-0.00191,-2.216,0.026707,True,0.00191
BTC_UP,sector,501-750,dwf-labs-portfolio,649,0.00068,0.606,0.54482,True,0.00068
BTC_UP,sector,501-750,education,767,0.00388,3.461,0.000538,True,0.00388
BTC_UP,sector,501-750,energy,926,0.0017,1.591,0.111568,True,0.0017
BTC_UP,sector,501-750,enterprise-solutions,407,0.0017,1.068,0.285528,True,0.0017
BTC_UP,sector,501-750,ethereum,9515,-0.00096,-3.393,0.000691,True,0.00096
BTC_UP,sector,501-750,events,526,0.00672,4.826,1e-06,True,0.00672
BTC_UP,sector,501-750,exnetwork-capital-portfolio,635,-0.00149,-1.159,0.246521,True,0.00149
BTC_UP,sector,501-750,fan-token,961,-0.00154,-1.833,0.066775,True,0.00154
BTC_UP,sector,501-750,fantom,288,0.01176,6.26,0.0,True,0.01176
BTC_UP,sector,501-750,filesharing,331,0.00579,3.119,0.001816,True,0.00579
BTC_UP,sector,501-750,gambling,1087,0.00181,1.702,0.088694,True,0.00181
BTC_UP,sector,501-750,gaming,4888,0.00177,3.85,0.000118,True,0.00177
BTC_UP,sector,501-750,hardware,822,0.00092,0.966,0.334167,True,0.00092
BTC_UP,sector,501-750,health,1098,-0.001,-1.1,0.27114,True,0.001
BTC_UP,sector,501-750,hospitality,583,0.00535,4.989,1e-06,True,0.00535
BTC_UP,sector,501-750,hybrid-pow-pos,454,0.0034,2.159,0.030862,True,0.0034
BTC_UP,sector,501-750,identity,319,-0.00669,-3.921,8.8e-05,True,0.00669
BTC_UP,sector,501-750,insurance,602,0.00223,1.558,0.119181,True,0.00223
BTC_UP,sector,501-750,interoperability,1667,0.00268,3.621,0.000294,True,0.00268
BTC_UP,sector,501-750,iot,762,0.00144,1.215,0.224362,True,0.00144
BTC_UP,sector,501-750,launchpad,356,0.00144,0.791,0.42914,True,0.00144
BTC_UP,sector,501-750,layer-1,552,-0.00029,-0.231,0.817089,True,0.00029
BTC_UP,sector,501-750,logistics,1291,0.00626,6.559,0.0,True,0.00626
BTC_UP,sector,501-750,lpos,262,-0.00045,-0.246,0.805591,True,0.00045
BTC_UP,sector,501-750,marketing,1455,0.00375,4.993,1e-06,True,0.00375
BTC_UP,sector,501-750,marketplace,9038,0.00186,5.7,0.0,True,0.00186
BTC_UP,sector,501-750,media,6326,0.00265,6.982,0.0,True,0.00265
BTC_UP,sector,501-750,medium-of-exchange,2995,-0.00142,-2.67,0.007587,True,0.00142
BTC_UP,sector,501-750,memes,10593,0.00577,16.717,0.0,True,0.00577
BTC_UP,sector,501-750,metaverse,543,0.00232,1.855,0.06357,True,0.00232
BTC_UP,sector,501-750,mineable,15514,0.00205,7.958,0.0,True,0.00205
BTC_UP,sector,501-750,music,360,0.00013,0.082,0.934734,True,0.00013
BTC_UP,sector,501-750,mvb,233,0.00107,0.616,0.5381,True,0.00107
BTC_UP,sector,501-750,optimism,358,0.00435,2.633,0.008467,True,0.00435
BTC_UP,sector,501-750,oracles,368,0.00148,0.709,0.478101,True,0.00148
BTC_UP,sector,501-750,osmosis,223,-0.0025,-1.162,0.245267,True,0.0025
BTC_UP,sector,501-750,payments,546,-0.00368,-2.548,0.010849,True,0.00368
BTC_UP,sector,501-750,platform,15719,0.00319,12.883,0.0,True,0.00319
BTC_UP,sector,501-750,polkadot,953,0.00298,2.772,0.005571,True,0.00298
BTC_UP,sector,501-750,polkastarter,235,0.00395,1.57,0.116449,True,0.00395
BTC_UP,sector,501-750,polygon,854,-0.00101,-1.104,0.269747,True,0.00101
BTC_UP,sector,501-750,pos,2433,0.00316,5.251,0.0,True,0.00316
BTC_UP,sector,501-750,pow,813,9e-05,0.085,0.932156,True,9e-05
BTC_UP,sector,501-750,prediction-markets,375,0.00233,1.803,0.071442,True,0.00233
BTC_UP,sector,501-750,privacy,1891,-0.0016,-2.267,0.023401,True,0.0016
BTC_UP,sector,501-750,real-estate,1078,0.00562,5.338,0.0,True,0.00562
BTC_UP,sector,501-750,real-world-assets,332,0.00523,2.734,0.006257,True,0.00523
BTC_UP,sector,501-750,retail,519,0.00816,6.085,0.0,True,0.00816
BTC_UP,sector,501-750,scaling,773,0.00049,0.527,0.598531,True,0.00049
BTC_UP,sector,501-750,services,4467,0.00219,4.379,1.2e-05,True,0.00219
BTC_UP,sector,501-750,smart-contracts,389,-0.00403,-2.452,0.014189,True,0.00403
BTC_UP,sector,501-750,solana,2286,0.00345,4.787,2e-06,True,0.00345
BTC_UP,sector,501-750,spartan-group,222,0.00186,0.805,0.420535,True,0.00186
BTC_UP,sector,501-750,sports,2947,-0.00207,-4.425,1e-05,True,0.00207
BTC_UP,sector,501-750,stablecoin,3892,-0.00938,-29.67,0.0,True,0.00938
BTC_UP,sector,501-750,staking,223,-0.00426,-1.921,0.054763,True,0.00426
BTC_UP,sector,501-750,store-of-value,978,-0.00754,-10.783,0.0,True,0.00754
BTC_UP,sector,501-750,substrate,289,-0.00148,-0.757,0.448925,True,0.00148
BTC_UP,sector,501-750,tokenized-stock,917,-0.01681,-20.966,0.0,True,0.01681
BTC_UP,sector,501-750,trustswap-launchpad,289,0.00135,0.615,0.538297,True,0.00135
BTC_UP,sector,501-750,vr-ar,1401,0.00406,5.12,0.0,True,0.00406
BTC_UP,sector,501-750,wallet,852,0.00032,0.339,0.734561,True,0.00032
BTC_UP,sector,501-750,web3,247,-0.00295,-1.803,0.071333,True,0.00295
BTC_UP,sector,501-750,yield-farming,834,0.00201,1.828,0.067623,True,0.00201
BTC_UP,sector,501-750,zero-knowledge-proofs,605,0.00437,3.661,0.000251,True,0.00437
BTC_UP,sector,751-1000,,52666,-0.00051,-3.456,0.000549,True,0.00051
BTC_UP,sector,751-1000,ai-big-data,11054,0.00341,10.578,0.0,True,0.00341
BTC_UP,sector,751-1000,alameda-research-portfolio,342,0.00145,0.83,0.40654,True,0.00145
BTC_UP,sector,751-1000,algorand,327,-0.00533,-3.7,0.000216,True,0.00533
BTC_UP,sector,751-1000,amm,389,0.00327,2.073,0.038162,True,0.00327
BTC_UP,sector,751-1000,art,233,0.0042,1.885,0.059393,True,0.0042
BTC_UP,sector,751-1000,asset-management,4229,0.00124,2.321,0.020303,True,0.00124
BTC_UP,sector,751-1000,avalanche,639,-0.00388,-3.434,0.000594,True,0.00388
BTC_UP,sector,751-1000,base,407,-0.00041,-0.246,0.805519,True,0.00041
BTC_UP,sector,751-1000,binance-chain,558,-0.00269,-2.124,0.033684,True,0.00269
BTC_UP,sector,751-1000,binance-labs-portfolio,223,0.00451,2.109,0.034906,True,0.00451
BTC_UP,sector,751-1000,binance-launchpad,350,0.00776,5.881,0.0,True,0.00776
BTC_UP,sector,751-1000,binance-smart-chain,2112,0.00177,2.312,0.020779,True,0.00177
BTC_UP,sector,751-1000,bitcoin,324,-0.00319,-1.869,0.061629,True,0.00319
BTC_UP,sector,751-1000,bnb-chain,5128,0.00162,4.08,4.5e-05,True,0.00162
BTC_UP,sector,751-1000,cardano,300,0.00394,2.42,0.015517,True,0.00394
BTC_UP,sector,751-1000,centralized-exchange,1465,-0.00171,-2.355,0.018516,True,0.00171
BTC_UP,sector,751-1000,coinbase-ventures-portfolio,269,-0.00417,-2.056,0.039805,True,0.00417
BTC_UP,sector,751-1000,collectibles-nfts,15343,0.00231,8.958,0.0,True,0.00231
BTC_UP,sector,751-1000,communications-social-media,2307,0.00157,2.372,0.017673,True,0.00157
BTC_UP,sector,751-1000,content-creation,287,-0.00614,-2.969,0.002992,True,0.00614
BTC_UP,sector,751-1000,cosmos,3213,0.0008,1.5,0.133617,True,0.0008
BTC_UP,sector,751-1000,crowdfunding,268,-0.00252,-1.373,0.1698,True,0.00252
BTC_UP,sector,751-1000,cybersecurity,2017,0.00253,3.708,0.000209,True,0.00253
BTC_UP,sector,751-1000,dag,1360,0.00081,1.093,0.274366,True,0.00081
BTC_UP,sector,751-1000,dao,1503,0.00279,3.525,0.000424,True,0.00279
BTC_UP,sector,751-1000,dao-maker,217,-0.00317,-1.36,0.173859,True,0.00317
BTC_UP,sector,751-1000,data-provenance,221,-0.00025,-0.119,0.905105,True,0.00025
BTC_UP,sector,751-1000,decentralized-exchange,1722,-0.00178,-2.251,0.024376,True,0.00178
BTC_UP,sector,751-1000,decentralized-exchange-dex-token,5060,0.003,7.762,0.0,True,0.003
BTC_UP,sector,751-1000,defi,24494,0.00191,10.102,0.0,True,0.00191
BTC_UP,sector,751-1000,derivatives,274,0.00241,1.415,0.156989,True,0.00241
BTC_UP,sector,751-1000,distributed-computing,2858,-0.00022,-0.377,0.706028,True,0.00022
BTC_UP,sector,751-1000,dpos,725,0.0012,0.986,0.323991,True,0.0012
BTC_UP,sector,751-1000,duckstarter,202,0.00412,1.608,0.107861,True,0.00412
BTC_UP,sector,751-1000,dwf-labs-portfolio,540,0.00111,0.804,0.421507,True,0.00111
BTC_UP,sector,751-1000,e-commerce,237,0.00116,0.555,0.578826,True,0.00116
BTC_UP,sector,751-1000,education,556,0.0046,3.495,0.000475,True,0.0046
BTC_UP,sector,751-1000,energy,954,0.00013,0.131,0.895673,True,0.00013
BTC_UP,sector,751-1000,enterprise-solutions,411,0.00519,3.354,0.000796,True,0.00519
BTC_UP,sector,751-1000,ethereum,10515,-0.00128,-4.711,2e-06,True,0.00128
BTC_UP,sector,751-1000,events,828,0.00248,2.163,0.030558,True,0.00248
BTC_UP,sector,751-1000,exnetwork-capital-portfolio,311,0.0045,2.363,0.018144,True,0.0045
BTC_UP,sector,751-1000,fan-token,1063,0.00014,0.163,0.870345,True,0.00014
BTC_UP,sector,751-1000,fantom,429,0.00645,3.635,0.000278,True,0.00645
BTC_UP,sector,751-1000,filesharing,553,0.00425,2.744,0.006077,True,0.00425
BTC_UP,sector,751-1000,gambling,2162,0.00372,5.067,0.0,True,0.00372
BTC_UP,sector,751-1000,gaming,5671,0.00062,1.445,0.14839,True,0.00062
BTC_UP,sector,751-1000,hardware,345,-0.00281,-1.964,0.04955,True,0.00281
BTC_UP,sector,751-1000,health,1288,0.00047,0.513,0.608301,True,0.00047
BTC_UP,sector,751-1000,hospitality,496,0.00495,3.427,0.000611,True,0.00495
BTC_UP,sector,751-1000,hybrid-pow-pos,544,0.00282,1.896,0.057925,True,0.00282
BTC_UP,sector,751-1000,identity,418,-0.00096,-0.535,0.592625,True,0.00096
BTC_UP,sector,751-1000,insurance,466,0.00155,1.002,0.31624,True,0.00155
BTC_UP,sector,751-1000,interoperability,757,0.00193,1.615,0.106408,True,0.00193
BTC_UP,sector,751-1000,iot,316,0.00331,1.69,0.091075,True,0.00331
BTC_UP,sector,751-1000,launchpad,686,0.00104,0.843,0.399363,True,0.00104
BTC_UP,sector,751-1000,layer-1,361,-0.00206,-1.451,0.1467,True,0.00206
BTC_UP,sector,751-1000,layer-2,218,0.00172,0.718,0.472527,True,0.00172
BTC_UP,sector,751-1000,logistics,877,0.0045,3.558,0.000374,True,0.0045
BTC_UP,sector,751-1000,marketing,1391,0.00365,4.787,2e-06,True,0.00365
BTC_UP,sector,751-1000,marketplace,8717,0.00073,2.138,0.032476,True,0.00073
BTC_UP,sector,751-1000,masternodes,707,0.00591,4.834,1e-06,True,0.00591
BTC_UP,sector,751-1000,media,2918,0.00319,5.342,0.0,True,0.00319
BTC_UP,sector,751-1000,medium-of-exchange,1870,-0.0009,-1.128,0.25951,True,0.0009
BTC_UP,sector,751-1000,memes,11742,0.00351,10.58,0.0,True,0.00351
BTC_UP,sector,751-1000,metaverse,415,0.00724,4.852,1e-06,True,0.00724
BTC_UP,sector,751-1000,mineable,18215,0.00252,9.951,0.0,True,0.00252
BTC_UP,sector,751-1000,music,214,0.00374,1.707,0.087845,True,0.00374
BTC_UP,sector,751-1000,mvb,208,-0.00015,-0.078,0.937593,True,0.00015
BTC_UP,sector,751-1000,optimism,566,0.00253,1.918,0.055073,True,0.00253
BTC_UP,sector,751-1000,oracles,541,0.0017,1.087,0.277164,True,0.0017
BTC_UP,sector,751-1000,payments,1015,0.00058,0.552,0.58071,True,0.00058
BTC_UP,sector,751-1000,platform,13381,0.00249,8.563,0.0,True,0.00249
BTC_UP,sector,751-1000,polkadot,1170,0.00208,2.145,0.031933,True,0.00208
BTC_UP,sector,751-1000,polkastarter,471,0.00103,0.581,0.561415,True,0.00103
BTC_UP,sector,751-1000,polygon,1049,-0.00219,-2.249,0.024525,True,0.00219
BTC_UP,sector,751-1000,pos,3221,0.0021,3.511,0.000447,True,0.0021
BTC_UP,sector,751-1000,pow,1254,-0.0037,-4.058,4.9e-05,True,0.0037
BTC_UP,sector,751-1000,prediction-markets,363,-0.00116,-0.856,0.392099,True,0.00116
BTC_UP,sector,751-1000,privacy,1443,0.00151,1.91,0.056097,True,0.00151
BTC_UP,sector,751-1000,real-estate,843,0.00189,1.549,0.121445,True,0.00189
BTC_UP,sector,751-1000,real-world-assets,822,0.00325,2.718,0.006563,True,0.00325
BTC_UP,sector,751-1000,retail,210,0.00433,2.026,0.042769,True,0.00433
BTC_UP,sector,751-1000,scaling,237,0.0002,0.125,0.900502,True,0.0002
BTC_UP,sector,751-1000,services,3398,0.00203,3.611,0.000305,True,0.00203
BTC_UP,sector,751-1000,smart-contracts,323,-0.0026,-1.609,0.107591,True,0.0026
BTC_UP,sector,751-1000,solana,2720,0.00225,3.427,0.000611,True,0.00225
BTC_UP,sector,751-1000,sports,5329,-0.00051,-1.499,0.133748,True,0.00051
BTC_UP,sector,751-1000,stablecoin,2786,-0.0063,-17.395,0.0,True,0.0063
