band,atom,streak_len,date,subperiod,tail_after,revert
501-750,VOL_EXPANSION,2,2024-08-26,2024,False,False
501-750,VOL_EXPANSION,2,2024-09-02,2024,False,True
501-750,VOL_EXPANSION,2,2024-09-15,2024,False,True
501-750,VOL_EXPANSION,2,2024-09-19,2024,False,False
501-750,VOL_EXPANSION,2,2024-09-23,2024,False,True
501-750,VOL_EXPANSION,2,2024-09-30,2024,False,False
501-750,VOL_EXPANSION,2,2024-10-03,2024,False,True
501-750,VOL_EXPANSION,2,2024-10-14,2024,False,False
501-750,VOL_EXPANSION,3,2024-11-05,2024,True,False
501-750,VOL_EXPANSION,43,2024-11-09,2024,False,False
501-750,VOL_EXPANSION,2,2024-12-23,2024,False,True
501-750,VOL_EXPANSION,4,2024-12-26,2024,False,False
501-750,VOL_EXPANSION,2,2025-01-02,2025-2026,False,False
501-750,VOL_EXPANSION,4,2025-01-07,2025-2026,False,True
501-750,VOL_EXPANSION,3,2025-01-13,2025-2026,False,True
501-750,VOL_EXPANSION,5,2025-01-17,2025-2026,False,True
501-750,VOL_EXPANSION,5,2025-01-24,2025-2026,False,True
501-750,VOL_EXPANSION,8,2025-02-01,2025-2026,False,True
501-750,VOL_EXPANSION,2,2025-02-21,2025-2026,False,True
501-750,VOL_EXPANSION,3,2025-02-24,2025-2026,False,True
501-750,VOL_EXPANSION,3,2025-03-02,2025-2026,False,True
501-750,VOL_EXPANSION,3,2025-03-09,2025-2026,False,False
501-750,VOL_EXPANSION,2,2025-03-16,2025-2026,False,True
501-750,VOL_EXPANSION,2,2025-03-28,2025-2026,False,False
501-750,VOL_EXPANSION,4,2025-04-06,2025-2026,False,True
501-750,VOL_EXPANSION,2,2025-04-12,2025-2026,False,True
501-750,VOL_EXPANSION,3,2025-04-18,2025-2026,False,False
501-750,VOL_EXPANSION,4,2025-04-24,2025-2026,False,True
501-750,VOL_EXPANSION,2,2025-04-30,2025-2026,True,True
501-750,VOL_EXPANSION,2,2025-05-03,2025-2026,True,False
501-750,VOL_EXPANSION,3,2025-05-08,2025-2026,False,True
501-750,VOL_EXPANSION,4,2025-05-12,2025-2026,False,False
501-750,VOL_EXPANSION,2,2025-05-18,2025-2026,False,True
501-750,VOL_EXPANSION,2,2025-05-22,2025-2026,False,True
501-750,VOL_EXPANSION,3,2025-05-29,2025-2026,False,True
501-750,VOL_EXPANSION,2,2025-06-11,2025-2026,False,False
501-750,VOL_EXPANSION,4,2025-06-20,2025-2026,False,False
501-750,VOL_EXPANSION,2,2025-07-01,2025-2026,False,True
501-750,VOL_EXPANSION,4,2025-07-09,2025-2026,True,True
501-750,VOL_EXPANSION,2,2025-07-27,2025-2026,False,False
501-750,VOL_EXPANSION,4,2025-08-11,2025-2026,False,False
501-750,VOL_EXPANSION,2,2025-08-22,2025-2026,False,True
501-750,VOL_EXPANSION,2,2025-08-27,2025-2026,False,True
501-750,VOL_EXPANSION,2,2025-09-25,2025-2026,False,True
501-750,VOL_EXPANSION,2,2025-10-01,2025-2026,False,False
501-750,VOL_EXPANSION,2,2025-10-06,2025-2026,True,True
501-750,VOL_EXPANSION,4,2025-10-10,2025-2026,False,True
501-750,VOL_EXPANSION,2,2025-10-15,2025-2026,False,False
501-750,VOL_EXPANSION,2,2025-10-27,2025-2026,True,False
501-750,VOL_EXPANSION,3,2025-11-03,2025-2026,True,True
501-750,VOL_EXPANSION,3,2025-11-19,2025-2026,False,False
501-750,VOL_EXPANSION,2,2025-12-01,2025-2026,False,False
501-750,VOL_EXPANSION,2,2025-12-14,2025-2026,False,False
501-750,VOL_EXPANSION,3,2025-12-17,2025-2026,False,False
501-750,VOL_EXPANSION,3,2026-01-18,2025-2026,False,True
501-750,VOL_EXPANSION,2,2026-01-25,2025-2026,True,False
501-750,VOL_EXPANSION,2,2026-01-31,2025-2026,True,True
501-750,VOL_EXPANSION,2,2026-02-05,2025-2026,False,True
501-750,VOL_EXPANSION,4,2026-02-12,2025-2026,False,True
501-750,VOL_EXPANSION,2,2026-04-07,2025-2026,False,True
501-750,VOL_EXPANSION,3,2026-04-12,2025-2026,False,True
501-750,VOL_EXPANSION,5,2026-04-16,2025-2026,False,False
501-750,VOL_EXPANSION,3,2026-05-11,2025-2026,False,True
501-750,VOL_EXPANSION,3,2026-05-15,2025-2026,False,True
501-750,VOL_EXPANSION,5,2026-06-01,2025-2026,False,False
501-750,VOL_EXPANSION,3,2026-06-09,2025-2026,False,True
501-750,VOL_EXPANSION,2,2026-06-15,2025-2026,False,False
501-750,VOL_EXPANSION,3,2026-06-23,2025-2026,False,True
501-750,VOL_EXPANSION,4,2026-06-30,2025-2026,False,False
501-750,VOL_EXPANSION,2,2026-07-07,2025-2026,False,True
501-750,VOL_EXPANSION,2,2026-07-13,2025-2026,False,False
501-750,VOL_EXPANSION,5,2026-07-27,2025-2026,False,False
501-750,VOL_EXPANSION,4,2026-08-19,2025-2026,,
501-750,BAND_RISK_ON,4,2020-09-09,2020-2021,False,True
501-750,BAND_RISK_ON,3,2020-09-24,2020-2021,False,True
501-750,BAND_RISK_ON,2,2020-09-29,2020-2021,False,True
501-750,BAND_RISK_ON,6,2020-10-07,2020-2021,False,True
501-750,BAND_RISK_ON,2,2020-10-17,2020-2021,False,True
501-750,BAND_RISK_ON,2,2020-10-21,2020-2021,True,True
501-750,BAND_RISK_ON,2,2020-11-16,2020-2021,False,True
501-750,BAND_RISK_ON,2,2020-11-20,2020-2021,False,True
501-750,BAND_RISK_ON,2,2020-11-23,2020-2021,False,True
501-750,BAND_RISK_ON,2,2020-11-28,2020-2021,False,True
501-750,BAND_RISK_ON,2,2020-12-02,2020-2021,False,True
501-750,BAND_RISK_ON,2,2020-12-05,2020-2021,False,True
501-750,BAND_RISK_ON,3,2020-12-12,2020-2021,False,True
501-750,BAND_RISK_ON,2,2020-12-18,2020-2021,True,True
501-750,BAND_RISK_ON,3,2020-12-24,2020-2021,False,True
501-750,BAND_RISK_ON,5,2020-12-30,2020-2021,False,True
501-750,BAND_RISK_ON,4,2021-01-05,2020-2021,False,True
501-750,BAND_RISK_ON,2,2021-01-13,2020-2021,False,True
501-750,BAND_RISK_ON,4,2021-01-17,2020-2021,False,True
501-750,BAND_RISK_ON,3,2021-01-28,2020-2021,False,True
501-750,BAND_RISK_ON,3,2021-02-01,2020-2021,False,True
501-750,BAND_RISK_ON,6,2021-02-08,2020-2021,False,True
501-750,BAND_RISK_ON,4,2021-02-16,2020-2021,False,True
501-750,BAND_RISK_ON,5,2021-03-05,2020-2021,False,True
501-750,BAND_RISK_ON,3,2021-03-11,2020-2021,False,True
501-750,BAND_RISK_ON,5,2021-03-16,2020-2021,False,True
501-750,BAND_RISK_ON,8,2021-03-26,2020-2021,False,True
501-750,BAND_RISK_ON,2,2021-04-08,2020-2021,False,True
501-750,BAND_RISK_ON,2,2021-04-26,2020-2021,False,True
501-750,BAND_RISK_ON,2,2021-04-30,2020-2021,False,True
501-750,BAND_RISK_ON,3,2021-05-24,2020-2021,False,True
501-750,BAND_RISK_ON,4,2021-05-30,2020-2021,False,True
501-750,BAND_RISK_ON,2,2021-06-13,2020-2021,False,True
501-750,BAND_RISK_ON,2,2021-06-23,2020-2021,False,True
501-750,BAND_RISK_ON,3,2021-06-27,2020-2021,False,True
501-750,BAND_RISK_ON,3,2021-07-02,2020-2021,False,True
501-750,BAND_RISK_ON,2,2021-07-06,2020-2021,False,True
501-750,BAND_RISK_ON,11,2021-07-21,2020-2021,False,True
501-750,BAND_RISK_ON,4,2021-08-04,2020-2021,False,True
501-750,BAND_RISK_ON,2,2021-08-19,2020-2021,False,True
501-750,BAND_RISK_ON,2,2021-08-31,2020-2021,False,True
501-750,BAND_RISK_ON,4,2021-09-03,2020-2021,False,True
501-750,BAND_RISK_ON,2,2021-09-11,2020-2021,False,True
501-750,BAND_RISK_ON,2,2021-09-14,2020-2021,False,True
501-750,BAND_RISK_ON,2,2021-09-22,2020-2021,False,True
501-750,BAND_RISK_ON,3,2021-09-30,2020-2021,False,True
501-750,BAND_RISK_ON,3,2021-10-05,2020-2021,False,True
501-750,BAND_RISK_ON,2,2021-10-13,2020-2021,False,True
501-750,BAND_RISK_ON,2,2021-10-19,2020-2021,False,True
501-750,BAND_RISK_ON,2,2021-10-28,2020-2021,False,True
501-750,BAND_RISK_ON,4,2021-10-31,2020-2021,False,True
501-750,BAND_RISK_ON,3,2021-11-06,2020-2021,False,True
501-750,BAND_RISK_ON,2,2021-11-19,2020-2021,False,True
501-750,BAND_RISK_ON,3,2021-11-27,2020-2021,False,True
501-750,BAND_RISK_ON,3,2021-12-06,2020-2021,False,True
501-750,BAND_RISK_ON,2,2021-12-11,2020-2021,False,True
501-750,BAND_RISK_ON,2,2021-12-14,2020-2021,False,True
501-750,BAND_RISK_ON,3,2021-12-21,2020-2021,False,True
501-750,BAND_RISK_ON,2,2022-01-28,2022,False,True
501-750,BAND_RISK_ON,2,2022-01-31,2022,False,True
501-750,BAND_RISK_ON,4,2022-02-04,2022,False,True
501-750,BAND_RISK_ON,2,2022-02-14,2022,False,True
501-750,BAND_RISK_ON,2,2022-02-25,2022,False,True
501-750,BAND_RISK_ON,2,2022-02-28,2022,False,True
501-750,BAND_RISK_ON,2,2022-03-08,2022,False,True
501-750,BAND_RISK_ON,4,2022-03-16,2022,False,True
501-750,BAND_RISK_ON,4,2022-03-21,2022,False,True
501-750,BAND_RISK_ON,5,2022-03-26,2022,False,True
501-750,BAND_RISK_ON,2,2022-04-12,2022,False,True
501-750,BAND_RISK_ON,3,2022-05-13,2022,False,True
501-750,BAND_RISK_ON,2,2022-05-21,2022,False,True
501-750,BAND_RISK_ON,3,2022-05-28,2022,False,True
501-750,BAND_RISK_ON,2,2022-06-14,2022,False,True
501-750,BAND_RISK_ON,3,2022-06-19,2022,False,True
501-750,BAND_RISK_ON,3,2022-06-23,2022,False,True
501-750,BAND_RISK_ON,2,2022-07-06,2022,False,True
501-750,BAND_RISK_ON,4,2022-07-13,2022,False,True
501-750,BAND_RISK_ON,2,2022-07-18,2022,False,True
501-750,BAND_RISK_ON,2,2022-07-23,2022,False,True
501-750,BAND_RISK_ON,3,2022-07-27,2022,False,True
501-750,BAND_RISK_ON,2,2022-08-07,2022,False,True
501-750,BAND_RISK_ON,2,2022-08-20,2022,False,True
501-750,BAND_RISK_ON,4,2022-09-07,2022,False,True
501-750,BAND_RISK_ON,2,2022-10-03,2022,False,True
501-750,BAND_RISK_ON,4,2022-10-14,2022,False,True
501-750,BAND_RISK_ON,3,2022-10-21,2022,False,True
501-750,BAND_RISK_ON,2,2022-10-25,2022,False,True
501-750,BAND_RISK_ON,2,2022-10-28,2022,False,True
501-750,BAND_RISK_ON,3,2022-11-03,2022,True,True
501-750,BAND_RISK_ON,2,2022-11-14,2022,False,True
501-750,BAND_RISK_ON,2,2022-11-22,2022,False,True
501-750,BAND_RISK_ON,2,2022-11-29,2022,False,True
501-750,BAND_RISK_ON,2,2022-12-23,2022,False,True
501-750,BAND_RISK_ON,2,2023-01-01,2023,False,True
501-750,BAND_RISK_ON,12,2023-01-06,2023,False,True
501-750,BAND_RISK_ON,2,2023-01-19,2023,False,True
501-750,BAND_RISK_ON,2,2023-01-22,2023,False,True
501-750,BAND_RISK_ON,3,2023-01-25,2023,False,True
501-750,BAND_RISK_ON,5,2023-01-31,2023,True,True
501-750,BAND_RISK_ON,2,2023-02-06,2023,True,True
501-750,BAND_RISK_ON,2,2023-02-10,2023,False,True
501-750,BAND_RISK_ON,2,2023-02-14,2023,False,True
501-750,BAND_RISK_ON,2,2023-02-17,2023,False,True
501-750,BAND_RISK_ON,3,2023-03-12,2023,False,True
501-750,BAND_RISK_ON,2,2023-03-16,2023,False,True
501-750,BAND_RISK_ON,2,2023-03-28,2023,False,True
501-750,BAND_RISK_ON,2,2023-04-04,2023,False,True
501-750,BAND_RISK_ON,3,2023-04-08,2023,False,True
501-750,BAND_RISK_ON,2,2023-04-13,2023,False,True
501-750,BAND_RISK_ON,2,2023-05-19,2023,False,True
501-750,BAND_RISK_ON,3,2023-05-26,2023,True,True
501-750,BAND_RISK_ON,3,2023-06-15,2023,False,True
501-750,BAND_RISK_ON,3,2023-06-19,2023,False,True
501-750,BAND_RISK_ON,3,2023-06-29,2023,False,True
501-750,BAND_RISK_ON,2,2023-07-07,2023,False,True
501-750,BAND_RISK_ON,4,2023-07-25,2023,False,True
501-750,BAND_RISK_ON,2,2023-08-06,2023,False,True
501-750,BAND_RISK_ON,2,2023-08-12,2023,False,True
501-750,BAND_RISK_ON,2,2023-08-19,2023,False,True
501-750,BAND_RISK_ON,3,2023-09-12,2023,False,True
501-750,BAND_RISK_ON,2,2023-09-18,2023,False,True
501-750,BAND_RISK_ON,2,2023-09-22,2023,False,True
501-750,BAND_RISK_ON,4,2023-09-28,2023,False,True
501-750,BAND_RISK_ON,4,2023-10-13,2023,False,True
501-750,BAND_RISK_ON,7,2023-10-20,2023,False,True
501-750,BAND_RISK_ON,3,2023-10-28,2023,False,True
501-750,BAND_RISK_ON,4,2023-11-03,2023,True,True
501-750,BAND_RISK_ON,4,2023-11-08,2023,True,True
501-750,BAND_RISK_ON,3,2023-11-22,2023,False,True
501-750,BAND_RISK_ON,3,2023-11-30,2023,True,True
501-750,BAND_RISK_ON,5,2023-12-04,2023,True,True
501-750,BAND_RISK_ON,2,2023-12-13,2023,False,True
501-750,BAND_RISK_ON,4,2023-12-20,2023,False,True
501-750,BAND_RISK_ON,2,2024-01-10,2024,False,True
501-750,BAND_RISK_ON,2,2024-01-20,2024,False,True
501-750,BAND_RISK_ON,2,2024-01-26,2024,False,True
501-750,BAND_RISK_ON,2,2024-02-01,2024,False,True
501-750,BAND_RISK_ON,4,2024-02-06,2024,False,True
501-750,BAND_RISK_ON,3,2024-02-14,2024,False,True
501-750,BAND_RISK_ON,2,2024-02-18,2024,False,True
501-750,BAND_RISK_ON,9,2024-02-24,2024,True,True
501-750,BAND_RISK_ON,4,2024-03-06,2024,True,True
501-750,BAND_RISK_ON,3,2024-03-11,2024,False,True
501-750,BAND_RISK_ON,3,2024-03-23,2024,False,True
501-750,BAND_RISK_ON,3,2024-04-06,2024,False,True
501-750,BAND_RISK_ON,3,2024-04-18,2024,False,True
501-750,BAND_RISK_ON,4,2024-05-02,2024,False,True
501-750,BAND_RISK_ON,2,2024-05-24,2024,False,True
501-750,BAND_RISK_ON,3,2024-06-03,2024,False,True
501-750,BAND_RISK_ON,2,2024-06-15,2024,False,True
501-750,BAND_RISK_ON,2,2024-06-19,2024,False,True
501-750,BAND_RISK_ON,3,2024-07-08,2024,False,True
501-750,BAND_RISK_ON,4,2024-07-12,2024,False,True
501-750,BAND_RISK_ON,2,2024-08-12,2024,True,True
501-750,BAND_RISK_ON,7,2024-08-18,2024,False,True
501-750,BAND_RISK_ON,4,2024-09-07,2024,False,True
501-750,BAND_RISK_ON,2,2024-09-12,2024,False,True
501-750,BAND_RISK_ON,5,2024-09-17,2024,False,True
501-750,BAND_RISK_ON,2,2024-09-23,2024,False,True
501-750,BAND_RISK_ON,2,2024-09-26,2024,False,True
501-750,BAND_RISK_ON,2,2024-10-11,2024,False,True
501-750,BAND_RISK_ON,3,2024-10-18,2024,False,True
501-750,BAND_RISK_ON,4,2024-10-26,2024,False,True
501-750,BAND_RISK_ON,7,2024-11-05,2024,True,True
501-750,BAND_RISK_ON,2,2024-11-15,2024,False,True
501-750,BAND_RISK_ON,4,2024-11-21,2024,True,True
501-750,BAND_RISK_ON,3,2024-11-29,2024,True,True
501-750,BAND_RISK_ON,4,2024-12-03,2024,False,True
501-750,BAND_RISK_ON,3,2024-12-11,2024,False,True
501-750,BAND_RISK_ON,2,2024-12-23,2024,False,True
501-750,BAND_RISK_ON,2,2024-12-27,2024,False,True
501-750,BAND_RISK_ON,4,2025-01-01,2025-2026,False,True
501-750,BAND_RISK_ON,2,2025-01-14,2025-2026,False,True
501-750,BAND_RISK_ON,2,2025-01-29,2025-2026,False,True
501-750,BAND_RISK_ON,2,2025-02-07,2025-2026,False,True
501-750,BAND_RISK_ON,2,2025-02-19,2025-2026,False,True
501-750,BAND_RISK_ON,2,2025-03-11,2025-2026,False,True
501-750,BAND_RISK_ON,2,2025-03-14,2025-2026,False,True
501-750,BAND_RISK_ON,2,2025-03-24,2025-2026,False,True
501-750,BAND_RISK_ON,2,2025-04-11,2025-2026,False,True
501-750,BAND_RISK_ON,10,2025-04-17,2025-2026,False,True
501-750,BAND_RISK_ON,3,2025-05-08,2025-2026,False,True
501-750,BAND_RISK_ON,2,2025-05-12,2025-2026,False,True
501-750,BAND_RISK_ON,3,2025-05-20,2025-2026,False,True
501-750,BAND_RISK_ON,2,2025-06-01,2025-2026,False,True
501-750,BAND_RISK_ON,2,2025-06-06,2025-2026,False,True
501-750,BAND_RISK_ON,2,2025-06-09,2025-2026,False,True
501-750,BAND_RISK_ON,2,2025-06-23,2025-2026,False,True
501-750,BAND_RISK_ON,3,2025-06-27,2025-2026,False,True
501-750,BAND_RISK_ON,4,2025-07-08,2025-2026,True,True
501-750,BAND_RISK_ON,7,2025-07-15,2025-2026,False,True
501-750,BAND_RISK_ON,3,2025-07-25,2025-2026,False,True
501-750,BAND_RISK_ON,2,2025-08-03,2025-2026,False,True
501-750,BAND_RISK_ON,4,2025-08-06,2025-2026,False,True
501-750,BAND_RISK_ON,2,2025-08-12,2025-2026,False,True
501-750,BAND_RISK_ON,2,2025-08-22,2025-2026,False,True
501-750,BAND_RISK_ON,2,2025-09-02,2025-2026,False,True
501-750,BAND_RISK_ON,2,2025-09-07,2025-2026,False,True
501-750,BAND_RISK_ON,4,2025-09-10,2025-2026,False,True
501-750,BAND_RISK_ON,3,2025-09-16,2025-2026,True,True
501-750,BAND_RISK_ON,3,2025-10-01,2025-2026,True,True
501-750,BAND_RISK_ON,2,2025-10-12,2025-2026,False,True
501-750,BAND_RISK_ON,3,2025-10-18,2025-2026,False,True
501-750,BAND_RISK_ON,4,2025-10-23,2025-2026,False,True
501-750,BAND_RISK_ON,3,2025-10-31,2025-2026,True,True
501-750,BAND_RISK_ON,2,2025-11-09,2025-2026,False,True
501-750,BAND_RISK_ON,5,2025-11-23,2025-2026,False,True
501-750,BAND_RISK_ON,2,2025-12-02,2025-2026,False,True
501-750,BAND_RISK_ON,2,2025-12-08,2025-2026,False,True
501-750,BAND_RISK_ON,2,2025-12-19,2025-2026,False,True
501-750,BAND_RISK_ON,2,2025-12-26,2025-2026,False,True
501-750,BAND_RISK_ON,6,2026-01-01,2025-2026,False,True
501-750,BAND_RISK_ON,2,2026-01-26,2025-2026,True,True
501-750,BAND_RISK_ON,3,2026-02-12,2025-2026,False,True
501-750,BAND_RISK_ON,3,2026-03-09,2025-2026,False,True
501-750,BAND_RISK_ON,2,2026-03-15,2025-2026,False,True
501-750,BAND_RISK_ON,3,2026-03-23,2025-2026,False,True
501-750,BAND_RISK_ON,3,2026-03-30,2025-2026,False,True
501-750,BAND_RISK_ON,2,2026-04-06,2025-2026,False,True
501-750,BAND_RISK_ON,2,2026-04-09,2025-2026,False,True
501-750,BAND_RISK_ON,3,2026-04-15,2025-2026,False,True
501-750,BAND_RISK_ON,3,2026-04-20,2025-2026,False,True
501-750,BAND_RISK_ON,2,2026-05-01,2025-2026,False,True
501-750,BAND_RISK_ON,3,2026-05-04,2025-2026,False,True
501-750,BAND_RISK_ON,2,2026-05-20,2025-2026,False,True
501-750,BAND_RISK_ON,2,2026-05-30,2025-2026,True,True
501-750,BAND_RISK_ON,3,2026-06-13,2025-2026,False,True
501-750,BAND_RISK_ON,4,2026-07-01,2025-2026,False,True
501-750,BAND_RISK_ON,2,2026-07-09,2025-2026,False,True
501-750,BAND_RISK_ON,2,2026-07-14,2025-2026,False,True
501-750,BAND_RISK_ON,2,2026-07-20,2025-2026,True,True
501-750,BAND_RISK_ON,2,2026-07-25,2025-2026,True,True
501-750,BAND_RISK_ON,2,2026-08-05,2025-2026,False,True
501-750,BAND_RISK_ON,3,2026-08-19,2025-2026,,True
501-750,LOWER_DISPERSION,3,2020-11-16,2020-2021,False,True
501-750,LOWER_DISPERSION,3,2020-11-24,2020-2021,False,False
501-750,LOWER_DISPERSION,7,2021-01-02,2020-2021,False,True
501-750,LOWER_DISPERSION,2,2021-01-21,2020-2021,False,True
501-750,LOWER_DISPERSION,4,2021-02-02,2020-2021,False,True
501-750,LOWER_DISPERSION,2,2021-02-08,2020-2021,False,False
501-750,LOWER_DISPERSION,4,2021-02-11,2020-2021,False,False
501-750,LOWER_DISPERSION,4,2021-02-16,2020-2021,False,True
501-750,LOWER_DISPERSION,5,2021-03-11,2020-2021,False,True
501-750,LOWER_DISPERSION,2,2021-03-19,2020-2021,False,True
501-750,LOWER_DISPERSION,2,2021-04-04,2020-2021,False,True
501-750,LOWER_DISPERSION,3,2021-05-19,2020-2021,True,False
501-750,LOWER_DISPERSION,2,2021-05-23,2020-2021,False,False
501-750,LOWER_DISPERSION,2,2021-06-21,2020-2021,False,True
501-750,LOWER_DISPERSION,3,2022-05-11,2022,True,False
501-750,LOWER_DISPERSION,3,2022-11-08,2022,False,True
501-750,LOWER_DISPERSION,3,2023-02-07,2023,False,True
501-750,LOWER_DISPERSION,2,2023-02-15,2023,False,True
501-750,LOWER_DISPERSION,2,2023-02-20,2023,False,False
501-750,LOWER_DISPERSION,2,2023-06-06,2023,True,True
501-750,LOWER_DISPERSION,2,2023-11-09,2023,True,False
501-750,LOWER_DISPERSION,3,2023-11-13,2023,True,False
501-750,LOWER_DISPERSION,3,2023-11-21,2023,False,False
501-750,LOWER_DISPERSION,5,2023-12-04,2023,True,True
501-750,LOWER_DISPERSION,5,2023-12-24,2023,True,False
501-750,LOWER_DISPERSION,2,2024-01-04,2024,False,False
501-750,LOWER_DISPERSION,2,2024-01-09,2024,False,False
501-750,LOWER_DISPERSION,12,2024-02-27,2024,True,True
501-750,LOWER_DISPERSION,3,2024-03-11,2024,False,True
501-750,LOWER_DISPERSION,5,2024-03-15,2024,False,True
501-750,LOWER_DISPERSION,3,2024-04-12,2024,False,True
501-750,LOWER_DISPERSION,2,2024-11-11,2024,False,False
501-750,LOWER_DISPERSION,2,2024-11-15,2024,False,True
501-750,LOWER_DISPERSION,5,2024-11-23,2024,True,True
501-750,LOWER_DISPERSION,6,2024-11-30,2024,False,False
501-750,LOWER_DISPERSION,2,2025-02-02,2025-2026,False,True
501-750,LOWER_DISPERSION,2,2025-03-02,2025-2026,False,False
501-750,LOWER_DISPERSION,3,2025-05-08,2025-2026,False,True
501-750,LOWER_DISPERSION,2,2025-05-30,2025-2026,False,True
501-750,LOWER_DISPERSION,2,2025-08-13,2025-2026,False,False
