event_index,ret_1d,rank_band,BEHAVIORAL_10_label,CORR_60_10_label,CORR_120_10_label,STATE_label,HYBRID_10_label,n_families_true,n_families_voted,consensus,dominant_false,final_class
1860,-0.20058997,26-100,TRUE_LONER,NO_PEERS,NO_PEERS,TRUE_LONER,TRUE_LONER,3,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
1865,-0.113458276,26-100,TRUE_LONER,FALSE_LONER,TRUE_LONER,TRUE_LONER,FALSE_LONER,3,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
2028,-0.18131511,751-1000,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
2041,-0.36652458,751-1000,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
2439,-0.06825525,751-1000,TRUE_LONER,FALSE_LONER,TRUE_LONER,NO_PEERS,TRUE_LONER,3,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
2442,-0.13156913,751-1000,TRUE_LONER,TRUE_LONER,TRUE_LONER,NO_PEERS,TRUE_LONER,4,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
2662,-0.12993939,26-100,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
2813,-0.255087,251-500,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
2816,-0.24248587,501-750,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
3230,-0.11099296,751-1000,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
3576,-0.34916028,751-1000,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
3681,-0.09508438,251-500,TRUE_LONER,FALSE_LONER,FALSE_LONER,TRUE_LONER,TRUE_LONER,3,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
3829,-0.5577656,1001-1500,TRUE_LONER,FALSE_LONER,FALSE_LONER,TRUE_LONER,TRUE_LONER,3,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
4142,-0.24304311,101-250,TRUE_LONER,FALSE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,4,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
4149,-0.121963345,101-250,TRUE_LONER,FALSE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,4,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
4157,-0.05034565,101-250,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
4162,-0.08381303,101-250,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
4168,-0.24742323,101-250,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
4169,-0.14052382,101-250,FALSE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,4,5,TRUE_MULTI_PEER_LONER,BEHAVIORAL_FALSE,TRUE_MULTI_PEER_LONER
4189,-0.090045005,501-750,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
4227,-0.15347335,751-1000,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
4337,-0.0970188,101-250,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
4355,-0.15467569,251-500,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,FALSE_LONER,4,5,TRUE_MULTI_PEER_LONER,HYBRID_FALSE,TRUE_MULTI_PEER_LONER
4727,-0.039807305,26-100,TRUE_LONER,FALSE_LONER,FALSE_LONER,TRUE_LONER,TRUE_LONER,3,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
4729,-0.05329796,26-100,TRUE_LONER,TRUE_LONER,FALSE_LONER,FALSE_LONER,TRUE_LONER,3,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
4730,-0.043184754,26-100,FALSE_LONER,FALSE_LONER,FALSE_LONER,FALSE_LONER,FALSE_LONER,0,5,AMBIGUOUS,BEHAVIORAL_FALSE,BEHAVIORAL_FALSE
4733,-0.046316016,26-100,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
4741,-0.056906145,26-100,TRUE_LONER,TRUE_LONER,TRUE_LONER,NO_PEERS,TRUE_LONER,4,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
4744,-0.054450832,26-100,TRUE_LONER,FALSE_LONER,FALSE_LONER,TRUE_LONER,TRUE_LONER,3,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
4746,-0.06755199,26-100,FALSE_LONER,FALSE_LONER,FALSE_LONER,FALSE_LONER,FALSE_LONER,0,5,AMBIGUOUS,BEHAVIORAL_FALSE,BEHAVIORAL_FALSE
4748,-0.05561456,26-100,TRUE_LONER,FALSE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,4,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
4766,-0.06582952,26-100,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
5123,-0.17495684,251-500,TRUE_LONER,FALSE_LONER,FALSE_LONER,TRUE_LONER,TRUE_LONER,3,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
5138,-0.19513962,251-500,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
5165,-0.14293619,751-1000,TRUE_LONER,FALSE_LONER,FALSE_LONER,TRUE_LONER,TRUE_LONER,3,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
5463,-0.21146037,1001-1500,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
5464,-0.39172587,1001-1500,TRUE_LONER,TRUE_LONER,TRUE_LONER,NO_PEERS,TRUE_LONER,4,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
5620,-0.27637106,101-250,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
5977,-0.3894043,1501-2000,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
6096,-0.061306674,26-100,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
6362,-0.29556835,251-500,TRUE_LONER,FALSE_LONER,FALSE_LONER,NO_PEERS,TRUE_LONER,2,5,AMBIGUOUS,CORR_FALSE,CORR_FALSE
6496,-0.14824937,501-750,TRUE_LONER,FALSE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,4,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
6636,-0.0067850323,751-1000,TRUE_LONER,FALSE_LONER,TRUE_LONER,FALSE_LONER,TRUE_LONER,3,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
7336,-0.18492915,1001-1500,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
7391,-0.22049265,751-1000,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
8022,-0.34473374,26-100,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
8107,-0.17470427,251-500,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
8474,-0.08782689,251-500,TRUE_LONER,TRUE_LONER,NO_PEERS,TRUE_LONER,FALSE_LONER,3,5,TRUE_MULTI_PEER_LONER,HYBRID_FALSE,TRUE_MULTI_PEER_LONER
8937,-0.2032221,501-750,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
9049,-0.13929278,26-100,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
9054,-0.40085596,101-250,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
9055,-0.19066316,101-250,TRUE_LONER,FALSE_LONER,FALSE_LONER,TRUE_LONER,TRUE_LONER,3,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
9126,-0.3214654,501-750,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
9131,-0.0017759374,251-500,FALSE_LONER,FALSE_LONER,FALSE_LONER,FALSE_LONER,FALSE_LONER,0,5,AMBIGUOUS,BEHAVIORAL_FALSE,BEHAVIORAL_FALSE
9136,-0.022014339,251-500,TRUE_LONER,FALSE_LONER,TRUE_LONER,FALSE_LONER,TRUE_LONER,3,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
9885,-0.6345075,751-1000,TRUE_LONER,TRUE_LONER,NO_PEERS,TRUE_LONER,TRUE_LONER,4,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
9955,-0.1518923,26-100,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
10023,-0.08835639,101-250,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
10392,-0.091040365,26-100,FALSE_LONER,TRUE_LONER,FALSE_LONER,TRUE_LONER,FALSE_LONER,2,5,AMBIGUOUS,BEHAVIORAL_FALSE,BEHAVIORAL_FALSE
10408,-0.15496626,101-250,TRUE_LONER,TRUE_LONER,FALSE_LONER,TRUE_LONER,FALSE_LONER,3,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
10440,-0.12715253,101-250,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
10680,-0.1676056,251-500,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
10713,-0.20896669,251-500,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
11020,-0.087545514,26-100,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
11031,-0.25887948,26-100,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
11073,-0.11614489,101-250,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
11110,-0.04768097,251-500,TRUE_LONER,FALSE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,4,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
11329,-0.22580628,251-500,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
11332,-0.29525948,251-500,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
11414,-0.13433188,1501-2000,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
11549,-0.28917894,251-500,FALSE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,4,5,TRUE_MULTI_PEER_LONER,BEHAVIORAL_FALSE,TRUE_MULTI_PEER_LONER
11804,-0.1863246,751-1000,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
11820,-0.083098754,26-100,TRUE_LONER,FALSE_LONER,TRUE_LONER,FALSE_LONER,FALSE_LONER,2,5,AMBIGUOUS,CORR_FALSE,CORR_FALSE
12718,-0.09732551,101-250,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
12745,-0.1080064,101-250,FALSE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,4,5,TRUE_MULTI_PEER_LONER,BEHAVIORAL_FALSE,TRUE_MULTI_PEER_LONER
13224,-0.37938222,1501-2000,TRUE_LONER,TRUE_LONER,NO_PEERS,TRUE_LONER,TRUE_LONER,4,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
13310,-0.2789412,1001-1500,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
13529,-0.19370274,751-1000,TRUE_LONER,TRUE_LONER,FALSE_LONER,TRUE_LONER,TRUE_LONER,4,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
14668,-0.137477,751-1000,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
14677,-0.1538231,751-1000,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
14724,-0.33192897,1001-1500,TRUE_LONER,TRUE_LONER,TRUE_LONER,FALSE_LONER,TRUE_LONER,4,5,TRUE_MULTI_PEER_LONER,STATE_FALSE,TRUE_MULTI_PEER_LONER
14923,-0.11697733,751-1000,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
15287,-0.14002636,101-250,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
15335,-0.2156522,251-500,TRUE_LONER,FALSE_LONER,FALSE_LONER,TRUE_LONER,TRUE_LONER,3,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
15560,-0.24005242,101-250,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
15567,-0.118213944,101-250,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
15628,-0.12124562,26-100,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
15666,-0.09291016,101-250,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
15681,-0.19185825,501-750,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
15686,-0.17671412,751-1000,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
15842,-0.19169797,1001-1500,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,FALSE_LONER,4,5,TRUE_MULTI_PEER_LONER,HYBRID_FALSE,TRUE_MULTI_PEER_LONER
15890,-0.0012362018,501-750,FALSE_LONER,FALSE_LONER,FALSE_LONER,FALSE_LONER,FALSE_LONER,0,5,AMBIGUOUS,BEHAVIORAL_FALSE,BEHAVIORAL_FALSE
16048,-0.12299668,101-250,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
16052,-0.0735927,101-250,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
16059,-0.2190341,101-250,TRUE_LONER,TRUE_LONER,FALSE_LONER,NO_PEERS,TRUE_LONER,3,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
16136,-0.12950483,751-1000,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
16634,-0.11528692,101-250,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
16742,-0.27599525,101-250,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,FALSE_LONER,4,5,TRUE_MULTI_PEER_LONER,HYBRID_FALSE,TRUE_MULTI_PEER_LONER
16768,-0.22043705,101-250,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
17007,-0.07912442,251-500,TRUE_LONER,TRUE_LONER,NO_PEERS,TRUE_LONER,TRUE_LONER,4,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
17158,-0.37595823,501-750,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
17191,-0.18797228,251-500,TRUE_LONER,TRUE_LONER,FALSE_LONER,TRUE_LONER,TRUE_LONER,4,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
17247,-0.1498101,751-1000,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
17472,-0.07677212,26-100,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
17883,-0.07868478,101-250,TRUE_LONER,TRUE_LONER,NO_PEERS,TRUE_LONER,TRUE_LONER,4,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
17934,-0.09984806,101-250,FALSE_LONER,FALSE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,3,5,TRUE_MULTI_PEER_LONER,BEHAVIORAL_FALSE,TRUE_MULTI_PEER_LONER
17945,-0.24604183,101-250,TRUE_LONER,TRUE_LONER,TRUE_LONER,NO_PEERS,TRUE_LONER,4,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
17955,-0.121416636,251-500,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
18110,-0.20248216,251-500,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
18112,-0.31692907,251-500,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
18511,-0.39563265,101-250,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
18604,-0.13561836,251-500,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
18714,-0.09237844,26-100,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
18738,-0.07897562,26-100,TRUE_LONER,TRUE_LONER,TRUE_LONER,NO_PEERS,TRUE_LONER,4,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
18787,-0.12741095,26-100,TRUE_LONER,TRUE_LONER,TRUE_LONER,NO_PEERS,TRUE_LONER,4,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
19149,-0.15558127,251-500,TRUE_LONER,FALSE_LONER,FALSE_LONER,TRUE_LONER,TRUE_LONER,3,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
19150,-0.62377477,501-750,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
19155,-0.0864825,251-500,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
19190,-0.4865202,1001-1500,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
19225,-0.15610696,501-750,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
19380,-0.095311575,101-250,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
19528,-0.14694329,1501-2000,TRUE_LONER,FALSE_LONER,FALSE_LONER,TRUE_LONER,TRUE_LONER,3,5,TRUE_MULTI_PEER_LONER,CORR_FALSE,TRUE_MULTI_PEER_LONER
19725,-0.38405105,501-750,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
19873,-0.16174556,751-1000,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,TRUE_LONER,5,5,TRUE_MULTI_PEER_LONER,,TRUE_MULTI_PEER_LONER
