group,cell,age_band,branch_entropy,dominant_share,n_days,perturbation,amp,verdict
cell_age,LOW_BREADTH_LOW_DISP,AGE_1,1.5841333567496678,0.6019417475728155,103,,,ENTROPY_DEEP_MAP_BUILT
cell_age,LOW_BREADTH_LOW_DISP,AGE_2_3,0.9903319384512664,0.8,110,,,ENTROPY_DEEP_MAP_BUILT
cell_age,LOW_BREADTH_LOW_DISP,AGE_4_7,0.463986663983151,0.9230769230769231,143,,,ENTROPY_DEEP_MAP_BUILT
cell_age,LOW_BREADTH_LOW_DISP,AGE_8_14,0.3172255142059802,0.9532163742690059,171,,,ENTROPY_DEEP_MAP_BUILT
cell_age,LOW_BREADTH_LOW_DISP,AGE_15_PLUS,0.46483700196964656,0.9295302013422819,298,,,ENTROPY_DEEP_MAP_BUILT
perturbation,ANY,ANY,1.784579597834813,0.42040185471406494,647,brd_jump,,ENTROPY_DEEP_MAP_BUILT
perturbation,ANY,ANY,1.8817438743251271,0.36885245901639346,732,brd_drop,,ENTROPY_DEEP_MAP_BUILT
perturbation,ANY,ANY,1.6276868827108943,0.584070796460177,565,disp_jump,,ENTROPY_DEEP_MAP_BUILT
perturbation,ANY,ANY,1.8094848999722477,0.3938879456706282,589,disp_drop,,ENTROPY_DEEP_MAP_BUILT
perturbation,ANY,ANY,1.821835138218579,0.43320610687022904,524,btc_shock,,ENTROPY_DEEP_MAP_BUILT
perturbation,ANY,ANY,1.875382448710933,0.3870967741935484,310,conc_shock,,ENTROPY_DEEP_MAP_BUILT
perturbation,ANY,ANY,1.8938142745142093,0.3897058823529412,272,vol_shock,,ENTROPY_DEEP_MAP_BUILT
perturb_cell,HIGH_BREADTH_HIGH_DISP,ANY,0.7159821651895758,0.8771929824561403,285,brd_jump,,ENTROPY_DEEP_MAP_BUILT
perturb_cell,HIGH_BREADTH_LOW_DISP,ANY,1.0715802149156592,0.7626262626262627,198,brd_jump,,ENTROPY_DEEP_MAP_BUILT
perturb_cell,LOW_BREADTH_HIGH_DISP,ANY,1.391481266911694,0.6666666666666666,39,brd_jump,,ENTROPY_DEEP_MAP_BUILT
perturb_cell,LOW_BREADTH_LOW_DISP,ANY,0.9190393954148912,0.776,125,brd_jump,,ENTROPY_DEEP_MAP_BUILT
perturb_cell,HIGH_BREADTH_HIGH_DISP,ANY,0.6484802028589443,0.8950437317784257,343,disp_jump,,ENTROPY_DEEP_MAP_BUILT
perturb_cell,HIGH_BREADTH_LOW_DISP,ANY,1.041030438968943,0.7413793103448276,58,disp_jump,,ENTROPY_DEEP_MAP_BUILT
perturb_cell,LOW_BREADTH_HIGH_DISP,ANY,1.2780491756815717,0.7079646017699115,113,disp_jump,,ENTROPY_DEEP_MAP_BUILT
perturb_cell,LOW_BREADTH_LOW_DISP,ANY,1.1595547523787308,0.7058823529411765,51,disp_jump,,ENTROPY_DEEP_MAP_BUILT
pert_amp,ANY,ANY,1.838240569238601,0.3953488372093023,215,brd_jump,SMALL,ENTROPY_DEEP_MAP_BUILT
pert_amp,ANY,ANY,1.7948816946780788,0.411214953271028,214,brd_jump,MED,ENTROPY_DEEP_MAP_BUILT
pert_amp,ANY,ANY,1.8298584828268443,0.39750849377123443,1766,brd_jump,LARGE,ENTROPY_DEEP_MAP_BUILT
pert_amp,ANY,ANY,1.8399545915947249,0.45454545454545453,187,disp_jump,SMALL,ENTROPY_DEEP_MAP_BUILT
pert_amp,ANY,ANY,1.6245538848856866,0.5698924731182796,186,disp_jump,MED,ENTROPY_DEEP_MAP_BUILT
pert_amp,ANY,ANY,1.8109834782565244,0.42371020856201974,1822,disp_jump,LARGE,ENTROPY_DEEP_MAP_BUILT
