metric,scope,window_h,median,p75,p90,p95,p99,max,mean
abs_net_heat,in_market,12,18.05303681704157,20.064881452352477,23.02646913793212,24.45766825061071,28.522930898536416,35.2727403007498,18.994103983421528
abs_net_heat,in_market,24,18.166096882837348,20.005352533826137,21.5603737036465,22.566296021301962,25.192158202590207,30.586892112167288,18.990100752743626
same_dir_heat,all_hours,1,0.0,0.0,20.0,22.360679774997898,34.14213562373095,58.63703305156273,3.7104245324426133
same_dir_heat,all_hours,3,0.0,0.0,17.15421456647324,22.285192400943227,30.33257094218688,49.33313625097869,3.7112530551071705
same_dir_heat,all_hours,6,0.0,4.08248290463863,15.16628547109344,18.05303681704157,26.630144100278187,43.521889872055105,3.711736823263368
same_dir_heat,all_hours,12,0.0,7.6125395525551225,11.067759860840098,16.041192181730654,21.612490281966462,35.2727403007498,3.710564361569666
same_dir_heat,all_hours,24,2.7856490501179034,5.533879930420049,9.251223971162865,12.533855295125718,16.61574942421524,24.49489742783178,3.708014866833761
same_dir_heat,in_market,1,20.0,22.360679774997898,24.49489742783178,34.14213562373095,41.81540550352055,58.63703305156273,19.678179695606946
same_dir_heat,in_market,3,18.95185906760989,22.285192400943227,25.20159310771689,30.33257094218688,39.43940696741647,49.33313625097869,19.680874200910242
same_dir_heat,in_market,6,18.05303681704157,19.719703483708233,24.96347743361152,27.670246883239447,32.93371255850737,43.521889872055105,19.681339147329815
same_dir_heat,in_market,12,18.05303681704157,20.543689394645046,23.54949857764586,25.067710590251437,28.746221892229016,35.2727403007498,19.675632123717847
same_dir_heat,in_market,24,19.073657543201225,20.801267697343715,22.18704752445105,23.085733867811467,25.289289610413707,30.586892112167288,19.67162889303994
opposing_heat,all_hours,1,0.0,0.0,0.0,0.0,0.0,24.49489742783178,0.1285057241280291
opposing_heat,all_hours,3,0.0,0.0,0.0,0.0,4.714045207910317,20.605135167840185,0.1285057241280291
opposing_heat,all_hours,6,0.0,0.0,0.0,0.0,5.243773949903287,16.327576516358096,0.1285057241280291
opposing_heat,all_hours,12,0.0,0.0,0.0,0.0,4.28855364161831,10.440497264486446,0.1285057241280291
opposing_heat,all_hours,24,0.0,0.0,0.0,1.0059223176554564,3.492638478100734,5.220248632243223,0.1285057241280291
opposing_heat,in_market,1,0.0,0.0,0.0,0.0,17.32050807568877,24.49489742783178,0.6815281402963183
opposing_heat,in_market,3,0.0,0.0,0.0,5.773502691896257,13.898488830042073,20.605135167840185,0.6815281402963183
opposing_heat,in_market,6,0.0,0.0,1.6666666666666667,5.6903559372884915,10.28257774835437,16.327576516358096,0.6815281402963184
opposing_heat,in_market,12,0.0,0.0,3.455220308284977,5.121886974951644,7.133731610262555,10.440497264486446,0.6815281402963183
opposing_heat,in_market,24,0.0,1.0059223176554564,2.560943487475822,3.492638478100734,5.220248632243223,7.870117855253789,0.6815281402963183
unrealized_pnl_bps,all_hours,1,0.0,0.0,0.0,14.120936587018118,37.23554897873854,187.23776246986165,1.0528702716975606
unrealized_pnl_bps,all_hours,3,0.0,0.0,3.5560517834621543,12.534237286057714,30.35495649526551,163.0619700746888,1.0529083898912193
unrealized_pnl_bps,all_hours,6,0.0,0.0,5.472328840403547,11.58206215917513,22.721247966075346,92.51679860819718,1.0533569015195121
unrealized_pnl_bps,all_hours,12,0.0,0.3175252079920501,5.990708557605104,9.506137132731828,15.755161632818487,49.678638433661284,1.0551908548820872
unrealized_pnl_bps,all_hours,24,0.0,2.019825276728382,4.962962059635548,6.7414079178178,10.815952607816945,33.08630045263993,1.0555783038026285
portfolio_cae_bps,all_hours,1,0.0,0.0,0.0,5.495885180183222,23.156548085342134,74.92400390492038,0.9000974753353757
portfolio_cae_bps,all_hours,3,0.0,0.0,0.6838896035768953,6.2601250496528165,19.776738616755853,63.410867864773785,0.8999307223809643
portfolio_cae_bps,all_hours,6,0.0,0.0,2.4677230928524563,6.374345582824547,16.68293035560508,41.14048089646144,0.8991041719961097
portfolio_cae_bps,all_hours,12,0.0,0.0,3.326061434971495,5.575336904077411,12.184008874464462,25.047230663027467,0.8969138593669671
portfolio_cae_bps,all_hours,24,0.0,1.164490339266098,3.058083612451302,4.760976149717012,7.792417434100777,13.993707817645685,0.895563833816929
max_simul_cae,all_hours,1,0.0,0.0,74.92400390492038,74.92400390492038,74.92400390492038,74.92400390492038,13.069930554743092
max_simul_cae,all_hours,3,0.0,0.0,66.02686957108276,74.92400390492038,74.92400390492038,74.92400390492038,13.06893602352422
max_simul_cae,all_hours,6,0.0,19.708667053268368,55.02239130923564,66.02686957108276,74.92400390492038,74.92400390492038,13.065036103497441
max_simul_cae,all_hours,12,0.0,24.9746679683068,38.51567391646494,55.02239130923564,68.68033691284369,74.92400390492038,13.05688240602879
max_simul_cae,all_hours,24,9.365500488115048,18.731000976230096,34.34016845642184,40.58383544849854,56.193002928690284,74.92400390492038,13.042104816097432
