family,mae_bin,age_bin,N,exploratory,win_probability,win_ci_low,win_ci_high,final_expectancy_R,median_final_return_R,p_recover_breakeven,p_positive_mfe_after,expected_remaining_R,median_remaining_R
A+B,-0.75 to -1.00R,2-3h,47,False,0.02127659574468085,0.0,0.06382978723404255,-0.8661692287142364,-0.7036020821116367,0.0425531914893617,0.0851063829787234,-0.081810918149328,-0.01718598486123668
A+B,-0.75 to -1.00R,3-4h,57,False,0.05263157894736842,0.0,0.12280701754385964,-0.7184420353667237,-0.5934222694205895,0.07017543859649122,0.12280701754385964,-0.007422231540330046,0.07545676752137875
A+B,-0.75 to -1.00R,4-5h,61,False,0.04918032786885246,0.0,0.11475409836065574,-0.6414218721230167,-0.5314678281791109,0.06557377049180328,0.11475409836065574,-0.005471571787083739,0.05437397517690307
A+B,-0.75 to -1.00R,5-6h,63,False,0.047619047619047616,0.0,0.1111111111111111,-0.5469856060930257,-0.5362199542000154,0.047619047619047616,0.06349206349206349,0.0,0.0
A+B,-1.00 to -1.50R,1-2h,17,True,0.0,0.0,0.0,-2.078825989361729,-2.216722414475655,0.0,0.0,-0.9322527733913151,-0.9180060933216623
A+B,-1.00 to -1.50R,2-3h,35,False,0.0,0.0,0.0,-1.473850686582974,-1.371289214450545,0.0,0.0,-0.24888215659343116,-0.18342900449846367
A+B,-1.00 to -1.50R,3-4h,49,False,0.0,0.0,0.0,-1.1814862314261791,-1.1305081000645472,0.0,0.0,-0.0743443384554239,0.04428024435610789
A+B,-1.00 to -1.50R,4-5h,66,False,0.0,0.0,0.0,-1.1830483983670732,-1.102597040456906,0.0,0.0,-0.10842625335770807,-0.008411065631050763
A+B,-1.00 to -1.50R,5-6h,65,False,0.0,0.0,0.0,-1.0022464470277854,-1.054154953204791,0.0,0.0,0.0,0.0
A+B,-1.50 to -2.00R,2-3h,16,True,0.0,0.0,0.0,-2.2699896624100955,-2.289654841831364,0.0,0.0,-0.5430834948453411,-0.5326115511691635
A+B,-1.50 to -2.00R,3-4h,17,True,0.0,0.0,0.0,-2.0260528110650493,-2.0478132357886505,0.0,0.0,-0.3207661569688709,-0.4272971667360119
A+B,-1.50 to -2.00R,4-5h,22,True,0.0,0.0,0.0,-1.6843522557271762,-1.546426347752158,0.0,0.0,-0.041432515776399614,-0.056428666574651065
A+B,-1.50 to -2.00R,5-6h,34,False,0.0,0.0,0.0,-1.62346200500171,-1.699054976583993,0.0,0.0,0.0,0.0
A+B,-2.00 to -2.50R,3-4h,13,True,0.0,0.0,0.0,-2.5245619395900105,-2.4399881260908427,0.0,0.0,-0.2885469275907369,-0.05339016061684099
A+B,-2.00 to -2.50R,4-5h,14,True,0.0,0.0,0.0,-2.391207118172182,-2.289654841831364,0.0,0.0,-0.22018903251366645,-0.10195298089596738
A+B,-2.00 to -2.50R,5-6h,18,True,0.0,0.0,0.0,-2.1901548113991733,-2.2132273234416417,0.0,0.0,0.0,0.0
A+B,worse than -2.50R,3-4h,1,True,0.0,0.0,0.0,-3.6553836279681793,-3.6553836279681793,0.0,0.0,-0.522372689676192,-0.522372689676192
A+B,worse than -2.50R,4-5h,8,True,0.0,0.0,0.0,-2.8716776329302993,-2.803685098406734,0.0,0.0,-0.13656409848218531,-0.17168854011908197
A+B,worse than -2.50R,5-6h,14,True,0.0,0.0,0.0,-2.8452131837658086,-2.811309862092617,0.0,0.0,0.0,0.0
