scheme,f_pct,n_paths,P_dd_ge_10,P_dd_ge_15,P_dd_ge_20,P_dd_ge_30,P_dd_ge_40,P_dd_ge_50,P_technical_ruin,P_capital_impairment_50
iid,4.0,10000,0.23420820224719102,0.12766898876404495,0.06750685393258427,0.01636685393258427,0.00320438202247191,0.0004652808988764045,0.0,0.0004652808988764045
iid,5.0,10000,0.30165775280898877,0.18752808988764044,0.1139608988764045,0.03811775280898876,0.01060314606741573,0.0023662921348314605,0.0,0.0023662921348314605
block,0.05,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
block,0.1,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
block,0.15,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
block,0.2,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
block,0.25,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
block,0.3,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
block,0.4,10000,2.247191011235955e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
block,0.5,10000,3.0112359550561798e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
block,0.6,10000,0.0002449438202247191,1.1235955056179776e-07,0.0,0.0,0.0,0.0,0.0,0.0
block,0.75,10000,0.0014055056179775281,2.101123595505618e-05,0.0,0.0,0.0,0.0,0.0,0.0
block,1.0,10000,0.007036741573033708,0.0005239325842696629,1.4719101123595506e-05,0.0,0.0,0.0,0.0,0.0
block,1.25,10000,0.021007640449438203,0.002480674157303371,0.00025179775280898876,0.0,0.0,0.0,0.0,0.0
block,1.5,10000,0.04238831460674157,0.00659438202247191,0.001119438202247191,6.179775280898876e-06,0.0,0.0,0.0,0.0
block,2.0,10000,0.07913955056179775,0.02675438202247191,0.00617561797752809,0.0003133707865168539,2.1348314606741574e-06,0.0,0.0,0.0
block,2.5,10000,0.1192161797752809,0.054364606741573035,0.019377415730337078,0.0017885393258426966,9.47191011235955e-05,2.247191011235955e-07,0.0,2.247191011235955e-07
block,3.0,10000,0.16416550561797752,0.08008202247191011,0.039872022471910115,0.005251910112359551,0.0005921348314606742,2.292134831460674e-05,0.0,2.292134831460674e-05
block,4.0,10000,0.24453101123595505,0.1346611235955056,0.08020471910112359,0.02290191011235955,0.004311348314606741,0.0006597752808988765,0.0,0.0006597752808988765
block,5.0,10000,0.3134131460674157,0.19823157303370786,0.12047775280898876,0.053492134831460675,0.014100786516853932,0.0033591011235955055,0.0,0.0033591011235955055
episode,0.05,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
episode,0.1,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
episode,0.15,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
episode,0.2,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
episode,0.25,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
episode,0.3,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
episode,0.4,10000,1.0337078651685394e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
episode,0.5,10000,0.00012325842696629213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
episode,0.6,10000,0.0005557303370786517,7.078651685393258e-06,0.0,0.0,0.0,0.0,0.0,0.0
episode,0.75,10000,0.0023530337078651684,9.932584269662921e-05,8.98876404494382e-07,0.0,0.0,0.0,0.0,0.0
episode,1.0,10000,0.009948988764044944,0.0010164044943820226,7.764044943820225e-05,0.0,0.0,0.0,0.0,0.0
episode,1.25,10000,0.023561011235955057,0.003826741573033708,0.0005520224719101123,3.595505617977528e-06,0.0,0.0,0.0,0.0
episode,1.5,10000,0.04187741573033708,0.00933067415730337,0.0018950561797752808,4.5730337078651684e-05,0.0,0.0,0.0,0.0
episode,2.0,10000,0.08663955056179776,0.028332696629213484,0.008711573033707865,0.0006412359550561797,2.3820224719101125e-05,0.0,0.0,0.0
episode,2.5,10000,0.13484595505617977,0.05513584269662921,0.02175314606741573,0.0027808988764044945,0.00026191011235955056,9.775280898876405e-06,0.0,9.775280898876405e-06
episode,3.0,10000,0.18077011235955057,0.08670966292134831,0.03999483146067416,0.007393258426966292,0.001044943820224719,9.426966292134831e-05,0.0,9.426966292134831e-05
episode,4.0,10000,0.25917932584269665,0.1535470786516854,0.0867447191011236,0.02507943820224719,0.006039213483146067,0.001107303370786517,0.0,0.001107303370786517
episode,5.0,10000,0.3271332584269663,0.21526438202247192,0.13643550561797751,0.05229247191011236,0.017283820224719103,0.0046434831460674154,0.0,0.0046434831460674154
