scheme,f_pct,n_paths,cagr_p5,cagr_p25,cagr_p50,cagr_p75,cagr_p90,cagr_p95,cagr_p99,max_dd_p5,max_dd_p25,max_dd_p50,max_dd_p75,max_dd_p90,max_dd_p95,max_dd_p99,terminal_p5,terminal_p25,terminal_p50,terminal_p75,terminal_p90,terminal_p95,terminal_p99,min_eq_p5,min_eq_p25,min_eq_p50,min_eq_p75,min_eq_p90,min_eq_p95,min_eq_p99,dur_trades_p5,dur_trades_p25,dur_trades_p50,dur_trades_p75,dur_trades_p90,dur_trades_p95,dur_trades_p99,exp_cagr,exp_max_dd,median_terminal,P_dd_ge_10,P_dd_ge_15,P_dd_ge_20,P_dd_ge_30,P_dd_ge_40,P_dd_ge_50,P_technical_ruin,P_capital_impairment_50
iid,1.0,10000,1.3362139783108833,1.6467072158526697,1.8854540029815074,2.152028615906246,2.412624048527768,2.5807524383594904,2.908675654990408,0.06916123834137972,0.0839045514937436,0.09726581275322141,0.11362907891233524,0.13243026676134922,0.14681863626867575,0.17646724504910588,11.366787278476657,16.250970208072246,20.812539835469178,26.807517204087176,33.65736255751601,38.62864604285925,49.65036470825841,0.9428590875737389,0.9771089217164086,0.9931247128685888,1.004036157284369,1.0121931075729178,1.0179736664131522,1.0272300690041793,28.0,38.0,48.0,62.0,79.10000000000036,91.0,122.0,1.9126242898312489,0.10101360657469943,20.812539835469178,0.005737303370786517,0.00043235955056179776,2.786516853932584e-05,0.0,0.0,0.0,0.0,0.0
iid,1.25,10000,1.8661241170410359,2.349706590451788,2.7315119192172985,3.1659394271515904,3.601019226858883,3.8853884098054756,4.449808466283161,0.0859664708668343,0.10410731447047626,0.12056939061768884,0.14057932572566434,0.16358420264875054,0.18089871890503204,0.21671587202414472,20.415634280380317,31.910189267636472,43.472622634149445,59.59691912258955,79.21462812020717,94.06190833537381,128.65618922866608,0.9286109192457436,0.9712512965504906,0.991343791597614,1.0049910817006482,1.0152413844661472,1.022322066786882,1.0340375862552242,28.0,38.0,49.0,63.0,80.0,92.0,124.01000000000022,2.7848425760500644,0.12504902200912296,43.472622634149445,0.015415730337078652,0.0019392134831460674,0.00022134831460674157,2.247191011235955e-06,0.0,0.0,0.0,0.0
iid,1.5,10000,2.5056432884461852,3.225586905588341,3.810261214223878,4.48771010564933,5.182807647845925,5.64286449463472,6.573455723559263,0.10260342505588349,0.12410485389788552,0.14342498706929754,0.16690418558926867,0.1938231839279295,0.21392947213402289,0.2553991604687726,36.35267920364306,62.07404412673022,89.97748366397255,131.2359649937693,184.6813819066756,226.83570851545073,330.2307417145247,0.9143820263017038,0.965361505952034,0.9895159741478172,1.0059700257907782,1.0181894565665481,1.0266667840479788,1.0408451035062691,29.0,38.0,49.0,63.0,81.0,93.0,126.0,3.907934880857109,0.14860927706925206,89.97748366397255,0.029816516853932586,0.005319887640449438,0.0008708988764044944,1.741573033707865e-05,0.0,0.0,0.0,0.0
iid,2.0,10000,4.199260142188045,5.664276290022047,6.91849141571929,8.436366259379431,10.056744648100343,11.17275176403484,13.486007894296359,0.1353282475019883,0.16309078634628452,0.18786806595554725,0.21786820417451289,0.2519177130995566,0.2766516942029249,0.32694168710197635,112.42925441562359,228.93647080082164,375.18251901831525,620.0354249370463,976.2583347915756,1285.8618451844973,2116.618690436105,0.8858260320314527,0.9533183676050514,0.9858787259474842,1.0079095661746877,1.024133371501403,1.0354993247275357,1.054460138008359,29.0,39.0,50.0,64.0,82.0,94.0,128.0,7.201314623576004,0.19433080017275184,375.18251901831525,0.06782719101123595,0.01898696629213483,0.004896516853932584,0.00025752808988764044,9.325842696629213e-06,0.0,0.0,0.0
iid,2.5,10000,6.616761493855245,9.379436587282678,11.872094190638814,15.026279542774454,18.53236967384004,21.010726514142043,26.355892047541285,0.16732980745514636,0.20111831362667953,0.2309433062117065,0.2666263266216664,0.30682810169736974,0.335564289105362,0.39362268315060633,335.66878391038006,814.5574769571489,1509.0045450803518,2827.172482585696,4982.924166381417,7016.13016641554,13078.62989587088,0.857651251564771,0.9408975810857232,0.9820793597562494,1.0096906859463308,1.0300649331416032,1.0443708099415903,1.0680751725104487,29.0,39.0,50.0,65.0,83.0,96.0,130.0,12.591782479826273,0.23822874096095834,1509.0045450803518,0.1109970786516854,0.04071685393258427,0.013942134831460675,0.00133438202247191,8.741573033707866e-05,4.382022471910112e-06,0.0,4.382022471910112e-06
iid,3.0,10000,10.039698843658046,14.972907739991195,19.67250333725466,25.90546366957146,33.036777418451585,38.24518868146966,50.080623066928105,0.19882966778023803,0.23800684671969058,0.2722969500826673,0.3131148524314693,0.3585131412248728,0.390924010516351,0.45549427223167543,971.9532641584372,2800.285385122109,5862.2245172107,12471.17592925048,24457.095357928174,36774.386541873915,78244.60151855476,0.8298478581487387,0.9283893982060514,0.9780508713403998,1.0114417738578114,1.0359117489610519,1.053194152709232,1.0816902070125383,30.0,40.0,51.0,66.0,85.0,98.0,132.0,21.34151549505393,0.28035513737308076,5862.2245172107,0.15418303370786518,0.06770067415730337,0.028178988764044944,0.0040538202247191015,0.00044191011235955054,3.2134831460674156e-05,0.0,3.2134831460674156e-05
iid,4.0,10000,21.349371628944336,35.527998412918464,50.46576331414332,71.9998863254653,98.71435951070131,119.57559028196823,170.8461588304733,0.25940597317018055,0.30853907211398923,0.3506914546366727,0.4004236831642933,0.4541282087180711,0.4916207055444283,0.5624251584252784,7329.807344283448,29942.163820954564,79946.47900700064,217598.0299214293,531645.6421718566,916127.2931528315,2527902.0274300133,0.7729050353926656,0.903635793380201,0.9695233937670307,1.0142625279592452,1.0475139740135884,1.0702104213713524,1.1082025620598093,30.0,41.0,53.0,68.0,87.10000000000036,101.0,137.0,57.91706761428904,0.3594694795794152,79946.47900700064,0.23420820224719102,0.12766898876404495,0.06750685393258427,0.01636685393258427,0.00320438202247191,0.0004652808988764045,0.0,0.0004652808988764045
iid,5.0,10000,42.30015135975192,78.39587973346461,121.18909725939619,187.74626138141466,277.25408741339186,351.7102368043433,544.5978068323897,0.31779498803547745,0.3749962826363401,0.4234160328945029,0.479000101476704,0.5387221746348133,0.5778669836075097,0.6527772038788711,48738.479155408066,276785.3713308202,951685.1152493337,3307192.4838501043,10053654.736974,19829396.3484691,69186155.18362658,0.7184025197433394,0.877198793760339,0.9604730955999026,1.0166641477212266,1.0587003796119239,1.0870404434342043,1.1352503350088363,31.0,43.0,54.0,71.0,91.0,105.0,143.0,149.48576039488213,0.4320327134361858,951685.1152493337,0.30165775280898877,0.18752808988764044,0.1139608988764045,0.03811775280898876,0.01060314606741573,0.0023662921348314605,0.0,0.0023662921348314605
block,0.05,10000,0.04434043340931133,0.050975793567738736,0.055780606961397305,0.060705050836589725,0.0650304247166579,0.06746957064266029,0.07209632909508364,0.003969434310312011,0.0047462543359788195,0.005199338687628955,0.006103250922463661,0.007217544263679932,0.00800210109504064,0.00965406400755742,1.1323348641344857,1.1530663032221822,1.168231574892203,1.1839085382872414,1.197790779554425,1.2056657001750273,1.2206958858218397,0.9965388613136985,0.9987875861382274,0.9996341811890067,1.00023024633485,1.0006574387062146,1.0009011278476712,1.001361503450209,28.0,39.0,50.0,65.0,84.0,98.0,133.0,0.05582121923367904,0.005552973085280561,1.168231574892203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
block,0.1,10000,0.09051629869842376,0.10440942117969448,0.11452121544689464,0.12494373317128188,0.13413511768316272,0.13934476541511423,0.1492320740188674,0.007927589110046259,0.009474392874228844,0.010377066880439562,0.012183148043359598,0.014398652341562485,0.015956675085142688,0.019276363732439704,1.2817423354291921,1.3290768117398013,1.3642338127972886,1.4010989384045471,1.4341423472069799,1.4530944195648978,1.4895100263414451,0.9930754340319435,0.9975707323109744,0.9992683623780133,1.0004604926696998,1.0013148152205817,1.0018022556953425,1.002723006900418,28.0,39.0,50.0,65.0,84.0,98.0,133.0,0.1146647569833965,0.011083513703729104,1.3642338127972886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
block,0.15,10000,0.1386030706063636,0.16041358515436654,0.17637447601030953,0.1929140755408696,0.20757709402698046,0.215903388932446,0.23174808526057036,0.011874482707144543,0.014184467450874587,0.015533249849240828,0.018250032682018226,0.021542341302819446,0.023862899324421292,0.028809406623527448,1.4503863310871206,1.5314020482542283,1.5925175711983852,1.6575012998870882,1.7165345347365266,1.7506569939733199,1.8168043440951063,0.9896223559021423,0.9963494527459559,0.99890254356702,1.0006896807318841,1.0019721295431014,1.0027033835430137,1.0040845103506268,28.0,39.0,50.0,65.0,85.0,99.0,133.0,0.17668904319962564,0.016591670947120416,1.5925175711983852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
block,0.2,10000,0.18867699326146495,0.21908309687164373,0.241515353750277,0.26481638597346735,0.2856039554273534,0.2974262400635644,0.3200369816967979,0.015810133412563196,0.018876529808378617,0.02066795275922234,0.024287260439700795,0.028653743969594237,0.03172369657329406,0.03827256204468635,1.6406925612647276,1.763803492803009,1.8583789386548393,1.9600491226730827,2.053749375865026,2.108315290821323,2.21528592259558,0.9861757255778775,0.9951237617230767,0.9985367247560266,1.000919574309179,1.0026293816737732,1.0036045113906849,1.0054460138008359,28.0,39.0,50.0,65.0,85.0,99.0,133.01000000000022,0.24206053083017365,0.022077503595398004,1.8583789386548393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
block,0.25,10000,0.24080215559223447,0.2805668276968428,0.3100862818084098,0.3408879654966849,0.36849453771021284,0.38419156279259936,0.4144980951896569,0.01973455954018936,0.02355063159556985,0.02578124066983268,0.030292394318028,0.03572995869274237,0.03952827165300374,0.04765089390369035,1.8553224530104198,2.0307826946965815,2.16778482768467,2.317006865087749,2.456295395345896,2.5378694707424287,2.7003129821605754,0.9827408453566678,0.9938955941051635,0.9981709059450333,1.0011494678864736,1.0032865716125978,1.0045056392383562,1.006807517251045,28.0,39.0,50.0,66.0,85.0,99.0,134.0,0.3109540872549094,0.027541068428390197,2.16778482768467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
block,0.3,10000,0.29505868317820044,0.34500327999720026,0.38229413574701454,0.42136083957140275,0.4565641297411206,0.47661347718778374,0.5155374360860688,0.023647779406753555,0.028206824367673064,0.030873178534660088,0.03626944629736527,0.04275658541571257,0.04727669137699982,0.05694134049787719,2.097313161272582,2.337435641837022,2.5279166641974955,2.7380124147226415,2.9367869706597105,3.054078116051638,3.290406519838166,0.9793144134621851,0.9926759506645061,0.9978050871340399,1.0013793614637685,1.0039436993595747,1.0054067670860274,1.008169020701254,28.0,39.0,50.0,66.0,85.0,99.0,134.0,0.38355340405697097,0.03298241363869848,2.5279166641974955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
block,0.4,10000,0.41027852164406137,0.4832231657619016,0.5382337414463318,0.5964966027868424,0.6493869550197677,0.679681810112454,0.7391592639583626,0.031440673637325764,0.037465688619664865,0.040993263411291475,0.04814297867177826,0.05672113442748549,0.06266483692562608,0.07540932952009698,2.677302040929732,3.093403032203721,3.433542227886746,3.8193821282278053,4.193147307437638,4.417567264139224,4.880606823935467,0.9724868407019864,0.9902379015215007,0.997071251598798,1.0018391486183578,1.0052577682779862,1.00720902278137,1.0108920276016717,28.0,40.0,50.0,66.0,85.0,99.0,134.0,0.5406507997278467,0.043798678100335144,3.433542227886746,2.247191011235955e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
block,0.5,10000,0.5348617893784634,0.6347749127290714,0.7108411400161591,0.7922044706977575,0.8667859013295346,0.9097000553491243,0.9946518252143076,0.039188962691763106,0.046653533135169796,0.05105857263640182,0.05994653185950271,0.07054659094470359,0.07788229930051781,0.09354774355293341,3.412025505415815,4.087611846545274,4.656399562257949,5.319264393836317,5.978259387245972,6.380432520576532,7.2276386448368735,0.9656928995225794,0.9877929487714509,0.996329669984016,1.0022989357729473,1.0065229498043815,1.0090112784767125,1.0136150345020898,28.0,40.0,50.0,66.0,86.0,100.0,135.0,0.7150155413789855,0.05452667576627757,4.656399562257949,3.0112359550561798e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
