model,from_state,to_-9,to_-8,to_-7,to_-6,to_-5,to_-4,to_-3,to_-2,to_-1,to_0,to_1,to_2,to_3,to_4,to_-11,to_-10
MODEL_B,-6,0.0,0.0,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MODEL_B,-5,0.0,0.0,0.0,0.125,0.125,0.375,0.125,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0
MODEL_B,-4,0.0,0.0,0.0,0.1176,0.1765,0.0,0.2941,0.1176,0.0,0.2353,0.0,0.0,0.0,0.0,0.0,0.0588
MODEL_B,-3,0.0333,0.0,0.0667,0.0,0.0,0.1333,0.2333,0.1667,0.1333,0.2,0.0,0.0,0.0333,0.0,0.0,0.0
MODEL_B,-2,0.0164,0.0164,0.0,0.0656,0.0656,0.1311,0.1475,0.2295,0.1803,0.1311,0.0,0.0164,0.0,0.0,0.0,0.0
MODEL_B,-1,0.0,0.0225,0.0225,0.0112,0.0562,0.0225,0.0674,0.2135,0.2584,0.2809,0.0,0.0112,0.0,0.0112,0.0112,0.0112
MODEL_B,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MODEL_B,1,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MODEL_B,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
MODEL_B,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MODEL_B,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MODEL_C,-9,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
MODEL_C,-7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
MODEL_C,-6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
MODEL_C,-5,0.0,,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
MODEL_C,-4,0.0,,0.0,0.2,0.1333,0.0667,0.2,0.0667,0.1333,0.2,,0.0,0.0,0.0,,
MODEL_C,-3,0.04,,0.04,0.04,0.08,0.08,0.24,0.24,0.12,0.12,,0.0,0.0,0.0,,
MODEL_C,-2,0.0172,,0.0172,0.0172,0.0345,0.1034,0.1724,0.2241,0.1897,0.2069,,0.0,0.0172,0.0,,
MODEL_C,-1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
MODEL_C,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
MODEL_C,2,0.0,,0.0,0.125,0.25,0.0,0.0,0.25,0.125,0.25,,0.0,0.0,0.0,,
MODEL_C,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
MODEL_C,4,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,,
