cell,age_band,exit_to,n,p_exit_dest,fwd7_prop,fwd14_prop,fwd7_reentry,fwd7_isol_dn,fwd7_band_up,p_btc_up,p_vol_high,med_rank_depth
LOW_BREADTH_HIGH_DISP,AGE_2_3,LOW_BREADTH_HIGH_DISP,37,0.6607142857142857,0.10810810810810811,0.02702702702702703,0.16216216216216217,0.32432432432432434,34.4054054054054,0.24324324324324326,0.35135135135135137,-0.05298121405819624
LOW_BREADTH_HIGH_DISP,AGE_2_3,LOW_BREADTH_LOW_DISP,12,0.21428571428571427,0.0,0.08333333333333333,0.3333333333333333,0.3333333333333333,33.25,0.3333333333333333,0.6666666666666666,-0.0382222438705914
LOW_BREADTH_HIGH_DISP,AGE_4_7,LOW_BREADTH_HIGH_DISP,54,0.9310344827586207,0.037037037037037035,0.09259259259259259,0.07407407407407407,0.5,40.648148148148145,0.09259259259259259,0.5,-0.06486279519211886
LOW_BREADTH_HIGH_DISP,AGE_8_14,LOW_BREADTH_HIGH_DISP,55,0.8870967741935484,0.07272727272727272,0.12727272727272726,0.2545454545454545,0.5636363636363636,40.054545454545455,0.2,0.43636363636363634,-0.07035004038024303
LOW_BREADTH_HIGH_DISP,AGE_15_PLUS,LOW_BREADTH_HIGH_DISP,27,0.84375,0.2222222222222222,0.25925925925925924,0.3333333333333333,0.5185185185185185,36.44444444444444,0.4444444444444444,0.4444444444444444,-0.060764652275832
LOW_BREADTH_LOW_DISP,AGE_1,HIGH_BREADTH_HIGH_DISP,18,0.17475728155339806,0.3888888888888889,0.4444444444444444,0.3333333333333333,0.2777777777777778,58.83333333333333,0.0,0.5,
LOW_BREADTH_LOW_DISP,AGE_1,HIGH_BREADTH_LOW_DISP,13,0.1262135922330097,0.15384615384615385,0.15384615384615385,0.5384615384615384,0.46153846153846156,48.84615384615385,0.38461538461538464,0.0,-0.02867759563276099
LOW_BREADTH_LOW_DISP,AGE_1,LOW_BREADTH_HIGH_DISP,10,0.0970873786407767,0.0,0.1,0.2,0.5,42.2,0.3,0.2,-0.019765886865355478
LOW_BREADTH_LOW_DISP,AGE_1,LOW_BREADTH_LOW_DISP,62,0.6019417475728155,0.04838709677419355,0.0967741935483871,0.2903225806451613,0.3387096774193548,45.83870967741936,0.20967741935483872,0.27419354838709675,-0.02612066399154201
LOW_BREADTH_LOW_DISP,AGE_2_3,HIGH_BREADTH_LOW_DISP,11,0.1,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.45454545454545453,41.81818181818182,0.2727272727272727,0.0,-0.01733434486382412
LOW_BREADTH_LOW_DISP,AGE_2_3,LOW_BREADTH_LOW_DISP,88,0.8,0.045454545454545456,0.06818181818181818,0.26136363636363635,0.4318181818181818,42.19318181818182,0.25,0.29545454545454547,-0.02035143100975873
LOW_BREADTH_LOW_DISP,AGE_4_7,LOW_BREADTH_LOW_DISP,132,0.9230769230769231,0.06060606060606061,0.06060606060606061,0.19696969696969696,0.48484848484848486,32.515151515151516,0.18181818181818182,0.3560606060606061,-0.023904469498003976
LOW_BREADTH_LOW_DISP,AGE_8_14,LOW_BREADTH_LOW_DISP,163,0.9532163742690059,0.03067484662576687,0.03680981595092025,0.147239263803681,0.5153374233128835,36.282208588957054,0.1656441717791411,0.34355828220858897,-0.0361628472287521
LOW_BREADTH_LOW_DISP,AGE_15_PLUS,HIGH_BREADTH_LOW_DISP,12,0.040268456375838924,0.25,0.25,0.5,0.3333333333333333,40.33333333333333,0.25,0.25,-0.028033187378386618
LOW_BREADTH_LOW_DISP,AGE_15_PLUS,LOW_BREADTH_LOW_DISP,277,0.9295302013422819,0.04693140794223827,0.07220216606498195,0.21660649819494585,0.48375451263537905,36.59927797833935,0.09025270758122744,0.2996389891696751,-0.03165191947018381
