cell,age_band,n_days,clock,median_latency_d,p_by_7d,p_by_14d,p_by_30d,p_by_3d
HIGH_BREADTH_HIGH_DISP,AGE_2_3,101,ARRIVAL_coord_dn,1.0,0.9702970297029703,0.9900990099009901,0.9900990099009901,
HIGH_BREADTH_HIGH_DISP,AGE_4_7,125,STATE_EXIT,5.0,0.52,0.648,0.76,
HIGH_BREADTH_HIGH_DISP,AGE_4_7,125,PROPAGATION,,0.376,0.352,0.392,0.328
HIGH_BREADTH_HIGH_DISP,AGE_4_7,125,REENTRY,,0.36,0.328,0.208,0.416
HIGH_BREADTH_HIGH_DISP,AGE_4_7,125,ARRIVAL_isol_dn,2.0,0.912,0.968,1.0,
HIGH_BREADTH_HIGH_DISP,AGE_4_7,125,ARRIVAL_band_up,1.0,0.992,1.0,1.0,
HIGH_BREADTH_HIGH_DISP,AGE_4_7,125,ARRIVAL_multi_up,2.0,0.824,0.96,1.0,
HIGH_BREADTH_HIGH_DISP,AGE_4_7,125,ARRIVAL_coord_dn,1.0,0.992,1.0,1.0,
HIGH_BREADTH_HIGH_DISP,AGE_8_14,124,STATE_EXIT,8.0,0.3225806451612903,0.49193548387096775,0.6693548387096774,
HIGH_BREADTH_HIGH_DISP,AGE_8_14,124,PROPAGATION,,0.41935483870967744,0.5887096774193549,0.47580645161290325,0.4032258064516129
HIGH_BREADTH_HIGH_DISP,AGE_8_14,124,REENTRY,,0.33064516129032256,0.13709677419354838,0.1774193548387097,0.3870967741935484
HIGH_BREADTH_HIGH_DISP,AGE_8_14,124,ARRIVAL_isol_dn,2.0,0.9112903225806451,0.9758064516129032,1.0,
HIGH_BREADTH_HIGH_DISP,AGE_8_14,124,ARRIVAL_band_up,1.0,1.0,1.0,1.0,
HIGH_BREADTH_HIGH_DISP,AGE_8_14,124,ARRIVAL_multi_up,2.0,0.9112903225806451,0.9919354838709677,1.0,
HIGH_BREADTH_HIGH_DISP,AGE_8_14,124,ARRIVAL_coord_dn,1.0,1.0,1.0,1.0,
HIGH_BREADTH_HIGH_DISP,AGE_15_PLUS,341,STATE_EXIT,13.0,0.24633431085043989,0.4310850439882698,0.7653958944281525,
HIGH_BREADTH_HIGH_DISP,AGE_15_PLUS,341,PROPAGATION,,0.6656891495601173,0.5278592375366569,0.31085043988269795,0.7008797653958945
HIGH_BREADTH_HIGH_DISP,AGE_15_PLUS,341,REENTRY,,0.10263929618768329,0.12903225806451613,0.18181818181818182,0.12609970674486803
HIGH_BREADTH_HIGH_DISP,AGE_15_PLUS,341,ARRIVAL_isol_dn,2.0,0.9472140762463344,1.0,1.0,
HIGH_BREADTH_HIGH_DISP,AGE_15_PLUS,341,ARRIVAL_band_up,1.0,1.0,1.0,1.0,
HIGH_BREADTH_HIGH_DISP,AGE_15_PLUS,341,ARRIVAL_multi_up,2.0,0.9002932551319648,0.9501466275659824,1.0,
HIGH_BREADTH_HIGH_DISP,AGE_15_PLUS,341,ARRIVAL_coord_dn,1.0,0.9912023460410557,1.0,1.0,
HIGH_BREADTH_LOW_DISP,AGE_1,83,STATE_EXIT,2.0,0.8674698795180723,0.9879518072289156,1.0,
HIGH_BREADTH_LOW_DISP,AGE_1,83,PROPAGATION,,0.21686746987951808,0.20481927710843373,0.2289156626506024,0.18072289156626506
HIGH_BREADTH_LOW_DISP,AGE_1,83,REENTRY,,0.3253012048192771,0.3493975903614458,0.27710843373493976,0.4457831325301205
HIGH_BREADTH_LOW_DISP,AGE_1,83,ARRIVAL_isol_dn,2.0,0.927710843373494,1.0,1.0,
HIGH_BREADTH_LOW_DISP,AGE_1,83,ARRIVAL_band_up,1.0,1.0,1.0,1.0,
HIGH_BREADTH_LOW_DISP,AGE_1,83,ARRIVAL_multi_up,5.0,0.6746987951807228,0.9036144578313253,1.0,
HIGH_BREADTH_LOW_DISP,AGE_1,83,ARRIVAL_coord_dn,1.0,1.0,1.0,1.0,
HIGH_BREADTH_LOW_DISP,AGE_2_3,95,STATE_EXIT,4.0,0.8736842105263158,0.9789473684210527,1.0,
HIGH_BREADTH_LOW_DISP,AGE_2_3,95,PROPAGATION,,0.18947368421052632,0.23157894736842105,0.21052631578947367,0.18947368421052632
HIGH_BREADTH_LOW_DISP,AGE_2_3,95,REENTRY,,0.4,0.3473684210526316,0.28421052631578947,0.3684210526315789
HIGH_BREADTH_LOW_DISP,AGE_2_3,95,ARRIVAL_isol_dn,2.0,0.8842105263157894,1.0,1.0,
HIGH_BREADTH_LOW_DISP,AGE_2_3,95,ARRIVAL_band_up,1.0,1.0,1.0,1.0,
HIGH_BREADTH_LOW_DISP,AGE_2_3,95,ARRIVAL_multi_up,4.0,0.631578947368421,0.9052631578947369,1.0,
HIGH_BREADTH_LOW_DISP,AGE_2_3,95,ARRIVAL_coord_dn,1.0,1.0,1.0,1.0,
HIGH_BREADTH_LOW_DISP,AGE_4_7,99,STATE_EXIT,3.0,0.8787878787878788,0.9595959595959596,1.0,
HIGH_BREADTH_LOW_DISP,AGE_4_7,99,PROPAGATION,,0.2727272727272727,0.29292929292929293,0.23232323232323232,0.23232323232323232
HIGH_BREADTH_LOW_DISP,AGE_4_7,99,REENTRY,,0.35353535353535354,0.31313131313131315,0.2727272727272727,0.3939393939393939
HIGH_BREADTH_LOW_DISP,AGE_4_7,99,ARRIVAL_isol_dn,2.0,0.9393939393939394,1.0,1.0,
HIGH_BREADTH_LOW_DISP,AGE_4_7,99,ARRIVAL_band_up,1.0,1.0,1.0,1.0,
HIGH_BREADTH_LOW_DISP,AGE_4_7,99,ARRIVAL_multi_up,6.0,0.6767676767676768,0.9393939393939394,1.0,
HIGH_BREADTH_LOW_DISP,AGE_4_7,99,ARRIVAL_coord_dn,1.0,1.0,1.0,1.0,
HIGH_BREADTH_LOW_DISP,AGE_8_14,35,STATE_EXIT,3.0,0.8,0.8,1.0,
HIGH_BREADTH_LOW_DISP,AGE_8_14,35,PROPAGATION,,0.2,0.08571428571428572,0.11428571428571428,0.3142857142857143
HIGH_BREADTH_LOW_DISP,AGE_8_14,35,REENTRY,,0.45714285714285713,0.5142857142857142,0.2,0.17142857142857143
HIGH_BREADTH_LOW_DISP,AGE_8_14,35,ARRIVAL_isol_dn,3.0,0.8857142857142857,1.0,1.0,
HIGH_BREADTH_LOW_DISP,AGE_8_14,35,ARRIVAL_band_up,1.0,1.0,1.0,1.0,
HIGH_BREADTH_LOW_DISP,AGE_8_14,35,ARRIVAL_multi_up,5.0,0.6,0.8,1.0,
HIGH_BREADTH_LOW_DISP,AGE_8_14,35,ARRIVAL_coord_dn,1.0,1.0,1.0,1.0,
LOW_BREADTH_HIGH_DISP,AGE_1,66,STATE_EXIT,2.0,0.8181818181818182,0.9242424242424242,1.0,
LOW_BREADTH_HIGH_DISP,AGE_1,66,PROPAGATION,,0.06060606060606061,0.06060606060606061,0.18181818181818182,0.10606060606060606
LOW_BREADTH_HIGH_DISP,AGE_1,66,REENTRY,,0.3333333333333333,0.22727272727272727,0.30303030303030304,0.24242424242424243
LOW_BREADTH_HIGH_DISP,AGE_1,66,ARRIVAL_isol_dn,2.0,0.9090909090909091,0.9848484848484849,1.0,
LOW_BREADTH_HIGH_DISP,AGE_1,66,ARRIVAL_band_up,1.0,1.0,1.0,1.0,
LOW_BREADTH_HIGH_DISP,AGE_1,66,ARRIVAL_multi_up,4.0,0.7878787878787878,0.9242424242424242,1.0,
LOW_BREADTH_HIGH_DISP,AGE_1,66,ARRIVAL_coord_dn,1.0,1.0,1.0,1.0,
LOW_BREADTH_HIGH_DISP,AGE_2_3,56,STATE_EXIT,4.0,0.625,0.8392857142857143,1.0,
LOW_BREADTH_HIGH_DISP,AGE_2_3,56,PROPAGATION,,0.07142857142857142,0.03571428571428571,0.16071428571428573,0.03571428571428571
LOW_BREADTH_HIGH_DISP,AGE_2_3,56,REENTRY,,0.21428571428571427,0.19642857142857142,0.19642857142857142,0.17857142857142858
LOW_BREADTH_HIGH_DISP,AGE_2_3,56,ARRIVAL_isol_dn,1.0,0.9285714285714286,1.0,1.0,
LOW_BREADTH_HIGH_DISP,AGE_2_3,56,ARRIVAL_band_up,1.0,1.0,1.0,1.0,
LOW_BREADTH_HIGH_DISP,AGE_2_3,56,ARRIVAL_multi_up,4.0,0.75,0.875,1.0,
LOW_BREADTH_HIGH_DISP,AGE_2_3,56,ARRIVAL_coord_dn,1.0,1.0,1.0,1.0,
LOW_BREADTH_HIGH_DISP,AGE_4_7,58,STATE_EXIT,7.5,0.5,0.7758620689655172,1.0,
LOW_BREADTH_HIGH_DISP,AGE_4_7,58,PROPAGATION,,0.034482758620689655,0.10344827586206896,0.1724137931034483,0.08620689655172414
LOW_BREADTH_HIGH_DISP,AGE_4_7,58,REENTRY,,0.06896551724137931,0.27586206896551724,0.25862068965517243,0.10344827586206896
LOW_BREADTH_HIGH_DISP,AGE_4_7,58,ARRIVAL_isol_dn,2.0,0.896551724137931,1.0,1.0,
LOW_BREADTH_HIGH_DISP,AGE_4_7,58,ARRIVAL_band_up,1.0,1.0,1.0,1.0,
LOW_BREADTH_HIGH_DISP,AGE_4_7,58,ARRIVAL_multi_up,5.0,0.6206896551724138,0.896551724137931,1.0,
LOW_BREADTH_HIGH_DISP,AGE_4_7,58,ARRIVAL_coord_dn,1.0,1.0,1.0,1.0,
LOW_BREADTH_HIGH_DISP,AGE_8_14,62,STATE_EXIT,6.0,0.5645161290322581,0.9193548387096774,1.0,
LOW_BREADTH_HIGH_DISP,AGE_8_14,62,PROPAGATION,,0.06451612903225806,0.11290322580645161,0.08064516129032258,0.03225806451612903
LOW_BREADTH_HIGH_DISP,AGE_8_14,62,REENTRY,,0.22580645161290322,0.3387096774193548,0.27419354838709675,0.11290322580645161
LOW_BREADTH_HIGH_DISP,AGE_8_14,62,ARRIVAL_isol_dn,2.0,1.0,1.0,1.0,
LOW_BREADTH_HIGH_DISP,AGE_8_14,62,ARRIVAL_band_up,1.0,1.0,1.0,1.0,
LOW_BREADTH_HIGH_DISP,AGE_8_14,62,ARRIVAL_multi_up,4.0,0.6612903225806451,1.0,1.0,
LOW_BREADTH_HIGH_DISP,AGE_8_14,62,ARRIVAL_coord_dn,1.0,1.0,1.0,1.0,
LOW_BREADTH_HIGH_DISP,AGE_15_PLUS,32,STATE_EXIT,4.0,0.84375,1.0,1.0,
LOW_BREADTH_HIGH_DISP,AGE_15_PLUS,32,PROPAGATION,,0.21875,0.25,0.09375,0.1875
LOW_BREADTH_HIGH_DISP,AGE_15_PLUS,32,REENTRY,,0.34375,0.3125,0.09375,0.375
LOW_BREADTH_HIGH_DISP,AGE_15_PLUS,32,ARRIVAL_isol_dn,2.0,1.0,1.0,1.0,
LOW_BREADTH_HIGH_DISP,AGE_15_PLUS,32,ARRIVAL_band_up,1.0,1.0,1.0,1.0,
LOW_BREADTH_HIGH_DISP,AGE_15_PLUS,32,ARRIVAL_multi_up,2.0,0.875,0.96875,1.0,
LOW_BREADTH_HIGH_DISP,AGE_15_PLUS,32,ARRIVAL_coord_dn,1.0,0.96875,1.0,1.0,
LOW_BREADTH_LOW_DISP,AGE_1,103,STATE_EXIT,2.0,0.7184466019417476,0.7961165048543689,0.9320388349514563,
LOW_BREADTH_LOW_DISP,AGE_1,103,PROPAGATION,,0.11650485436893204,0.1650485436893204,0.1650485436893204,0.13592233009708737
LOW_BREADTH_LOW_DISP,AGE_1,103,REENTRY,,0.32038834951456313,0.21359223300970873,0.3300970873786408,0.27184466019417475
LOW_BREADTH_LOW_DISP,AGE_1,103,ARRIVAL_isol_dn,2.0,0.8932038834951457,0.9805825242718447,0.9902912621359223,
LOW_BREADTH_LOW_DISP,AGE_1,103,ARRIVAL_band_up,1.0,0.9902912621359223,0.9902912621359223,0.9902912621359223,
LOW_BREADTH_LOW_DISP,AGE_1,103,ARRIVAL_multi_up,5.0,0.6893203883495146,0.883495145631068,0.9902912621359223,
LOW_BREADTH_LOW_DISP,AGE_1,103,ARRIVAL_coord_dn,1.0,0.9902912621359223,0.9902912621359223,0.9902912621359223,
LOW_BREADTH_LOW_DISP,AGE_2_3,110,STATE_EXIT,5.0,0.5363636363636364,0.6727272727272727,0.8818181818181818,
LOW_BREADTH_LOW_DISP,AGE_2_3,110,PROPAGATION,,0.06363636363636363,0.06363636363636363,0.20909090909090908,0.08181818181818182
LOW_BREADTH_LOW_DISP,AGE_2_3,110,REENTRY,,0.24545454545454545,0.2545454545454545,0.2545454545454545,0.2545454545454545
LOW_BREADTH_LOW_DISP,AGE_2_3,110,ARRIVAL_isol_dn,2.0,0.8818181818181818,0.9727272727272728,0.9818181818181818,
LOW_BREADTH_LOW_DISP,AGE_2_3,110,ARRIVAL_band_up,1.0,0.9818181818181818,0.9818181818181818,0.9818181818181818,
LOW_BREADTH_LOW_DISP,AGE_2_3,110,ARRIVAL_multi_up,4.0,0.6818181818181818,0.8272727272727273,0.9818181818181818,
LOW_BREADTH_LOW_DISP,AGE_2_3,110,ARRIVAL_coord_dn,1.0,0.9818181818181818,0.9818181818181818,0.9818181818181818,
LOW_BREADTH_LOW_DISP,AGE_4_7,143,STATE_EXIT,10.0,0.36363636363636365,0.5734265734265734,0.8881118881118881,
LOW_BREADTH_LOW_DISP,AGE_4_7,143,PROPAGATION,,0.06993006993006994,0.07692307692307693,0.14685314685314685,0.04895104895104895
LOW_BREADTH_LOW_DISP,AGE_4_7,143,REENTRY,,0.21678321678321677,0.24475524475524477,0.3356643356643357,0.24475524475524477
LOW_BREADTH_LOW_DISP,AGE_4_7,143,ARRIVAL_isol_dn,2.0,0.8811188811188811,0.9440559440559441,0.972027972027972,
LOW_BREADTH_LOW_DISP,AGE_4_7,143,ARRIVAL_band_up,1.0,0.972027972027972,0.972027972027972,0.972027972027972,
LOW_BREADTH_LOW_DISP,AGE_4_7,143,ARRIVAL_multi_up,4.0,0.6573426573426573,0.9090909090909091,0.972027972027972,
LOW_BREADTH_LOW_DISP,AGE_4_7,143,ARRIVAL_coord_dn,1.0,0.972027972027972,0.972027972027972,0.972027972027972,
LOW_BREADTH_LOW_DISP,AGE_8_14,171,STATE_EXIT,11.0,0.30994152046783624,0.5029239766081871,0.8771929824561403,
LOW_BREADTH_LOW_DISP,AGE_8_14,171,PROPAGATION,,0.03508771929824561,0.03508771929824561,0.11695906432748537,0.05263157894736842
LOW_BREADTH_LOW_DISP,AGE_8_14,171,REENTRY,,0.15789473684210525,0.25146198830409355,0.38596491228070173,0.1286549707602339
LOW_BREADTH_LOW_DISP,AGE_8_14,171,ARRIVAL_isol_dn,2.0,0.8830409356725146,0.9532163742690059,0.9649122807017544,
LOW_BREADTH_LOW_DISP,AGE_8_14,171,ARRIVAL_band_up,1.0,0.9590643274853801,0.9590643274853801,0.9766081871345029,
LOW_BREADTH_LOW_DISP,AGE_8_14,171,ARRIVAL_multi_up,4.0,0.7192982456140351,0.935672514619883,0.9532163742690059,
LOW_BREADTH_LOW_DISP,AGE_8_14,171,ARRIVAL_coord_dn,1.0,0.9590643274853801,0.9590643274853801,0.9766081871345029,
LOW_BREADTH_LOW_DISP,AGE_15_PLUS,298,STATE_EXIT,9.0,0.3959731543624161,0.6812080536912751,0.9395973154362416,
LOW_BREADTH_LOW_DISP,AGE_15_PLUS,298,PROPAGATION,,0.053691275167785234,0.08053691275167785,0.19463087248322147,0.026845637583892617
LOW_BREADTH_LOW_DISP,AGE_15_PLUS,298,REENTRY,,0.23154362416107382,0.31543624161073824,0.32550335570469796,0.1610738255033557
LOW_BREADTH_LOW_DISP,AGE_15_PLUS,298,ARRIVAL_isol_dn,2.0,0.8657718120805369,0.9395973154362416,1.0,
LOW_BREADTH_LOW_DISP,AGE_15_PLUS,298,ARRIVAL_band_up,1.0,0.9463087248322147,0.9563758389261745,1.0,
LOW_BREADTH_LOW_DISP,AGE_15_PLUS,298,ARRIVAL_multi_up,4.0,0.6476510067114094,0.8322147651006712,0.9429530201342282,
LOW_BREADTH_LOW_DISP,AGE_15_PLUS,298,ARRIVAL_coord_dn,1.0,0.9429530201342282,0.9563758389261745,1.0,
