from_state,to_state,horizon_d,n,p,n_from
PRICE_RECOVERY_RANK_DECAY,PRICE_DOWN_RANK_DOWN,14,0,0.0,282
PRICE_DECAY_RANK_RECOVERY,PRICE_UP_RANK_UP,14,0,0.0,109
PRICE_DECAY_RANK_RECOVERY,PRICE_UP_RANK_DOWN,14,0,0.0,109
PRICE_DECAY_RANK_RECOVERY,PRICE_DOWN_RANK_UP,14,0,0.0,109
PRICE_DECAY_RANK_RECOVERY,PRICE_DOWN_RANK_DOWN,14,0,0.0,109
PRICE_DECAY_RANK_DECAY,PRICE_UP_RANK_UP,14,0,0.0,293
PRICE_DECAY_RANK_DECAY,PRICE_UP_RANK_DOWN,14,0,0.0,293
PRICE_DECAY_RANK_DECAY,PRICE_DOWN_RANK_UP,14,0,0.0,293
PRICE_DECAY_RANK_DECAY,PRICE_DOWN_RANK_DOWN,14,0,0.0,293
PRICE_RECOVERY_RANK_RECOVERY,PRICE_UP_RANK_UP,30,171,0.504424778761062,339
PRICE_RECOVERY_RANK_RECOVERY,PRICE_UP_RANK_DOWN,30,77,0.22713864306784662,339
PRICE_RECOVERY_RANK_RECOVERY,PRICE_DOWN_RANK_UP,30,20,0.058997050147492625,339
PRICE_RECOVERY_RANK_RECOVERY,PRICE_DOWN_RANK_DOWN,30,29,0.0855457227138643,339
PRICE_RECOVERY_RANK_DECAY,PRICE_UP_RANK_UP,30,84,0.2978723404255319,282
PRICE_RECOVERY_RANK_DECAY,PRICE_UP_RANK_DOWN,30,128,0.45390070921985815,282
PRICE_RECOVERY_RANK_DECAY,PRICE_DOWN_RANK_UP,30,5,0.01773049645390071,282
PRICE_RECOVERY_RANK_DECAY,PRICE_DOWN_RANK_DOWN,30,38,0.1347517730496454,282
PRICE_DECAY_RANK_RECOVERY,PRICE_UP_RANK_UP,30,0,0.0,109
PRICE_DECAY_RANK_RECOVERY,PRICE_UP_RANK_DOWN,30,0,0.0,109
PRICE_DECAY_RANK_RECOVERY,PRICE_DOWN_RANK_UP,30,32,0.29357798165137616,109
PRICE_DECAY_RANK_RECOVERY,PRICE_DOWN_RANK_DOWN,30,53,0.48623853211009177,109
PRICE_DECAY_RANK_DECAY,PRICE_UP_RANK_UP,30,0,0.0,293
PRICE_DECAY_RANK_DECAY,PRICE_UP_RANK_DOWN,30,0,0.0,293
PRICE_DECAY_RANK_DECAY,PRICE_DOWN_RANK_UP,30,28,0.09556313993174062,293
PRICE_DECAY_RANK_DECAY,PRICE_DOWN_RANK_DOWN,30,237,0.8088737201365188,293
