alloc_id,heat_id,f_pct,survives_100,median_cagr_100,p95_dd_100,survives_75,median_cagr_75,p95_dd_75,survives_50,median_cagr_50,p95_dd_50,survives_25,median_cagr_25,p95_dd_25,region,dependency_sensitive,diagnostic_only
A0_50_50,H1-1.50-REJ,3.0,True,3.812822997120599,0.226847745941875,True,1.25924313570422,0.2921518890193777,True,0.057385428081869305,0.5646141805582614,False,-0.5078744267512705,0.929626306758139,AGGRESSIVE_FRAGILE,False,False
A0_50_50,H1-2.00-REJ,0.25,True,0.1448899775897351,0.020602072503020843,True,0.073533155714881,0.02736053775443758,True,0.006733778179391359,0.06314817072372098,False,-0.055984602673699535,0.19460079631687666,ROBUST_LOW_SCALE,False,False
A0_50_50,H1-2.00-REJ,0.5,True,0.30972258013168796,0.04086706955815335,True,0.15181718687302215,0.05413738309368377,True,0.01313782650931844,0.12287834858340355,False,-0.1090672398008189,0.35189172429885485,ROBUST_LOW_SCALE,False,False
A0_50_50,H1-2.00-REJ,0.75,True,0.49710671182320476,0.06079538259585799,True,0.23512668295325817,0.08036482114288478,True,0.019176157770593838,0.1793873679205475,False,-0.15938676094307933,0.4788973940782275,ROBUST_GROWTH_REGION,False,False
A0_50_50,H1-2.00-REJ,1.0,True,0.7098957979412889,0.08043830349850659,True,0.32375278883990793,0.1059455104052163,True,0.024886594878137547,0.2327141113245321,False,-0.2070842072295644,0.5813851684180285,ROBUST_GROWTH_REGION,False,False
A0_50_50,H1-2.00-REJ,1.5,True,1.225172343593246,0.11878831738082901,True,0.5179297434958942,0.15573278944052646,True,0.03525449881213638,0.33070662705773524,False,-0.2950775810160817,0.7305430916439775,AGGRESSIVE_FRAGILE,False,False
A0_50_50,H1-2.00-REJ,2.0,True,1.8865764279383244,0.15600510133525008,True,0.7368502771568404,0.20316089467951792,True,0.044149069164205135,0.41822993383303164,False,-0.37398536225416557,0.8271862105361936,AGGRESSIVE_FRAGILE,False,False
A0_50_50,H1-2.00-REJ,3.0,True,3.812822997120599,0.226847745941875,True,1.25924313570422,0.2921518890193777,True,0.057385428081869305,0.5646141805582614,False,-0.5078744267512705,0.929626306758139,AGGRESSIVE_FRAGILE,False,False
A0_50_50,H1-3.00-REJ,0.25,True,0.1448899775897351,0.020602072503020843,True,0.073533155714881,0.02736053775443758,True,0.006733778179391359,0.06314817072372098,False,-0.055984602673699535,0.19460079631687666,ROBUST_LOW_SCALE,False,False
A0_50_50,H1-3.00-REJ,0.5,True,0.30972258013168796,0.04086706955815335,True,0.15181718687302215,0.05413738309368377,True,0.01313782650931844,0.12287834858340355,False,-0.1090672398008189,0.35189172429885485,ROBUST_LOW_SCALE,False,False
