alloc_id,heat_id,edge,scheme,f_from,f_to,d_median_cagr,d_p95_dd,d_p99_dd,d_P_dd_ge_10,d_P_dd_ge_20,d_median_dur,inc_ret_per_p95_dd,inc_ret_per_p95_dd_flag,inc_ret_per_p99_dd,inc_ret_per_p99_dd_flag
A0_50_50,H0,0.75,block,0.25,0.5,0.07839517284421238,0.0268319697042034,0.03319146284228773,0.0001,0.0,0.0,2.9217077131661813,OK,2.3619077356341363,OK
A0_50_50,H0,0.75,block,0.5,0.75,0.08342779858592786,0.026286671862959472,0.032229396369064314,0.0095,0.0,1.0,3.1737680228544223,OK,2.5885622439397222,OK
A0_50_50,H0,0.75,block,0.75,1.0,0.08876380822185059,0.02560427256952659,0.031243547749813916,0.06330000000000001,0.0001,0.0,3.466757666355049,OK,2.841028455943492,OK
A0_50_50,H0,0.75,block,1.0,1.5,0.19460695578846365,0.04991398056836943,0.05970506525130989,0.37279999999999996,0.0066,2.0,3.898846647221448,OK,3.259471453038804,OK
A0_50_50,H0,0.75,block,1.5,2.0,0.21951901203108415,0.04754590223161942,0.056425742643193916,0.41800000000000004,0.0511,0.0,4.616991196458936,OK,3.8904053672665766,OK
A0_50_50,H0,0.75,block,2.0,3.0,0.5239548926102788,0.08935468972831573,0.10352402877051273,0.13569999999999993,0.3356,2.0,5.863764892512878,OK,5.0611910957576605,OK
A0_50_50,H0,0.75,episode,0.25,0.5,0.0781728894720699,0.026721720974288987,0.033044235153830565,0.0,0.0,0.0,2.925443669862657,OK,2.3657043084263343,OK
A0_50_50,H0,0.75,episode,0.5,0.75,0.08319119357454419,0.026168204235442534,0.03209545422189432,0.0097,0.0,0.0,3.1790944776359176,OK,2.591993028028071,OK
A0_50_50,H0,0.75,episode,0.75,1.0,0.08848840355144894,0.02555710595513644,0.03129134284988064,0.0648,0.0,1.0,3.4623796491975116,OK,2.827887699673665,OK
A0_50_50,H0,0.75,episode,1.0,1.5,0.1937469535235088,0.049660577502250905,0.060227381900935434,0.3857,0.0059,1.0,3.9014236899425314,OK,3.216924717766946,OK
A0_50_50,H0,0.75,episode,1.5,2.0,0.21832205529080828,0.047310308246363536,0.0566269516808271,0.3866,0.0491,1.0,4.614682579405714,OK,3.8554442506699216,OK
A0_50_50,H0,0.75,episode,2.0,3.0,0.5208308244844804,0.0886272989514039,0.1032767545306486,0.1512,0.3533,2.0,5.87664106484913,OK,5.043059562158469,OK
A0_50_50,H0,0.75,iid,0.25,0.5,0.07900198339226017,0.023972960719439097,0.029472526627375106,0.0,0.0,1.0,3.2954620965194072,OK,2.6805297147099827,OK
A0_50_50,H0,0.75,iid,0.5,0.75,0.084117481632347,0.023555760171828387,0.02875390217482808,0.0025,0.0,0.0,3.5709941440543136,OK,2.9254283860639148,OK
A0_50_50,H0,0.75,iid,0.75,1.0,0.08963958720644671,0.02314074413256828,0.02804643759528598,0.032,0.0,0.0,3.873669173857204,OK,3.196113121386698,OK
A0_50_50,H0,0.75,iid,1.0,1.5,0.19658596057199107,0.045042983235546535,0.05366540253054318,0.281,0.0015,1.0,4.364408093131173,OK,3.6631787204075463,OK
A0_50_50,H0,0.75,iid,1.5,2.0,0.22209211259139383,0.0433423347837463,0.050787709881741444,0.43200000000000005,0.024499999999999997,1.0,5.124138182668462,OK,4.372949934315459,OK
A0_50_50,H0,0.75,iid,2.0,3.0,0.532737902782651,0.08081041824556157,0.09680255299857168,0.24749999999999994,0.24000000000000002,1.0,6.592440855383286,OK,5.503345586252374,OK
A0_50_50,H0,0.5,block,0.25,0.5,0.006541750838402471,0.060686531018687095,0.07509837853233801,0.1416,0.0009,3.0,0.10779576173810432,OK,0.08710908232972749,OK
A0_50_50,H0,0.5,block,0.5,0.75,0.0061874513677399046,0.057481366284794194,0.06988702974837671,0.2975,0.0258,3.0,0.10764273307429541,OK,0.08853504563031772,OK
A0_50_50,H0,0.5,block,0.75,1.0,0.005860984129216762,0.054080116168195025,0.0649271845517918,0.2747,0.0927,4.0,0.10837595302104133,OK,0.09027011058120825,OK
A0_50_50,H0,0.5,block,1.0,1.5,0.010673949569849017,0.09926736871131692,0.11508483068904446,0.23829999999999996,0.2848,6.0,0.10752727415280164,OK,0.09274853606631867,OK
A0_50_50,H0,0.5,block,1.5,2.0,0.009191363606119163,0.0878281138308522,0.09864533961565514,0.04360000000000008,0.2781,5.0,0.10465172488869307,OK,0.09317585242172437,OK
A0_50_50,H0,0.5,block,2.0,3.0,0.013960812601525041,0.1465525322235428,0.15517702865251626,0.0032999999999999696,0.2612,13.0,0.09526149012717174,OK,0.08996700557262965,OK
