n_paths,seed,max_dd_p5,max_dd_p25,max_dd_p50,max_dd_p75,max_dd_p90,max_dd_p95,max_dd_p99,cagr_p5,cagr_p25,cagr_p50,cagr_p75,cagr_p90,cagr_p95,cagr_p99,terminal_p5,terminal_p25,terminal_p50,terminal_p75,terminal_p90,terminal_p95,terminal_p99,min_eq_p5,min_eq_p25,min_eq_p50,min_eq_p75,min_eq_p90,min_eq_p95,min_eq_p99,dur_p50,dur_p95,time_under_water_p50,time_under_water_p95,exp_cagr,median_cagr,exp_max_dd,median_terminal,P_dd_ge_5,P_dd_ge_10,P_dd_ge_15,P_dd_ge_20,P_dd_ge_25,P_dd_ge_30,P_terminal_below_1,P_cagr_below_0,P_cagr_below_10,P_cagr_below_25,P_cagr_below_50,P_technical_ruin,P_below_90,P_below_80,P_below_75,P_below_50,insolvent,alloc_id,heat_id,f_pct,edge,scheme,block_p95_E5,block_p99_E5,block_p95_E10,block_p99_E10,block_p95_E15,block_p99_E15,block_p95_E20,block_p99_E20,block_p95_E25,block_p99_E25,block_p95_E30,block_p99_E30,episode_p95_E5,episode_p99_E5,episode_p95_E10,episode_p99_E10,episode_p95_E15,episode_p99_E15,episode_p95_E20,episode_p99_E20,episode_p95_E25,episode_p99_E25,episode_p95_E30,episode_p99_E30
10000,20260815,0.05134678461080332,0.07265932773824857,0.09431181874608618,0.12496423634776084,0.15995432378043947,0.1824245865370681,0.22557896860375154,-0.04136320351897366,-0.005874218001781867,0.019605531937835763,0.046296549451873115,0.07029889205899553,0.08436728337437747,0.10985431895565978,0.8860260597672904,0.9832647696304172,1.057194149988058,1.1384210904027743,1.2148424498338624,1.261147830068237,1.3479335543429032,0.8448158382541258,0.9163845234291321,0.9558140833707227,0.9832460010627062,0.9962015200870595,1.0001635786998289,1.0027978612215922,428.0,868.0,830.0,883.0,0.020337449028999866,0.019605531937835763,0.10269182962350797,1.057194149988058,0.9575,0.4401,0.1326,0.0267,0.0036,0.0002,0.3027,0.3027,0.9808,1.0,1.0,0.0,0.1787,0.0144,0.0014,0.0,0.0,A0_50_50,H0,0.75,0.5,block,False,False,False,False,False,False,True,False,True,True,True,True,,,,,,,,,,,,
10000,20260815,0.30142366613980426,0.3586651676600425,0.3963579533964622,0.43284753570344114,0.46292198250776095,0.48088551065165475,0.5133665147866623,-0.20258331215193356,-0.17711605518126555,-0.15909351219729928,-0.14043379253690105,-0.12408560987697592,-0.11395012612176443,-0.09661207631323163,0.5228398790206455,0.5721102508038074,0.6087416097051415,0.6482420595800791,0.6841892144825243,0.7071135663727935,0.7474770885207682,0.5206529105351297,0.569353574329861,0.6062056646502835,0.644753426793974,0.6806241429834469,0.7025603043034075,0.7416209162484948,884.0,889.0,886.0,889.0,-0.15875603756105816,-0.15909351219729928,0.3945509540887564,0.6087416097051415,1.0,1.0,1.0,0.9996,0.9944,0.9527,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9996,0.9927,0.0193,0.0,A0_50_50,H0,0.75,0.25,block,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,
10000,20260815,0.039188962691763106,0.046653533135169796,0.05105857263640182,0.05994653185950271,0.07054659094470359,0.07788229930051781,0.09354774355293341,0.5348617893784634,0.6347749127290714,0.7108411400161591,0.7922044706977575,0.8667859013295346,0.9097000553491243,0.9946518252143076,3.412025505415815,4.087611846545274,4.656399562257949,5.319264393836317,5.978259387245972,6.380432520576532,7.2276386448368735,0.9656928995225794,0.9877929487714509,0.996329669984016,1.0022989357729473,1.0065229498043815,1.0090112784767125,1.0136150345020898,50.0,100.0,574.0,632.0,0.7150155413789855,0.7108411400161591,0.05452667576627757,4.656399562257949,0.6792,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0243,0.0,0.0,0.0,0.0,0.0,0.0,A0_50_50,H0,1.0,1.0,block,False,False,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,
10000,20260815,0.044174058382163976,0.054585871497909944,0.06492254224893226,0.07892374775926825,0.09511599748927843,0.10612798819974972,0.1308239236801669,0.2057883659275192,0.27348795607015686,0.3241944902158881,0.3798803346666341,0.42832168378726576,0.45845868687918023,0.5123886477260524,1.70926101637633,1.998790253622461,2.2353312830221794,2.515292043563228,2.7765990346684304,2.947742657366262,3.2708609942083715,0.9497147956776272,0.9791740851966572,0.9924083652964305,1.0001457657468955,1.0037444620037113,1.0056219496156875,1.0102112758765673,97.0,215.04999999999927,663.5,735.0,0.32730716326493636,0.3241944902158881,0.0689948445193803,2.2353312830221794,0.8889,0.0729,0.0022,0.0001,0.0,0.0,0.0,0.0,0.0007,0.1617,0.9852,0.0,0.0023,0.0,0.0,0.0,0.0,A0_50_50,H0,1.0,0.75,block,False,False,False,False,True,True,True,True,True,True,True,True,,,,,,,,,,,,
10000,20260815,0.06816395244524606,0.09611711576302585,0.1243008750635039,0.16387864397437762,0.20845313002498905,0.23650470270526314,0.29050615315554335,-0.05551242537415767,-0.008597605649237477,0.025466516067052525,0.06143135930382776,0.09399442160759555,0.11325684489178879,0.14831159396980062,0.8490776535077174,0.9755683024714029,1.074695868994365,1.1862322628539317,1.2934877047640605,1.3598050954960674,1.4860950460461253,0.7974717121084737,0.8890889650491369,0.9407124752323411,0.9773043146666723,0.9948734397196934,1.0001999854745904,1.0037304816287895,432.0,869.0,831.0,884.0,0.026764097422527448,0.025466516067052525,0.134760506880105,1.074695868994365,0.9971,0.7148,0.3222,0.1194,0.0332,0.0078,0.3086,0.3086,0.9194,1.0,1.0,0.0,0.2948,0.0522,0.0178,0.0,0.0,A0_50_50,H0,1.0,0.5,block,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,,,,,
10000,20260815,0.3809533414261733,0.4477314728951567,0.49060271609269007,0.5312889004011073,0.5641338805179767,0.5834935385679971,0.6179041458298131,-0.26100729757323554,-0.2293161284577058,-0.20670904234758491,-0.1831255927568362,-0.16233179340989703,-0.1493729487540132,-0.127071558281184,0.42044367715239983,0.47418394238353556,0.5151281817963542,0.5602229303796155,0.6020504388520248,0.6291171920694566,0.6775291517725752,0.41817933775269556,0.47113713323769607,0.5122559996452465,0.5561820810684162,0.5978962274372074,0.6237315166468951,0.6704353881345746,884.0,889.0,886.0,889.0,-0.20610218413939946,-0.20670904234758491,0.4876493647722081,0.5151281817963542,1.0,1.0,1.0,1.0,0.9997,0.9975,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9997,0.42,0.0,A0_50_50,H0,1.0,0.25,block,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,
10000,20260815,0.058365500016688686,0.06931511395339948,0.07594405986071504,0.08895830667586213,0.10441553151504764,0.11515976404396254,0.13767243664194953,0.892504188619355,1.0805464891547178,1.226907343327607,1.3875701593784182,1.5380725167372877,1.626573354271552,1.8023200061534204,6.217232616943706,8.155451617032226,9.90887284562244,12.09733092154016,14.412468674917536,15.899346058717455,19.140576548377172,0.948668320451354,0.9816221976195004,0.9944753920938185,1.0034032569761127,1.0097723771645577,1.0134792446460388,1.0204225517531347,51.0,101.0,575.0,633.0,1.2389715194820354,1.226907343327607,0.08096305273943946,9.90887284562244,0.9926,0.1296,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,A0_50_50,H0,1.5,1.0,block,False,False,False,False,True,True,True,True,True,True,True,True,,,,,,,,,,,,
10000,20260815,0.06593051265587817,0.08116084325459388,0.09628491299535624,0.11670305053401739,0.14000147139229938,0.15604196876811915,0.1905289889314768,0.31944159159146124,0.4321760917039474,0.5188014460043517,0.6155235316262666,0.7011957512995993,0.7556509670053214,0.8544175196451109,2.212424873281287,2.7981169064550917,3.3107473467093333,3.9512295312126335,4.581593321674875,5.0143573364091845,5.865495536797593,0.9248317806136033,0.968554907434739,0.9885191865558971,1.0000378807025154,1.0056166930055668,1.0084195494457642,1.015316913814851,99.0,217.04999999999927,665.0,737.0,0.5260656758629968,0.5188014460043517,0.10210627945635056,3.3107473467093333,0.9994,0.4457,0.0657,0.0067,0.0003,0.0,0.0,0.0,0.0001,0.0133,0.443,0.0,0.0181,0.0004,0.0001,0.0,0.0,A0_50_50,H0,1.5,0.75,block,False,False,False,False,False,False,True,True,True,True,True,True,,,,,,,,,,,,
10000,20260815,0.10121348866584828,0.1418518502223446,0.1821657089220195,0.2376880425798711,0.29849183845934385,0.33577207141658005,0.4055909838445878,-0.08426124184380375,-0.015162523016507029,0.03614046563690154,0.09125666544113847,0.14177475099823797,0.17206737735777325,0.22820956709353848,0.7771257119639892,0.9571768834770032,1.1070521391126926,1.2842366597515695,1.4619898739082888,1.5758718519577517,1.8018933543508928,0.7084986284131717,0.8355632470347741,0.9101874771867249,0.964652349636099,0.9920302243111455,1.000207292309878,1.0054678987106203,438.0,871.0,832.0,884.0,0.03906374088796945,0.03614046563690154,0.19583762104987193,1.1070521391126926,1.0,0.9531,0.6994,0.4042,0.2091,0.0975,0.3193,0.3193,0.7816,0.9951,1.0,0.0,0.4593,0.1681,0.0907,0.0005,0.0,A0_50_50,H0,1.5,0.5,block,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,
10000,20260815,0.5148556823633672,0.5913243951275259,0.6380783842660819,0.6806349894752433,0.7136442602835265,0.7325586765681019,0.7650993689565366,-0.3659072848772051,-0.32453335918683957,-0.29457971121919535,-0.26281849380712485,-0.23442109806838593,-0.21656863300302728,-0.18550304168174472,0.2711744037345952,0.32500120618041295,0.3680149254695673,0.4174985575085435,0.46524180907411977,0.49699972566534445,0.5555649215515022,0.26900876443860366,0.32182239081669306,0.36502909643934506,0.41296866946692734,0.4604528793731331,0.4906398237969275,0.5469466390049161,884.0,889.0,886.0,889.0,-0.2932731272728339,-0.29457971121919535,0.6329353450836974,0.3680149254695673,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9614,0.0,A0_50_50,H0,1.5,0.25,block,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,
