alloc_id,heat_id,f_pct,edge,scheme,p95_dd_ci_lo,p95_dd_ci_hi,p99_dd_ci_lo,p99_dd_ci_hi,median_cagr_ci_lo,median_cagr_ci_hi
A2_100_0_A,H0,3.0,1.0,block,0.36399489091084697,0.3704963150280871,0.4158706922053625,0.4337875393667877,4.274483397377489,4.339277608329301
A2_100_0_A,H0,3.0,0.75,block,0.44383041275437296,0.4512604757761853,0.5193440218703609,0.5374394898272068,1.4970090441822592,1.5237489887156728
A2_100_0_A,H0,3.0,0.5,block,0.6543884482857093,0.6672142970978333,0.7498710958244493,0.7637723057752697,0.17116511509428325,0.18228137291684499
A2_100_0_A,H0,3.0,0.25,block,0.9334955231609708,0.9365039955660475,0.95483013970693,0.9586746721040968,-0.45608187816450446,-0.45065643358483126
A2_100_0_A,H1-1.00-REJ,0.25,1.0,block,0.022256561156486346,0.02255863770202519,0.025920422454137483,0.02658474850038008,0.14592547185375515,0.1470489449949178
A2_100_0_A,H1-1.00-REJ,0.25,0.75,block,0.02756885911191831,0.028255670517064308,0.033958304408393175,0.03549233642997493,0.08268528778293037,0.08351214251815238
A2_100_0_A,H1-1.00-REJ,0.25,0.5,block,0.04670224383567844,0.04783869863409337,0.05847391228338831,0.06211192850601863,0.022887378446444874,0.023558908879283143
A2_100_0_A,H1-1.00-REJ,0.25,0.25,block,0.1439766672280152,0.14577681518725805,0.16096083959957644,0.16737839385316447,-0.03371519783128919,-0.03322577169847473
A2_100_0_A,H1-1.00-REJ,0.5,1.0,block,0.04420617243746152,0.04476143914819625,0.05138822008069014,0.05275703598882264,0.3111672465196992,0.313785864424481
A2_100_0_A,H1-1.00-REJ,0.5,0.75,block,0.05463401732025346,0.05595743980944442,0.06716526158283023,0.07007387647219405,0.17101006183325526,0.17286541811395198
A2_100_0_A,H1-1.00-REJ,0.5,0.5,block,0.0919824607302265,0.09421462812532547,0.11446824904524783,0.12153728767784672,0.04567173351578604,0.04702414017784866
