family,cell,age_band,entropy_tercile,n,med_fbe,p_up_next,p_down_next,dir_entropy,verdict,n_biased_strata,n_low_entropy_strata
BROAD_UP,LOW_BREADTH_HIGH_DISP,AGE_15_PLUS,ENT_HIGH,22,1.0280704561965452,0.8636363636363636,0.13636363636363635,0.5746356978376794,DIRECTION_DECOMPOSED,43,14
BROAD_UP,LOW_BREADTH_LOW_DISP,AGE_1,ENT_LOW,22,0.0,0.7272727272727273,0.2727272727272727,0.8453509366224364,DIRECTION_DECOMPOSED,43,14
BROAD_UP,LOW_BREADTH_LOW_DISP,AGE_1,ENT_MID,34,0.20882568655846853,0.5588235294117647,0.4411764705882353,0.9899927915575186,DIRECTION_DECOMPOSED,43,14
BROAD_UP,LOW_BREADTH_LOW_DISP,AGE_1,ENT_HIGH,42,1.008462512338286,0.7380952380952381,0.2619047619047619,0.8296071030882031,DIRECTION_DECOMPOSED,43,14
BROAD_UP,LOW_BREADTH_LOW_DISP,AGE_15_PLUS,ENT_LOW,116,0.0,0.6379310344827587,0.3620689655172414,0.944387195013346,DIRECTION_DECOMPOSED,43,14
BROAD_UP,LOW_BREADTH_LOW_DISP,AGE_15_PLUS,ENT_MID,79,0.19472774991317104,0.5949367088607594,0.379746835443038,1.1104593064416028,DIRECTION_DECOMPOSED,43,14
BROAD_UP,LOW_BREADTH_LOW_DISP,AGE_15_PLUS,ENT_HIGH,77,1.0165099621860467,0.7012987012987013,0.2727272727272727,1.0070126316665733,DIRECTION_DECOMPOSED,43,14
BROAD_DOWN,HIGH_BREADTH_HIGH_DISP,AGE_1,ENT_MID,23,0.3344237444160981,0.7391304347826086,0.21739130434782608,0.9976267918964659,DIRECTION_DECOMPOSED,43,14
BROAD_DOWN,HIGH_BREADTH_HIGH_DISP,AGE_1,ENT_HIGH,26,1.1574724884518806,0.6153846153846154,0.38461538461538464,0.9612366047228759,DIRECTION_DECOMPOSED,43,14
BROAD_DOWN,HIGH_BREADTH_HIGH_DISP,AGE_15_PLUS,ENT_LOW,155,0.0,0.8903225806451613,0.10967741935483871,0.49894219019912067,DIRECTION_DECOMPOSED,43,14
BROAD_DOWN,HIGH_BREADTH_HIGH_DISP,AGE_15_PLUS,ENT_MID,79,0.17225916338472824,0.7848101265822784,0.21518987341772153,0.7512865767183431,DIRECTION_DECOMPOSED,43,14
BROAD_DOWN,HIGH_BREADTH_HIGH_DISP,AGE_15_PLUS,ENT_HIGH,34,0.9827250600051864,0.6470588235294118,0.3235294117647059,1.0827203878670804,DIRECTION_DECOMPOSED,43,14
BROAD_DOWN,HIGH_BREADTH_LOW_DISP,AGE_1,ENT_MID,25,0.2840029337195172,0.76,0.24,0.7950402793845223,DIRECTION_DECOMPOSED,43,14
BROAD_DOWN,HIGH_BREADTH_LOW_DISP,AGE_1,ENT_HIGH,36,1.108857123077048,0.6388888888888888,0.3611111111111111,0.943601631299382,DIRECTION_DECOMPOSED,43,14
BROAD_DOWN,LOW_BREADTH_HIGH_DISP,AGE_1,ENT_MID,19,0.37368807068357524,0.6842105263157895,0.3157894736842105,0.8997437586982626,DIRECTION_DECOMPOSED,43,14
BROAD_DOWN,LOW_BREADTH_HIGH_DISP,AGE_1,ENT_HIGH,29,1.0333951224212423,0.7241379310344828,0.20689655172413793,1.0735519991730582,DIRECTION_DECOMPOSED,43,14
BROAD_DOWN,LOW_BREADTH_HIGH_DISP,AGE_15_PLUS,ENT_HIGH,17,1.0853698480004426,0.8823529411764706,0.11764705882352941,0.5225593745369408,DIRECTION_DECOMPOSED,43,14
BROAD_DOWN,LOW_BREADTH_LOW_DISP,AGE_1,ENT_LOW,22,0.0,0.7272727272727273,0.2727272727272727,0.8453509366224364,DIRECTION_DECOMPOSED,43,14
BROAD_DOWN,LOW_BREADTH_LOW_DISP,AGE_1,ENT_MID,31,0.22903462396735258,0.5483870967741935,0.45161290322580644,0.9932338197397066,DIRECTION_DECOMPOSED,43,14
BROAD_DOWN,LOW_BREADTH_LOW_DISP,AGE_1,ENT_HIGH,39,1.0370598321967772,0.7435897435897436,0.2564102564102564,0.8212809417449863,DIRECTION_DECOMPOSED,43,14
BROAD_DOWN,LOW_BREADTH_LOW_DISP,AGE_15_PLUS,ENT_LOW,103,0.0,0.6601941747572816,0.33980582524271846,0.9246327718618892,DIRECTION_DECOMPOSED,43,14
BROAD_DOWN,LOW_BREADTH_LOW_DISP,AGE_15_PLUS,ENT_MID,70,0.19440677010562188,0.5857142857142857,0.38571428571428573,1.1286888062627511,DIRECTION_DECOMPOSED,43,14
BROAD_DOWN,LOW_BREADTH_LOW_DISP,AGE_15_PLUS,ENT_HIGH,67,1.0081727817180632,0.7164179104477612,0.2537313432835821,0.9979538421611864,DIRECTION_DECOMPOSED,43,14
ISOLATED_DOWN,HIGH_BREADTH_HIGH_DISP,AGE_1,ENT_LOW,16,0.0,0.8125,0.1875,0.6962122601251458,DIRECTION_DECOMPOSED,43,14
ISOLATED_DOWN,HIGH_BREADTH_HIGH_DISP,AGE_1,ENT_MID,23,0.2829739375828523,0.782608695652174,0.17391304347826086,0.9123163027543337,DIRECTION_DECOMPOSED,43,14
ISOLATED_DOWN,HIGH_BREADTH_HIGH_DISP,AGE_1,ENT_HIGH,31,1.0622335706058714,0.6451612903225806,0.3548387096774194,0.9383153522334069,DIRECTION_DECOMPOSED,43,14
ISOLATED_DOWN,HIGH_BREADTH_HIGH_DISP,AGE_15_PLUS,ENT_LOW,180,0.0,0.9,0.1,0.4689955935892812,DIRECTION_DECOMPOSED,43,14
ISOLATED_DOWN,HIGH_BREADTH_HIGH_DISP,AGE_15_PLUS,ENT_MID,82,0.2092501290108231,0.8170731707317073,0.18292682926829268,0.6864381668766382,DIRECTION_DECOMPOSED,43,14
ISOLATED_DOWN,HIGH_BREADTH_HIGH_DISP,AGE_15_PLUS,ENT_HIGH,42,1.0213316955549312,0.7142857142857143,0.2619047619047619,0.9813539543676691,DIRECTION_DECOMPOSED,43,14
ISOLATED_DOWN,HIGH_BREADTH_LOW_DISP,AGE_1,ENT_MID,27,0.2848794859840836,0.7777777777777778,0.2222222222222222,0.7642045065086203,DIRECTION_DECOMPOSED,43,14
ISOLATED_DOWN,HIGH_BREADTH_LOW_DISP,AGE_1,ENT_HIGH,47,1.0658245247783782,0.7021276595744681,0.2765957446808511,0.9892543351954425,DIRECTION_DECOMPOSED,43,14
ISOLATED_DOWN,LOW_BREADTH_HIGH_DISP,AGE_1,ENT_MID,18,0.36157780913364457,0.7222222222222222,0.2777777777777778,0.8524051786494786,DIRECTION_DECOMPOSED,43,14
ISOLATED_DOWN,LOW_BREADTH_HIGH_DISP,AGE_1,ENT_HIGH,22,1.0888112375135761,0.6818181818181818,0.2727272727272727,1.090652803252992,DIRECTION_DECOMPOSED,43,14
ISOLATED_DOWN,LOW_BREADTH_HIGH_DISP,AGE_15_PLUS,ENT_HIGH,21,1.0359252127503507,0.8571428571428571,0.14285714285714285,0.5916727785823275,DIRECTION_DECOMPOSED,43,14
ISOLATED_DOWN,LOW_BREADTH_LOW_DISP,AGE_1,ENT_LOW,20,0.0,0.8,0.2,0.7219280948873623,DIRECTION_DECOMPOSED,43,14
ISOLATED_DOWN,LOW_BREADTH_LOW_DISP,AGE_1,ENT_MID,31,0.20994840530340653,0.5161290322580645,0.4838709677419355,0.9992492479956565,DIRECTION_DECOMPOSED,43,14
ISOLATED_DOWN,LOW_BREADTH_LOW_DISP,AGE_1,ENT_HIGH,34,1.0382300120808052,0.7058823529411765,0.29411764705882354,0.8739810481273578,DIRECTION_DECOMPOSED,43,14
ISOLATED_DOWN,LOW_BREADTH_LOW_DISP,AGE_15_PLUS,ENT_LOW,103,0.0,0.6601941747572816,0.33980582524271846,0.9246327718618892,DIRECTION_DECOMPOSED,43,14
ISOLATED_DOWN,LOW_BREADTH_LOW_DISP,AGE_15_PLUS,ENT_MID,73,0.19452255734213506,0.6027397260273972,0.3698630136986301,1.113153959175158,DIRECTION_DECOMPOSED,43,14
ISOLATED_DOWN,LOW_BREADTH_LOW_DISP,AGE_15_PLUS,ENT_HIGH,72,1.0188804569983931,0.6944444444444444,0.2777777777777778,1.0222670655189305,DIRECTION_DECOMPOSED,43,14
