patch,perturbation,amplitude,n_events,activation_prob_3d,tail_share_after,med_ret_after
UPPER_MID,brd_jump,SMALL,213,0.9107981220657277,0.039789861811764374,0.00492937071248889
UPPER_MID,brd_jump,MEDIUM,214,0.9158878504672897,0.03597692138051872,0.00442009512335062
UPPER_MID,brd_jump,LARGE,221,0.9174311926605505,0.03637194140677923,0.005452725570648909
UPPER_MID,brd_drop,SMALL,242,0.9256198347107438,0.05345880102777904,-0.006482425611466169
UPPER_MID,brd_drop,MEDIUM,241,0.9045643153526971,0.03926161011882114,-0.011011013761162758
UPPER_MID,brd_drop,LARGE,249,0.9236947791164659,0.055348823388819586,-0.022073103114962578
UPPER_MID,disp_jump,SMALL,187,0.9086021505376344,0.04347701015043611,0.0033658654429018497
UPPER_MID,disp_jump,MEDIUM,186,0.9086021505376344,0.04860042448286091,0.00283723883330822
UPPER_MID,disp_jump,LARGE,192,0.9270833333333334,0.06264483449666476,0.002874986035749316
UPPER_MID,disp_drop,SMALL,195,0.9179487179487179,0.04473516069931819,-0.006084855180233717
UPPER_MID,disp_drop,MEDIUM,194,0.9484536082474226,0.047901084895274615,-0.015892330557107925
UPPER_MID,disp_drop,LARGE,200,0.965,0.059364258402835206,-0.009105113334953785
UPPER_MID,btc_shock,SMALL,168,0.9345238095238095,0.05330188592513244,-0.00397516367956996
UPPER_MID,btc_shock,MEDIUM,167,0.9580838323353293,0.05708594429141897,-0.008677936159074306
UPPER_MID,btc_shock,LARGE,173,0.9823529411764705,0.08151944524504978,-0.0024574005510658026
UPPER_MID,conc_shock,SMALL,102,0.9019607843137255,0.0640937268426385,-0.0047897882759571075
UPPER_MID,conc_shock,MEDIUM,102,0.9509803921568627,0.06920968463759535,-0.003047669306397438
UPPER_MID,conc_shock,LARGE,106,0.8773584905660378,0.0437831260060013,-0.0052100894972682
UPPER_MID,vol_shock,SMALL,90,0.9333333333333333,0.05513726719857314,-0.006319863256067038
UPPER_MID,vol_shock,MEDIUM,90,0.9777777777777777,0.0787260324192372,-0.005194967146962881
UPPER_MID,vol_shock,LARGE,93,0.9111111111111111,0.12411442522224062,-0.012900730594992638
MID,brd_jump,SMALL,213,0.9107981220657277,0.0508511765129328,0.004383522551506758
MID,brd_jump,MEDIUM,214,0.897196261682243,0.04524652576935941,0.003996497020125389
MID,brd_jump,LARGE,221,0.8807339449541285,0.045729561104373415,0.004602950066328049
MID,brd_drop,SMALL,242,0.9214876033057852,0.06502285927645805,-0.006895860191434622
MID,brd_drop,MEDIUM,241,0.8672199170124482,0.0503258833332511,-0.010533278807997704
MID,brd_drop,LARGE,249,0.891566265060241,0.06212517608773793,-0.022202368825674057
MID,disp_jump,SMALL,187,0.8870967741935484,0.05292710780148036,0.0037136494647711515
MID,disp_jump,MEDIUM,186,0.8763440860215054,0.058607590349540904,0.0023075442295521498
MID,disp_jump,LARGE,192,0.9270833333333334,0.0747026958624377,0.001969011500477791
MID,disp_drop,SMALL,195,0.8923076923076924,0.052875115022765345,-0.006314708851277828
MID,disp_drop,MEDIUM,194,0.9175257731958762,0.06342926014103212,-0.01614360138773918
MID,disp_drop,LARGE,200,0.92,0.07534621274086199,-0.009600294753909111
MID,btc_shock,SMALL,168,0.9166666666666666,0.067017525995956,-0.003689980134367943
MID,btc_shock,MEDIUM,167,0.9461077844311377,0.06401307065706116,-0.008879046887159348
MID,btc_shock,LARGE,173,0.9588235294117647,0.09298828444346081,-0.0028956232126802206
MID,conc_shock,SMALL,102,0.9117647058823529,0.08248662132819348,-0.005806505214422941
MID,conc_shock,MEDIUM,102,0.9313725490196079,0.07921948040079119,-0.003948917146772146
MID,conc_shock,LARGE,106,0.8679245283018868,0.05988756103599416,-0.005386339034885168
MID,vol_shock,SMALL,90,0.8777777777777778,0.06858239006859157,-0.00667124567553401
MID,vol_shock,MEDIUM,90,0.9666666666666667,0.09392547279790806,-0.005122930742800236
MID,vol_shock,LARGE,93,0.9111111111111111,0.1260493197962379,-0.012908411212265491
LOWER_MID,brd_jump,SMALL,213,0.8685446009389671,0.06029648467074774,0.0035708134528249502
LOWER_MID,brd_jump,MEDIUM,214,0.8364485981308412,0.05635078500050584,0.0029009731952100992
LOWER_MID,brd_jump,LARGE,221,0.8899082568807339,0.051113212584285535,0.0027337120845913887
LOWER_MID,brd_drop,SMALL,242,0.8677685950413223,0.07362224041776383,-0.007275112438946962
LOWER_MID,brd_drop,MEDIUM,241,0.8340248962655602,0.05756635812971145,-0.010500447824597359
LOWER_MID,brd_drop,LARGE,249,0.8674698795180723,0.06796040811678421,-0.020347917452454567
LOWER_MID,disp_jump,SMALL,187,0.8924731182795699,0.06166813233142127,0.0017605505418032408
LOWER_MID,disp_jump,MEDIUM,186,0.8655913978494624,0.06855586206700377,0.0008565508178435266
LOWER_MID,disp_jump,LARGE,192,0.890625,0.084052080053715,0.001505505875684321
LOWER_MID,disp_drop,SMALL,195,0.8769230769230769,0.06182963063324835,-0.006557484623044729
LOWER_MID,disp_drop,MEDIUM,194,0.8711340206185567,0.06884496719870835,-0.015266659669578075
LOWER_MID,disp_drop,LARGE,200,0.85,0.0830656424804852,-0.009670097380876541
LOWER_MID,btc_shock,SMALL,168,0.9285714285714286,0.07710348968012608,-0.0046999892219901085
LOWER_MID,btc_shock,MEDIUM,167,0.9341317365269461,0.07317371555817132,-0.008561747148633003
LOWER_MID,btc_shock,LARGE,173,0.9647058823529412,0.09736689551283786,-0.0039962297305464745
LOWER_MID,conc_shock,SMALL,102,0.9215686274509803,0.08780736279457642,-0.006815384607762098
LOWER_MID,conc_shock,MEDIUM,102,0.8921568627450981,0.08663390522546806,-0.004971423652023077
LOWER_MID,conc_shock,LARGE,106,0.8584905660377359,0.07169335341878838,-0.005626373458653688
LOWER_MID,vol_shock,SMALL,90,0.8888888888888888,0.07649951354195729,-0.007701392285525799
LOWER_MID,vol_shock,MEDIUM,90,0.9555555555555556,0.09426055843975255,-0.006642509717494249
LOWER_MID,vol_shock,LARGE,93,0.8777777777777778,0.13349392020206843,-0.013705668970942497
TRANSITION,brd_jump,SMALL,213,0.863849765258216,0.0731241776951991,0.002960364567115903
TRANSITION,brd_jump,MEDIUM,214,0.8271028037383178,0.06771715453612963,0.0029685383196920156
TRANSITION,brd_jump,LARGE,221,0.8486238532110092,0.06586022172616589,0.002549140714108944
TRANSITION,brd_drop,SMALL,242,0.8429752066115702,0.08534668539277493,-0.007523766718804836
TRANSITION,brd_drop,MEDIUM,241,0.7925311203319502,0.06575145475491963,-0.01023334264755249
TRANSITION,brd_drop,LARGE,249,0.8313253012048193,0.07401145983270986,-0.018719138577580452
TRANSITION,disp_jump,SMALL,187,0.8494623655913979,0.07085577041485516,0.0007721086731180549
TRANSITION,disp_jump,MEDIUM,186,0.8279569892473119,0.07945058065009095,0.0009013801463879645
TRANSITION,disp_jump,LARGE,192,0.8854166666666666,0.09821016694022237,0.0012172218412160873
TRANSITION,disp_drop,SMALL,195,0.8256410256410256,0.06814328861401246,-0.006485726218670607
TRANSITION,disp_drop,MEDIUM,194,0.8711340206185567,0.07848695577766207,-0.013894893229007721
TRANSITION,disp_drop,LARGE,200,0.825,0.09724771778725487,-0.009206343442201614
TRANSITION,btc_shock,SMALL,168,0.8988095238095238,0.09165132792592436,-0.0045420038513839245
TRANSITION,btc_shock,MEDIUM,167,0.9461077844311377,0.08500494167282491,-0.007758498191833496
TRANSITION,btc_shock,LARGE,173,0.9411764705882353,0.10952541920134279,-0.003924335818737745
TRANSITION,conc_shock,SMALL,102,0.9117647058823529,0.10513947556077151,-0.0054015470668673515
TRANSITION,conc_shock,MEDIUM,102,0.8627450980392157,0.09690327968809659,-0.005026065278798342
TRANSITION,conc_shock,LARGE,106,0.839622641509434,0.08201684058279926,-0.006685972213745117
TRANSITION,vol_shock,SMALL,90,0.8777777777777778,0.08150491611004826,-0.0071192411705851555
TRANSITION,vol_shock,MEDIUM,90,0.9444444444444444,0.1047058838554245,-0.006989762652665377
TRANSITION,vol_shock,LARGE,93,0.8777777777777778,0.13838881783128382,-0.013095146045088768
