atom_a,atom_b,n_both,p_A_before_B,p_B_before_A,p_same_window,preferred,preferred_p,n_subperiods,stable_direction_count,edge_class
RANK_DECAYS,TVL_VELOCITY_UP,1651,0.2725620835857056,0.34161114476075105,0.3858267716535433,B,0.34161114476075105,5,0,EXCHANGEABLE
BREADTH_EXPANDS,RANK_DECAYS,1933,0.3450594930160372,0.31195033626487323,0.3429901707190895,A,0.3450594930160372,5,0,EXCHANGEABLE
RANK_DECAYS,STATE_EXIT,1003,0.5274177467597209,0.26819541375872386,0.20438683948155534,A,0.5274177467597209,5,1,EXCHANGEABLE
CONCENTRATION_RELEASES,RANK_DECAYS,1590,0.35974842767295595,0.30062893081761005,0.33962264150943394,A,0.35974842767295595,5,0,EXCHANGEABLE
DISPERSION_CONTRACTS,RANK_DECAYS,1931,0.3423096841015018,0.3200414293112377,0.3376488865872605,A,0.3423096841015018,5,0,EXCHANGEABLE
BREADTH_CONTRACTS,RANK_DECAYS,1932,0.36853002070393376,0.32091097308488614,0.3105590062111801,A,0.36853002070393376,5,0,EXCHANGEABLE
RANK_DECAYS,VOL_CONTRACTS,1867,0.31065881092662023,0.3610069630423139,0.3283342260310659,B,0.3610069630423139,5,0,EXCHANGEABLE
PROPAGATION_CONFIRMS,RANK_DECAYS,775,0.3161290322580645,0.30709677419354836,0.3767741935483871,A,0.3161290322580645,5,0,EXCHANGEABLE
DISPERSION_EXPANDS,RANK_DECAYS,1936,0.3517561983471074,0.3269628099173554,0.3212809917355372,A,0.3517561983471074,5,0,EXCHANGEABLE
BREADTH_EXPANDS,TAIL_UP_ACTIVATES,2110,0.006161137440758294,0.5075829383886256,0.48625592417061614,B,0.5075829383886256,5,0,NO_ORDER
BREADTH_EXPANDS,TAIL_DOWN_ACTIVATES,2110,0.034123222748815164,0.45402843601895737,0.5118483412322274,B,0.45402843601895737,5,0,NO_ORDER
CONCENTRATION_RELEASES,TAIL_UP_ACTIVATES,1760,0.0125,0.39488636363636365,0.5926136363636364,B,0.39488636363636365,5,0,NO_ORDER
CONCENTRATION_RELEASES,TAIL_DOWN_ACTIVATES,1760,0.075,0.3840909090909091,0.5409090909090909,B,0.3840909090909091,5,0,NO_ORDER
DISPERSION_CONTRACTS,TAIL_UP_ACTIVATES,2107,0.013763644992880873,0.5021357380161366,0.48410061699098245,B,0.5021357380161366,5,0,NO_ORDER
DISPERSION_CONTRACTS,TAIL_DOWN_ACTIVATES,2107,0.07831039392501186,0.4750830564784053,0.4466065495965828,B,0.4750830564784053,5,0,NO_ORDER
RANK_DECAYS,TAIL_UP_ACTIVATES,1936,0.010330578512396695,0.46539256198347106,0.5242768595041323,B,0.46539256198347106,5,0,NO_ORDER
RANK_DECAYS,TAIL_DOWN_ACTIVATES,1936,0.06921487603305786,0.4478305785123967,0.48295454545454547,B,0.4478305785123967,5,0,NO_ORDER
TAIL_UP_ACTIVATES,VOL_EXPANDS,2067,0.4954039671020803,0.015481373971940009,0.48911465892597966,A,0.4954039671020803,5,0,NO_ORDER
TAIL_DOWN_ACTIVATES,VOL_EXPANDS,2067,0.47750362844702465,0.0938558297048863,0.42864054184808903,A,0.47750362844702465,5,0,NO_ORDER
STABLECOIN_ACTIVITY_UP,TAIL_UP_ACTIVATES,1817,0.023115024766097964,0.18712162905888827,0.7897633461750138,B,0.18712162905888827,5,0,NO_ORDER
STABLECOIN_ACTIVITY_UP,TAIL_DOWN_ACTIVATES,1817,0.08585580627407816,0.1810676940011007,0.7330764997248211,B,0.1810676940011007,5,0,NO_ORDER
TAIL_UP_ACTIVATES,TVL_VELOCITY_UP,1826,0.35870755750273825,0.013691128148959474,0.6276013143483024,A,0.35870755750273825,5,0,NO_ORDER
TAIL_DOWN_ACTIVATES,TVL_VELOCITY_UP,1826,0.3515881708652793,0.06900328587075576,0.579408543263965,A,0.3515881708652793,5,0,NO_ORDER
BREADTH_CONTRACTS,TAIL_UP_ACTIVATES,2111,0.018948365703458078,0.4936049265750829,0.48744670772145904,B,0.4936049265750829,5,0,NO_ORDER
BREADTH_CONTRACTS,TAIL_DOWN_ACTIVATES,2111,0.09805779251539555,0.47797252486972996,0.42396968261487444,B,0.47797252486972996,5,0,NO_ORDER
TAIL_UP_ACTIVATES,VOL_CONTRACTS,2037,0.4648993618065783,0.011291114383897889,0.5238095238095238,A,0.4648993618065783,5,0,NO_ORDER
TAIL_DOWN_ACTIVATES,VOL_CONTRACTS,2037,0.43053510063819345,0.038782523318605794,0.5306823760432008,A,0.43053510063819345,5,0,NO_ORDER
DISPERSION_EXPANDS,TAIL_UP_ACTIVATES,2102,0.010941960038058992,0.5123691722169362,0.47668886774500474,B,0.5123691722169362,5,0,NO_ORDER
DISPERSION_EXPANDS,TAIL_DOWN_ACTIVATES,2102,0.05946717411988582,0.478116079923882,0.46241674595623217,B,0.478116079923882,5,0,NO_ORDER
