symbol,year_month,expected_bars,observed_bars,valid_bars,missing_bars,unexpected_missing_pct,coverage_pct
GBPUSD,2023-10,528,528,528,0,0.0,100.0
GBPUSD,2023-11,528,528,528,0,0.0,100.0
GBPUSD,2023-12,504,504,504,0,0.0,100.0
GBPUSD,2024-01,538,538,534,4,0.74,99.26
GBPUSD,2024-02,504,504,504,0,0.0,100.0
GBPUSD,2024-03,504,504,504,0,0.0,100.0
GBPUSD,2024-04,528,528,528,0,0.0,100.0
GBPUSD,2024-05,552,552,552,0,0.0,100.0
GBPUSD,2024-06,480,480,480,0,0.0,100.0
GBPUSD,2024-07,552,552,552,0,0.0,100.0
GBPUSD,2024-08,528,528,528,0,0.0,100.0
GBPUSD,2024-09,504,504,500,4,0.79,99.21
GBPUSD,2024-10,552,552,552,0,0.0,100.0
GBPUSD,2024-11,504,504,504,0,0.0,100.0
GBPUSD,2024-12,509,509,504,5,0.98,99.02
GBPUSD,2025-01,533,533,528,5,0.94,99.06
GBPUSD,2025-02,480,480,480,0,0.0,100.0
GBPUSD,2025-03,504,504,504,0,0.0,100.0
GBPUSD,2025-04,528,528,527,1,0.19,99.81
GBPUSD,2025-05,528,528,528,0,0.0,100.0
GBPUSD,2025-06,504,504,504,0,0.0,100.0
GBPUSD,2025-07,552,552,552,0,0.0,100.0
GBPUSD,2025-08,504,504,504,0,0.0,100.0
GBPUSD,2025-09,528,528,528,0,0.0,100.0
GBPUSD,2025-10,552,552,552,0,0.0,100.0
GBPUSD,2025-11,480,480,480,0,0.0,100.0
GBPUSD,2025-12,533,533,528,5,0.94,99.06
GBPUSD,2026-01,509,509,504,5,0.98,99.02
GBPUSD,2026-02,480,480,480,0,0.0,100.0
GBPUSD,2026-03,528,528,528,0,0.0,100.0
GBPUSD,2026-04,528,528,528,0,0.0,100.0
GBPUSD,2026-05,504,504,504,0,0.0,100.0
USDJPY,2023-07,504,504,504,0,0.0,100.0
USDJPY,2023-08,552,552,552,0,0.0,100.0
USDJPY,2023-09,504,504,504,0,0.0,100.0
USDJPY,2023-10,528,528,528,0,0.0,100.0
USDJPY,2023-11,528,528,528,0,0.0,100.0
USDJPY,2023-12,504,504,504,0,0.0,100.0
USDJPY,2024-01,538,538,533,5,0.93,99.07
USDJPY,2024-02,504,504,504,0,0.0,100.0
USDJPY,2024-03,504,504,504,0,0.0,100.0
USDJPY,2024-04,528,528,528,0,0.0,100.0
USDJPY,2024-05,552,552,552,0,0.0,100.0
USDJPY,2024-06,480,480,480,0,0.0,100.0
USDJPY,2024-07,552,552,552,0,0.0,100.0
USDJPY,2024-08,528,528,528,0,0.0,100.0
USDJPY,2024-09,504,504,500,4,0.79,99.21
USDJPY,2024-10,552,552,552,0,0.0,100.0
USDJPY,2024-11,504,504,504,0,0.0,100.0
USDJPY,2024-12,509,509,504,5,0.98,99.02
USDJPY,2025-01,533,533,528,5,0.94,99.06
USDJPY,2025-02,480,480,480,0,0.0,100.0
USDJPY,2025-03,504,504,504,0,0.0,100.0
USDJPY,2025-04,528,528,527,1,0.19,99.81
USDJPY,2025-05,528,528,528,0,0.0,100.0
USDJPY,2025-06,504,504,504,0,0.0,100.0
USDJPY,2025-07,552,552,552,0,0.0,100.0
USDJPY,2025-08,504,504,504,0,0.0,100.0
USDJPY,2025-09,528,528,528,0,0.0,100.0
USDJPY,2025-10,552,552,552,0,0.0,100.0
USDJPY,2025-11,480,480,480,0,0.0,100.0
USDJPY,2025-12,533,533,528,5,0.94,99.06
USDJPY,2026-01,509,509,504,5,0.98,99.02
USDJPY,2026-02,480,480,480,0,0.0,100.0
USDJPY,2026-03,528,528,528,0,0.0,100.0
USDJPY,2026-04,528,528,528,0,0.0,100.0
USDJPY,2026-05,504,504,504,0,0.0,100.0
USDCHF,2023-07,504,504,504,0,0.0,100.0
USDCHF,2023-08,552,552,552,0,0.0,100.0
USDCHF,2023-09,504,504,504,0,0.0,100.0
USDCHF,2023-10,528,528,528,0,0.0,100.0
USDCHF,2023-11,528,528,528,0,0.0,100.0
USDCHF,2023-12,504,504,504,0,0.0,100.0
USDCHF,2024-01,538,538,533,5,0.93,99.07
USDCHF,2024-02,504,504,504,0,0.0,100.0
USDCHF,2024-03,504,504,504,0,0.0,100.0
USDCHF,2024-04,528,528,528,0,0.0,100.0
USDCHF,2024-05,552,552,552,0,0.0,100.0
USDCHF,2024-06,480,480,480,0,0.0,100.0
USDCHF,2024-07,552,552,552,0,0.0,100.0
USDCHF,2024-08,528,528,528,0,0.0,100.0
USDCHF,2024-09,504,504,500,4,0.79,99.21
USDCHF,2024-10,552,552,552,0,0.0,100.0
USDCHF,2024-11,504,504,504,0,0.0,100.0
USDCHF,2024-12,509,509,504,5,0.98,99.02
USDCHF,2025-01,533,533,528,5,0.94,99.06
USDCHF,2025-02,480,480,480,0,0.0,100.0
USDCHF,2025-03,504,504,504,0,0.0,100.0
USDCHF,2025-04,528,528,527,1,0.19,99.81
USDCHF,2025-05,528,528,528,0,0.0,100.0
USDCHF,2025-06,504,504,504,0,0.0,100.0
USDCHF,2025-07,552,552,552,0,0.0,100.0
USDCHF,2025-08,504,504,504,0,0.0,100.0
USDCHF,2025-09,528,528,528,0,0.0,100.0
USDCHF,2025-10,552,552,552,0,0.0,100.0
USDCHF,2025-11,480,480,480,0,0.0,100.0
USDCHF,2025-12,533,533,528,5,0.94,99.06
USDCHF,2026-01,509,509,504,5,0.98,99.02
USDCHF,2026-02,480,480,480,0,0.0,100.0
USDCHF,2026-03,528,528,528,0,0.0,100.0
USDCHF,2026-04,528,528,528,0,0.0,100.0
USDCHF,2026-05,504,504,504,0,0.0,100.0
EURGBP,2023-07,488,504,488,0,0.0,100.0
EURGBP,2023-08,536,552,536,0,0.0,100.0
EURGBP,2023-09,484,504,484,0,0.0,100.0
EURGBP,2023-10,512,528,512,0,0.0,100.0
EURGBP,2023-11,512,528,509,3,0.59,99.41
EURGBP,2023-12,484,504,479,5,1.03,98.97
EURGBP,2024-01,522,538,517,5,0.96,99.04
EURGBP,2024-02,488,504,484,4,0.82,99.18
EURGBP,2024-03,484,504,482,2,0.41,99.59
EURGBP,2024-04,512,528,512,0,0.0,100.0
EURGBP,2024-05,532,552,532,0,0.0,100.0
EURGBP,2024-06,464,480,464,0,0.0,100.0
EURGBP,2024-07,536,552,536,0,0.0,100.0
EURGBP,2024-08,508,528,508,0,0.0,100.0
EURGBP,2024-09,488,504,484,4,0.82,99.18
EURGBP,2024-10,536,552,536,0,0.0,100.0
EURGBP,2024-11,484,504,480,4,0.83,99.17
EURGBP,2024-12,493,509,479,14,2.84,97.16
EURGBP,2025-01,513,533,508,5,0.97,99.03
EURGBP,2025-02,464,480,460,4,0.86,99.14
EURGBP,2025-03,488,504,487,1,0.2,99.8
EURGBP,2025-04,512,528,511,1,0.2,99.8
EURGBP,2025-05,508,528,508,0,0.0,100.0
EURGBP,2025-06,488,504,488,0,0.0,100.0
EURGBP,2025-07,536,552,536,0,0.0,100.0
EURGBP,2025-08,484,504,484,0,0.0,100.0
EURGBP,2025-09,512,528,512,0,0.0,100.0
EURGBP,2025-10,532,552,532,0,0.0,100.0
EURGBP,2025-11,464,480,460,4,0.86,99.14
EURGBP,2025-12,517,533,503,14,2.71,97.29
EURGBP,2026-01,489,509,484,5,1.02,98.98
EURGBP,2026-02,464,480,460,4,0.86,99.14
EURGBP,2026-03,512,528,511,1,0.2,99.8
EURGBP,2026-04,512,528,512,0,0.0,100.0
EURGBP,2026-05,484,504,484,0,0.0,100.0
EURJPY,2023-07,488,504,488,0,0.0,100.0
EURJPY,2023-08,536,552,536,0,0.0,100.0
EURJPY,2023-09,484,504,484,0,0.0,100.0
EURJPY,2023-10,512,528,512,0,0.0,100.0
EURJPY,2023-11,512,528,509,3,0.59,99.41
EURJPY,2023-12,484,504,471,13,2.69,97.31
EURJPY,2024-01,522,538,518,4,0.77,99.23
EURJPY,2024-02,488,504,484,4,0.82,99.18
EURJPY,2024-03,484,504,482,2,0.41,99.59
EURJPY,2024-04,512,528,512,0,0.0,100.0
EURJPY,2024-05,532,552,532,0,0.0,100.0
EURJPY,2024-06,464,480,464,0,0.0,100.0
EURJPY,2024-07,536,552,536,0,0.0,100.0
EURJPY,2024-08,508,528,508,0,0.0,100.0
EURJPY,2024-09,488,504,484,4,0.82,99.18
EURJPY,2024-10,536,552,536,0,0.0,100.0
EURJPY,2024-11,484,504,480,4,0.83,99.17
EURJPY,2024-12,493,509,479,14,2.84,97.16
EURJPY,2025-01,513,533,508,5,0.97,99.03
EURJPY,2025-02,464,480,460,4,0.86,99.14
EURJPY,2025-03,488,504,487,1,0.2,99.8
EURJPY,2025-04,512,528,511,1,0.2,99.8
EURJPY,2025-05,508,528,508,0,0.0,100.0
EURJPY,2025-06,488,504,488,0,0.0,100.0
EURJPY,2025-07,536,552,536,0,0.0,100.0
EURJPY,2025-08,484,504,484,0,0.0,100.0
EURJPY,2025-09,512,528,512,0,0.0,100.0
EURJPY,2025-10,532,552,532,0,0.0,100.0
EURJPY,2025-11,464,480,460,4,0.86,99.14
EURJPY,2025-12,517,533,503,14,2.71,97.29
EURJPY,2026-01,489,509,484,5,1.02,98.98
EURJPY,2026-02,464,480,460,4,0.86,99.14
EURJPY,2026-03,512,528,511,1,0.2,99.8
EURJPY,2026-04,512,528,512,0,0.0,100.0
EURJPY,2026-05,484,504,484,0,0.0,100.0
GBPJPY,2023-07,504,504,504,0,0.0,100.0
GBPJPY,2023-08,552,552,552,0,0.0,100.0
GBPJPY,2023-09,504,504,504,0,0.0,100.0
GBPJPY,2023-10,528,528,528,0,0.0,100.0
GBPJPY,2023-11,528,528,528,0,0.0,100.0
GBPJPY,2023-12,504,504,496,8,1.59,98.41
GBPJPY,2024-01,538,538,532,6,1.12,98.88
GBPJPY,2024-02,504,504,504,0,0.0,100.0
GBPJPY,2024-03,504,504,504,0,0.0,100.0
GBPJPY,2024-04,528,528,528,0,0.0,100.0
GBPJPY,2024-05,552,552,552,0,0.0,100.0
GBPJPY,2024-06,480,480,480,0,0.0,100.0
GBPJPY,2024-07,552,552,552,0,0.0,100.0
GBPJPY,2024-08,528,528,528,0,0.0,100.0
GBPJPY,2024-09,504,504,500,4,0.79,99.21
GBPJPY,2024-10,552,552,552,0,0.0,100.0
GBPJPY,2024-11,504,504,504,0,0.0,100.0
GBPJPY,2024-12,509,509,504,5,0.98,99.02
GBPJPY,2025-01,533,533,528,5,0.94,99.06
GBPJPY,2025-02,480,480,480,0,0.0,100.0
GBPJPY,2025-03,504,504,504,0,0.0,100.0
GBPJPY,2025-04,528,528,527,1,0.19,99.81
GBPJPY,2025-05,528,528,528,0,0.0,100.0
GBPJPY,2025-06,504,504,504,0,0.0,100.0
GBPJPY,2025-07,552,552,552,0,0.0,100.0
GBPJPY,2025-08,504,504,504,0,0.0,100.0
GBPJPY,2025-09,528,528,528,0,0.0,100.0
GBPJPY,2025-10,552,552,552,0,0.0,100.0
GBPJPY,2025-11,480,480,480,0,0.0,100.0
GBPJPY,2025-12,533,533,528,5,0.94,99.06
GBPJPY,2026-01,509,509,504,5,0.98,99.02
GBPJPY,2026-02,480,480,480,0,0.0,100.0
GBPJPY,2026-03,528,528,528,0,0.0,100.0
GBPJPY,2026-04,528,528,528,0,0.0,100.0
GBPJPY,2026-05,504,504,504,0,0.0,100.0
CHFJPY,2023-07,504,504,504,0,0.0,100.0
CHFJPY,2023-08,552,552,552,0,0.0,100.0
CHFJPY,2023-09,504,504,504,0,0.0,100.0
CHFJPY,2023-10,528,528,528,0,0.0,100.0
CHFJPY,2023-11,528,528,528,0,0.0,100.0
CHFJPY,2023-12,504,504,490,14,2.78,97.22
CHFJPY,2024-01,538,538,532,6,1.12,98.88
CHFJPY,2024-02,504,504,504,0,0.0,100.0
CHFJPY,2024-03,504,504,504,0,0.0,100.0
CHFJPY,2024-04,528,528,528,0,0.0,100.0
CHFJPY,2024-05,552,552,552,0,0.0,100.0
CHFJPY,2024-06,480,480,480,0,0.0,100.0
CHFJPY,2024-07,552,552,552,0,0.0,100.0
CHFJPY,2024-08,528,528,528,0,0.0,100.0
CHFJPY,2024-09,504,504,500,4,0.79,99.21
CHFJPY,2024-10,552,552,552,0,0.0,100.0
CHFJPY,2024-11,504,504,504,0,0.0,100.0
CHFJPY,2024-12,509,509,504,5,0.98,99.02
CHFJPY,2025-01,533,533,528,5,0.94,99.06
CHFJPY,2025-02,480,480,480,0,0.0,100.0
CHFJPY,2025-03,504,504,504,0,0.0,100.0
CHFJPY,2025-04,528,528,527,1,0.19,99.81
CHFJPY,2025-05,528,528,528,0,0.0,100.0
CHFJPY,2025-06,504,504,504,0,0.0,100.0
CHFJPY,2025-07,552,552,552,0,0.0,100.0
CHFJPY,2025-08,504,504,504,0,0.0,100.0
CHFJPY,2025-09,528,528,528,0,0.0,100.0
CHFJPY,2025-10,552,552,552,0,0.0,100.0
CHFJPY,2025-11,480,480,480,0,0.0,100.0
CHFJPY,2025-12,533,533,528,5,0.94,99.06
CHFJPY,2026-01,509,509,504,5,0.98,99.02
CHFJPY,2026-02,480,480,480,0,0.0,100.0
CHFJPY,2026-03,528,528,528,0,0.0,100.0
CHFJPY,2026-04,528,528,528,0,0.0,100.0
CHFJPY,2026-05,504,504,355,149,29.56,70.44
EURCHF,2023-07,488,504,488,0,0.0,100.0
EURCHF,2023-08,536,552,536,0,0.0,100.0
EURCHF,2023-09,484,504,484,0,0.0,100.0
EURCHF,2023-10,512,528,512,0,0.0,100.0
EURCHF,2023-11,512,528,509,3,0.59,99.41
EURCHF,2023-12,484,504,471,13,2.69,97.31
EURCHF,2024-01,522,538,518,4,0.77,99.23
EURCHF,2024-02,488,504,484,4,0.82,99.18
EURCHF,2024-03,484,504,482,2,0.41,99.59
EURCHF,2024-04,512,528,512,0,0.0,100.0
EURCHF,2024-05,532,552,532,0,0.0,100.0
EURCHF,2024-06,464,480,464,0,0.0,100.0
EURCHF,2024-07,536,552,536,0,0.0,100.0
EURCHF,2024-08,508,528,508,0,0.0,100.0
EURCHF,2024-09,488,504,484,4,0.82,99.18
EURCHF,2024-10,536,552,536,0,0.0,100.0
EURCHF,2024-11,484,504,480,4,0.83,99.17
EURCHF,2024-12,493,509,479,14,2.84,97.16
EURCHF,2025-01,513,533,508,5,0.97,99.03
EURCHF,2025-02,464,480,460,4,0.86,99.14
EURCHF,2025-03,488,504,487,1,0.2,99.8
EURCHF,2025-04,512,528,511,1,0.2,99.8
EURCHF,2025-05,508,528,508,0,0.0,100.0
EURCHF,2025-06,488,504,488,0,0.0,100.0
EURCHF,2025-07,536,552,536,0,0.0,100.0
EURCHF,2025-08,484,504,484,0,0.0,100.0
EURCHF,2025-09,512,528,512,0,0.0,100.0
EURCHF,2025-10,532,552,532,0,0.0,100.0
EURCHF,2025-11,464,480,460,4,0.86,99.14
EURCHF,2025-12,517,533,503,14,2.71,97.29
EURCHF,2026-01,489,509,484,5,1.02,98.98
EURCHF,2026-02,464,480,460,4,0.86,99.14
EURCHF,2026-03,512,528,511,1,0.2,99.8
EURCHF,2026-04,512,528,512,0,0.0,100.0
EURCHF,2026-05,484,504,484,0,0.0,100.0
GBPCHF,2023-07,504,504,504,0,0.0,100.0
GBPCHF,2023-08,552,552,552,0,0.0,100.0
GBPCHF,2023-09,504,504,504,0,0.0,100.0
GBPCHF,2023-10,528,528,528,0,0.0,100.0
GBPCHF,2023-11,528,528,528,0,0.0,100.0
GBPCHF,2023-12,504,504,504,0,0.0,100.0
GBPCHF,2024-01,538,538,532,6,1.12,98.88
GBPCHF,2024-02,504,504,504,0,0.0,100.0
GBPCHF,2024-03,504,504,504,0,0.0,100.0
GBPCHF,2024-04,528,528,528,0,0.0,100.0
GBPCHF,2024-05,552,552,552,0,0.0,100.0
GBPCHF,2024-06,480,480,480,0,0.0,100.0
GBPCHF,2024-07,552,552,552,0,0.0,100.0
GBPCHF,2024-08,528,528,528,0,0.0,100.0
GBPCHF,2024-09,504,504,500,4,0.79,99.21
GBPCHF,2024-10,552,552,552,0,0.0,100.0
GBPCHF,2024-11,504,504,504,0,0.0,100.0
GBPCHF,2024-12,509,509,504,5,0.98,99.02
GBPCHF,2025-01,533,533,528,5,0.94,99.06
GBPCHF,2025-02,480,480,480,0,0.0,100.0
GBPCHF,2025-03,504,504,504,0,0.0,100.0
GBPCHF,2025-04,528,528,527,1,0.19,99.81
GBPCHF,2025-05,528,528,528,0,0.0,100.0
GBPCHF,2025-06,504,504,504,0,0.0,100.0
GBPCHF,2025-07,552,552,552,0,0.0,100.0
GBPCHF,2025-08,504,504,504,0,0.0,100.0
GBPCHF,2025-09,528,528,528,0,0.0,100.0
GBPCHF,2025-10,552,552,552,0,0.0,100.0
GBPCHF,2025-11,480,480,480,0,0.0,100.0
GBPCHF,2025-12,533,533,528,5,0.94,99.06
GBPCHF,2026-01,509,509,504,5,0.98,99.02
GBPCHF,2026-02,480,480,480,0,0.0,100.0
GBPCHF,2026-03,528,528,528,0,0.0,100.0
GBPCHF,2026-04,528,528,528,0,0.0,100.0
GBPCHF,2026-05,504,504,504,0,0.0,100.0
