entry_z,age_min,z_lo,z_hi,model,n,p_eventual_convergence,p_timeout,p_stop,e_remaining_pnl,median_remaining_pnl,remaining_mfe,future_mae,capital_hours_remaining
2.5,180,2.5,3.0,TB-C-2.5%,13,38.46153846153847,61.53846153846154,0.0,30.307132179829317,30.786128896967753,35.65439478141835,-2.546880911281015,2.923076923076923
2.5,180,2.5,3.0,TB-C-5%,13,38.46153846153847,61.53846153846154,0.0,29.364029757346238,30.4745180474623,34.792192092098894,-2.6595269336063314,2.923076923076923
2.5,180,2.5,3.0,TB-C-10%,13,38.46153846153847,61.53846153846154,0.0,27.43745930880805,29.851296348451385,33.10429737374727,-2.8869572576809825,2.923076923076923
3.0,15,2.5,3.0,TB-B,55,67.27272727272727,32.72727272727273,0.0,33.49652717668959,25.868222005094008,36.43147035812475,-8.716064553633485,3.5636363636363635
3.0,15,2.5,3.0,TB-C-2.5%,55,67.27272727272727,32.72727272727273,0.0,32.62898907797653,26.217226035708844,35.67681698367026,-8.873664629499666,3.5636363636363635
3.0,15,2.5,3.0,TB-C-5%,55,67.27272727272727,32.72727272727273,0.0,31.75315552370768,25.970842228451083,34.924710786392865,-9.032733632082175,3.5636363636363635
3.0,15,2.5,3.0,TB-C-10%,55,67.27272727272727,32.72727272727273,0.0,30.122743895865455,24.55989384025487,33.51774189000614,-9.399320446188188,3.5636363636363635
3.0,15,3.0,3.5,TB-B,57,52.63157894736842,47.368421052631575,0.0,31.494967621877326,29.541296930836072,34.67869876785265,-7.370691244925355,3.3523391812865495
3.0,15,3.0,3.5,TB-C-2.5%,57,52.63157894736842,47.368421052631575,0.0,30.89394785936436,28.680273199222214,34.07137594847164,-7.310505557338095,3.3523391812865495
3.0,15,3.0,3.5,TB-C-5%,57,52.63157894736842,47.368421052631575,0.0,30.27513084912958,28.24066610956355,33.43620433126744,-7.262523950913476,3.3523391812865495
3.0,15,3.0,3.5,TB-C-10%,57,52.63157894736842,47.368421052631575,0.0,28.977712334282135,27.739837077805706,32.13269025103455,-7.213495824270055,3.3523391812865495
3.0,15,3.5,4.0,TB-B,11,45.45454545454545,54.54545454545454,0.0,30.01969969492748,28.65450159159282,33.46618396940669,-7.890725594178892,3.2272727272727266
3.0,15,3.5,4.0,TB-C-2.5%,11,45.45454545454545,54.54545454545454,0.0,29.099654044502724,27.50465590195368,32.6646758328026,-8.225874872458435,3.2272727272727266
3.0,15,3.5,4.0,TB-C-5%,11,45.45454545454545,54.54545454545454,0.0,28.191085461194174,27.027468494138105,31.88363876955798,-8.551208831761251,3.2272727272727266
3.0,15,3.5,4.0,TB-C-10%,11,45.45454545454545,54.54545454545454,0.0,26.471737892539362,26.073093678506957,30.442739820202192,-9.085586905576399,3.2272727272727266
3.0,15,4.0,inf,TB-B,10,60.0,40.0,0.0,48.520504712622085,47.34464975012263,49.44135026748678,-14.425357174876837,4.175
3.0,15,4.0,inf,TB-C-2.5%,10,60.0,40.0,0.0,46.99028003729029,45.50463599074743,47.89145602457994,-14.740331258093494,4.175
3.0,15,4.0,inf,TB-C-5%,10,60.0,40.0,0.0,45.459003333606915,43.68225423266944,46.326413712299754,-15.045951826058735,4.175
3.0,15,4.0,inf,TB-C-10%,10,60.0,40.0,0.0,42.41830656988748,39.35184864626926,43.222789646905895,-15.62084942809867,4.175
3.0,30,2.5,3.0,TB-B,55,56.36363636363636,43.63636363636363,0.0,31.93294943310005,25.69523003587388,34.85101360158577,-8.309948480193293,3.1272727272727274
3.0,30,2.5,3.0,TB-C-2.5%,55,56.36363636363636,43.63636363636363,0.0,31.1742894601473,24.974228209851077,34.18148780459669,-8.303984694108605,3.1272727272727274
3.0,30,2.5,3.0,TB-C-5%,55,56.36363636363636,43.63636363636363,0.0,30.40736102453961,25.589256012993154,33.53004841388162,-8.313095518909401,3.1272727272727274
3.0,30,2.5,3.0,TB-C-10%,55,56.36363636363636,43.63636363636363,0.0,28.818986934265517,25.39397484441122,32.20254093126908,-8.37969782206598,3.1272727272727274
3.0,30,3.0,3.5,TB-B,28,39.285714285714285,60.71428571428571,0.0,27.244367707150758,30.702148534515565,33.10223666477508,-7.151198384877824,3.3869047619047623
3.0,30,3.0,3.5,TB-C-2.5%,28,39.285714285714285,60.71428571428571,0.0,26.3897654970551,29.835217367756474,32.28598298049311,-7.175512281756943,3.3869047619047623
3.0,30,3.0,3.5,TB-C-5%,28,39.285714285714285,60.71428571428571,0.0,25.536412209094784,27.15317792987863,31.461649354423294,-7.196585595214281,3.3869047619047623
3.0,30,3.0,3.5,TB-C-10%,28,39.285714285714285,60.71428571428571,0.0,24.044214328033654,23.730142850184443,30.012992979996223,-7.1762793732188035,3.3869047619047623
3.0,30,3.5,4.0,TB-B,10,80.0,20.0,0.0,47.58282358298824,47.853796363257345,47.87891057493689,-10.724931176142912,4.074999999999999
3.0,30,3.5,4.0,TB-C-2.5%,10,80.0,20.0,0.0,46.49338537471924,46.19367501890082,46.80685232856921,-10.978922806961048,4.074999999999999
3.0,30,3.5,4.0,TB-C-5%,10,80.0,20.0,0.0,45.374300657141916,45.281648566718644,45.70500411606472,-11.22559423673415,4.074999999999999
3.0,30,3.5,4.0,TB-C-10%,10,80.0,20.0,0.0,43.12937425399379,43.72973847620891,43.49457740519392,-11.73902607791579,4.074999999999999
3.0,60,2.5,3.0,TB-B,33,33.33333333333333,66.66666666666666,0.0,22.88551766644658,20.9800706558937,26.61809158081905,-8.64983748501557,2.9065656565656566
