entry_z,model,result,best_pnl,final_pnl,giveback,capture_ratio,conv_min,speed,prev_profitable_loser
2.5,TB-B,TP_HIT,58.73069596273626,58.664743479774415,0.06595248296184764,0.9988770355623966,210.0,slow,False
2.5,TB-C-2.5%,TP_HIT,58.47061770476945,58.405052487241804,0.06556521752764866,0.9988786638468794,210.0,slow,False
2.5,TB-C-5%,TP_HIT,58.24432874615478,58.17910260568185,0.06522614047293018,0.9988801289004943,210.0,slow,False
2.5,TB-C-10%,TP_HIT,57.79175082892547,57.72720284256194,0.06454798636353587,0.9988830934270427,210.0,slow,False
2.5,TB-B,TP_HIT,14.901455954425671,14.92775689360171,-0.02630093917603915,1.0017649912368616,155.0,early,False
2.5,TB-C-2.5%,TP_HIT,15.820758242111037,15.84869340885831,-0.027935166747273144,1.0017657286913668,155.0,early,False
2.5,TB-C-5%,TP_HIT,16.795304822580075,16.824821666423002,-0.029516843842927187,1.001757446152644,155.0,early,False
2.5,TB-C-10%,TP_HIT,17.847188273537355,17.880348343076676,-0.0331600695393206,1.001857999648521,155.0,early,False
2.5,TB-B,TP_HIT,19.62585573233717,19.611466254246466,0.014389478090702568,0.9992668101566143,80.0,early,False
2.5,TB-C-2.5%,TP_HIT,20.170244272062057,20.15521079988308,0.015033472178977547,0.9992546707924702,80.0,early,False
2.5,TB-C-5%,TP_HIT,20.716376055235212,20.70069702844876,0.015679026786450834,0.9992431578407031,80.0,early,False
2.5,TB-C-10%,TP_HIT,21.808639621581495,21.791669485580115,0.016970136001379643,0.9992218617806593,80.0,early,False
2.5,TB-B,TIMEOUT,3.7091305900446816,0.9481477636629556,2.760982826381726,0.25562533878094973,150.0,early,False
2.5,TB-C-2.5%,TIMEOUT,3.7008168094385407,1.1248600922235958,2.575956717214945,0.30394914153944597,150.0,early,False
2.5,TB-C-5%,TIMEOUT,3.670379791997293,1.306996287091426,2.363383504905867,0.3560929280237248,150.0,early,False
2.5,TB-C-10%,TIMEOUT,3.6095057571147873,1.6712686768270864,1.938237080287701,0.46301870374712845,150.0,early,False
2.5,TB-B,TP_HIT,28.71871973672592,28.60200187697482,0.11671785975109827,0.9959358264984968,135.0,early,False
2.5,TB-C-2.5%,TP_HIT,28.050108247941456,27.939061257325374,0.11104699061608159,0.9960411207816201,135.0,early,False
