policy_id,kind,cap_mult,treatment,w_A_pct,w_B_pct,partition_type,partition,N,N_rejected,reject_rate,mean_admitted_f,within_partition_max_dd,worst_episode_R,partition_net_R
H4-1.00-REJ,H4,1.0,REJECT,50.0,50.0,year,2025,311,72,0.2315112540192926,0.5,303.24480268572717,-1.468947760058391,49.45824598465303
H4-1.00-REJ,H4,1.0,REJECT,50.0,50.0,year,2026,118,21,0.17796610169491525,0.5,3.6510688786817482,-1.967268405161442,9.549774382567046
H4-1.50-REJ,H4,1.5,REJECT,50.0,50.0,split,RELATIONSHIP_CONFIRMED_OOS,280,20,0.07142857142857142,0.5,2.1305906734112043,-1.967268405161442,42.82455249157104
H4-1.50-REJ,H4,1.5,REJECT,50.0,50.0,split,inner_sel,461,41,0.08893709327548807,0.5,1.0047247506461041,-3.0685232166139733,69.39205275567446
H4-1.50-REJ,H4,1.5,REJECT,50.0,50.0,split,inner_val,149,23,0.15436241610738255,0.5,350.63302616201014,-1.8936078132111276,25.962214416185322
H4-1.50-REJ,H4,1.5,REJECT,50.0,50.0,year,2023,150,12,0.08,0.5,1.0047247506461041,-2.749008184280776,15.072206068836717
H4-1.50-REJ,H4,1.5,REJECT,50.0,50.0,year,2024,311,29,0.0932475884244373,0.5,656.5363568475072,-3.0685232166139733,54.31984668683774
H4-1.50-REJ,H4,1.5,REJECT,50.0,50.0,year,2025,311,31,0.09967845659163987,0.5,350.63302616201014,-1.8936078132111276,57.56164913369595
H4-1.50-REJ,H4,1.5,REJECT,50.0,50.0,year,2026,118,12,0.1016949152542373,0.5,6.293751875035538,-1.967268405161442,11.225117774060415
H4-2.00-REJ,H4,2.0,REJECT,50.0,50.0,split,RELATIONSHIP_CONFIRMED_OOS,280,7,0.025,0.5,2.1305906734112043,-1.967268405161442,45.370167660855756
H4-2.00-REJ,H4,2.0,REJECT,50.0,50.0,split,inner_sel,461,22,0.04772234273318872,0.5,1.0085607855589738,-3.0685232166139733,75.24202649441497
H4-2.00-REJ,H4,2.0,REJECT,50.0,50.0,split,inner_val,149,13,0.087248322147651,0.5,7.400588834534235,-2.0814723542656965,25.255358440576053
H4-2.00-REJ,H4,2.0,REJECT,50.0,50.0,year,2023,150,5,0.03333333333333333,0.5,1.0085607855589738,-2.749008184280776,17.534138430082308
H4-2.00-REJ,H4,2.0,REJECT,50.0,50.0,year,2024,311,17,0.05466237942122187,0.5,314.4996667787684,-3.0685232166139733,57.70788806433265
H4-2.00-REJ,H4,2.0,REJECT,50.0,50.0,year,2025,311,14,0.04501607717041801,0.5,1341.7290756632294,-2.0814723542656965,58.42633817520226
H4-2.00-REJ,H4,2.0,REJECT,50.0,50.0,year,2026,118,6,0.05084745762711865,0.5,6.293751875035538,-1.967268405161442,12.199187926229545
H4-3.00-REJ,H4,3.0,REJECT,50.0,50.0,split,RELATIONSHIP_CONFIRMED_OOS,280,0,0.0,0.5,2.1305906734112043,-1.967268405161442,46.93384862580961
H4-3.00-REJ,H4,3.0,REJECT,50.0,50.0,split,inner_sel,461,5,0.010845986984815618,0.5,1.098728450425777,-3.0685232166139733,80.93116092663313
H4-3.00-REJ,H4,3.0,REJECT,50.0,50.0,split,inner_val,149,5,0.03355704697986577,0.5,7.400588834534234,-1.8936078132111276,27.291060201615394
